"","X12.D12.2.neg","X28.D12.3.neg","X44.D12.1.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X09.X12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Mock","Mock","Mock","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M924.351T839.79"," 5049.5196"," 5839.7632","    0.0000","12472.1764"," 7810.4583","10372.1999","12102.4005"," 6934.1407"," 4195.8769"," 1921.0641"," 8813.2747","  598.8271"," 5763.6461"," 6853.0835"," 5403.6237","    0.0000","10758.1925"," 6337.8817"
"M395.048T106.9","10951.2380"," 7165.2405"," 1136.3261","11417.9058","11542.7852","11400.5973","11866.2533"," 8008.0660"," 7036.5188"," 7883.7371","10265.8500","  792.8065"," 8926.2140","10428.8690"," 5252.4840"," 1490.0000","11762.8200"," 9601.5089"
"M517.897T66.885"," 1878.9356"," 1231.3284","    0.0000"," 4202.1895"," 5479.3483","16444.7127","25009.9786","35639.5971"," 5816.0032"," 2378.5540","10736.1337"," 1243.9971"," 3840.1846"," 4622.8300"," 4497.7554","    0.0000","  469.6587"," 9314.0188"
"M657.169T756.884"," 4500.1505"," 1670.4340","  340.2661","15131.7544","12247.3143","18329.7547"," 7218.1547","13950.9070"," 6592.6094","12475.5825"," 9893.8274","    0.0000"," 9679.1955"," 7152.0749","11545.3970","    0.0000"," 2168.8326"," 7650.5876"
"M353.082T316.368","17167.61","10551.06","    0.00","18204.66","16098.09","14160.48","18665.99","13871.89","15144.24","14401.54","18515.77","    0.00","14453.12","17070.53","16511.09","    0.00","10066.10","20118.76"
"M313.093T320.692","29451.7500","27413.0373","  294.3389","38830.0043","28954.1564","22002.8814","32318.2531","32512.8305","24405.2200","29055.2818","32855.6970","    0.0000","27837.9241","30286.0699","31517.4955","  210.0000","31264.8915","38185.2754"
"M852.339T915.443","16129.5684","15067.4094","    0.0000","28406.4866","17741.0971","11915.4030","25109.7142","18271.2692"," 9474.0333"," 7015.4062","12768.4918","  461.0319","18193.9700","18355.7588","16263.0954","    0.0000","20521.5149","13606.0852"
"M475.187T823.258","2294.4028","3231.3842","   0.0000","3806.4180","6569.7607","3660.9431","2658.5287","4726.4681","1752.9346"," 842.4619","3256.7307","   0.0000","3402.2944","1276.7135","2375.9583","   0.0000","2431.5078","3124.1135"
"M220.134T731.802","14032.2422","14068.2960","    0.0000"," 5745.3264"," 3420.6912"," 1141.0913"," 3353.8092"," 5385.1169"," 3734.5147","12600.4720"," 5203.4210","    0.0000"," 4390.2841"," 5224.2835"," 4886.9074","    0.0000"," 2104.8416","  760.7314"
"M998.861T1404.179"," 9599.034"," 8261.893","    0.000"," 8437.758","10208.024"," 7430.498"," 6338.965"," 9064.140"," 6142.119"," 9874.702"," 5422.294","    0.000"," 7619.146"," 8184.328"," 9924.074","    0.000"," 8888.166"," 7560.925"
"M698.26T899.18","32091.8985","11984.2813","    0.0000","65067.6713","24775.5962","29836.3362","63505.0493","37599.2397","17142.3572"," 5659.1219","28387.2825","  495.1739","27830.7095","29485.8229","28970.8397","    0.0000","21332.5291","21927.5369"
"M474.881T66.41"," 8650.689","17667.863"," 7205.831","29879.635","20929.078"," 9291.190","21246.197","22585.268","23719.056","12992.999","27437.321"," 7663.908","21382.031","11358.119","23787.102"," 5680.000","16492.484","44260.819"
"M721.31T972.44"," 3809.2732"," 5944.8161","  202.9923","17079.3000"," 2414.1005"," 1794.4434"," 2828.5977"," 1480.6918"," 1570.9798","  806.8692"," 2167.7326","    0.0000"," 4008.6062"," 4097.8772"," 4865.6988","    0.0000"," 3840.6481"," 3223.3951"
"M621.052T106.9","4946.262","3637.571","   0.000","5928.845","5175.199","4603.295","5285.602","6555.417","4138.527","4645.470","5080.970","   0.000","4271.758","4283.730","5620.850","   0.000","5910.538","9087.841"
"M289.026T88.643","12474.110"," 4453.375"," 2115.969","41422.208","28045.974","45590.879","21855.065","72933.997","41204.453","29796.504","26776.739"," 1422.007","28597.721","31982.285","24969.526","  240.000","22290.232","38539.709"
"M544.284T936.329","8999.842","6006.193","   0.000","8135.650","4285.407","2680.737","5277.191","6261.875","5309.061","5501.255","4084.807"," 754.819","6605.221","4323.182","4632.183"," 666.000","7793.668","5460.046"
"M379.101T757.973"," 5624.219"," 8040.396"," 2333.240","21122.929","11930.174"," 6669.891","12164.070","12180.939","10050.336"," 9213.669","16109.673"," 2304.867"," 7550.763"," 4451.651","20920.069"," 2150.000","10050.618","10794.133"
"M494.168T786.301","1996.4868","4055.9724","   0.0000","3036.1342","4201.8574","1976.2302","4987.6145","2774.9614","2176.0025"," 527.2618","4521.0841","   0.0000","1861.4600","2931.2967","4156.9131","   0.0000","4848.0522","2833.8464"
