"","X12.D12.2.neg","X28.D12.3.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Mock","Mock","Mock","Xanthomonas","Xanthomonas"
"M206.082T164.917"," 0.89688162"," 1.18406602"," 0.30526056"," 0.26533964","-0.93021898","-0.16709916","-0.18868162","-0.17326182","-0.09272951"," 0.22114705","-0.51546784","-0.80523597"
"M1161.521T895.466","-0.42376184","-0.39492291","-0.62474890"," 0.51023696"," 1.47035263"," 0.48449520"," 0.27569818","-0.27714899"," 0.03867778","-0.18359570","-0.59539161","-0.27989080"
"M418.218T902.438","-0.45703473","-0.01894744","-0.71287051"," 0.36927478"," 1.17171408"," 0.57344139"," 0.26103025","-0.57667030","-0.99051326"," 0.08578722"," 0.08398833"," 0.21080020"
"M632.783T316.499"," 0.011838951","-0.416321646","-0.432686419"," 0.803002317"," 0.648825121"," 0.122704845"," 0.305814125","-0.607871181","-0.628634972","-0.184826795","-0.004524062"," 0.382679717"
"M451.218T291.531","-0.5231998","-0.2481153","-0.7277707"," 0.4899917"," 1.2284591"," 0.5290996"," 0.4667185","-0.3684612","-0.7678044","-0.1560860","-0.1483258"," 0.2254942"
"M344.099T126.621","-0.10218142","-0.18390098","-0.48357930"," 0.39311951"," 1.08644679"," 0.43818755"," 0.36567549","-0.56600060","-0.89961877","-0.11808793","-0.02390834"," 0.09384800"
"M653.691T320.692","-0.001104977","-0.221205372","-0.617543538"," 0.293297628"," 0.857760246"," 0.575871509"," 0.598134399","-0.420187826","-0.263147761","-0.067269090","-0.636895100","-0.097710119"
"M385.113T835.894","-0.09846659"," 0.07437790","-0.22969263"," 0.37773811"," 0.96002255"," 0.63116560"," 0.60477457","-0.18001171","-1.54522419","-0.56619609"," 0.26191379","-0.29040132"
"M627.229T851.009","-0.20092010","-0.26487436","-0.88945701"," 0.44240225"," 1.07501696"," 0.69313702"," 0.49702296","-0.45928962","-1.02772059","-0.11592275"," 0.32535647","-0.07475121"
"M885.489T1408.277","-0.35694101","-0.07016075","-0.49912311"," 0.40291729"," 1.30097935"," 0.50595422"," 0.24982304","-0.54221583","-0.66866399","-0.31121598","-0.14400276"," 0.13264952"
"M645.124T781.203","-0.1228677","-0.1745974","-0.6662918"," 0.4285737"," 1.5740352"," 0.2763592"," 0.5485182","-0.1031821","-0.1665917","-0.4350365","-0.6086867","-0.5502326"
"M942.469T1308.469","-0.22242626"," 0.02259587","-0.66758188"," 0.32502737"," 1.25497122"," 0.32563423"," 0.12286385","-0.63468976","-0.39572193","-0.24283796"," 0.08634538"," 0.02581988"
"M421.069T767.549","-0.51715588","-0.23746140","-0.77939948"," 0.53549802"," 1.22184877"," 0.55816447"," 0.42388362","-0.43531372","-0.59743030","-0.63785988","-0.08737736"," 0.55260315"
"M643.245T813.714","-0.30509184","-0.41763852","-0.23782911"," 0.29722755"," 0.94104136"," 0.68030720"," 0.52120330","-0.36830811","-0.85057689","-0.25907332"," 0.09645637","-0.09771800"
"M745.161T766.586","-0.2005009","-0.7098143","-0.7483515"," 0.5205828"," 1.2594920"," 0.4971786"," 0.3870744","-0.1565266","-0.7131435","-0.3461326","-0.0677427"," 0.2778843"
"M442.823T96.43","-0.31280224","-0.13865687","-0.89710182"," 0.42226981"," 0.84199154"," 0.62904450"," 0.06707899"," 0.32541572","-0.24921252","-0.46951184","-0.19170133","-0.02681395"
"M316.508T323.984","-0.05077232","-0.09039180","-0.50047376"," 0.35303109"," 1.11450916"," 0.38090969"," 0.27343319","-0.43669576","-0.39222608","-0.43075728","-0.19489862","-0.02566752"
"M729.273T847.264","-0.83648644","-0.14537191","-0.58022397"," 0.39019727"," 1.07600955"," 0.74104598"," 0.60983341","-0.57427589","-0.57364539","-0.23654874","-0.01430319"," 0.14376934"
"M417.764T850.924","-0.10195749","-0.13414439","-0.57875369"," 0.23668236"," 1.14702497"," 0.31516214"," 0.21087248","-0.56735319","-0.93447371","-0.06543394"," 0.11913873"," 0.35323572"
"M442.938T91.386"," 0.06666183","-0.19649380","-0.47070459"," 0.34188471"," 1.09024580"," 0.34061037"," 0.40819180","-0.15168822","-0.35485111","-0.42855199","-0.08056656","-0.56473824"
"M653.752T320.843","-0.88422038","-0.15882182","-0.31543810"," 0.63191433"," 0.86003585"," 0.43224191"," 0.37697624","-0.33560131","-0.34431473","-0.17939704","-0.17607098"," 0.09269602"
"M683.129T316.242"," 0.005915115","-0.070371577","-0.783035642"," 0.420815824"," 0.913276517"," 0.483902603"," 0.381369988","-0.976620324","-0.474847511","-0.259715733"," 0.071547579"," 0.287763160"
"M653.783T316.318"," 0.180222192","-0.296943639","-0.491404739"," 0.342617254"," 0.716699254"," 0.513154257"," 0.452039859","-0.546168130","-0.600199265","-0.257229920","-0.006924417","-0.005862705"
"M489.058T766.222","-0.1233542","-0.3549889","-0.6399779"," 0.3424267"," 1.2098069"," 0.7984386"," 0.2417117","-0.5020837","-0.8991118","-0.7604419"," 0.3397514"," 0.3478230"
"M327.108T784.235"," 0.05679428","-0.16663418","-1.05401999"," 0.33075282"," 1.09722368"," 0.39285038"," 0.81854605","-0.30075298","-0.46092362","-0.22817624","-0.23581629","-0.24984392"
"M633.494T312.856"," 0.04019312","-0.48425084","-0.25185450"," 0.39321341"," 0.77746859"," 1.00714302","-0.01332889","-0.03626355","-0.42551712","-0.12667140","-0.44999780","-0.43013405"
"M851.819T1425.446"," 0.125236375","-0.556446479","-0.718677009"," 0.367793237"," 1.246598440"," 0.414556122"," 0.334920431"," 0.005325209","-0.767317663","-0.886195006"," 0.086661097"," 0.347545246"
"M530.968T106.005","-0.07457143","-0.36433738","-0.64182794"," 0.33309576"," 1.22517295"," 0.53069182"," 0.12118394","-0.39456298","-0.48929250","-0.40542180","-0.07224603"," 0.23211560"
"M1009.607T1323.757","-0.31107074","-0.02083837","-0.77918466"," 0.37689959"," 1.15366304"," 0.31202452"," 0.12858683","-0.43900703","-0.50018056","-0.23083645"," 0.22384751"," 0.08609632"
"M653.717T312.26"," 0.04416847","-0.65472855","-0.52034260"," 0.74598209"," 0.77056953"," 0.55780893"," 0.05057225","-0.21509023","-0.20777403"," 0.09228591","-0.41361242","-0.24983935"
"M1031.899T1225.646","-0.12415707","-0.07162675","-0.77383151"," 0.44453437"," 0.46182756"," 0.86297936"," 0.08473167","-0.18747704","-0.37688192","-0.27603854"," 0.01809456","-0.06215470"
"M297.119T136.686","-0.22682327","-0.04635892","-0.70138347"," 0.35626597"," 1.25514925"," 0.56870741"," 0.31406638","-0.34495153","-0.62516376","-0.37556696","-0.24060873"," 0.06666763"
"M769.419T945.253","-0.30042398","-0.22201602","-0.14666227"," 0.36470919"," 0.95555064"," 0.45258230"," 0.65212346","-0.32270990","-0.88504868","-0.66030275","-0.02134811"," 0.13354612"
"M1201.918T909.936","-0.1604275","-0.1386435","-0.2956764"," 0.2760670"," 1.1690062"," 0.3952316"," 0.6454606","-0.3708769","-0.5405625","-0.1847304","-0.9251568"," 0.1303086"
"M864.188T806.912","-0.58696663","-0.50071189","-0.72399634"," 0.48457690"," 1.33722229"," 0.46404101"," 0.68806977","-0.36725149","-0.08025147","-0.13028590","-0.33664125","-0.24780501"
"M865.489T1291.829","-0.55902814"," 0.10646745","-0.72669321"," 0.39631754"," 1.22263828"," 0.34973186"," 0.12245387","-0.36159673","-0.19999678","-0.27704473","-0.11264644"," 0.03939705"
"M799.191T949.166"," 0.01728416"," 0.04931706","-0.31355218"," 0.47191492"," 1.27870447"," 0.34367339"," 0.49879879","-0.74150104","-0.48284431","-0.42483027","-0.19095785","-0.50600716"
"M1263.489T907.902","-0.09815021","-0.59541770"," 0.04703888"," 0.28668461"," 1.23188727"," 0.41126759"," 0.43047949","-0.29928074","-0.09074167","-0.13311001","-0.83773712","-0.35292038"
"M451.174T880.577","-0.3797367","-0.4070671","-0.6934973"," 0.6506568"," 1.2943384"," 0.7166373"," 0.5777933","-0.4232095","-1.2661964","-0.1188226","-0.2628174"," 0.3119212"
"M405.08T802.267","-0.24102791"," 0.03883554","-0.90240900"," 0.28107828"," 1.24430978"," 0.45027263"," 0.12006753","-0.28947191","-0.35357477","-0.46821331"," 0.02030876"," 0.09982438"
"M309.119T137.634","-0.08560830","-0.01116059","-0.36332170"," 0.32564993"," 1.09670965"," 0.51525562"," 0.25292289","-0.39846183","-1.22237564","-0.29712989"," 0.09293506"," 0.09458478"
"M385.077T746.611"," 0.27221942","-0.36654904","-0.23139379"," 0.06359176"," 1.16093099"," 0.30136758"," 0.47018730","-0.22474001","-0.14509323","-0.06521956","-0.66608275","-0.56921866"
"M192.103T133.173"," 0.1565467"," 0.3111775","-0.2409228"," 0.2240694"," 0.9459343"," 0.3839541"," 0.3306805","-0.6120941"," 0.2628989","-0.2996427","-0.4944533","-0.9681485"
"M1030.642T1193.369"," 0.12432116","-1.00891587","-0.34790623"," 0.55081799"," 0.51665237"," 0.43234884"," 0.51011661","-0.34906585","-0.32923788","-0.03438852","-0.11651279"," 0.05177017"
"M723.577T942.094"," 0.2347881","-0.4721458","-0.3496481"," 0.3518751"," 1.1769497"," 0.4871989"," 0.3584418","-0.7865783"," 0.2200791","-0.5522087","-0.4336414","-0.2351103"
"M1071.439T878.893","-0.22172444","-0.52911068","-0.59510256"," 0.56441267"," 1.07307738"," 0.63249790"," 0.35279780","-0.28455473","-1.33665185","-0.09248248"," 0.05188489"," 0.38495611"
"M1069.501T1402.821","-0.11779163"," 0.10541180","-0.75415883"," 0.43087699"," 1.00790077"," 0.33109887"," 0.34045362","-0.41176915","-0.45571776","-0.76831407"," 0.22576720"," 0.06624218"
"M281.07T709.104","-0.27820874","-0.11581402","-0.08185481"," 0.24310535"," 1.05851436"," 0.61691712"," 0.58789637","-0.62532818","-0.33779148","-0.37436537","-0.44975374","-0.24331687"
"M577.137T781.037","-0.41582476","-0.33396915","-0.34413567"," 0.62000330"," 1.53175310"," 0.22135573"," 0.80607908","-0.11291241","-0.02513528","-0.63529972","-0.80378353","-0.50813069"
"M397.075T138.684","-0.216049400","-0.005930194","-0.276763484"," 0.335088566"," 1.220003382"," 0.201046798"," 0.433829319","-0.575216658","-0.710716975","-0.240450872","-0.262647551"," 0.097807070"
"M653.861T317.501","-0.69903589","-0.21151131","-0.38041097"," 0.53095013"," 0.96364302"," 0.60235226"," 0.25133760","-0.38889386","-0.57113052","-0.24084755","-0.03292081"," 0.17646790"
"M375.104T216.821","-0.28277984","-0.07572597","-0.57354935"," 0.38350384"," 1.18490458"," 0.57064422"," 0.17920818","-0.65935356","-0.71969559","-0.24603678","-0.04742124"," 0.28630152"
"M384.097T310.658","-0.09610546","-0.05106686","-0.38608671"," 0.38165952"," 1.12290013"," 0.61588976"," 0.05572015","-0.55785992","-0.53093465","-0.34897178","-0.31073488"," 0.10559071"
"M591.094T89.826","-0.4819418","-0.3357492","-0.2805089"," 0.3857775"," 1.3437815","-0.1256035"," 0.6405893","-0.4185606","-0.4099688","-0.2732912","-0.3125408"," 0.2680165"
"M351.085T316.423","-0.08343814","-0.09090747","-0.55358156"," 0.33028415"," 1.07843741"," 0.54319199"," 0.21267102","-0.51218443","-0.60182860","-0.39624594","-0.03113592"," 0.10473748"
"M460.969T105.772","-0.05464275","-0.07951147","-0.42589153"," 0.42598686"," 1.28088185"," 0.40786981"," 0.03730523","-0.74633932","-0.40021591","-0.59731820","-0.05724193"," 0.20911736"
"M241.033T103.182","-0.4718187"," 0.2139316","-0.5292477"," 0.2992885"," 1.3285755"," 0.3287870"," 0.2908860","-0.4785877","-0.2325089","-0.2763995","-0.2827519","-0.1901540"
"M665.267T889.419","-0.3573971","-0.3345237","-0.8650855"," 0.5156062"," 1.1218621"," 0.6197692"," 0.4150382","-0.5272702","-0.5233298","-0.1898033","-0.1843624"," 0.3094964"
"M969.939T315.438","-0.36261144","-0.36188201","-0.34151058"," 0.46846839"," 0.54905937"," 0.66687450"," 0.67715450","-0.22040263","-0.49623967","-0.97826346"," 0.34041636"," 0.05893667"
"M1333.355T942.499"," 0.25901491","-0.19916275","-0.73846579"," 0.44604402"," 1.20590737"," 0.24463334"," 0.50816994","-0.48443082","-0.02236376","-0.39679341","-0.40565089","-0.41690216"
"M319.083T845.914"," 0.73582224","-0.36207726"," 0.33512086"," 0.21611184"," 1.03686919"," 0.26995625","-0.05354710","-0.64334087","-0.71334161","-0.63893938","-0.08440473","-0.09822942"
"M289.065T88.687","-0.21291850","-0.19039030","-0.35281608"," 0.01798406"," 1.07502918"," 0.33675310"," 0.40875445","-1.01269472","-0.43492629","-0.09704499"," 0.17500799"," 0.28726210"
"M289.086T1163.856","-0.31325051","-0.10189629","-0.89035762"," 0.26162710"," 1.10803428"," 0.71270791"," 0.31527978","-0.41135474","-0.71438767"," 0.02490739","-0.05638194"," 0.06507231"
"M655.873T943.419","-0.13056697","-0.03409186","-0.95224455"," 0.26660070"," 1.42071491"," 0.45658476"," 0.30850918","-0.41271810","-0.36580784","-0.40232107","-0.17303703"," 0.01837787"
"M642.242T817.768","-0.3003136","-0.5439430"," 0.3263821"," 0.7526810"," 0.7219280"," 0.4220707"," 0.3512809","-0.4036748","-0.8434822","-0.5231030"," 0.1598814","-0.1197075"
"M695.12T755.765","-0.33399484","-0.84209638","-0.07804840"," 0.63478280"," 1.32792494"," 0.50093913"," 0.53200553","-0.30280385"," 0.18423032","-0.01346559","-1.69493657"," 0.08546292"
"M487.016T806.181","-0.07311003","-1.02231109","-0.39430089"," 0.61174202"," 1.18361136"," 0.44022413"," 0.34152544","-0.10682437","-0.63596561","-0.23902961","-0.26464081"," 0.15907946"
"M967.561T1349.704","-0.129450305"," 0.003397528","-0.540993790"," 0.337982819"," 1.209244200"," 0.438366914"," 0.138843757","-0.564864106","-0.699199016","-0.317479598"," 0.161498021","-0.037346425"
"M821.606T900.199","-0.48132097","-0.20522276"," 0.01002210"," 0.51395884"," 1.19187603"," 0.59403402"," 0.54416096","-0.71174814","-0.98972012","-0.63703478"," 0.08036451"," 0.09063032"
"M1095.063T894.34","-0.4507546","-0.4969644","-0.4844150"," 0.5789645"," 1.4540663"," 0.5576170"," 0.3665207","-0.2091744"," 0.0756844","-0.1308938","-0.7581316","-0.5025190"
"M279.139T1150.344","-0.829578459","-0.007484869","-0.252082454"," 1.010883859"," 1.906510709"," 1.308770398"," 0.442574303","-1.002329982","-1.003743780","-1.021830105"," 0.228152940","-0.779842561"
"M579.301T894.416","-0.05993995","-0.16515481","-0.37348563"," 0.25661687"," 1.06619466"," 0.21347795"," 0.03716452","-0.60598002","-0.47934212","-0.28678767"," 0.25003971"," 0.14719650"
