"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3"
"Label","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","Other","Other","Other","Other","Other"
"M922.15T17.56","10218.256","15959.736"," 7790.956"," 8658.319"," 7397.829"," 8928.480"," 7242.702"," 7988.798"," 7052.005","10012.209"," 8307.341"," 9551.606","10422.469"," 8102.966"," 9831.406","17222.399"," 6447.675"," 9221.749"," 9221.749"," 9731.106","10726.305"
"M922.32T11.54","6308.688","4766.256","5607.378","5659.655","5621.697","6639.664","6769.665","6527.611","6100.246","5903.658","6369.786","5849.091","6214.237","6896.971","5308.750","5887.267","5592.830","5365.904","5365.904","6142.372","5382.098"
"M922.8T18.56","12165.540","14046.012","15119.585","12578.859","14302.780","14878.529","13640.800","14300.711","12977.440","15612.698","13633.035","19827.513","12871.356","14866.466","14828.352","16084.108"," 9648.679","13939.714","13939.714","12086.150","16200.154"
"M922.81T11.54","10082.278"," 9299.816"," 8365.358"," 8551.046"," 7845.907"," 8789.325"," 5822.520"," 8658.175"," 6870.550"," 7929.718"," 8397.447"," 7889.052"," 8681.477"," 8375.050"," 7601.224"," 9388.346","10184.739","11953.754","11953.754","11343.930","10126.288"
"M923.82T13.52"," 9891.532","10477.491","11192.819"," 9965.826","11364.107","11637.336","12490.646","11171.414","20117.504","12006.760","11576.363","10633.089","11590.966","12353.722","10660.866","10846.337","10086.279"," 9452.272"," 9452.272","11835.400","13446.218"
"M924.81T18.55","30465.45","31243.45","29693.74","27151.90","28621.61","31701.32","21705.33","31368.91","28807.79","32120.07","25137.91","46764.00","32085.96","30306.65","26292.81","28946.58","18938.04","26177.04","26177.04","30507.25","31069.07"
"M925.81T17.56","15111.366"," 7016.988","14761.705","18968.378","15566.784","14494.234","16980.790","15563.035","14405.925","20302.726","17980.759","26515.111","18483.284","18417.086","17873.460","15886.648","11645.740","12853.890","12853.890","16605.668","19926.771"
"M925.82T12.55","13042.231","18220.498","11490.970"," 9544.548","12423.776","16277.291","11893.614","12656.145","15457.673","13357.954","11459.998","12017.115","12655.336","11634.800","12803.750","12572.382","12050.261","13412.116","13412.116","10968.808","12826.364"
"M926.49T14.05","6257.754","7110.649","7233.995","5161.715","6540.924","6312.393","7098.744","5498.459","6542.412","6975.262","6459.025","7038.508","7205.761","5496.945","6375.612","4969.216","7238.753","9631.939","9631.939","5636.860","7141.345"
"M926.81T18.56","12806.426","11376.946","10064.101","11628.782","11326.924","11756.148"," 9240.363","12499.243","14031.995","11293.036","12052.044","11322.353","10848.543","12097.273"," 9390.086","10195.189"," 7780.699"," 8659.902"," 8659.902","11026.982","13506.480"
"M927.48T16.56","11728.331","11628.403","11921.284","11225.105","10792.125","10951.767","10110.077"," 8324.534","10297.919","11121.709","12666.521","10837.435","10366.451","12091.235","10740.790","11560.873"," 9079.740","14440.091","14440.091","11973.814","12149.410"
"M927.81T18.56"," 9088.312"," 8048.072","10304.980"," 8296.868"," 9133.318"," 9023.562"," 7858.763"," 8217.106"," 7987.920"," 9223.588"," 8189.179"," 8214.020"," 8775.560"," 9729.979"," 8639.036","11430.188"," 6405.346"," 8457.296"," 8457.296"," 8826.400","13465.057"
"M928.81T17.56","20646.69","17097.14","18555.91","17730.09","15850.94","20211.32","19311.76","20942.69","15731.83","17496.33","15558.54","32965.62","18717.99","19275.65","16078.65","20459.19","13852.72","27961.97","27961.97","21119.17","20861.43"
"M929.16T14.49"," 9364.769"," 9283.632"," 8251.770"," 8442.725"," 8858.159"," 9245.897"," 5137.366"," 8695.915"," 8661.562"," 8166.944"," 8379.062","10222.513"," 9161.681"," 8658.555"," 8511.763"," 7112.917"," 8166.848"," 9745.290"," 9745.290"," 9107.240"," 8679.001"
"M931.15T16.07","11604.632","18888.560"," 5447.516","19732.316","18293.162","12559.485","16877.494","18374.157","11226.133","18398.852","16767.164","16548.000","18258.541","11123.270","17042.241","19752.922","15113.555","14911.117","14911.117","18224.510","18220.687"
"M931.15T13.54","11352.798","10045.077","15712.998","11080.940","10638.626"," 9307.171","17874.231"," 9312.001","10151.538"," 8953.653","10371.020"," 7866.988"," 8797.818"," 8172.444","10650.090","19721.065","10352.829"," 7803.674"," 7803.674","12427.170","12045.643"
"M931.82T12.55","15847.87","15913.60","18830.32","17992.84","15132.09","16308.12","14413.56","17081.69","14597.25","20415.06","15318.77","15976.68","20177.01","16036.76","16080.85","15674.65","16629.10","13721.04","13721.04","19927.60","16521.42"
"M933.32T17.56","12748.242","21042.940","12980.826","15528.033","13079.287","14295.125"," 9302.849","12788.618","12156.263","13594.662","13945.712","13653.170","12512.097","12901.804","15237.576","13785.232"," 8497.317","11706.298","11706.298","12503.398","14633.344"
"M933.32T12.54","10645.725"," 9284.573"," 8279.117"," 8800.322"," 7869.538","10070.114","10165.706"," 8579.529"," 9023.483","10683.956"," 8005.946","22043.934","10219.992"," 9214.016"," 9304.367"," 8459.939"," 9691.748"," 8602.291"," 8602.291","10435.212","11016.952"
"M933.83T12.55","12190.52","10998.90","13524.45","10693.42","12261.52","12546.54","12243.75","11016.76","11308.33","12040.01","12946.15","11834.58","11449.97","13763.17","11458.79","13028.06","11585.28","11447.66","11447.66","11779.23","12011.93"
"M934.15T16.56","8153.725","7580.445","6787.176","4259.045","8738.813","9832.521","7735.594","7834.452","8025.018","7912.625","7833.182","7863.646","7521.277","5404.630","7499.769","6643.836","6279.445","7143.967","7143.967","7207.558","8599.192"
"M934.8T18.56","13438.421","13157.668","14079.000","13665.669"," 9715.058","13660.921","13177.414","15066.069","11005.792","14734.070","14289.106","23645.044","16142.282","13590.650","11578.318","13839.394"," 9945.590","11839.412","11839.412","13149.330","13660.233"
"M935.81T17.56"," 9500.311"," 8901.613"," 9501.087"," 9819.370","10688.093","12037.443"," 7894.742"," 9373.292"," 7514.616"," 9125.294"," 8711.753"," 8233.642","10504.912"," 9752.003","10489.374"," 6677.974"," 6066.826","12204.956","12204.956","11265.696"," 9297.962"
"M936.15T17.56","12009.922"," 7727.112"," 5574.714"," 6063.066"," 6418.260"," 6255.073"," 5106.815"," 8952.233"," 5358.309"," 5615.281"," 5539.562"," 6378.838"," 5107.184"," 5135.845"," 6830.430"," 7069.144"," 5366.130"," 7149.288"," 7149.288"," 4928.742"," 6635.540"
"M936.8T18.56","15576.802","15907.580","15760.182","16205.868","15488.326","17769.673","11979.405","16276.058","16740.557","18011.874","15037.468","28179.952","15957.753","14914.610","14752.661","15050.615"," 9484.148","16217.821","16217.821","12569.596","16176.086"
"M936.81T11.55"," 9263.866"," 8988.886"," 8782.522"," 8170.438"," 9895.630","10872.194"," 8805.795"," 9849.502"," 8972.838"," 9841.436","10713.915","11774.406"," 9983.297"," 9333.918","10244.039"," 9874.429"," 9843.007","16025.934","16025.934","12260.672"," 8966.820"
"M937.81T17.56","15821.94","18220.50","19022.94","18307.56","17085.10","14062.39","15251.62","15722.96","20208.96","17969.70","16417.83","16819.79","17634.75","12924.66","16490.38","15875.48","10026.91","22245.38","22245.38","16631.75","14543.09"
"M937.81T12.55","10816.201","11596.686","11799.803"," 9554.516"," 9729.166","14973.824","11850.732","10747.279"," 8435.230","10500.157","10824.223","11046.278","10443.159","12643.818","10517.107"," 9999.932","10603.034","16786.208","16786.208","10003.922","14770.178"
"M938.31T16.56","3664.585","3861.550","5770.663","2896.427","3548.968","2760.791","4342.988","4829.778","4077.680","4545.584","4987.963","5264.202","3061.516","3215.948","4120.519","4099.644","4502.194","6017.000","6017.000","5510.482","6112.213"
"M940.15T17.55"," 8337.591"," 9055.084","10732.100"," 7414.718"," 7387.821"," 9739.749"," 6790.152"," 8300.075"," 6562.125"," 6755.225"," 7419.667"," 7405.548","13549.179","12605.704"," 6913.182"," 8958.796"," 5721.603"," 6175.478"," 6175.478"," 7550.584","10032.583"
"M942.81T12.55","32741.42","32298.61","32617.07","29535.69","31668.42","31022.45","32175.44","40735.09","28340.02","32296.60","32308.21","34015.40","32978.08","30665.72","31664.41","30511.12","29702.69","26933.79","26933.79","30511.26","32585.46"
"M943.31T17.56","15243.983","17999.838","12366.530","14519.303","14766.613","22890.570","13117.234","15052.032","13733.938","23496.278","22515.344","24448.918","14270.684","15193.444","15686.920","15444.194"," 9611.007","10150.342","10150.342","15937.670","13967.463"
