"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21"
"M408.91T11.54",-0.022228,-0.010868,-0.036327,-0.0088897,0.043044,0.026831,0.014922,0.0054609,-0.0062665,0.017813,0.040532,0.026588,0.00757,-0.019979,-0.0067797,-0.019599,-0.020271,0.061286,0.0059073,-0.0052295,-0.0056597
"M409.18T18.56",-0.026517,0.016213,0.011451,0.015012,0.0076752,-0.0045266,0.026254,-0.021477,0.055235,0.038906,-0.022882,-0.016903,-0.015212,-0.0031748,0.03952,0.012254,-0.021375,-0.020635,-0.055342,-0.0057155,0.0059664
"M411.2T18.56",-0.022213,0.039012,0.011158,-0.041208,0.03211,0.021036,0.0027189,0.023444,0.012071,-0.026028,-0.013192,-0.019606,0.0096486,0.013895,0.02682,0.0019777,0.00050604,0.008312,0.0071555,-0.003298,0.0016764
"M420.91T18.56",-0.047852,0.0027027,0.046436,-0.021727,-0.00063129,0.0056283,-0.041547,-0.0040495,-0.0011408,-0.040168,0.0017521,-0.005895,0.01214,0.0063219,0.0028372,-0.035557,0.029212,0.00062131,0.013586,-0.0028252,8.7844e-05
"M428.92T12.55",0.0025372,0.0065211,-0.018732,0.001335,0.017749,-0.023118,0.0047172,0.049384,0.046217,0.0083054,0.046557,-0.010152,0.034222,-0.012431,-0.0063673,0.042409,-0.0016552,-0.012804,-0.0034041,-0.0011227,0.0057054
"M428.92T17.56",-0.023475,0.021157,-0.015888,0.010545,0.005887,0.032294,0.015601,-0.040904,0.022663,-0.005825,-0.016761,0.059494,0.0014957,0.037208,0.018883,-0.02648,-0.0056925,0.034291,0.020271,-0.0035133,-0.0021301
"M468.42T1623.34",0.014091,-0.0040807,0.0081364,-0.03172,-0.0075878,0.034524,0.010126,0.02717,0.054921,0.063957,-0.044867,0.044159,0.020922,-0.010583,-0.010218,-0.044859,0.040364,-0.070416,0.0046413,-0.0017057,0.01611
"M468.91T17.56",-0.06576,0.0098895,-0.0049163,-0.039138,0.015755,-0.0021907,0.0012025,0.022457,0.013827,0.03182,0.0081832,0.011385,0.013589,-0.0060776,0.0058975,0.0018219,-0.0080449,-0.010077,0.017794,-0.0021842,0.0015909
"M480.89T18.57",-0.031358,0.03911,-0.0076894,-0.0020015,0.019839,-0.025576,0.038547,-0.02644,0.026392,0.023429,-0.013861,0.017638,0.010313,-0.011955,-0.0037929,-0.032758,-0.028962,0.017018,-0.013622,-0.011892,0.0088097
"M496.91T17.56",-0.021697,0.045094,-0.012797,0.025196,0.024821,0.012085,0.027936,0.011958,-0.0038722,0.005401,0.016675,-0.0088973,-0.019349,0.0073226,0.0094745,0.0075827,-0.0032997,0.012278,0.0093864,-0.0080539,0.00069585
"M501.91T13.55",0.0041388,-0.0018902,-0.0044396,-0.0038781,0.02027,-0.028011,-0.06336,0.0097534,-0.0042359,-0.022146,-0.052398,0.0053608,-0.031489,0.042353,0.016636,0.00026451,0.020781,0.013094,-0.023136,0.0013951,0.0024948
"M502.87T19.22",-0.024396,0.035647,-0.0038551,0.03019,0.0044185,0.011954,0.029385,0.033879,0.016193,-0.018115,0.0025016,-0.033594,-0.0065628,-0.035998,-0.020829,-0.012953,0.036603,-0.01708,0.0049946,-0.0033341,0.005608
