"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3"
"Label","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","Other","Other","Other","Other","Other"
"M250.96T20.39","18730.786","17423.888","16768.905","18238.552","16757.447","19169.156","14204.804","17090.105","17129.761","16834.897","17993.12","17403.605","17468.248","17509.798","17465.469","18224.51","16840.894","16405.073","16405.073","18019.898","18108.539"
"M256.93T20.56","6114.288","5567.051","5641.507","6730.18","7442.26","6100.246","4289.958","5067.557","6121.843","5720.206","6138.36","6068.15","6078.986","6844.253","6429.98","6461.453","4383.145","5904.748","5904.748","6980.88","6927.869"
"M274.94T20.57","14909.344","17289.405","11334.385","12978.662","13337.604","14585.438","9831.284","16218.275","15110.412","14629.445","13194.173","16039.376","15211.498","13378.691","12262.678","15638.776","9951.659","13998.478","13998.478","14581.614","15707.216"
"M277T22.59","7406.152","6542.796","6251.422","7023.515","5288.767","6541.261","5854.521","6949.4","6037.82","7471.946","5869.053","7087.198","5695.034","7870.577","6774.262","6674.856","6276.339","6670.868","6670.868","8074.15","7411.853"
"M302.93T20.57","19277.66","17416.092","19643.453","20387.23","21177.342","19609.574","15712.245","17325.511","18069.555","22463.188","20009.639","18562.671","18943.013","22100.779","18978.143","20653.776","12462.755","17969.818","17969.818","20625.692","19458.2"
"M309.13T18.56","15976.686","17176.895","15922.094","16685.712","17132.847","16680.125","15347.087","14639.814","14324.165","17057.625","14921.797","17062.58","15622.963","17510.02","14867.414","18712.479","14532.181","24267.977","24267.977","17821.304","17974.626"
"M322.92T21.56","5585.914","6859.323","5352.816","8053.801","7539.484","7304.517","5993.254","7429.871","7234.373","7696.847","7443.721","5943.778","6704.07","6413.055","6728.722","6759.052","6396.367","6244.203","6244.203","6230.636","8778.042"
"M324.92T20.56","8929.941","7367.86","6990.937","8214.448","7411.469","7978.856","5329.606","8189.054","5680.732","10137.399","5905.664","7600.734","7422.2","8075.537","7404.406","8416.882","4951.827","7290.901","7290.901","7468.338","9447.301"
"M326.38T1622.84","227302.551","183698.229","202093.578","250058.536","218937.212","220478.249","209612.814","227561.312","223119.725","230801.781","226190.773","234841.086","232553.421","273410.997","261563.142","227441.311","209904.197","253874.575","253874.575","238278.226","219486.489"
"M337.06T22.56","11955.767","11503.577","12630.343","10574.306","12848.646","11549.577","8935.492","11555.26","11239.935","10244.095","9330.051","11147.342","11496.386","10979.974","10118.264","11368.002","6911.705","9280.022","9280.022","11831.388","9885.533"
