"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3"
"Label","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","Other","Other","Other","Other","Other"
"M372.36T1624.16","-0.204292635"," 0.235578097"," 1.100828828"," 0.015036636","-0.039033676","-0.079023372","-0.198019192"," 0.264402270"," 0.250183454","-0.087084570","-0.119949867","-0.297693768","-0.008295527"," 0.216865012","-0.269997686","-0.197686436","-0.206733381"," 0.043311587"," 0.043311587","-0.050732102","-0.410975256"
"M380.92T18.56"," 0.25627938"," 0.25004528"," 0.10830754"," 0.04841828"," 0.11026753"," 0.04823766","-0.32355952"," 0.02556169"," 0.15988543"," 0.18244492"," 0.04541224"," 0.36679705"," 0.18691928","-0.26891663","-0.06298592"," 0.12858919","-0.39665314","-0.52318927","-0.52318927"," 0.06066033"," 0.12066795"
"M382.31T1622.76","-0.28846270"," 0.08372808","-0.24354452"," 0.16345037"," 0.02432129"," 0.31112087"," 0.19194198","-0.25888682"," 0.35892715"," 0.14689553","-0.32201055"," 0.14265345","-0.14703181"," 0.34924647","-0.25265665"," 0.09265352","-0.07376855","-0.07672082","-0.07672082"," 0.05900011","-0.18413558"
"M385.29T1369.89"," 0.58585881"," 0.01144195","-0.82003803","-0.11028967"," 0.65191984"," 0.43594989","-0.56806648"," 0.01715906","-0.24610013"," 0.65194187"," 0.49515936","-0.21283072","-0.12191621","-0.69250712"," 0.46956908"," 0.49325106","-0.31419343","-0.22377037","-0.22377037","-0.38480711"," 0.10603871"
"M392.9T19.57"," 0.10536081"," 0.22732675"," 0.15759232"," 0.04035332"," 0.18352102"," 0.17113331","-0.32327402","-0.10991122"," 0.20794016"," 0.15124175"," 0.01104354"," 0.22465228"," 0.17939437"," 0.19412226","-0.05960754","-0.09403387","-0.39331220","-0.41353072","-0.41353072"," 0.08217460","-0.12865619"
"M400.92T17.56"," 0.168829125","-0.037426147"," 0.308995899","-0.100750567","-0.241670962"," 0.042655258","-0.180166354","-0.148243112"," 0.004947095"," 0.083836461"," 0.059353602","-0.134551508"," 0.394011126","-0.214060355","-0.086694418","-0.171207774","-0.235771117","-0.068820960","-0.068820960"," 0.406181811"," 0.219373859"
"M408.91T18.56"," 0.149238944"," 0.193186220"," 0.075468962"," 0.079925848"," 0.119103477"," 0.192041779","-0.375117212","-0.165543275"," 0.159785475","-0.242253796","-0.002751217"," 0.236964575"," 0.053141254","-0.095386958"," 0.114492779"," 0.104752938","-0.466429948","-0.329338588","-0.329338588"," 0.208849348"," 0.319207982"
"M408.91T11.54","-0.16383788"," 0.25166047","-0.04585502","-0.13537082"," 0.06532127"," 0.06277777","-0.03107257","-0.08813627","-0.08803026"," 0.18868639"," 0.10042501"," 0.16080928","-0.10922813","-0.21106335","-0.09402488"," 0.08983722"," 0.23046904","-0.43812202","-0.43812202"," 0.11487458"," 0.57800218"
"M409.18T18.56"," 0.11550503"," 0.29398985","-0.19276228","-0.49605014","-0.16386989"," 0.05172751","-0.20226504"," 0.02556377"," 0.14582283"," 0.19061348"," 0.29450491"," 0.16138770"," 0.04018814"," 0.02826976"," 0.17358767"," 0.03521389","-0.45436884"," 0.01065993"," 0.01065993"," 0.25179437","-0.32017258"
"M411.2T18.56"," 0.26638900"," 0.03689050"," 0.06786586","-0.05186433"," 0.04459562"," 0.10367640"," 0.10614178","-0.47268866","-0.20252494","-0.15918985","-0.06656900"," 0.11841043"," 0.05664783"," 0.03556207"," 0.19191709"," 0.17891678","-0.63730707","-0.06586677","-0.06586677"," 0.32438876"," 0.19047524"
