"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5"
"M565.23T844.341",0.013502,-0.0016017,-0.019132,-0.048557,0.014951
"M293.118T1042.937",0.06038,-0.00011375,0.037636,0.03104,0.11951
"M483.209T897.853",0.036787,-0.0151,0.029207,-0.0020846,-0.026756
"M1094.047T894.516",-0.041944,0.0030115,-0.0012044,-0.020959,-0.025935
"M317.087T121.975",0.019054,-0.029782,0.012052,-0.05017,0.01855
"M909.388T926.435",0.047797,-0.075621,0.0046755,0.015687,0.027586
"M549.258T834.983",0.059131,-0.058413,0.019006,0.043253,0.015967
"M415.744T872.34",0.019588,-0.051406,0.049016,-0.017341,0.0033804
"M451.125T735.96",0.038139,-0.017616,-0.018358,0.026457,0.030215
"M361.481T320.767",0.023784,-0.017515,0.0058613,-0.032486,0.05234
"M409.075T744.412",0.019628,0.012669,0.035944,-0.031204,0.0038012
"M457.136T788.61",0.030944,-0.05064,0.0060181,0.038267,-0.020811
"M311.138T170.155",0.024181,-0.018199,0.017491,-0.043652,-0.0073915
"M593.763T756.056",-0.032622,0.034362,-0.035336,0.027784,-0.028504
"M392.068T765.784",-0.010083,-0.013815,0.027516,-0.051333,0.024406
"M433.661T789.942",0.018847,-0.036084,0.017358,-0.044435,0.0082306
"M919.493T1102.884",0.0127,0.0084127,0.034896,-0.071933,-0.049997
"M437.044T765.875",0.013257,-0.044733,0.017077,-0.036467,0.05202
"M715.427T310.719",0.03001,0.033853,0.015898,-0.025091,0.040625
"M1095.84T892.791",0.02436,0.088296,0.044871,0.0051481,0.043772
"M485.168T916.74",0.025215,-0.041606,0.01336,-0.03473,0.030462
"M313.119T883.187",0.059266,-0.056201,-0.0069243,0.066118,0.015877
"M433.039T456.919",0.092127,0.050543,-0.0033116,0.075708,0.029422
"M447.259T942.596",0.0097418,-0.00508,-0.01338,-0.038593,0.042862
"M355.067T660.488",0.012346,-0.010333,-0.028701,-0.011703,-0.039901
"M1134.038T907.684",-0.053916,-0.023137,0.0020774,-0.017198,-0.051072
"M819.254T316.358",0.030205,-0.030558,-0.035983,-0.015206,0.01589
"M383.609T322.831",0.021127,0.0090663,0.024242,-0.042788,0.017822
"M341.31T626.276",0.05586,0.022011,-0.052867,-0.00026003,0.019045
"M579.151T798.32",-0.022298,-0.0059426,-0.011267,0.028274,0.02475
"M784.154T761.471",0.0068875,-0.029625,0.016662,-0.029323,-0.0040558
"M323.187T1016.246",0.018543,0.0063585,0.061909,-0.055318,-0.04166
"M1099.581T1224.487",0.014166,-0.045266,0.011141,-0.02739,-0.0221
"M206.988T126.118",0.011499,-0.014767,0.044648,-0.042423,0.028595
"M685.228T857.881",0.017394,-0.047244,-0.050639,0.028628,-0.018217
"M441.162T763.637",-0.010206,-0.070304,0.00050743,0.0031802,0.011876
"M963.275T732.778",0.011124,-0.034752,0.023619,0.0058898,-0.03001
"M991.316T318.206",0.029402,-0.033062,-0.0070458,-0.0093312,0.042519
"M867.206T809.129",0.016412,-0.025912,0.019945,-0.014465,0.086015
"M403.064T798.991",-0.028393,0.045077,-0.028215,-0.016731,0.014147
"M836.522T1479.692",0.013758,0.0030775,0.050039,-0.042432,-0.042344
"M399.275T1363.391",0.034005,0.008716,0.018964,-0.037997,-0.0064304
"M548.179T817.387",0.038128,-0.026537,-0.0094434,0.058499,-0.031012
"M524.183T892.811",0.030145,-0.037067,0.015142,-0.012089,-0.017128
"M518.153T824.178",0.050252,-0.015151,0.0068396,-0.029151,0.035229
"M1096.548T894.929",-0.037983,-0.0133,-0.0020588,-0.013154,-0.047053
"M999.268T316.316",0.027489,-0.020046,-0.023197,-0.036608,0.00066047
"M266.366T1577.236",0.011477,-0.015308,0.017952,-0.061604,0.016177
"M836.743T1479.398",0.028975,0.00026628,0.058719,-0.022451,-0.0076018
"M252.965T98.618",-0.022997,-0.031513,0.019896,0.041651,0.04121
"M529.154T821.794",0.042541,-0.019146,0.017603,-0.0043197,0.023771
"M487.212T857.117",0.040278,0.0088131,0.044838,-0.014025,-0.02338
"M1323.386T316.247",0.028333,-0.049593,-0.027225,-0.02059,0.033146
"M501.206T823.684",0.042531,-0.083824,0.0078154,0.021809,-0.00055649
"M438.049T766.588",0.015574,-0.007713,0.065086,-0.039105,0.017583
"M1013.583T1347.533",0.024906,-0.027857,0.025265,-0.028827,-0.0052863
"M407.045T415.442",0.055411,0.025772,-0.025763,-0.002004,0.0060953
"M331.068T223.104",0.013771,-0.033816,-0.027577,-0.015083,-0.033943
"M384.092T841.195",0.059798,0.042819,0.0027015,-0.02509,0.035072
"M1611.697T937.933",0.035657,-0.06821,0.041807,-0.068831,0.087939
"M653.913T316.046",0.033919,-0.013569,-0.0051141,-0.055026,-0.015513
"M969.317T316.321",0.024962,-0.04347,-0.044102,-0.020262,0.038588
"M311.104T1075.82",0.029078,-0.05171,0.076263,-0.019739,0.03696
"M380.071T778.258",0.072082,0.014058,-0.031051,0.033033,0.0011926
"M638.078T817.768",0.013811,-0.073067,0.012538,0.0016593,-0.014466
