"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"M405.167T106.416",0.93536,0.91213,0.91167,0.91165,0.91165
"M1192.04T901.764",0.9353,0.92982,0.93292,0.93293,0.93293
"M714.253T913.384",0.93262,0.92757,0.92748,0.92747,0.92747
"M417.177T763.775",0.93251,0.89796,0.89942,0.8994,0.8994
"M333.083T110.42",0.93176,0.89667,0.89629,0.89628,0.89628
"M329.089T195.942",0.9282,0.89457,0.89615,0.89615,0.89615
"M709.31T874.193",0.92683,0.90637,0.90581,0.9058,0.9058
"M408.822T1801.685",0.92483,0.88433,0.88491,0.8849,0.8849
"M489.058T766.222",0.92105,0.88739,0.88698,0.88696,0.88696
"M1143.444T941.11",0.92092,0.98787,0.98734,0.98732,0.98732
"M413.108T298.268",0.91996,0.88017,0.88099,0.88101,0.88101
"M1095.01T894.541",0.91564,0.95035,0.95011,0.95009,0.95009
"M1162.522T896.44",0.91515,0.89197,0.89157,0.89158,0.89158
"M399.165T851.906",0.91346,0.90458,0.90451,0.90449,0.90449
"M567.778T908.116",0.91248,0.87465,0.87412,0.8741,0.87411
"M545.846T78.22",0.91136,0.88281,0.88232,0.88235,0.88235
"M401.144T790.222",0.90955,0.88786,0.88739,0.88737,0.88737
"M1007.203T89.251",0.90952,0.87506,0.87614,0.87612,0.87612
"M989.364T928.413",0.90737,1.0698,1.0691,1.0691,1.0691
"M471.152T726.342",0.905,0.92081,0.92124,0.92122,0.92122
"M494.168T786.301",0.90304,1.0314,1.0312,1.0312,1.0312
"M562.892T1151.046",0.90274,0.86447,0.86393,0.86395,0.86395
"M665.182T815.828",0.9016,0.97217,0.97156,0.97154,0.97154
"M1162.945T896.606",0.89979,0.96972,0.96911,0.96913,0.96913
"M328.886T98.013",0.89978,0.8937,0.89315,0.89324,0.89324
"M420.95T86.132",0.89953,0.86234,0.86204,0.8621,0.8621
"M911.26T1004.032",0.89906,1.0223,1.0217,1.0217,1.0217
"M265.093T134.502",0.89715,0.86558,0.86522,0.86521,0.86521
"M644.248T900.496",0.89493,0.86785,0.8673,0.86733,0.86733
"M369.388T763.979",0.8947,0.86856,0.87094,0.87093,0.87093
"M289.886T1868.955",0.89394,0.85586,0.85532,0.85536,0.85536
"M1390.547T1005.094",0.88737,0.92149,0.92095,0.92094,0.92094
"M799.852T67.938",0.88612,0.96309,0.96255,0.96253,0.96253
"M653.913T316.046",0.8836,0.854,0.85363,0.85367,0.85367
"M708.241T861.396",0.88262,0.84607,0.84621,0.84626,0.84626
"M647.193T836.421",0.88243,0.89829,0.89777,0.89775,0.89775
"M998.841T1404.514",0.88239,0.88732,0.88683,0.88685,0.88685
"M240.933T64.89",0.8817,0.87186,0.87249,0.87249,0.87249
"M238.892T97.993",0.88093,0.85865,0.85813,0.85813,0.85813
"M395.189T761.387",0.88075,0.85625,0.85574,0.85577,0.85577
"M427.038T293.27",0.87914,0.88878,0.88988,0.88987,0.88987
"M501.195T803.697",0.87666,0.93254,0.93226,0.93225,0.93225
"M688.263T861.089",0.87659,0.86988,0.86961,0.86964,0.86964
"M286.972T107.919",0.87614,0.83757,0.83708,0.8371,0.8371
"M455.081T704.884",0.87507,0.83866,0.83816,0.83814,0.83814
"M340.859T1719.351",0.87454,0.84075,0.84023,0.84025,0.84025
"M951.343T881.927",0.86937,0.86869,0.86817,0.86822,0.86822
"M548.979T106.308",0.86923,0.83596,0.83546,0.8355,0.8355
"M609.054T106.871",0.8691,0.84378,0.84413,0.84412,0.84412
"M569.35T895.921",0.86724,0.83461,0.83411,0.83411,0.83411
"M323.042T818.446",0.86557,0.89397,0.89367,0.89367,0.89367
"M429.25T1071.941",0.86405,0.82796,0.82765,0.82765,0.82765
"M549.205T845.853",0.86351,0.86218,0.86198,0.862,0.862
"M811.459T986.188",0.85523,0.92154,0.92158,0.92161,0.92161
"M1036.399T977.849",0.85445,0.90639,0.90675,0.90682,0.90682
"M389.108T489.956",0.85302,1.1475,1.1473,1.1473,1.1473
"M366.994T111.318",0.85124,0.81456,0.81537,0.81536,0.81536
"M836.743T1479.398",0.85079,0.8145,0.8158,0.8158,0.8158
"M387.02T108.554",0.85019,0.8283,0.82795,0.82796,0.82796
"M1093.54T895.081",0.84524,0.80949,0.80914,0.80912,0.80912
"M664.226T813.714",0.84502,0.81595,0.8156,0.81568,0.81568
"M481.183T807.444",0.84423,0.87342,0.87309,0.87307,0.87307
"M455.193T892.238",0.84285,0.86416,0.86368,0.86367,0.86367
"M642.242T817.768",0.8424,0.80595,0.80594,0.80601,0.80601
"M397.075T138.684",0.84123,0.82126,0.82081,0.82079,0.82079
"M265.148T1629.604",0.83906,0.81555,0.81596,0.81612,0.81612
"M524.981T106.871",0.838,0.88679,0.88744,0.88743,0.88743
"M483.178T941.182",0.83756,0.80219,0.80192,0.80204,0.80204
"M418.894T1736.453",0.83618,0.8018,0.80262,0.80261,0.80261
"M967.407T978.889",0.83566,0.912,0.91178,0.91183,0.91183
"M699.004T983.059",0.83367,0.82545,0.82896,0.82894,0.82894
"M595.261T805.416",0.82176,1.0005,0.9999,0.9999,0.9999
"M751.173T317.266",0.81926,0.78487,0.78438,0.78438,0.78438
"M449.205T834.832",0.81481,1.0234,1.023,1.023,1.023
"M863.184T809.21",0.81449,0.79622,0.79601,0.79601,0.79601
"M289.084T863.831",0.81401,0.82336,0.82316,0.82315,0.82315
"M570.518T894.146",0.81325,0.7775,0.77754,0.77759,0.77759
"M861.166T878.352",0.80655,0.87823,0.87856,0.87854,0.87854
"M281.07T709.104",0.80586,0.80027,0.79978,0.79977,0.79977
