"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X52.D12.4.neg"
"Label","Control","Control","Control","Drought","Drought","Drought"
"M530.968T106.005"," 0.0007402939","-0.1588721420","-0.0175560498"," 0.5399030098"," 0.0516682524","-0.4158833643"
"M1009.607T1323.757","-0.08255492","-0.16841201"," 0.20961260"," 0.09700372"," 0.50434502","-0.55999440"
"M653.717T312.26"," 0.03603691"," 0.04529117"," 0.42483686"," 0.36397313","-0.52006140","-0.35007668"
"M1031.899T1225.646"," 0.14821044","-0.09761973"," 0.03326574"," 0.23039393"," 0.29857348","-0.61282386"
"M297.119T136.686"," 0.06287464","-0.35905399"," 0.01677557"," 0.24074587"," 0.51247947","-0.47382155"
"M769.419T945.253"," 0.1370852","-0.6326381","-0.3250083"," 0.1675899"," 0.2749139"," 0.3780573"
"M1201.918T909.936","-0.1698458","-0.4934615"," 0.1851636"," 0.2315127"," 0.2730582","-0.0264271"
"M864.188T806.912"," 0.04810513"," 0.49357384"," 0.41591262","-0.29292697","-0.15904620","-0.50561842"
"M865.489T1291.829","-0.03364242"," 0.18140180"," 0.07887258","-0.29636824"," 0.58921972","-0.51948343"
"M799.191T949.166","-0.58192723","-0.22816344","-0.14881788"," 0.45586027"," 0.49967154"," 0.00337673"
"M1263.489T907.902","-0.16220538"," 0.16199510"," 0.09612813"," 0.15047758","-0.62258788"," 0.37619246"
"M451.174T880.577"," 0.1683222","-0.9679272"," 0.5786007"," 0.2269186"," 0.1900803","-0.1959946"
"M405.08T802.267"," 0.10478244"," 0.02065174","-0.12980367"," 0.16836194"," 0.53566398","-0.69965643"
"M309.119T137.634","-0.002424184","-0.945071547"," 0.113510624"," 0.355514421"," 0.440690725"," 0.037779962"
"M385.077T746.611","-0.14801185","-0.02765052"," 0.09305369"," 0.60298771","-0.36231207","-0.15806696"
"M1030.642T1193.369","-0.027317171","-0.005535516"," 0.318365832"," 0.492713441","-0.752183290","-0.026043295"
"M429.414T851.13"," 0.4400450","-0.9356818"," 0.1027404"," 0.3512519"," 0.2446826","-0.2030381"
"M723.577T942.094","-0.58081431"," 0.58321025","-0.30980650"," 0.60021863","-0.21722770","-0.07558036"
"M1071.439T878.893"," 0.27260809","-0.99993736"," 0.50492568"," 0.34860336","-0.02319023","-0.10300954"
"M1069.501T1402.821","-0.01402575","-0.06819577","-0.45349461"," 0.34832401"," 0.62343931","-0.43604719"
"M281.07T709.104","-0.52159833","-0.05741337","-0.11645644"," 0.03877405"," 0.30093601"," 0.35575808"
"M577.137T781.037"," 0.35096433"," 0.50631772","-0.57358898","-0.18514865","-0.04027554","-0.05826887"
"M397.075T138.684","-0.33584654","-0.52729876"," 0.13715350"," 0.17163103"," 0.46851439"," 0.08584638"
"M653.861T317.501"," 0.04346147","-0.25642215"," 0.28708240","-0.46689971"," 0.33535731"," 0.05742069"
"M375.104T216.821","-0.3414591","-0.4298278"," 0.2638280"," 0.2100191"," 0.5132419","-0.2158020"
"M384.097T310.658","-0.35155717","-0.31028602","-0.03137273"," 0.35622161"," 0.42525692","-0.08826261"
"M351.085T316.423","-0.20402046","-0.33545270","-0.03403667"," 0.42458804"," 0.41363684","-0.26471506"
"M460.969T105.772","-0.51080974","-0.02287861","-0.30073425"," 0.46427685"," 0.42921934","-0.05907359"
"M665.267T889.419","-0.09683278","-0.09058123"," 0.43856009"," 0.17267176"," 0.20896046","-0.63277830"
"M969.939T315.438"," 0.33911849","-0.05104555","-0.73285519"," 0.13796797"," 0.13899973"," 0.16781456"
"M289.065T88.687","-0.7889919","-0.0645272"," 0.3591426"," 0.2138487"," 0.2420968"," 0.0384309"
"M289.086T1163.856","-0.01304602","-0.39693691"," 0.53962348"," 0.11123526"," 0.37898491","-0.61986073"
"M655.873T943.419","-0.04038911"," 0.02327630","-0.02627853"," 0.34253919"," 0.47347275","-0.77262061"
"M642.242T817.768","-0.02591198","-0.53651912","-0.16456554"," 0.09408827","-0.18876034"," 0.82166870"
"M695.12T755.765","-0.1056582"," 0.6113023"," 0.3202752","-0.1515743","-0.8995481"," 0.2252031"
"M487.016T806.181"," 0.38945118","-0.28598376"," 0.22069465"," 0.43248665","-0.77914364"," 0.02249493"
"M967.561T1349.704","-0.26315621","-0.44911733"," 0.07930058"," 0.33959135"," 0.52349390","-0.23011230"
"M821.606T900.199","-0.27882788","-0.64923912","-0.17926869"," 0.02822757"," 0.39614191"," 0.68296620"
"M1095.063T894.34"," 0.1216949"," 0.5928361"," 0.2511669","-0.2778657","-0.3542941","-0.3335381"
"M279.139T1150.344","-0.4751457","-0.4772705","-0.5044522","-0.2155195"," 1.0199954"," 0.6523925"
"M579.301T894.416","-0.41302755","-0.22456278"," 0.06200019"," 0.39959902"," 0.24301639","-0.06702526"
"M593.947T757.746","-0.22766648"," 0.66214501","-0.08274117"," 0.19464667","-0.88691245"," 0.34052843"
"M367.102T765.544"," 0.1280595","-0.1602019"," 0.2796338"," 0.1510834"," 0.2336812","-0.6322560"
"M585.15T892.945","-0.36446558","-0.47418193","-0.06452741"," 0.48589481"," 0.52195178","-0.10467166"
"M988.312T316.465","-0.07901428","-0.48620772"," 0.16505028"," 0.65665197","-0.15692168","-0.09955856"
"M735.437T1351.512","-0.2291851"," 0.1352316"," 0.1445704","-0.1404069"," 0.6120374","-0.5222475"
"M851.154T319.552","-0.28146715","-0.16756775","-0.07638097"," 0.35269528"," 0.47239283","-0.29967223"
"M265.093T134.502","-0.21486359","-0.50396894","-0.05541492"," 0.31473599"," 0.46864094","-0.00912948"
"M575.708T1045.732","-0.2740655"," 0.1859055","-0.4354733"," 0.4285528"," 0.4810759","-0.3859954"
"M657.063T941.851","-0.10856124"," 0.58122551","-0.55915344","-0.05897618"," 0.37829218","-0.23282684"
"M632.663T319.55"," 0.20096523","-0.41229535"," 0.43624541","-0.29621434"," 0.13698139","-0.06568234"
"M809.433T1339.33"," 0.15610044","-0.08915950","-0.22175613"," 0.05619918"," 0.51544219","-0.41682618"
"M654.008T318.692"," 0.1988668","-0.6222058"," 0.1779707"," 0.2157769"," 0.2980632","-0.2684718"
"M923.402T931.508","-0.4083601347","-1.0923140765","-0.0001208814"," 0.5722490884"," 0.3208596103"," 0.6076863939"
"M428.2T856.891","-0.18247640","-0.69917358"," 0.27865381"," 0.05607524"," 0.29627780"," 0.25064313"
"M281.069T746.743","-0.2614478","-0.3466327","-0.2496731"," 0.5408369"," 0.4722661","-0.1553495"
"M703.247T844.715"," 0.05868354","-0.62751301"," 0.19429972","-0.15851902"," 0.29770491"," 0.23534387"
"M590.015T907.684","-0.1397625"," 0.5966265"," 0.1592901","-0.1669211"," 0.1096254","-0.5588584"
"M455.081T704.884","-0.45328998","-0.26915048","-0.03275135"," 0.10875781"," 0.42668229"," 0.21975172"
"M970.813T317.253","-0.107615780","-0.528991768"," 0.086432288"," 0.793535050","-0.003478184","-0.239881605"
"M997.575T1403.78","-0.40201340","-0.15181395","-0.06118923"," 0.16114789"," 0.63272685","-0.17885816"
"M1053.286T316.584","-0.02699806","-0.59067301"," 0.06537666"," 0.58139967"," 0.13092295","-0.16002820"
"M1163.085T907.707"," 0.20020872"," 0.80102246"," 0.32364882","-0.07176661","-1.20955839","-0.04355500"
"M421.636T753.774","-0.008741658","-0.024975971","-0.633573862"," 0.655021289","-0.170111203"," 0.182381405"
"M709.31T874.193","-0.36711865","-0.53920863"," 0.10646269"," 0.41413158"," 0.40918275","-0.02344973"
"M361.589T316.501","-0.01905869","-0.19296326","-0.12172252"," 0.38516512"," 0.43575787","-0.48717852"
"M517.099T802.454"," 0.10397755"," 0.17926811"," 0.37383772","-0.07842705","-0.34940757","-0.22924876"
"M982.374T904.236"," 0.06218701","-0.75107118"," 0.20729700"," 0.12282429"," 0.28643086"," 0.07233202"
"M383.433T314.152","-0.31970825"," 0.14791187","-0.03520036"," 0.43589004"," 0.18655424","-0.41544754"
"M362.298T315.255","-0.34057527","-0.09541495"," 0.21530240"," 0.31688276"," 0.26445105","-0.36064599"
"M481.183T769.795","-0.7818596","-0.1777777","-0.3900544"," 0.3069719"," 0.7995534"," 0.2431663"
"M407.173T414.983","-1.1166912","-0.4953621","-0.2218820"," 0.9203291"," 0.1063341"," 0.8072721"
"M1297.451T316.098"," 0.08207616","-0.78539811"," 0.38262498"," 0.61822343","-0.25462098","-0.04290548"
"M727.283T864.823","-0.01368238","-0.40463125"," 0.42503691"," 0.03491836","-0.17258628"," 0.13094465"
"M847.495T1389.03","-0.32111429"," 0.09997725"," 0.07031516","-0.13240875"," 0.61260328","-0.32937266"
"M1031.84T1213.333","-0.36091740"," 0.05462979"," 0.03575989"," 0.23384413"," 0.37249906","-0.33581547"
"M937.515T1306.76","-0.01103269","-0.32812436"," 0.25546703","-0.15427169"," 0.62256984","-0.38460813"
"M570.518T894.146","-0.207296836"," 0.576527696"," 0.332609119","-0.007958692","-0.209852043","-0.484029244"
"M1162.717T895.445"," 0.2290772"," 0.5102424"," 0.1283648"," 0.1214483","-0.3208882","-0.6682444"
"M289.446T802.654"," 0.33320602"," 0.60982545","-0.02414409"," 0.25832626","-0.55597616","-0.62123748"
"M970.001T316.098"," 0.17267113"," 0.05374568","-0.14741138","-0.40142059"," 0.11173233"," 0.21068283"
"M647.193T836.421"," 0.059142326","-0.822400477"," 0.001716171"," 0.404223372"," 0.257860802"," 0.099457806"
"M968.365T965.957"," 0.15733890","-1.17310321"," 0.15164924","-0.05876192"," 0.36238045"," 0.56049653"
"M863.184T809.21","-0.1838424"," 0.6789519"," 0.2078040","-0.3191770","-0.2451233","-0.1386132"
"M565.23T844.341","-0.34610744","-0.01167498"," 0.04653130"," 0.49653726"," 0.03792794","-0.22321408"
"M293.118T1042.937"," 0.4083915","-0.9416507","-0.9650730"," 0.9077027"," 0.4045466"," 0.1860829"
"M483.209T897.853","-0.26168329","-0.56839871","-0.01501858"," 0.11947748"," 0.58802959"," 0.13759351"
"M1094.047T894.516"," 0.05244984"," 0.64315786"," 0.32091766","-0.42703167","-0.24352941","-0.34596427"
"M317.087T121.975","-0.1775004","-0.2965336"," 0.1411418"," 0.4727788"," 0.3005013","-0.4403879"
"M909.388T926.435"," 0.173407687","-1.245140866"," 0.239520907"," 0.520373836"," 0.306538676"," 0.005299761"
"M549.258T834.983"," 0.164045541","-1.357216048","-0.003087575"," 0.384939082"," 0.479743561"," 0.331575439"
"M415.744T872.34"," 0.1207416","-0.5850701"," 0.1976851"," 0.1235041"," 0.5387483","-0.3956089"
"M451.125T735.96"," 0.02408209","-0.72167291","-0.15172027"," 0.45949119"," 0.04167068"," 0.34814921"
"M361.481T320.767","-0.02016383","-0.34174446","-0.14151852"," 0.62777416"," 0.17272946","-0.29707680"
"M409.075T744.412","-0.23944860","-0.05213415","-0.25936209"," 0.22063135"," 0.48799666","-0.15768317"
"M457.136T788.61"," 0.09965506","-0.90327671"," 0.26896261","-0.00284503"," 0.25747631"," 0.28002776"
"M311.138T170.155","-0.3301680","-0.2879415"," 0.1044087"," 0.3353572"," 0.4377323","-0.2593886"
"M593.763T756.056"," 0.01921968"," 0.59349320"," 0.04384249","-0.46752271","-0.50891037"," 0.31987771"
"M392.068T765.784"," 0.04070554"," 0.19205570"," 0.06937323"," 0.17669424"," 0.16483020","-0.64365891"
"M433.661T789.942","-0.1531995","-0.3584028"," 0.2096130"," 0.3740642"," 0.3500609","-0.4221358"
"M919.493T1102.884","-0.65484694"," 0.17441954"," 0.12278350"," 0.07228992"," 0.64735208","-0.36199810"
"M437.044T765.875"," 0.1711989","-0.4001809"," 0.1022887"," 0.5130795"," 0.1707784","-0.5571647"
"M715.427T310.719","-0.24820029","-0.05899383","-0.58620558"," 0.54428481"," 0.32468980"," 0.02442509"
"M1095.84T892.791","-0.1489888"," 0.3050219","-1.1725315"," 0.2528281"," 0.4310301"," 0.3326402"
"M485.168T916.74","-0.03151696","-0.52468196"," 0.12391661"," 0.51861285"," 0.29427400","-0.38060454"
"M313.119T883.187"," 0.2033226","-1.4186795"," 0.0148720"," 0.3694441"," 0.2412737"," 0.5897671"
"M433.039T456.919","-0.3195862","-1.0767184","-1.0950601"," 0.6653257"," 0.5110978"," 1.3149412"
"M447.259T942.596","-0.10119636","-0.03938996","-0.06626784"," 0.53942850","-0.04445843","-0.28811591"
"M355.067T660.488","-0.38874625","-0.16848722"," 0.31505970"," 0.06748001"," 0.01544951"," 0.15924425"
"M1134.038T907.684"," 0.1519607"," 0.5960601"," 0.6786440","-0.6916608","-0.2691296","-0.4658744"
"M819.254T316.358","-0.21805541","-0.55794497"," 0.19092054"," 0.56920517","-0.02990541"," 0.04578008"
"M383.609T322.831","-0.26875893","-0.06022637","-0.23644628"," 0.40239918"," 0.40286860","-0.23983620"
"M341.31T626.276","-0.56026438","-0.54103834","-0.34446267"," 0.80345605"," 0.03080703"," 0.61150232"
"M579.151T798.32"," 0.425157617"," 0.128981714"," 0.021316238","-0.172751804","-0.393239860","-0.009463905"
"M784.154T761.471","-0.06769277","-0.20651647"," 0.23504088"," 0.12906065"," 0.24610910","-0.33600139"
"M323.187T1016.246","-0.4783563159"," 0.0153028007","-0.0414718034","-0.0007269832"," 0.8365548439","-0.3313025421"
"M1099.581T1224.487","-0.1516709","-0.4142157"," 0.4215032"," 0.1185855"," 0.3035435","-0.2777455"
"M206.988T126.118"," 0.006727748","-0.127267104","-0.109909438"," 0.300245778"," 0.439126286","-0.508923270"
"M685.228T857.881","-0.0234837","-0.6593545"," 0.4898565"," 0.1246550","-0.2561911"," 0.3245178"
"M441.162T763.637"," 0.42033164","-0.41465339"," 0.56214167","-0.03444198","-0.13545141","-0.39792654"
"M963.275T732.778"," 0.01316776","-0.41544761"," 0.27664815","-0.15135108"," 0.32067873","-0.04369595"
"M991.316T318.206"," 0.041663884","-0.605864373","-0.002913877"," 0.571206536"," 0.095106377","-0.099198546"
"M867.206T809.129"," 0.36645299","-0.39378977","-0.26521405"," 0.60110675"," 0.08834316","-0.39689907"
"M403.064T798.991","-0.07543998"," 0.75958572","-0.17915865","-0.02877716","-0.43081642","-0.04539351"
"M836.522T1479.692","-0.398195983"," 0.008177821"," 0.021534630","-0.066896489"," 0.682605450","-0.247225429"
"M399.275T1363.391","-0.46532946","-0.23194776","-0.18009811"," 0.39478905"," 0.52184850","-0.03926222"
"M548.179T817.387","-0.02807432","-0.87847009"," 0.09165856","-0.03368929"," 0.19126084"," 0.65731430"
"M524.183T892.811","-0.17999627","-0.61398198"," 0.21790710"," 0.20740686"," 0.42132826","-0.05266397"
"M518.153T824.178","-0.28199362","-0.66528176","-0.21595229"," 0.76899395"," 0.43580253","-0.04156882"
"M1096.548T894.929"," 0.0269303"," 0.4518421"," 0.5143569","-0.5279049","-0.1842975","-0.2809269"
"M999.268T316.316","-0.39089909","-0.36370870"," 0.18496402"," 0.51753299"," 0.12955744","-0.07744666"
"M266.366T1577.236","-0.23475196","-0.05070431"," 0.07114192"," 0.41839310"," 0.31571912","-0.51979788"
"M836.743T1479.398","-0.1980232","-0.2955710","-0.2406414"," 0.1326779"," 0.7397699","-0.1382121"
"M252.965T98.618"," 0.77277913","-0.11633852"," 0.03731657","-0.25920187","-0.24716156","-0.18739374"
"M529.154T821.794","-0.09571324","-0.68371246","-0.18346390"," 0.48559394"," 0.42544144"," 0.05185422"
"M487.212T857.117","-0.3827257","-0.3953831","-0.2664584"," 0.1648900"," 0.7551944"," 0.1244827"
"M1323.386T316.247","-0.05318854","-0.66724862"," 0.26404187"," 0.63950843","-0.01799919","-0.16511396"
"M501.206T823.684"," 0.15330243","-1.24995662"," 0.42890323"," 0.28852118"," 0.34238810"," 0.03684168"
"M438.049T766.588","-0.0233515","-0.1377445","-0.2100967"," 0.1934638"," 0.6457776","-0.4680487"
"M1013.583T1347.533","-0.1834969","-0.4255786"," 0.1167193"," 0.2593744"," 0.4609452","-0.2279635"
"M407.045T415.442","-0.5619857","-0.5011258","-0.4000412"," 0.6452256"," 0.2641627"," 0.5537645"
"M331.068T223.104","-0.29584677","-0.35361195"," 0.47847701"," 0.12897866"," 0.02178868"," 0.02021438"
"M384.092T841.195","-0.5653957","-0.3651945","-0.7275641"," 0.8395650"," 0.4904260"," 0.3281632"
"M1611.697T937.933"," 0.16301645","-0.76642702"," 0.02622202"," 0.97833910"," 0.51090246","-0.91205301"
"M653.913T316.046","-0.5872215","-0.3275660"," 0.1522314"," 0.5156168"," 0.3985539","-0.1516146"
"M969.317T316.321","-0.07465712","-0.57824856"," 0.25853793"," 0.69169981","-0.18305935","-0.11427272"
"M311.104T1075.82"," 0.2791727","-0.7203661","-0.0682136"," 0.3018413"," 0.7372784","-0.5297127"
"M380.071T778.258","-0.4841321","-0.9236138","-0.4115737"," 0.6352084"," 0.2966513"," 0.8874599"
"M638.078T817.768"," 0.1584216","-0.7264247"," 0.5550151"," 0.0214473"," 0.2214166","-0.2298758"
"M651.317T893.83","-0.1622289","-0.1277774"," 0.1900092"," 0.2300609"," 0.3965739","-0.5266378"
"M1167.557T907.179","-0.5160483"," 0.2115004"," 0.4357783"," 0.3234103","-0.1983595","-0.2562813"
"M221.066T891.624","-0.1256333","-0.4118227"," 0.1074023"," 0.1991969","-0.3582795"," 0.5891364"
"M204.085T413.719","-0.9669094","-0.9682200","-0.9849870"," 1.3057632"," 0.7665833"," 0.8477698"
"M621.125T857.148","-0.51910983"," 0.06914275"," 0.83831185","-0.06912563","-0.41583769"," 0.09661856"
"M1009.554T1308.282","-0.13285027","-0.01268314","-0.01113007"," 0.16702204"," 0.47577353","-0.48613210"
"M483.178T941.182","-0.8399703","-0.1224301"," 0.2395806"," 0.4489586"," 0.5025096","-0.2286484"
"M1057.411T880.24"," 0.3737328","-0.9684027"," 0.1797901"," 0.2007886"," 0.0772016"," 0.1368897"
"M469.208T948.545"," 0.21281202","-0.70395266","-0.37232238","-0.07493795"," 0.65784518"," 0.28055578"
"M673.289T892.945","-0.18261734","-0.40136519"," 0.33194327"," 0.03515199"," 0.61656612","-0.39967883"
"M833.365T968.818","-0.04641528","-0.79070011"," 0.63150794","-0.31165313"," 0.42743440"," 0.08982618"
"M893.38T934.735"," 0.04202538","-1.30437426","-0.04721933"," 0.44649766"," 0.35432924"," 0.50874130"
"M393.176T847.594","-0.2287407","-0.4772836"," 0.2287907"," 0.2758915"," 0.3803725","-0.1790304"
"M981.364T901.259"," 0.02785017","-0.75794913"," 0.41479957"," 0.05841479","-0.04537403"," 0.30225862"
"M653.935T315.929","-0.2115533","-0.5070690"," 0.1214008"," 0.4741321"," 0.3421127","-0.2190232"
"M865.491T1326.551","-0.04173843","-0.09389528"," 0.22913306","-0.02113711"," 0.50805437","-0.58041661"
"M449.202T630.506"," 0.007605681","-0.395497897","-0.018963770"," 0.148785120"," 0.375264300","-0.117193435"
"M437.065T776.272"," 0.12747640"," 0.06962707"," 0.23198295"," 0.22573408","-0.47974830","-0.17507220"
"M268.959T125.12","-0.02402281","-0.35096841"," 0.32017622"," 0.23462899"," 0.27257673","-0.45239072"
"M551.272T837.928"," 0.06362533","-0.91406620","-0.09431263"," 0.21269155"," 0.37373578"," 0.35832618"
"M456.197T892.811","-0.34237520","-0.55043456"," 0.23938785"," 0.22253760"," 0.41210438"," 0.01877992"
"M356.995T88.504","-0.12725714","-0.47331669","-0.53015003"," 0.72363156"," 0.38303424"," 0.02405805"
"M391.157T830.263"," 0.2635943","-1.6220383"," 0.2635288"," 0.3640925"," 0.5654965"," 0.1653263"
