"","PC1","PC2","PC3","PC4","PC5","PC6"
"M380.071T778.258",0.06797,-0.0437,-0.027813,-0.0043228,0.0044373,-0.0043762
"M638.078T817.768",0.020171,0.067504,-0.019631,0.0041108,-0.013041,-0.0022708
"M651.317T893.83",0.010922,0.037715,0.045449,-0.0061359,-0.010663,0.00013461
"M1167.557T907.179",-0.0020545,0.0073876,0.025314,-0.063286,-0.058038,-0.000165
"M221.066T891.624",0.019295,-0.018671,-0.053772,-0.030795,-0.013573,-0.0052857
"M204.085T413.719",0.10086,-0.077237,0.03391,-0.018139,0.024834,0.015343
"M621.125T857.148",-0.0072211,0.01282,-0.024236,-0.051013,-0.10144,-0.010329
"M1009.554T1308.282",0.0084518,0.02481,0.052624,0.0091734,0.00082635,-0.000901
"M483.178T941.182",0.029856,0.0074399,0.058457,-0.023471,-0.067384,-0.0099571
"M1057.411T880.24",0.032534,0.043673,-0.047289,0.0017914,0.033605,-0.002059
"M469.208T948.545",0.0356,0.0069305,-0.010952,0.072764,0.040116,0.0080596
"M673.289T892.945",0.020848,0.050353,0.031985,0.023818,-0.028497,0.0041531
"M833.365T968.818",0.025422,0.056502,-0.032774,0.043656,-0.051529,-0.0030119
"M893.38T934.735",0.063759,0.019707,-0.046276,0.010512,0.026543,0.019006
"M393.176T847.594",0.02784,0.032088,0.01698,-0.0042209,-0.018611,0.00084883
"M981.364T901.259",0.026103,0.029456,-0.051817,-0.0061857,-0.019664,-0.0099789
"M653.935T315.929",0.032032,0.029036,0.022643,-0.019319,-0.0021351,-0.00046191
"M865.491T1326.551",0.004153,0.046893,0.044074,0.020309,-0.012007,0.0077524
"M449.202T630.506",0.021258,0.021958,0.011832,0.015594,0.011275,0.00093486
"M437.065T776.272",-0.01137,0.013104,-0.012364,-0.056267,0.006841,0.010679
"M268.959T125.12",0.014337,0.049654,0.022022,-0.012638,-0.005978,0.014669
"M551.272T837.928",0.044755,0.013898,-0.029195,0.025488,0.021474,0.0071935
"M456.197T892.811",0.033596,0.023078,0.0074976,0.0036386,-0.032866,-0.0085152
