"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Second-tp_Control","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M1096.195T893.605","-0.60677475","-0.06706815"," 0.25437229","-0.62529355","-0.42716341","-0.74033966"," 0.88707944"," 1.03987702"," 0.88960453"," 0.19064108","-0.66621407","-0.12872077"
"M180.067T785.272","-0.3988655","-0.8736142","-0.4664695"," 0.2076406"," 0.1432703","-0.2646284"," 0.4430926"," 1.1532776"," 0.7683440"," 0.7450777","-0.4053828","-1.0517424"
"M849.51T1359.918","-0.380359255","-0.189842482","-0.290505073","-0.371184406"," 0.235912585","-0.763353281"," 0.394141281"," 1.209205161"," 0.166498406"," 0.068223885"," 0.008573444","-0.087310266"
"M633.053T106.254","-0.55906227","-0.50118096","-0.36920767","-0.04270731","-0.01339235","-0.40020680"," 0.19902041"," 1.00814650"," 0.42368926"," 0.36600435"," 0.01832078","-0.12942393"
"M1014.89T1344.191","-0.30426227","-0.77211590","-0.20145509","-0.06525218","-0.11652383","-0.65949339"," 0.51982316"," 1.14803065"," 0.44070144","-0.06335702"," 0.02808850"," 0.04581593"
"M473.173T806.642","-0.437328440","-0.426007724","-0.350790968","-0.274103967"," 0.238852968","-0.819179961"," 0.640358555"," 0.759717377"," 0.434309162"," 0.789117197","-0.562000255"," 0.007056055"
"M1269.507T907.7","-0.2227304130"," 0.2100289906","-0.0009465094","-0.3245943755","-0.3313972180","-0.9006577442"," 0.4196443928"," 1.3065356939"," 0.4163008944"," 0.3727305631","-0.5993368928","-0.3455773819"
"M985.574T1225.672","-0.22632970","-0.74529450","-0.18064109","-0.15138719"," 0.01109007","-0.69383700"," 0.17068462"," 0.86751701"," 0.54654724"," 0.22460832"," 0.15011127"," 0.02693094"
"M1030.586T1195.906","-0.391756081","-0.422544331","-0.210683103","-0.223138597","-0.009789078","-0.572016356"," 0.380231666"," 1.115453316"," 0.320175604"," 0.032012823","-0.023999403"," 0.006053540"
"M1097.549T894.492","-0.37284488","-0.03987385","-0.51697238","-0.24722577","-0.32374777","-0.40660396"," 0.39845740"," 1.41053932"," 0.44672289"," 0.50374567","-0.59177613","-0.26042054"
"M901.267T743.636","-0.11880331","-0.06342359","-0.19146990","-0.41010425"," 0.08669109","-0.34651882"," 0.43591573"," 1.40675187"," 0.31064195"," 0.39964149","-1.47713287","-0.03218940"
"M779.462T1401.836","-0.30254040"," 0.07088233","-0.30771632","-0.49942504"," 0.26897654","-0.73832149"," 0.21613920"," 1.49296600"," 0.06303931"," 0.28978051","-0.29145049","-0.26233016"
"M917.503T1359.918","-0.35216507","-0.37109846","-0.30962047","-0.43414896"," 0.15321211","-0.77635258"," 0.36557844"," 1.28646093"," 0.25074071"," 0.13621796"," 0.07166963","-0.02049425"
"M851.912T1326.892","-0.08877970","-0.16440335","-0.26094582","-0.13277279","-0.05037853","-0.57624995"," 0.21745241"," 1.12008231"," 0.40273554"," 0.19392980","-0.62385238","-0.03681753"
"M705.267T1050.095","-0.36938573","-0.41698303","-0.09620677"," 0.24493142"," 0.30541375","-0.39540039"," 0.34866496"," 0.69207484","-0.15425042","-0.37147651"," 0.49298753","-0.28036967"
"M983.568T1252.43","-0.24041359","-0.42105950","-0.44972485","-0.39006324","-0.48573576","-0.50435021"," 0.80535665"," 1.38699504"," 0.39247935"," 0.17805883","-0.30464775"," 0.03310505"
"M457.19T799.683","-0.36134010","-0.48144932","-0.24335874","-0.29686428","-0.16848614","-0.82181273"," 0.20593428"," 1.11966168"," 0.64410606"," 0.49502679","-0.03030987","-0.06110763"
"M846.46T1187.467","-0.41298162"," 0.09956636","-0.28262141","-0.33928331"," 0.38843291","-0.92994274"," 0.31067336"," 1.26137631"," 0.02002244"," 0.09623951","-0.11972718","-0.09175463"
"M821.506T1329.663","-0.2717532","-0.5795198","-0.2513395","-0.5088193","-0.2397190","-0.7665223"," 0.6731204"," 1.2696422"," 0.3970045"," 0.2465824","-0.1391646"," 0.1704883"
"M347.184T1141.626","-0.32552661","-0.25151592","-0.07713668"," 0.18147153"," 0.26843130","-1.31030455"," 0.33928231"," 1.09211507"," 0.56197172","-0.08437155","-0.20328119","-0.19113542"
