"","X16.C9.3.neg","X19.C9.2.neg","X21.C9.4.neg","X45.C9.1.neg","X13.D9.4.neg","X20.D9.1.neg","X49.D9.2.neg","X48.D9.3.neg","X26.F9.1.neg","X34.F9.2.neg","X36.F9.3.neg","X46.F9.4.neg","X14.X9.2.neg","X23.X9.1.neg","X27.X9.3.neg","X40.X9.4.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X44.D12.1.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X09.X12.3.neg","X32.X12.2.neg","X41.X12.1.neg","X15.C15.4.neg","X31.C15.3.neg","X47.C15.1.neg","X50.C15.2.neg","X04.D15.4.neg","X06.D15.2.neg","X35.D15.1.neg","X37.D15.3.neg","X17.F15.3.neg","X25.F15.1.neg","X30.F15.2.neg","X51.F15.4.neg","X08.X15.4.neg","X11.X15.3.neg","X29.X15.1.neg","X42.X15.2.neg"
"M631.151T795.429","4149.2003","4816.9516","3880.0765","3564.2208","4891.1291","4900.7866","5345.3903","7978.6592","4172.9019","112.87544","3637.0267","112.87544","4477.4378","4910.6987","4808.2969","4344.2308","564.3772","5781.437","6858.8086","7473.2216","8774.127","5405.0908","8134.4864","3782.2141","9904.448","112.87544","7509.7691","6218.1618","6405.0185","6321.6216","6464.7123","112.87544","7371.7108","13254.7363","12328.5605","8155.0101","8606.6307","10076.6985","112.87544","4150","112.87544","112.87544","112.87544","112.87544","1427.5934","3545.8842","9033.4403","8062.5182","7515.1229","112.87544"
"M757.441T1176.453","16175.957","13755.5364","23948.864","10750.686","3787.8649","6434.0742","9099.5075","33255.6427","7888.4611","98.67982","5108.6762","98.67982","9414.5333","17460.8813","7606.5283","11345.6941","98.67982","7785.5575","9466.5997","16648.731","15834.8994","15999.7379","6306.3429","6424.2897","7364.4812","98.67982","9290.1025","14375.4","10234.1232","7302.7997","18034.4621","98.67982","9220.993","8761.4365","10198.7314","12898.5564","5903.0211","12154.7053","98.67982","1960","493.3991","98.67982","98.67982","98.67982","2420.5378","5663.8766","13351.6088","1673.5157","2518.5071","98.67982"
"M881.515T1351.787","13781.762","9551.1885","15018.7398","13369.2347","11229.1862","11877.9176","13198.4018","15420.6683","5968.4047","192.9285","4953.6554","129","6075.0997","16836.7295","9255.9907","10059.7059","756.8807","6674.1144","10406.8105","8267.5326","9063.4097","11624.2264","10161.5365","8733.3806","9050.9379","25.8","10541.2193","10906.8216","8818.7974","9832.08","14844.9287","25.8","12194.5114","13381.044","11936.9361","11329.9649","11266.8776","10424.7458","424.6745","6190","483.168","417.4503","1023.1523","586.1182","6171.2021","11034.9705","7961.5305","5026.2128","5518.4826","308"
"M967.577T1245.908","20771.8298","13176.8286","20323.4967","27538.4006","15659.2079","20243.8195","21025.1827","32675.5614","12519.3436","299.5467","12881.7568","369","21895.6934","23740.8115","16515.0403","22004.6088","49.75536","18412.6268","18135.7323","19849.9848","24385.6992","26227.0399","23284.3673","19152.1118","31278.8043","775.4291","22603.7255","19138.8859","13450.2847","15305.8848","17563.9196","49.75536","27958.0966","15979.0408","22004.6308","18673.849","22843.7157","21563.4853","49.75536","9700","49.75536","248.7768","563.7285","49.75536","8234.4261","17869.6111","21015.5445","14497.984","10344.5225","49.75536"
"M511.24T944.134","32302.8151","29660.6059","37747.8933","35895.0156","28837.071","28100.2524","23901.5313","34724.9665","10847.5029","58.2","27145.3205","58.2","25643.4109","30516.1838","37080.825","45903.4195","58.2","30310.4466","22963.2916","22348.8064","24041.2917","23298.2399","39467.8223","24487.2196","35644.3567","58.2","34855.9237","26346.6644","26361.9751","41936.2581","36087.08","58.2","51755.9307","34204.7132","18352.2405","23239.5249","21894.9974","22698.5708","58.2","23100","58.2","304.1578","58.2","373.5014","2464.3923","16667.4896","22953.2489","22863.3204","19205.2113","291"
"M557.187T899.436","5158.2437","2442.6713","3877.124","10347.5357","3431.9121","6054.6144","11712.9183","4130.559","3951.5977","180.41734","3353.9873","180.41734","5075.4684","6010.5368","12959.3628","6624.982","180.41734","4704.1154","4722.3411","5883.2034","6502.0812","4464.9253","4205.3902","6476.0402","6576.7821","180.41734","8816.36","3991.7726","2555.9935","3561.0242","3869.874","180.41734","16238.831","6306.588","4270.9682","4134.1273","6401.1343","3968.9951","180.41734","180.41734","180.41734","180.41734","180.41734","180.41734","902.0867","2040.8181","2473.345","3806.6041","3020.3023","180.41734"
"M1029.931T1194.947","14842.4659","5938.2987","11884.979","6247.4442","12749.8777","8178.1722","7818.6268","9129.016","5644.8561","29.85128","8103.5475","29.85128","11522.9541","10819.7172","8000.3389","10755.9814","263.0065","6668.8841","8349.8191","6904.1733","10005.7998","6191.3117","9811.8572","7041.3153","5353.3932","29.85128","2751.4281","5629.1455","4884.7068","4276.9219","10975.2618","29.85128","8373.1081","10493.9472","10242.4288","9400.9242","6928.6715","7121.28","149.2564","2630","29.85128","29.85128","29.85128","216.176","3586.1903","4374.1287","7581.9446","2712.624","3269.2278","174"
"M563.252T904.514","23761.2535","16329.5316","26609.2784","19190.6418","17916.2443","13382.045","18105.7733","16536.18","12376.8426","45","13122.208","732","21855.5984","19934.3181","25448.0605","23436.9951","45","17019.8391","18311.6119","25109.7934","19193.9179","19936.908","26090.3528","22931.6016","20049.6345","689.16206","37468.8456","12298.4804","9560.0805","15423.6768","18494.139","225","32415.1469","16345.2069","15571.2179","15538.3321","21198.8528","33595.8755","45","10900","838.7645","45","305.6166","45","15881.6707","12486.5143","19886.7215","15597.9954","15060.1705","249"
"M337.092T724.593","24998.643","3818.6988","25560.7565","13358.8738","35379.1526","14056.328","11801.112","20860.3044","6015.249","201.944","16538.286","28.76468","17698.9212","15153.5032","15558.6515","19695.7187","28.76468","10940.2677","12691.8458","13902.3671","16086.1912","10602.1645","10279.3317","9240.5761","13128.3055","28.76468","5266.7604","15819.3416","24115.042","10964.2431","14776.214","28.76468","17945.0563","27849.8135","10589.04","4552.66","9722.1978","6214.5804","28.76468","4320","28.76468","28.76468","186.1589","28.76468","143.8234","6816.6799","6890.9268","3641.1377","4031.7646","28.76468"
"M758.447T1173.243","10128.7862","7526.1492","10155.2731","7131.4923","2680.0343","3694.2936","5964.0752","11663.2087","2110.6035","446.4124","3577.3346","386","7541.4038","8446.887","4351.7864","8082.646","400.8869","3905.1947","5698.8146","7765.3444","6969.8965","7979.8204","6176.5764","4389.6078","8975.8233","948.27561","5979.408","9336.3817","8553.5546","4893.8414","10497.7268","228","6220.0514","8578.6643","5783.7314","7541.0858","5112.3475","6877.775","207.5777","3640","41.51554","213.155","41.51554","455.3174","3139.7695","4511.7201","7221.8628","1331.052","2361.8104","444"
"M852.114T1329.753","9586.362","7201.5529","7533.2249","8393.1094","3150.6425","3252.283","7500.4332","7823.442","3970.9135","31.6","4472.5282","31.6","3710.0986","8522.737","5083.1086","5783.989","31.6","6473.8599","3445.3125","5244.0476","8563.2425","8432.7539","5740.8576","5303.4923","9474.237","31.6","7658.9026","7973.1438","5313.9591","4837.1677","5593.7447","223","8272.1829","5189.7776","8011.021","5260.6071","6416.4895","5386.0022","217.5411","3030","217.5447","31.6","31.6","31.6","3143.6233","5181.9922","5233.5443","1293.5599","1526.5529","158"
"M854.516T1290.85","11118.5096","4944.0835","9890.3593","12438.4883","9155.4547","11265.8242","9256.541","23143.5353","10274.1268","172.4675","8298.339","34.4935","12115.1725","14886.6597","11549.1897","15959.1647","34.4935","10729.8306","10716.4135","11887.1425","10652.1187","11247.9577","12254.8289","12359.4125","11068.8567","277.58637","14054.9176","14807.034","9505.9905","9660.4676","11716.9908","34.4935","6326.649","12855.1496","9230.7219","8640.7476","8415.0976","7342.1588","210.863","8580","34.4935","34.4935","34.4935","34.4935","962.9084","7247.7875","7984.2048","8812.9419","11145.7824","218"
"M1013.86T1346.532","13341.0121","8820.1763","9006.2291","11208.8021","7619.6361","12513.2113","13412.4431","14530.537","9223.2373","24.48504","6103.7631","263","13558.6084","17303.0931","14450.5549","12976.1667","24.48504","12161.6337","13633.6387","12431.3422","13557.4861","9744.9439","12630.434","11947.0697","15009.2396","997.41797","13897.7766","17322.0249","12872.4715","11065.1606","13889.8695","24.48504","13456.5735","12174.7846","10729.7132","12562.2075","12451.7296","15671.4475","122.4252","11600","24.48504","359.0251","24.48504","317.818","5014.5508","9005.516","10454.2959","6669.3292","9980.1117","24.48504"
"M852.067T1329.714","14077.7908","13818.0844","14264.837","15039.9879","7619.0346","10858.4718","14618.554","11680.0731","12043.9838","27.572456","9480.0939","27.572456","10401.5384","15378.7289","9917.8473","10941.911","27.572456","11360.51","10767.1259","11377.4975","16697.5651","16231.3426","15535.3317","9096.9318","21098.443","137.86228","12759.047","13315.8089","8573.0963","9229.9549","10429.3951","367","7701.5748","10283.7641","14825.6987","12349.6527","14648.0642","15443.0145","219.4208","7050","197.1582","27.572456","187.3975","27.572456","8256.7677","11576.4822","16058.2602","2819.2845","4026.2827","198"
"M627.643T1193.32","14747.8217","17609.5449","11235.1465","12920.9695","14261.6069","10922.8762","15097.9081","7514.7986","7121.9139","33.51626","14426.2599","33.51626","12495.4719","11438.7668","12259.3705","14404.1488","167.5813","14579.0942","14048.7504","10501.5304","10195.8319","11340.9382","15995.1621","9012.107","3494.53","33.51626","3873.3003","9497.4291","6278.1324","5769.3131","9717.0238","33.51626","9644.2722","13496.5983","11755.2067","14238.4899","8606.5416","15219.5483","33.51626","3250","33.51626","33.51626","33.51626","33.51626","9798.8285","8468.3757","11429.1356","3476.0599","8476.657","33.51626"
"M941.508T1318.851","7178.2417","8843.8648","8607.7396","9434.5876","6718.269","5346.8567","6357.6346","6245.97","6296.0696","38.05312","3688.8326","38.05312","6823.4588","7030.4416","5849.9688","6090.5158","190.2656","4939.0235","5506.8065","6300.0452","4876.8567","7171.3564","7844.9553","4142.6594","7354.4037","477.2467","6998.6446","6579.4997","5987.9729","5062.274","6728.4056","38.05312","7337.4545","5644.1179","7801.3971","6821.6978","6918.595","7549.1807","38.05312","2930","38.05312","38.05312","38.05312","38.05312","5213.9579","5820.875","8434.1181","2713.2902","2065.7333","38.05312"
"M701.418T1268.098","8259.1722","9402.4262","9419.2748","7961.0359","3130.2465","5375.8969","7206.8634","9522.9022","4483.4227","34.82812","3601.6726","34.82812","4802.1331","8104.1245","4448.6648","5207.1126","260.7227","6983.6711","5507.2707","3591.5378","6348.7894","7784.5992","4812.7782","3169.0862","8069.7583","34.82812","4227.4983","6802.9922","6359.0933","5134.9375","6123.8818","34.82812","5006.7945","3903.8724","7128.4567","5473.0575","4574.7167","5624.7081","34.82812","1570","174.1406","34.82812","574.5597","34.82812","4257.7229","3298.1323","11471.5992","1370.3317","767.2486","34.82812"
"M1013.583T1248.821","206928.2065","136233.5157","192202.8585","280337.4407","174809.518","223629.2015","235924.5572","285087.7623","180940.9985","295.9676","111004.0215","591","222759.4291","224130.6904","197733.0971","221951.0911","1159.0233","188467.1124","178155.0664","196744.6011","207468.5238","245476.0096","252699.5625","180754.5813","296671.1317","766.26085","226625.9156","188394.0866","141337.508","144958.1355","165748.8654","494","281773.5814","154745.3907","222596.201","192385.3536","230375.4125","210688.9857","59.19352","92300","402.0391","595.5447","355.1345","698.8673","82644.2185","181647.8463","201996.5097","150201.4762","97145.549","394"
"M968.577T1247.645","7240.6641","1057.7031","5389.376","9540.7906","5485.7826","7537.764","6465.9188","10653.1425","4967.1807","211.54062","4023.3252","211.54062","6426.7621","7678.7927","6146.6377","7620.0191","211.54062","6147.2236","4967.0947","5802.1594","7167.5525","8012.8488","7734.2265","6508.6031","9271.2163","211.54062","6841.4707","6398.0436","4183.9726","4680.609","3788.3193","211.54062","9247.854","6140.5338","7303.0782","6669.1859","7453.6809","6130.5783","211.54062","3190","211.54062","211.54062","211.54062","211.54062","2959.0806","5338.4707","5991.1476","5484.9377","2743.4862","211.54062"
"M559.618T1204.987","6919.1082","5106.8418","8003.9924","2479.6833","4413.8008","3723.1934","4905.4382","3100.1871","895.6025","44.6","5084.2509","44.6","5488.7456","9323.3102","13536.4536","3296.813","44.6","4293.7897","7925.2249","1030.1191","9176.7561","5711.7266","4652.3183","2554.8152","7598.1732","44.6","5122.5352","2617.0621","1863.8447","721.9647","4318.8396","44.6","7615.0936","6539.0709","5364.9871","6844.7593","7514.1709","5595.5566","44.6","223","44.6","44.6","44.6","44.6","4503.4061","661.2301","4193.5061","825.3429","2148.9169","44.6"
"M923.451T1327.672","21259.6301","27813.3198","26789.2514","28486.6929","13393.4036","18696.2789","23070.1946","30564.065","21258.9097","485.6249","13089.7222","23.30626","16662.0096","26536.3245","15043.6686","19019.5068","895.3641","21073.9225","17834.5279","17202.5271","19705.946","23475.3767","24153.117","18247.79","32339.5133","428.49088","17154.0365","22502.182","13554.695","17709.9864","21440.5121","1070","21136.0077","17610.407","27702.9715","23282.8687","22179.5803","23339.6457","116.5313","8280","218.8239","326.1957","534.0966","369.2711","12306.8195","16375.3675","26488.231","8877.395","7620.3203","170"
"M917.49T1360.024","6906.616","15482.4064","13781.8784","13928.7694","7288.9845","10388.7604","12563.3937","28453.398","11631.092","360.0787","7101.9937","161","9961.8111","14855.9992","8923.4497","11055.4145","383.7283","9496.2613","10595.5575","6722.2047","11802.8634","14990.6054","12885.1542","7519.1827","15508.7939","837.88037","8923.0191","11620.0726","12255.166","8764.6676","10900.4469","291","11088.0143","10846.8234","13852.1812","6683.3244","11780.359","11640.2744","142.9443","5060","189.8727","194.2965","215.21","699.9932","5846.8457","8315.063","8656.5701","3205.8123","3702.2422","301"
"M875.467T1241.171","13261.875","3003.0875","12948.2063","11226.3123","6868.0422","11896.4034","12792.6411","24230.3659","9746.0261","47.8","3866.111","47.8","8472.7412","14835.0986","11043.8525","10072.1558","47.8","11570.9075","10302.6886","11809.9936","11113.6146","10302.0996","12619.3316","6600.0097","9915.0243","47.8","10989.5116","16713.569","9612.056","13638.5471","14165.4445","239","6892.1086","12853.3573","10616.3463","8431.2018","6698.8244","8235.0337","47.8","5970","47.8","323.2682","47.8","47.8","4264.8739","10044.4203","8604.5815","6935.7336","6342.0494","47.8"
"M1085.513T1348.399","9996.97","6442.6909","10236.6371","10307.3534","11755.0933","11732.7347","11834.1094","14423.3705","11252.2379","347.0825","5512.8942","27.02122","12159.5969","14358.3249","11605.6018","12094.3723","27.02122","10019.3071","10053.1647","10238.0499","8168.5287","8196.433","13642.6838","9760.329","11754.2471","495.29995","12328.5413","10821.3322","9236.5337","12155.7813","10609.9625","172","16637.7843","13513.9376","9339.239","11381.2761","10037.8304","10021.7835","135.1061","7280","27.02122","27.02122","27.02122","27.02122","4038.7536","11136.8832","9093.6964","7850.1097","8906.9594","27.02122"
"M466.978T106.664","7119.3486","9274.6333","8650.3191","16558.0509","7442.6055","6531.074","14838.2086","7980.8145","8009.8767","31.07834","5382.225","301","9857.8237","5664.9812","11035.4976","11276.3194","386.6858","6136.5184","6861.4595","7071.7962","6277.7143","7144.4957","10682.69","7371.0075","7954.392","31.07834","10603.4923","6055.5164","5602.4466","6763.8393","7886.0581","31.07834","5925.4991","4177.7098","8506.4503","8936.4775","10733.368","19010.0911","31.07834","4420","31.07834","183.226","155.3917","438.0733","13963.5699","7532.0946","3819.7051","2341.7309","3461.8952","31.07834"
"M851.519T1328.051","243185.8611","297775.3854","281735.5994","291787.6664","118399.8018","196855.0733","232236.7351","356162.8547","207888.6521","748.0146","122929.5869","40.58528","175313.8956","281671.6458","172631.6485","199029.9037","569.7796","187861.4877","184731.6809","207667.3221","268131.6867","295029.225","242325.7827","165258.5972","342185.453","288.76559","196405.1114","227108.7236","174393.0783","141284.1019","199184.8108","665","260098.7793","172723.405","312567.684","245750.7573","231310.6148","239831.5817","40.58528","70800","202.9264","374.6438","204.6025","40.58528","106827.0785","164552.2133","308031.2278","54342.4556","52438.0282","253"
"M861.451T1062.153","5469.1464","5216.9936","9008.1234","5339.7369","3108.8838","6815.4941","6045.8159","12330.5737","5569.3477","49.76702","2128.2581","411","3991.9021","4965.461","4214.6721","7482.8186","573.7393","6050.5399","5669.7535","6998.9776","5228.6812","9303.7843","7101.4746","5795.1937","7829.4106","49.76702","7197.363","7494.024","7112.9423","3494.7773","7241.278","686","3100.0785","3139.4401","5372.3115","3628.6743","5345.9703","4947.2893","360.8971","3860","383.1888","486.201","384.9468","248.8351","1469.0717","2771.2375","3223.6176","4212.806","2502.6624","49.76702"
"M559.975T1203.448","10180.3496","98933.6656","10703.2692","4649.1058","14745.9375","5558.6562","3882.1084","2200.802","2659.8158","90.4","5453.3051","452","13178.6451","10001.7484","18164.5378","4407.767","90.4","5597.8326","10963.7049","3821.9746","8810.3572","3268.0901","1916.5786","3322.3575","10319.5416","90.4","4504.7896","2664.8438","4002.9423","2676.3564","3458.875","90.4","5036.5234","11731.457","3544.2093","21205.275","8371.5322","7454.9155","90.4","544","90.4","90.4","90.4","90.4","2171.9249","2610.8163","9527.6769","553.7382","1558.009","90.4"
"M545.297T1155.639","7737.108","7207.5827","5545.1582","6863.3223","5490.8187","3245.5291","4775.5208","4218.808","2205.874","45.39308","3572.7979","45.39308","6048.0371","2012.0692","4998.4325","4332.687","289.1235","6842.482","4956.8878","9858.4233","4485.0505","4711.4198","5252.0091","3943.8719","5130.7385","45.39308","8573.1331","1626.6734","1559.8496","2532.3242","5165.8229","558","10942.4052","6388.6093","5851.1503","8493.1622","4704.1057","9477.3499","45.39308","1370","45.39308","45.39308","45.39308","226.9654","3980.4362","3548.5549","6089.7549","2767.496","2613.6797","45.39308"
"M1059.606T1053.565","6407.3416","2238.4711","5834.3491","9460.2667","1231.8734","3043.6037","2507.5037","1304.334","685.4797","1276.4438","2993.3787","214","1979.0229","3267.2516","4499.707","1038.6874","38.72364","38.72364","3006.6253","4342.4866","3958.7889","3791.8835","3366.2329","4893.7613","7158.8005","38.72364","2999.9348","1306.9666","38.72364","342.1971","790.7898","38.72364","8266.4246","4742.0458","3599.9282","3227.6188","2684.4279","8245.7192","38.72364","586","38.72364","38.72364","38.72364","356.1115","38.72364","38.72364","4812.6377","193.6182","38.72364","38.72364"
"M1096.195T893.605","3625.501","2544.4748","7865.7681","10038.1118","3715.2414","10219.7191","6225.4889","8774.1322","4659.3471","446.7498","5621.4488","89.34996","3400.4824","7147.6266","3921.1859","4797.6503","89.34996","3723.9379","7149.2126","5862.9362","2513.4492","5689.227","9631.8526","1639.0263","2181.2892","89.34996","2613.0774","9882.1105","4306.1879","8686.1647","4313.4593","89.34996","1667.4749","3088.8891","4628.2476","2587.8832","3001.0751","3018.7122","89.34996","4640","581.4036","89.34996","89.34996","89.34996","1629.5322","1554.6571","2053.9365","3119.3074","6018.8937","89.34996"
"M180.067T785.272","1278.5556","78.92884","1509.7696","661.4128","1270.9441","1444.2172","2350.874","3510.7905","1226.51","78.92884","2604.5846","78.92884","1297.2562","1174.4075","2695.0012","3042.5164","78.92884","1384.7323","3197.1367","4247.2808","1858.8432","878.5188","1747.083","3260.813","2906.7412","78.92884","2924.2183","2920.9951","3117.2353","4283.7624","5880.7434","78.92884","1334.9368","394.6442","805.3213","1520.7213","541.5055","1437.3535","78.92884","1310","78.92884","78.92884","78.92884","78.92884","78.92884","78.92884","1340.5853","2499.7832","2424.3858","78.92884"
"M849.51T1359.918","72257.9285","89235.4606","83508.3476","80180.8784","37192.7505","58499.2306","67931.1126","99779.7103","64748.6147","530.434","34538.9531","30.77068","55537.2407","87833.8359","52096.8144","61431.1128","2190.6176","50308.4045","49878.4483","56004.2368","65415.0784","81558.3697","75824.2768","44326.455","87454.2712","2076.51434","53740.4262","65436.7562","57378.3403","44196.6199","56278.0582","508","73966.1045","54622.3385","79507.8858","71164.5887","59593.2467","57451.4288","153.8534","19400","486.2039","3283.6091","1823.7366","784.8512","30363.9621","49165.5273","74188.9887","15018.4327","16058.2986","648"
"M633.053T106.254","3047.8931","4810.7783","4284.1526","4539.7717","4803.4381","3904.3735","6288.7956","5576.3029","3734.9633","174.449","3652.3766","31.0334","4438.9005","4091.585","4058.5072","4603.7242","177.6171","3219.3368","3991.8705","4322.7298","3863.0476","4116.4514","4924.8634","4434.4085","4513.3214","31.0334","5795.4326","3517.2431","2826.4654","3891.4317","5219.824","31.0334","5113.2161","3611.8039","4459.8299","4047.7073","4555.2054","11157.3248","31.0334","2110","31.0334","31.0334","31.0334","155.167","3830.4551","3164.3246","3465.4591","2397.9028","3463.4158","31.0334"
