"","X16.C9.3.neg","X19.C9.2.neg","X21.C9.4.neg","X45.C9.1.neg","X13.D9.4.neg","X20.D9.1.neg","X49.D9.2.neg","X48.D9.3.neg","X26.F9.1.neg","X34.F9.2.neg","X36.F9.3.neg","X46.F9.4.neg","X14.X9.2.neg","X23.X9.1.neg","X27.X9.3.neg","X40.X9.4.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X44.D12.1.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X09.X12.3.neg","X32.X12.2.neg","X41.X12.1.neg","X15.C15.4.neg","X31.C15.3.neg","X47.C15.1.neg","X50.C15.2.neg","X04.D15.4.neg","X06.D15.2.neg","X35.D15.1.neg","X37.D15.3.neg","X17.F15.3.neg","X25.F15.1.neg","X30.F15.2.neg","X51.F15.4.neg","X08.X15.4.neg","X11.X15.3.neg","X29.X15.1.neg","X42.X15.2.neg"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Third-tp_Control","Third-tp_Control","Third-tp_Control","Third-tp_Control","Third-tp_Drought","Third-tp_Drought","Third-tp_Drought","Third-tp_Drought","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Xanthomonas","Third-tp_Xanthomonas","Third-tp_Xanthomonas","Third-tp_Xanthomonas"
"M485.127T895.658"," 4079.3095"," 2787.0204","14310.9200"," 6576.1767"," 3262.0547"," 9606.5817"," 5520.4801"," 4422.1800"," 8248.6172","    0.0000"," 5013.8613","    0.0000"," 4101.0332"," 5432.4617"," 4079.6223"," 7494.1152","    0.0000"," 4885.2992"," 5082.9707"," 4882.4279"," 4241.8154","11701.9760"," 2617.2211"," 3729.0580"," 5365.1330","    0.0000"," 4107.5671"," 5285.0973"," 8988.5893"," 4769.2395"," 2864.2744","    0.0000"," 3375.6954"," 2717.9972"," 5254.7058"," 5101.9147"," 3694.4813"," 4528.7267","    0.0000"," 2790.0000","    0.0000","  208.9948","    0.0000","  222.1775"," 3531.1959"," 2339.2290","12218.7227","  986.0986"," 3050.9399","    0.0000"
"M419.115T799.29"," 3930.3201"," 2276.5139"," 6924.1285"," 4697.5663"," 3954.5449"," 5656.3228"," 6906.7023"," 8610.3292"," 2765.9259","    0.0000"," 4213.4892","    0.0000"," 3213.7173"," 6186.8350"," 7897.0591"," 4534.0562","    0.0000"," 5080.9603"," 6317.6474"," 4924.9495"," 5526.8862"," 6684.8951"," 5989.0779"," 4572.6380"," 5984.0884","    0.0000"," 8843.9581"," 7958.0942"," 5620.8371"," 5091.1421","10143.0931","    0.0000"," 4425.4913"," 5904.3342"," 5414.8581"," 2629.0769"," 5844.9186"," 9706.5363","    0.0000"," 6150.0000","    0.0000","    0.0000","  323.8117","    0.0000"," 2314.1274"," 3621.0924"," 4856.4549"," 8470.6283"," 6259.0354","    0.0000"
"M1071.041T895.445"," 2109.2050","  668.9870"," 9639.4246","13126.5281"," 2890.2125"," 8480.1993"," 7984.8457","  612.7620"," 2423.1460","    0.0000"," 3925.8614","    0.0000"," 1490.0927"," 5139.8047"," 1989.2041"," 2645.8279","    0.0000"," 4303.8206"," 4610.7416"," 7000.4815"," 5461.9283"," 7158.8642","10516.4169"," 2019.1553"," 1575.2547","    0.0000","  949.4751"," 3234.4558","11107.6393"," 2768.6500"," 1518.3118","  321.0000"," 2300.0225"," 2425.4413"," 2576.0277"," 2121.3563"," 4451.4168","14835.7532","    0.0000"," 2180.0000","  309.8775","    0.0000","  497.2249","    0.0000"," 8942.9533"," 1924.1384"," 4319.9532"," 1530.6372"," 2144.4869","    0.0000"
"M371.1T817.997","2313.9638","2607.9426","3613.2664","1947.7258","3453.6433","2978.3435","3872.9837","5836.6360","3865.3936","   0.0000"," 998.6582"," 292.0000","3390.5471","3787.5855","2740.5725","3413.0015","   0.0000","3907.0801","3968.0183","3399.1949","3156.0886"," 517.7852","4697.4925","2139.8120","1308.8504","   0.0000","3502.4728","1812.6521","4243.9533","4290.8429","5713.8412","   0.0000","3681.6663","4145.7844"," 957.7002","1967.6725","3720.5985","5658.5543","   0.0000"," 888.0000","   0.0000"," 344.5798","   0.0000"," 234.0783","2657.9773","2384.1211","4426.2827","2507.8030","2151.4600","   0.0000"
"M698.988T986.183","13653.106","16705.110","27482.782"," 7809.249","13103.787","25549.385","12374.445","33305.528","12990.110","    0.000","13405.611","  253.000","15050.311"," 7136.534","15071.818"," 7319.828","    0.000"," 8921.226"," 5742.327","13298.319"," 6158.727","16906.403","10515.279","10837.525"," 5552.102","    0.000","31911.417"," 8505.749","11157.341","14377.341","28496.537","    0.000","10123.041","13354.603","35704.106","15609.748","15447.288","36798.839","    0.000","11900.000","    0.000","    0.000","    0.000","    0.000"," 9980.637","21320.985","17951.009","10318.977","10034.775","  226.000"
"M139.002T112.479"," 7151.812"," 4727.719"," 7747.386"," 8326.750"," 7295.499"," 6287.653"," 9059.536"," 9018.397"," 7343.029","    0.000"," 5081.356","    0.000"," 7451.449"," 6423.732"," 8385.034"," 6309.646","    0.000"," 6373.945"," 7782.028"," 8911.252"," 6680.376"," 7512.476"," 8371.790"," 9974.971"," 5555.499","    0.000","10073.286"," 7433.058"," 7143.490"," 8838.138"," 8303.252","    0.000"," 5467.072"," 6586.987"," 6986.676"," 8650.232"," 8332.019"," 8681.824","    0.000"," 6950.000","    0.000","    0.000","    0.000","    0.000"," 8797.676"," 8882.145"," 6992.966"," 4102.194"," 5766.890","    0.000"
"M1095.872T896.96","15181.3519"," 9991.6065"," 7627.2025","11804.0443","15490.9180"," 7956.0159","19741.4537"," 9431.2540","12106.0109","  440.4327","14513.8587","    0.0000","11489.5268","12073.7775","16092.6813","11341.1310","  293.7664"," 9906.8534","10304.0916","22131.2279","10377.7742","15141.1787"," 6532.6969"," 8718.6760","11626.0061","    0.0000","15290.7183","17769.1771","18828.8903","19477.6876","14344.7822","    0.0000","10127.6750","11483.2687","11937.3086"," 8509.3082","14819.1180","13484.2615","    0.0000","13400.0000","    0.0000","    0.0000","    0.0000","    0.0000","10014.9315","11574.1252"," 7795.1877"," 9344.7038"," 8976.8328"," 1100.0000"
"M957.374T926.518"," 9486.7853","  253.8400"," 8759.6279"," 4178.3644","18833.3317","15041.4709"," 8180.0415","25622.2440","12622.1221","    0.0000","12579.5139","    0.0000","10520.1673","12015.9839","14449.9393","16786.0468","    0.0000","16993.9935","18260.6498","14830.0369","11461.0276"," 4060.4975","14573.3156","22819.1117"," 8781.2676","    0.0000","24238.8936"," 8720.2046","15451.8598","20526.8488","16494.8277","    0.0000","14993.0853","15909.3441"," 5513.6664"," 4821.9920"," 6876.8326"," 6304.7312","    0.0000","78900.0000","    0.0000","    0.0000","    0.0000","    0.0000","  681.7518"," 7561.8439"," 5676.4333"," 6617.7726"," 8155.8100","    0.0000"
"M309.059T866.56"," 7856.7540","26945.0760","18881.3227","14837.2620"," 5289.2000","11282.5533"," 9408.4277","21177.6967","15347.7084","  221.6875"," 5683.9822","    0.0000"," 8481.4817"," 5495.7355"," 7210.1012","12950.8190","  187.5952"," 9639.5400","22687.6907","16414.5744"," 2680.1899"," 6011.0885","11690.8647"," 6168.4474","  684.7217","    0.0000","11680.2510","10407.9862"," 9687.7157","  452.9974","19534.9809","    0.0000"," 6056.0271"," 5201.6229","12160.3850"," 5786.1568"," 7415.1293","14836.7164","    0.0000"," 1100.0000"," 1055.4360","  211.1496","    0.0000","  234.3571","10307.1445"," 8116.1288","28800.1578","12522.3462","10282.6241","  241.0000"
"M753.358T959.856"," 12628.1668","  7022.8343"," 40961.0275"," 13272.1680"," 20391.6158"," 19467.9429"," 24433.8630"," 12949.9216"," 12340.5676","   318.1813","105404.6615","     0.0000"," 30239.6486"," 12145.8102"," 37683.9273"," 27173.0609","   497.9616"," 18666.8594"," 10989.9636"," 24217.9953"," 12975.6800"," 54935.8922"," 19148.2701"," 16634.2511"," 15314.8510","   399.2545"," 46975.2010"," 10127.8666","  6144.0663"," 14976.3070"," 14722.9879","     0.0000"," 16395.1983","  8478.3438"," 21886.8552"," 14661.2575"," 23013.3185"," 54313.5831","     0.0000","  6650.0000","     0.0000","   190.0782","     0.0000","     0.0000"," 26522.1824"," 16989.4240"," 16396.4822","  5910.7288"," 12048.5637","     0.0000"
