"","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","BLANK.2","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3"
"Label","Control","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M847.517T1163.004","  2174.921","874899.681","875194.389","279290.478","192000.000","224740.629","348000.000","117000.000","102017.624","  6572.783","174655.045","  6238.833","328151.541","157000.000","423660.328","109854.253","162387.237","307000.000"
"M898.349T936.403","  9190.388"," 48918.711"," 69643.952","102085.497"," 78500.000"," 75940.387","112000.000"," 80100.000","103903.108","  8246.621","112179.365"," 10802.243"," 91227.812"," 96800.000"," 95952.429"," 87182.225"," 81659.572"," 88300.000"
"M652.416T1356.524"," 28020.55","162743.20","209119.41","179345.93","174000.00","193038.67","187000.00","233000.00","253448.44"," 17937.72","246905.74"," 38683.31","201532.94","164000.00","230921.23","176182.55","222380.92","237000.00"
"M449.365T1540.699","155479.4","174479.1","204876.9","208962.2","225000.0","163593.0","196000.0","341000.0","277249.2","156073.2","317794.5","177806.3","185330.1","231000.0","204356.0","205463.9","208933.3","232000.0"
"M537.533T1295.888"," 8050.171","68647.361","58469.949"," 9693.615","38800.000","16166.711","13300.000"," 7970.000"," 8347.275"," 9502.763","    0.000","10747.821","18270.755","17700.000"," 9084.323"," 6408.495","13261.754"," 9820.000"
"M561.396T1195.638"," 17371.92"," 85726.85","778915.50"," 71730.84"," 48900.00"," 68542.45"," 51500.00"," 57000.00"," 41886.21"," 34395.21"," 37385.46"," 24687.14"," 51353.13"," 51000.00"," 63529.14"," 62164.30"," 48253.01"," 54300.00"
"M530.218T901.604","  1903.154"," 39487.650","108556.667","116481.239","147000.000"," 92985.446","105000.000","137000.000","180134.215","  1509.428","181839.103","     0.000","108216.949","131000.000"," 94612.667","132686.191","123697.391","142000.000"
"M812.538T1253.346","24249.12","81771.40","99545.27","41197.95","68700.00","59027.32","61400.00","41800.00","37960.58","11133.28","39303.61","16771.63","55497.27","69600.00","67563.56","54445.11","57125.79","46800.00"
"M495.298T1036.333","  3108.307","141614.109","135255.078"," 77717.034","102000.000"," 58880.389"," 87900.000"," 28300.000"," 41769.500","     0.000"," 69761.110","     0.000"," 80532.315"," 63100.000"," 70780.100"," 52455.281"," 61529.430"," 33600.000"
"M367.15T410.425"," 23149.31"," 39264.81"," 73062.19","150378.66","202000.00"," 51157.36","188000.00"," 26100.00"," 67136.91"," 21682.01"," 28918.81"," 14097.39","145910.32","165000.00","177967.83"," 53419.75"," 86948.20"," 43400.00"
