"","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","BLANK.2","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3"
"Label","Control","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M660.514T1439.78","53435.1168","64048.514","84776.995","125330.569","138000","85843.712","88300","195000","139082.376","39450.5652","123238.256","30183.3746","100335.561","103000","80661.677","168740.433","97882.839","1e+05"
"M351.253T1019.694","1520.0722","527161.428","557457.259","227626.276","429000","502151.661","257000","112000","191952.109","304.01444","237060","2448.5578","256953.3558","503000","222283.925","370944.738","654572.844","493000"
"M949.553T1173.004","6534.1658","287701.91","304004.312","176281.393","192000","236564.455","198000","142000","141496.239","2217.4747","181233.844","2113.1167","164930.2646","188000","176501.895","125718.91","236454.997","202000"
"M875.492T1306.216","8245.2166","155010.606","163775.175","103790.238","126000","151978.813","101000","134000","144519.086","7261.7666","163853.759","8491.7552","90397.9922","113000","108064.46","121505.496","137739.985","147000"
"M979.313T847.893","19186.6118","92208.476","141842.26","149586.982","168000","154039.91","161000","95100","121816.271","36576.6719","79708.723","44393.6405","126586.7449","140000","127857.602","155608.779","146807.147","116000"
"M349.196T1335.803","75647.5845","276402.411","325289.758","388023.08","313000","304952.73","285000","244000","252792.326","79357.0105","213177.098","88713.4531","235243.8086","259000","261358.784","283897.181","306317.557","257000"
"M691.436T1356.203","154783.5503","474924.558","498460.371","303062.323","328000","423289.766","334000","485000","395947.442","65129.2343","443493.31","86819.0775","379234.4117","383000","394081.954","416685.124","460855.97","420000"
"M575.479T1456.772","48282.7975","370685.513","418133.836","604087.932","556000","599343.168","466000","655000","613891.808","44420.2585","628544.722","10280.9155","474626.9531","394000","486647.617","701091.354","434828.828","563000"
"M919.292T824.161","18116.16","79143.518","98309.012","125706.736","124000","100252.272","109000","83400","101938.209","25439.9825","80671.3","20505.3414","93212.574","113000","95871.306","124151.225","129258.78","107000"
"M545.37T1372.761","64437.8885","302206.961","501401.305","135805.933","108000","91537.25","118000","133000","97473.122","32301.4517","126419.267","61524.2045","100815.4162","90200","103419.773","139966.701","112248.603","104000"
