"","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"M385.077T746.611",0.026136,-0.03381,0.029509,0.001478,-0.044675,-0.04499,-0.0064096
"M1030.642T1193.369",0.023827,0.015176,-0.037583,-0.016163,-0.024768,0.051138,-0.0047605
"M429.414T851.13",0.031317,0.036042,0.086387,0.043254,-0.0053365,0.055403,0.024371
"M723.577T942.094",0.029569,-0.073851,-0.053416,-0.0063832,-0.00045019,0.0037541,-0.0035616
"M1071.439T878.893",0.039805,0.053826,0.041638,-0.006597,0.0071484,0.018764,0.023392
"M1069.501T1402.821",0.032217,-0.025038,-0.014351,0.052857,0.006057,0.030704,-0.004657
"M281.07T709.104",0.032404,-0.021004,-0.036768,-0.0018196,-0.028897,-0.023325,0.0055517
"M577.137T781.037",0.03485,-0.058991,0.0096441,0.088486,-0.044764,0.047054,-0.0053891
"M397.075T138.684",0.033791,-0.011811,0.029538,-0.0085031,-0.04016,0.020981,0.014509
"M653.861T317.501",0.031978,0.0039441,-0.0033215,-0.007106,0.024905,0.019449,0.011182
"M375.104T216.821",0.036484,-0.006431,0.0096627,-0.03043,0.014691,0.00068222,-0.02108
"M384.097T310.658",0.032791,-0.015489,0.0012848,-0.01716,0.039833,-0.0041678,0.0044687
"M351.085T316.423",0.032997,-0.009821,0.00055715,-0.001487,0.016394,-0.0049658,0.00046756
"M460.969T105.772",0.034974,-0.044133,-0.0014733,-0.0060283,0.03187,0.021545,0.026218
"M665.267T889.419",0.035959,-0.0053437,-0.0087424,-0.019431,-0.00065779,0.014011,0.032944
"M969.939T315.438",0.029084,0.0088219,-0.077899,0.096554,0.002252,0.016806,0.003915
"M289.065T88.687",0.031412,-0.029967,-0.011318,-0.063304,-0.055789,-0.026082,0.0044006
"M289.086T1163.856",0.034243,0.013951,0.017751,-0.035766,0.0028789,-0.038347,0.0011742
"M655.873T943.419",0.035515,-0.038076,0.02184,0.012462,0.0015306,-0.020842,0.0023291
"M642.242T817.768",0.032469,0.021437,-0.016903,0.027719,0.01413,0.078387,-0.014675
"M695.12T755.765",0.034081,-0.060359,-0.0041728,-0.018287,-0.013825,0.033026,-0.006995
"M487.016T806.181",0.034474,0.0046355,0.038448,0.025589,0.014088,0.035503,0.0023726
"M967.561T1349.704",0.034717,-0.012063,0.0232,-0.01435,0.013414,0.00271,-0.0061181
"M821.606T900.199",0.043216,0.0051957,-0.017297,0.018034,-0.014026,0.02376,0.030172
"M1095.063T894.34",0.03275,-0.053519,0.016497,3.283e-05,0.019411,0.0090828,-0.01566
"M279.139T1150.344",0.064687,-0.017414,-0.05272,0.017667,0.070117,0.030896,-0.017401
"M579.301T894.416",0.028529,-0.027181,0.023878,-0.021907,0.0065315,0.012576,0.0099714
"M593.947T757.746",0.033765,-0.087858,0.01116,0.013857,-0.036003,0.030188,0.012477
"M367.102T765.544",0.034662,-0.020483,0.035668,-0.0025502,0.01622,-0.036158,0.0030633
"M585.15T892.945",0.036303,-0.0084187,-0.00080307,-7.1534e-05,-0.025973,-0.0039886,0.014079
"M988.312T316.465",0.029584,0.021692,-0.0084864,-0.00092809,-0.017468,0.033181,-0.024396
"M735.437T1351.512",0.031619,-0.034688,0.0073635,-0.018618,0.020763,0.046109,-0.0068191
"M851.154T319.552",0.031427,-0.027799,0.01394,-0.0021244,0.0070171,0.010473,-0.00084611
"M265.093T134.502",0.032572,0.002504,-0.008772,0.0036599,-0.0075027,-0.044453,-0.029209
"M575.708T1045.732",0.028364,-0.046495,-0.026317,0.032649,-0.0077889,0.020929,0.023206
