"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6"
"M735.437T1351.512",0.031633,-0.030471,0.035877,0.026834,0.032447,0.011112
"M851.154T319.552",0.031437,-0.031913,0.024447,0.0060984,0.0037718,0.0065267
"M265.093T134.502",0.032658,0.00030932,-0.0058503,-0.038586,-0.01296,-0.0076208
"M575.708T1045.732",0.028428,-0.0031956,0.059638,-0.0037942,-0.019769,0.009338
"M657.063T941.851",0.031573,0.0091355,0.077629,-0.013715,-0.027208,0.027017
"M632.663T319.55",0.031414,-0.0055488,-0.023082,-0.0038705,0.031826,0.034545
"M809.433T1339.33",0.032303,-0.027696,0.025445,0.019209,-0.017472,0.040276
"M654.008T318.692",0.033868,-0.0073678,-0.018991,0.040738,0.028468,0.056548
"M923.402T931.508",0.044583,0.033724,-0.042865,0.01573,0.02469,-0.0050269
"M428.2T856.891",0.040102,0.0062469,-0.0071885,0.031132,-0.0051223,-0.023869
"M281.069T746.743",0.032458,-0.032742,0.010267,-0.041386,-0.0019187,0.023915
"M703.247T844.715",0.037829,0.017541,-0.0088326,0.032836,0.0041214,0.012734
"M590.015T907.684",0.031362,-0.036241,0.056806,-0.016059,0.0022678,-0.011504
"M455.081T704.884",0.032354,-0.002777,0.014473,-0.041526,-0.014658,-0.035339
"M970.813T317.253",0.032003,0.06533,-0.018161,0.022002,0.012682,-0.0047123
"M997.575T1403.78",0.031843,-0.0089427,0.023952,-0.0062846,0.014293,-0.0044734
"M1053.286T316.584",0.031669,0.010027,-0.017001,0.015765,-0.0044716,0.0049061
"M1163.085T907.707",0.011891,0.030249,0.075024,-0.067822,-0.016184,-0.060316
"M421.636T753.774",0.035813,-0.027716,0.056748,0.048014,-0.047763,0.035669
"M709.31T874.193",0.039958,-0.01415,0.0038253,-0.004769,0.0052117,-0.012363
"M361.589T316.501",0.031888,-0.0091601,0.008896,-0.014046,0.022702,0.054515
"M517.099T802.454",0.030506,-0.068294,0.029107,-0.0028855,-0.059179,-0.048708
"M982.374T904.236",0.041177,0.019823,-0.012858,0.018025,-0.023324,-0.01322
"M383.433T314.152",0.030761,-0.030193,0.035622,-0.015607,0.01795,0.011094
"M362.298T315.255",0.035127,-0.01577,0.019965,-0.0077978,0.014002,-0.010259
"M481.183T769.795",0.04091,0.054328,0.042768,-0.043221,0.015365,-0.02823
"M407.173T414.983",0.036022,-0.050628,0.029922,-0.059824,0.053147,-0.081979
"M1297.451T316.098",0.027921,0.058362,-0.059813,0.047289,0.00035667,-0.029802
"M727.283T864.823",0.029791,0.020305,-0.010403,0.022568,0.014264,-0.010049
"M847.495T1389.03",0.030395,-0.070133,0.042185,0.013998,-0.01169,-0.022168
"M1031.84T1213.333",0.028749,0.0079319,0.028802,0.022682,0.04795,0.02157
"M937.515T1306.76",0.032211,-0.046895,0.0022087,0.040035,0.013927,0.015238
"M570.518T894.146",0.031581,-0.074467,0.042257,-0.062647,0.027386,0.0027912
"M1162.717T895.445",0.030207,-0.079154,0.038278,-0.06596,-0.027792,0.016321
"M289.446T802.654",0.026472,-0.060009,0.074773,0.052063,-0.07353,-0.0073475
"M970.001T316.098",0.025764,0.083597,0.016558,-0.0012469,-0.037752,-0.020918
"M647.193T836.421",0.040275,-0.025047,-0.014223,0.018629,-0.031784,0.0076388
"M968.365T965.957",0.038564,0.00076187,-0.07741,0.013493,-0.0031835,0.034849
"M863.184T809.21",0.030556,0.018274,0.058252,-0.025243,-0.040872,-0.076272
"M565.23T844.341",0.031349,-0.017641,0.020108,-0.030534,0.02768,0.014427
"M293.118T1042.937",0.060146,0.050715,-0.0086797,-0.054581,-0.098207,0.090915
"M483.209T897.853",0.034687,-0.020543,-0.0051271,-0.009333,0.0088044,0.0095559
"M1094.047T894.516",0.032807,-0.065561,0.051287,-0.017662,0.0080665,0.0061444
"M317.087T121.975",0.035814,-0.02234,0.013283,0.017295,-0.00045995,-0.0059746
"M909.388T926.435",0.044072,-0.014383,-0.068079,0.033406,-0.031521,0.002209
"M549.258T834.983",0.038983,0.031396,-0.091804,0.014148,-0.034783,0.02249
"M415.744T872.34",0.033793,-0.021905,-0.016185,0.038597,-0.018884,0.00094017
"M451.125T735.96",0.0368,-0.0077375,-0.0099093,0.0088951,-0.04137,0.0043897
"M361.481T320.767",0.031505,-0.045265,0.0020702,-0.026665,0.010927,0.054564
"M409.075T744.412",0.033296,-0.033033,0.026527,-0.038866,-0.0016953,0.024928
"M457.136T788.61",0.03891,0.00067429,-0.036008,0.035073,-0.0067241,0.0044197
"M311.138T170.155",0.034413,-0.036958,0.0080453,-0.048271,-0.0046252,-0.015107
"M593.763T756.056",0.034407,-0.037765,0.065666,0.021279,-0.0097481,0.0067934
"M392.068T765.784",0.031285,-0.019002,0.023183,-0.05001,-0.025866,-0.0077179
"M433.661T789.942",0.032656,-0.021083,0.0042037,0.017362,-0.0071255,-0.020714
"M919.493T1102.884",0.03198,0.0058394,0.046527,0.013969,0.073503,-0.012565
"M437.044T765.875",0.038029,-0.0060024,-0.0093942,-0.023598,-0.0066044,0.027753
"M715.427T310.719",0.032595,-0.027893,0.044272,-0.029605,-0.033825,0.023943
"M1095.84T892.791",0.038491,0.027995,0.089585,-0.034935,-0.036612,0.096187
"M485.168T916.74",0.034572,-0.034019,-0.0044617,0.015,-0.026419,-0.013012
"M313.119T883.187",0.039044,0.048786,-0.093466,0.062849,-0.037966,0.01839
"M433.039T456.919",0.053937,0.15707,-0.010943,-0.051946,-0.071964,0.046636
"M447.259T942.596",0.035512,-0.025753,0.025025,-0.0080001,0.004673,0.026518
"M355.067T660.488",0.02976,-0.034683,0.01757,-0.01042,-0.022356,-0.05205
"M1134.038T907.684",0.0099032,-0.0038982,0.030191,-0.016797,0.00070508,-0.12696
"M819.254T316.358",0.030532,0.033377,-0.018613,0.015939,0.028703,-0.0050359
"M383.609T322.831",0.032186,-0.026553,0.034571,0.0092271,0.0031116,0.020792
"M341.31T626.276",0.042802,0.0081799,0.014676,-0.023125,0.017289,0.011177
"M579.151T798.32",0.033222,-0.0028237,0.030969,0.0036229,-0.10433,-0.060208
"M784.154T761.471",0.034001,-0.030536,0.0079475,-0.02112,0.013782,0.020977
"M323.187T1016.246",0.03239,0.0055594,0.03716,-0.0072001,0.029548,-0.015174
"M1099.581T1224.487",0.030981,-0.029556,-0.0094798,0.014333,0.026747,-0.0038468
"M206.988T126.118",0.03036,-0.033796,0.025606,0.023424,-0.029552,0.0050448
"M685.228T857.881",0.039516,0.031517,-0.035053,-0.025714,0.03828,0.011465
"M441.162T763.637",0.033052,-0.034033,-0.021188,0.053616,-0.030195,-0.014544
"M963.275T732.778",0.034398,0.014743,0.0026433,0.03159,0.0021017,-0.0010738
"M991.316T318.206",0.030861,0.014991,-0.012615,0.040781,-0.018504,0.0040502
"M867.206T809.129",0.041249,-0.074466,0.028499,0.061241,-0.067534,0.027394
"M403.064T798.991",0.02985,-0.030351,0.084205,0.021857,-0.039178,-0.016809
"M836.522T1479.692",0.033314,-0.033466,0.03449,0.0048484,0.023066,0.0025348
"M399.275T1363.391",0.035894,-0.0022187,0.024557,-0.030382,-0.007807,-0.017686
"M548.179T817.387",0.037268,0.046516,-0.035653,0.022278,-0.026506,-0.023493
"M524.183T892.811",0.033905,-0.0049918,-0.012364,0.015368,0.0018617,-0.015721
"M518.153T824.178",0.03547,-0.00017041,-0.014075,-0.019055,0.002445,0.018119
"M1096.548T894.929",0.032051,-0.062612,0.037372,0.0057604,0.014621,-0.012908
"M999.268T316.316",0.031409,0.031645,0.0013575,0.0087519,0.029613,-0.019438
"M266.366T1577.236",0.029609,-0.051187,0.021658,-0.011605,0.013239,0.0076115
"M836.743T1479.398",0.031712,-0.018097,0.014494,-0.015135,-0.0033283,0.023824
"M252.965T98.618",0.030522,-0.085963,0.011765,0.049793,-0.067602,0.046431
"M529.154T821.794",0.034646,0.0070499,-0.013903,-0.032633,-0.052101,-0.019128
"M487.212T857.117",0.037094,0.013558,0.0093586,-0.043261,0.012532,0.018234
"M1323.386T316.247",0.030597,0.050155,-0.035912,0.028726,0.013214,-0.014732
"M501.206T823.684",0.037552,-0.023916,-0.09183,0.010387,-0.025247,-0.019148
"M438.049T766.588",0.035009,-0.013173,0.0099158,-0.068114,-6.6752e-05,0.043435
"M1013.583T1347.533",0.032908,-0.022397,0.0017901,0.01162,0.016332,0.012576
"M407.045T415.442",0.034862,-0.019447,0.020723,0.0015102,0.019616,0.018225
"M331.068T223.104",0.041421,-0.041503,0.0074475,-0.027019,0.0045926,-0.014479
"M384.092T841.195",0.023615,0.039895,0.041342,-0.036135,0.0041631,0.039613
"M1611.697T937.933",0.054149,0.0041807,-0.028944,-0.011139,-0.014432,0.04154
"M653.913T316.046",0.035287,7.8235e-05,0.016659,0.01743,0.027813,-0.038772
"M969.317T316.321",0.028705,0.045377,-0.033056,0.029266,0.024752,-0.0079306
"M311.104T1075.82",0.029558,-0.00092578,-0.030654,0.10545,-0.035277,0.041578
"M380.071T778.258",0.050034,0.072799,0.0010475,0.010414,-0.059265,-0.05559
"M638.078T817.768",0.02482,0.017346,-0.060046,0.048495,-0.018142,-0.053096
"M651.317T893.83",0.031736,-0.016612,0.0087461,-0.020889,0.01271,-0.00060803
"M1167.557T907.179",0.035187,0.019549,0.026693,0.011046,0.096466,0.019301
"M221.066T891.624",0.031426,0.045819,-0.016085,-0.040922,0.0046856,-0.0093607
"M204.085T413.719",0.05497,0.0051425,0.045388,0.00052949,-0.074856,-0.046283
"M621.125T857.148",0.037151,0.022557,0.0036729,-0.049221,0.047299,-0.091325
"M1009.554T1308.282",0.029518,-0.046624,0.027642,0.010216,0.0037186,0.016687
"M483.178T941.182",0.033263,-0.007409,0.028254,0.0031132,0.082152,-0.045298
"M1057.411T880.24",0.039404,0.0088884,-0.054903,-0.0094933,-0.017412,0.036752
"M469.208T948.545",0.03799,0.024417,-0.011107,0.015451,-0.054707,0.035551
"M673.289T892.945",0.035144,-0.02603,-0.0064819,-0.003271,0.0069689,-0.021589
"M833.365T968.818",0.042316,-0.028365,-0.033974,0.016561,-0.018378,-0.056244
"M893.38T934.735",0.0444,0.0078616,-0.063897,0.045472,-0.020842,0.027987
"M393.176T847.594",0.034306,-0.015526,-0.0037406,-0.014171,-0.0082805,-0.026294
"M981.364T901.259",0.034245,-0.056179,-0.025015,0.039881,-0.014563,-0.018117
"M653.935T315.929",0.033089,-0.0095663,0.00080849,0.033909,-0.0048132,-0.018787
"M865.491T1326.551",0.031716,-0.055462,0.019513,0.03443,0.0062848,0.007502
"M449.202T630.506",0.031125,0.0014292,0.0066023,0.0068178,-0.024493,-0.0044201
"M437.065T776.272",0.031207,-0.024771,0.018273,0.015515,0.013786,0.027347
"M268.959T125.12",0.029828,-0.055849,-0.0067174,-0.0062591,-0.00026818,-0.0025724
"M551.272T837.928",0.03719,-0.011666,-0.028499,0.037332,-0.01761,0.032361
"M456.197T892.811",0.03693,-0.0041187,-0.0032896,0.0024194,0.0077457,-0.024749
"M356.995T88.504",0.037128,0.001786,0.030302,0.058643,-0.048445,0.017276
"M391.157T830.263",0.04167,0.015213,-0.12137,0.059608,-0.048649,-0.0062165
"M567.778T908.116",0.027497,-0.067568,0.029768,-0.010965,-0.0049859,-0.038863
"M559.667T1200.71",0.031439,-0.062734,0.013303,-0.010799,-0.039944,0.06564
"M455.193T892.238",0.040188,-0.0038859,-0.019551,0.035048,0.031563,-0.080467
"M651.363T1268.695",0.030197,-0.072865,0.065481,-0.041186,-0.021173,-0.021707
"M1255.613T888.434",0.033809,-0.018546,0.03402,-0.016931,-0.046355,-0.042584
"M701.195T940.853",0.035687,-0.032103,0.036373,-0.00098213,-0.032072,-0.026815
"M587.201T848.147",0.036971,-0.031592,0.014383,-0.020514,0.039717,-0.0061096
"M1014.419T974.744",0.04552,0.054387,-0.051066,0.035638,0.052246,-0.0057831
"M383.555T317.319",0.032504,-0.023064,0.023264,-0.00256,0.0081222,0.025639
"M593.857T757.673",0.032848,-0.059252,0.076603,0.055371,0.0018706,-0.012363
"M569.35T895.921",0.032541,-0.056943,0.048528,-0.022126,0.020466,0.029694
"M423.224T921.021",0.036379,-0.039371,-0.017862,0.0025539,-0.042326,-0.024785
"M325.2T1323.486",0.027635,-0.013328,0.016201,-0.031818,-0.032232,0.028624
"M269.103T792.774",0.034627,0.0077266,0.0078236,0.010444,-0.031456,-0.018969
"M637.025T106.841",0.0315,-0.034019,-0.0038928,-0.0010555,0.015985,-0.033462
"M334.932T113.331",0.031611,-0.033214,0.026748,-0.0048834,0.0015946,0.016236
"M433.784T801.352",0.033859,-0.019528,-0.036715,0.03262,0.014237,0.047969
"M1048.557T894.929",0.034352,-0.033299,0.050829,-0.011628,-0.0089259,0.042248
"M295.104T156.471",0.035717,-0.011927,0.031344,0.018336,-0.018431,0.019814
"M398.263T1317.762",0.033335,0.030059,0.036641,0.010938,0.00012751,0.027334
"M653.828T318.352",0.028413,-0.05047,0.023335,0.057642,-0.00677,-0.022432
"M1103.415T879.391",0.037508,-0.0013585,-0.060852,-0.0069426,0.016007,0.067305
"M997.975T1403.846",0.031199,-0.047846,0.030153,0.010422,0.048669,0.039327
"M1039.403T917.165",0.041662,-0.0025086,-0.066358,-0.017007,-0.013421,0.027292
"M1037.324T316.098",0.032395,0.0025792,-0.011821,0.015626,0.0038667,-0.0013928
"M509.218T928.864",0.034883,0.015292,-0.011711,0.0004366,-0.0033615,-0.0084143
"M1308.415T315.705",0.022539,0.090694,-0.038658,0.070325,0.00067079,-0.0098765
"M311.186T1077.614",0.034322,-0.0022043,0.01065,-0.068023,-0.043148,-0.0010719
"M969.321T316.442",0.028996,0.052668,-0.037119,0.0091021,0.031391,0.0040021
"M333.083T110.42",0.035105,-0.0088833,0.0090055,-0.017306,-0.03184,-0.040061
"M1063.398T908.83",0.039684,0.0027048,-0.010802,0.010762,-0.044188,0.074883
"M361.512T316.902",0.033962,-0.032932,-0.036951,-0.016997,-0.0033368,0.021431
"M485.178T783.442",0.032682,0.021161,-0.033801,-0.0084726,-0.025726,0.0055415
"M449.205T834.832",0.036565,0.017994,-0.089939,0.066433,-0.010093,0.035739
"M439.083T756.683",0.035325,-0.0029746,0.021349,-0.055325,-0.0051755,0.019422
"M479.19T902.518",0.030384,-0.026932,-0.024138,0.054484,0.0057786,0.01072
"M413.081T316.361",0.032909,-0.022324,0.012079,0.007398,0.013328,0.017618
"M417.177T763.775",0.034392,-0.023229,0.022994,-0.012522,-0.034336,-0.041226
"M225.002T107.866",0.037428,-0.018771,0.024499,0.035128,0.019307,-0.0049915
"M947.485T901.595",0.038276,-0.033999,0.016145,0.0044357,-0.0053001,-0.020303
"M399.165T851.906",0.034123,0.018711,-0.016543,0.021483,-0.0096805,-0.0011648
"M895.304T938.238",0.043362,0.0030647,-0.025719,-0.019007,0.0069498,0.013892
"M455.081T744.378",0.034544,-0.020111,0.023376,-0.081319,-0.0010651,0.0011068
"M430.136T769.014",0.049437,0.040464,-0.034333,0.026709,0.0493,-0.067593
"M590.274T907.848",0.024514,-0.063804,0.057234,-0.010986,-0.031928,-0.037718
"M353.181T807.324",0.038567,-0.0064106,-0.032157,-0.011834,0.013205,-0.021043
"M419.115T799.29",0.032232,0.0001452,0.041593,0.032703,-0.020299,-0.012079
"M139.002T112.479",0.032998,-0.022225,0.019883,-0.021852,0.010579,0.010924
"M1095.872T896.96",0.036654,-0.0054483,0.057465,-0.024926,-0.0043328,0.064225
"M429.646T308.971",0.032556,0.010874,-0.00054236,0.0073283,0.033165,0.012883
"M968.4T974.568",0.043558,0.021718,-0.064342,-0.034441,0.013574,0.024527
