"","Fold Change","log2(FC)"
"M613.774T885.363",3.7329,1.9003
"M643.245T813.714",3.7303,1.8993
"M981.364T901.259",3.7294,1.8989
"M1105.431T888.552",3.7281,1.8984
"M1096.195T893.605",3.7234,1.8966
"M998.841T1404.514",3.7075,1.8904
"M621.221T884.304",3.6995,1.8873
"M1085.513T1348.399",3.6977,1.8866
"M1331.507T909.803",3.688,1.8828
"M649.302T900.549",3.6768,1.8784
"M323.187T1016.246",3.668,1.875
"M349.072T1165.294",3.6673,1.8747
"M139.002T112.479",3.6668,1.8745
"M809.433T1339.33",3.66,1.8718
"M1209.581T888.373",3.66,1.8718
"M389.182T799.355",3.6561,1.8703
"M457.19T799.683",3.6306,1.8602
"M383.609T322.831",3.6294,1.8597
"M285.909T1803.837",3.626,1.8584
"M559.667T1200.71",3.6225,1.857
"M590.015T907.684",3.6224,1.8569
"M433.784T801.352",3.6187,1.8555
"M524.981T106.871",3.6104,1.8522
"M524.183T892.811",3.6068,1.8507
"M415.744T872.34",3.6053,1.8501
"M445.095T115.802",3.6021,1.8488
"M417.764T850.924",3.6016,1.8486
"M751.173T317.266",3.6001,1.848
"M443.058T752.856",3.5996,1.8478
"M384.097T310.658",3.599,1.8476
"M707.828T66.684",3.5941,1.8456
"M321.216T1624.59",3.592,1.8448
"M847.188T757.14",3.589,1.8436
"M383.555T317.319",3.5887,1.8434
"M289.086T1163.856",3.5884,1.8433
"M465.141T849.089",3.5795,1.8397
"M553.164T782.325",3.5739,1.8375
"M413.081T316.361",3.5716,1.8366
"M455.081T704.884",3.5681,1.8352
"M351.085T316.423",3.5652,1.834
"M615.152T88.13",3.5646,1.8337
"M731.208T950.406",3.5623,1.8328
"M361.512T316.902",3.5602,1.832
"M1053.272T316.465",3.56,1.8319
"M881.515T1351.787",3.5552,1.8299
"M619.26T816.529",3.5519,1.8286
"M281.069T746.743",3.5507,1.8281
"M997.975T1403.846",3.5507,1.8281
"M1162.945T896.606",3.5506,1.8281
"M626.212T761.224",3.5506,1.828
"M279.164T1614.563",3.5486,1.8272
"M1014.585T1348.471",3.5458,1.8261
"M653.935T315.929",3.5338,1.8212
"M735.437T1351.512",3.5323,1.8206
"M497.109T889.816",3.5322,1.8206
"M221.066T891.624",3.5281,1.8189
"M1097.514T1402.931",3.5281,1.8189
"M405.08T802.267",3.5219,1.8164
"M329.088T474.939",3.5212,1.8161
"M576.861T67.042",3.5181,1.8148
"M847.495T1389.03",3.5165,1.8141
"M409.002T109.878",3.5119,1.8123
"M508.215T930.69",3.5038,1.8089
"M429.646T308.971",3.4994,1.8071
"M577.255T863.306",3.4872,1.8021
"M361.589T316.501",3.4836,1.8006
"M372.9T1734.569",3.4827,1.8002
"M865.491T1326.551",3.4824,1.8001
"M805.362T924.937",3.4825,1.8001
"M597.052T106.853",3.478,1.7982
"M397.002T110.368",3.476,1.7974
"M311.065T863.883",3.4744,1.7968
"M779.158T89.251",3.4738,1.7965
"M265.093T134.502",3.4729,1.7961
"M767.194T317.413",3.4696,1.7947
"M942.469T1308.469",3.4692,1.7946
"M1013.583T1347.533",3.4639,1.7924
"M655.655T928.688",3.4602,1.7909
"M869.849T1307.413",3.4569,1.7895
"M246.886T1784.096",3.4527,1.7877
"M255.115T921.266",3.4515,1.7872
"M1136.99T908.053",3.4487,1.7861
"M441.162T763.637",3.4441,1.7841
"M1015.586T1347.819",3.443,1.7836
"M425.165T761.881",3.4406,1.7827
"M289.446T802.654",3.4324,1.7792
"M521.022T764.729",3.4262,1.7766
"M316.385T321.843",3.4227,1.7751
"M429.074T115.482",3.4192,1.7736
"M343.103T489.112",3.4179,1.7731
"M180.971T1182.798",3.4168,1.7727
"M447.222T1194.448",3.4165,1.7725
"M397.074T474.916",3.4159,1.7723
"M937.515T1306.76",3.4098,1.7697
"M273.314T67.476",3.4081,1.769
"M485.178T783.442",3.4049,1.7676
"M433.661T789.942",3.401,1.7659
"M401.18T764.21",3.3936,1.7628
"M323.019T128.103",3.3843,1.7589
"M581.318T900.123",3.3764,1.7555
"M361.481T320.767",3.3721,1.7537
"M1014.89T1344.191",3.3695,1.7525
"M399.092T115.22",3.3695,1.7525
"M334.932T113.331",3.3659,1.751
"M263.13T940.795",3.3657,1.7509
"M392.068T765.784",3.36,1.7485
"M369.388T763.979",3.3558,1.7467
"M631.863T318.629",3.3459,1.7424
"M997.575T1403.78",3.344,1.7416
