"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6"
"M443.058T752.856",0.84201,0.89835,0.89203,0.89201,0.892,0.892
"M1093.54T895.081",0.84201,0.91015,0.91254,0.91136,0.91135,0.91135
"M279.164T1614.563",0.84073,0.84709,0.84695,0.84719,0.84718,0.84718
"M1094.047T894.516",0.84072,0.91699,0.92422,0.92325,0.92324,0.92324
"M383.433T314.152",0.8404,0.79931,0.80099,0.80011,0.8001,0.8001
"M1161.526T895.081",0.84021,0.88082,0.88742,0.88631,0.8863,0.8863
"M522.878T65.745",0.83588,0.78759,0.78792,0.79668,0.79667,0.79667
"M321.216T1624.59",0.8353,0.86097,0.86057,0.85954,0.85953,0.85953
"M405.08T802.267",0.83473,0.85175,0.84856,0.84768,0.84767,0.84767
"M311.104T1075.82",0.8341,0.77458,0.76913,0.78352,0.78352,0.78352
"M397.002T110.368",0.83401,0.87092,0.86467,0.86708,0.86707,0.86707
"M1014.89T1344.191",0.83395,0.89237,0.8862,0.8868,0.88679,0.88679
"M385.113T791.317",0.83392,0.81328,0.80796,0.80743,0.80743,0.80743
"M942.469T1308.469",0.83363,0.86742,0.86654,0.86535,0.86534,0.86534
"M619.189T858.982",0.83328,0.99682,0.994,0.99707,0.99706,0.99706
"M477.088T1628.76",0.83323,0.8176,0.81335,0.81608,0.81607,0.81607
"M569.775T895.343",0.83272,0.91783,0.91855,0.91733,0.91733,0.91733
"M937.515T1306.76",0.83231,0.88723,0.88199,0.88299,0.88298,0.88298
"M471.897T67.543",0.83049,0.89236,0.88969,0.88848,0.88848,0.88848
"M613.854T887.38",0.8299,0.77499,0.78358,0.78289,0.78289,0.78289
"M413.167T733.785",0.82949,0.81311,0.80777,0.80665,0.80665,0.80665
"M941.508T1318.851",0.82908,0.80983,0.81535,0.81447,0.81447,0.81447
"M451.007T107.467",0.8287,0.81318,0.8082,0.80706,0.80706,0.80706
"M240.933T64.89",0.82761,0.89712,0.89658,0.89538,0.89537,0.89537
"M505.3T1291.082",0.8251,0.79136,0.80575,0.8046,0.8046,0.8046
"M463.182T861.112",0.82369,0.78575,0.81455,0.81908,0.81907,0.81907
"M1161.521T895.466",0.82357,0.87543,0.88464,0.88338,0.88337,0.88337
"M637.025T106.841",0.82335,0.85199,0.84597,0.84476,0.84475,0.84475
"M429.414T851.13",0.82251,0.84319,0.84006,0.85146,0.85148,0.85148
"M613.564T887.981",0.82145,0.7862,0.78765,0.78653,0.78652,0.78652
"M971.627T318.415",0.82145,0.76901,0.7635,0.76317,0.76316,0.76317
"M643.188T893.85",0.821,0.7908,0.78695,0.79144,0.79145,0.79145
"M206.988T126.118",0.82095,0.79239,0.7937,0.79317,0.79317,0.79317
"M431.769T791.594",0.82079,0.86654,0.87854,0.87818,0.87818,0.87818
"M204.975T113.721",0.82048,0.85433,0.84942,0.84851,0.8485,0.8485
"M269.15T1584.952",0.8198,0.80872,0.80582,0.80627,0.80626,0.80626
"M425.165T761.881",0.81969,0.8255,0.83506,0.83542,0.83541,0.83541
"M997.975T1403.846",0.81966,0.83785,0.83995,0.83909,0.83911,0.83911
"M389.182T799.355",0.81945,0.78544,0.79529,0.79443,0.79448,0.79448
"M1096.548T894.929",0.81867,0.90134,0.90475,0.90352,0.90351,0.90351
"M426.882T91.046",0.81814,0.75983,0.75449,0.75394,0.75393,0.75393
"M645.848T67.545",0.81761,1.1221,1.1236,1.123,1.123,1.123
"M1009.607T1323.757",0.8168,0.84124,0.83725,0.83667,0.83666,0.83666
"M1099.581T1224.487",0.81652,0.82852,0.82275,0.82198,0.82198,0.82198
"M286.972T107.919",0.81627,0.82614,0.82424,0.8231,0.8231,0.8231
"M865.491T1326.551",0.81445,0.88312,0.8822,0.88255,0.88254,0.88254
"M941.462T1306.809",0.81351,0.8784,0.87521,0.87412,0.87411,0.87411
"M727.414T1292.189",0.81155,0.76288,0.76355,0.7631,0.76309,0.76309
"M265.261T1518.666",0.81141,0.92533,0.926,0.92476,0.92475,0.92475
"M859.153T942.886",0.81039,0.76088,0.77452,0.77362,0.77361,0.77361
"M481.224T887.168",0.80883,0.78299,0.77897,0.77804,0.77804,0.77804
"M1033.603T1229.397",0.80786,0.76192,0.75667,0.7558,0.75579,0.75579
"M1095.01T894.541",0.80765,0.78611,0.78126,0.78546,0.78553,0.78553
"M1308.415T315.705",0.80324,1.1441,1.1379,1.1413,1.1413,1.1413
"M309.465T1630.61",0.80309,0.74611,0.75404,0.75639,0.7564,0.7564
"M429.486T320.767",0.80243,0.80276,0.80985,0.81076,0.81076,0.81076
"M524.981T106.871",0.80203,0.99763,0.99061,0.98922,0.98921,0.98921
"M479.19T902.518",0.80084,0.81245,0.80728,0.81046,0.81045,0.81045
"M361.481T320.767",0.8005,0.89492,0.88863,0.88818,0.88817,0.88817
"M287.077T663.979",0.79905,0.74873,0.74835,0.75123,0.75123,0.75123
"M805.362T924.937",0.79854,0.8763,0.87207,0.87124,0.87127,0.87127
"M387.346T67.938",0.79671,0.81413,0.80929,0.80844,0.80843,0.80843
"M1097.561T894.34",0.79627,0.76634,0.79942,0.79832,0.79839,0.79839
"M676.309T1245.665",0.79575,0.74581,0.741,0.74628,0.74628,0.74628
"M313.094T115.286",0.79099,0.73413,0.73206,0.73107,0.73107,0.73107
"M444.872T67.426",0.79049,0.73917,0.73844,0.73771,0.73771,0.73771
"M466.978T106.664",0.78919,0.80628,0.80071,0.79982,0.79981,0.79981
"M355.067T660.488",0.78784,0.79149,0.78727,0.7864,0.7864,0.7864
"M1059.606T1053.565",0.78766,0.93024,0.92669,0.93838,0.93838,0.93838
"M369.569T765.536",0.78353,0.76041,0.75985,0.75889,0.75888,0.75888
"M271.021T88.704",0.78336,1.0246,1.0173,1.0173,1.0173,1.0173
"M539.134T89.251",0.78237,0.92431,0.91812,0.91689,0.91693,0.91693
"M338.162T1582.434",0.78103,0.7821,0.79073,0.78967,0.78966,0.78966
"M492.868T66.13",0.7808,0.72486,0.7204,0.72094,0.72095,0.72095
"M1100.582T1225.322",0.78008,0.90143,0.89496,0.89369,0.89368,0.89368
"M999.727T1404.686",0.78003,0.73145,0.74754,0.75314,0.75315,0.75315
