"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6"
"M409.045T138.763",0.96232,0.89534,0.89118,0.89282,0.89281,0.89281
"M579.151T798.32",0.96213,0.8986,0.89755,0.89634,0.89646,0.89646
"M593.763T756.056",0.96194,0.89626,0.92192,0.92112,0.92111,0.92111
"M315.108T761.986",0.96191,0.99052,0.99007,0.98954,0.98954,0.98954
"M621.052T106.9",0.96172,0.89257,0.88949,0.88827,0.88826,0.88826
"M751.173T317.266",0.9617,0.90991,0.90427,0.90298,0.90297,0.90297
"M323.187T1016.246",0.96121,0.91912,0.92069,0.91939,0.91939,0.91939
"M438.049T766.588",0.96098,0.90887,0.90274,0.9073,0.90729,0.90729
"M221.066T891.624",0.96068,0.96296,0.96035,0.96095,0.96094,0.96094
"M333.926T91.902",0.95996,0.91966,0.9168,0.91573,0.91574,0.91574
"M1053.272T316.465",0.95898,0.91352,0.90707,0.90617,0.90618,0.90618
"M405.177T839.252",0.95891,0.89023,0.88403,0.88501,0.885,0.885
"M344.099T126.621",0.95888,0.90842,0.90273,0.90229,0.90228,0.90228
"M999.268T316.316",0.95844,0.95754,0.95079,0.94959,0.94959,0.94959
"M419.115T799.29",0.95748,0.91672,0.92561,0.92544,0.92543,0.92543
"M1094.293T897.844",0.95736,0.94064,0.94143,0.94071,0.9407,0.94071
"M281.07T709.104",0.95683,0.90613,0.90173,0.90238,0.90237,0.90237
"M483.178T941.182",0.95608,0.88952,0.88947,0.88836,0.88842,0.88842
"M821.506T1329.663",0.95277,0.91032,0.90641,0.90875,0.90874,0.90874
"M445.095T115.802",0.95193,0.88367,0.87845,0.87748,0.87747,0.87747
"M1048.557T894.929",0.9494,0.89176,0.9,0.89891,0.8989,0.8989
"M1007.203T89.251",0.94876,1.1497,1.1475,1.146,1.146,1.146
"M567.333T903.822",0.94831,0.8846,0.88075,0.87951,0.87952,0.87952
"M429.646T308.971",0.94788,0.88861,0.88227,0.88116,0.88116,0.88116
"M1255.613T888.434",0.94689,0.88149,0.88039,0.87977,0.87979,0.87979
"M487.016T806.181",0.94683,0.89636,0.89006,0.89167,0.89166,0.89166
"M863.184T809.21",0.94656,0.97378,0.98178,0.98144,0.98145,0.98145
"M415.086T168.579",0.94647,0.89096,0.88874,0.88749,0.88748,0.88748
"M417.177T763.775",0.94603,0.89271,0.88857,0.88764,0.88765,0.88765
"M695.12T755.765",0.94593,0.88538,0.90772,0.90656,0.90655,0.90655
"M864.188T806.912",0.94577,0.87924,0.88505,0.88379,0.88378,0.88378
"M524.183T892.811",0.94559,0.88222,0.87634,0.8754,0.87539,0.87539
"M470.098T771.956",0.94527,0.88977,0.88421,0.88793,0.88792,0.88792
"M497.261T974.778",0.94483,0.96576,0.95923,0.95791,0.9579,0.9579
"M340.859T1719.351",0.94478,0.89944,0.89317,0.89249,0.89249,0.89249
"M1323.386T316.247",0.94467,0.96528,0.96306,0.96276,0.96275,0.96275
"M601.172T845.875",0.94406,0.89121,0.88492,0.8841,0.88409,0.88409
"M377.181T797.379",0.94394,0.87609,0.8698,0.86859,0.86859,0.86859
"M559.066T758.189",0.9427,0.91799,0.91142,0.91288,0.91288,0.91288
"M455.081T744.378",0.94235,0.89801,0.89159,0.89885,0.89884,0.89884
"M1132.537T923.907",0.94229,0.88405,0.87796,0.87712,0.87712,0.87712
"M501.206T823.684",0.94228,1.0943,1.1285,1.1269,1.1269,1.1269
"M998.861T1404.179",0.94187,0.89964,0.92387,0.92312,0.9231,0.9231
"M627.173T806.181",0.94185,0.87575,0.87469,0.8738,0.87379,0.87379
"M591.465T1235.608",0.94181,1.0617,1.0638,1.0671,1.0671,1.0671
"M595.261T805.416",0.94143,1.1926,1.2024,1.2033,1.2033,1.2033
"M654.008T318.692",0.9406,0.88001,0.87405,0.87537,0.87537,0.87537
"M266.946T113.686",0.94016,0.8775,0.87383,0.87286,0.87285,0.87285
"M397.074T474.916",0.94007,0.877,0.87088,0.86975,0.86974,0.86974
"M548.979T106.308",0.93998,0.89642,0.89029,0.88944,0.88945,0.88945
"M343.103T489.112",0.93987,0.96023,0.97431,0.97379,0.9738,0.9738
"M673.289T892.945",0.93984,0.92491,0.9186,0.91729,0.91728,0.91728
"M305.082T1122.457",0.93935,0.87428,0.86833,0.8826,0.88259,0.88259
"M469.095T760.602",0.9392,0.90335,0.89688,0.89568,0.89568,0.89568
"M423.224T921.021",0.93886,1.0042,0.99893,0.99751,0.99751,0.99751
"M485.178T783.442",0.9388,0.87323,0.87588,0.87479,0.87479,0.87479
"M435.217T805.716",0.93834,0.94111,0.944,0.94273,0.94273,0.94273
"M767.194T317.413",0.9382,0.87088,0.86565,0.86441,0.86441,0.86441
"M483.209T897.853",0.93768,0.90549,0.89934,0.89814,0.89813,0.89813
"M418.894T1736.453",0.93736,0.95815,0.95172,0.95279,0.95278,0.95278
"M385.188T793.619",0.93723,0.87194,0.86909,0.86871,0.8687,0.8687
"M1201.918T909.936",0.93654,0.87811,0.872,0.87075,0.87076,0.87076
"M393.176T847.594",0.93649,0.89165,0.88564,0.88468,0.88467,0.88467
"M511.24T944.134",0.93602,0.887,0.88172,0.88213,0.88212,0.88212
"M655.873T943.419",0.93514,0.95011,0.94699,0.94605,0.94605,0.94605
"M407.173T414.983",0.93503,0.98477,0.9791,0.98126,0.98127,0.98127
"M1013.86T1346.532",0.93443,0.87607,0.87413,0.87551,0.8755,0.8755
"M341.088T439.204",0.93353,0.88037,0.87414,0.87291,0.8729,0.8729
"M576.861T67.042",0.93281,0.895,0.88905,0.88907,0.88909,0.88909
"M631.863T318.629",0.93253,0.90175,0.8971,0.89761,0.8976,0.8976
"M359.061T194.361",0.9324,0.89906,0.89677,0.89549,0.89549,0.89549
"M274.971T109.977",0.93179,0.95212,0.94701,0.94632,0.94632,0.94632
"M354.957T108.842",0.93168,0.8866,0.88139,0.88035,0.88034,0.88034
"M331.103T255.151",0.93136,0.87846,0.87468,0.8735,0.87349,0.87349
"M567.171T792.05",0.9295,0.86362,0.85806,0.85714,0.85716,0.85716
"M333.191T983.058",0.92928,0.87038,0.89709,0.89703,0.89709,0.89709
"M337.092T724.593",0.92893,0.96793,0.96778,0.96723,0.96724,0.96724
"M653.935T315.929",0.92847,0.86366,0.85807,0.85833,0.85832,0.85832
"M881.515T1351.787",0.92842,0.87062,0.87357,0.87233,0.87232,0.87232
"M289.084T863.831",0.92807,0.94797,0.94116,0.94089,0.94088,0.94088
"M431.759T791.911",0.92759,0.86787,0.87052,0.87118,0.87125,0.87125
"M537.08T758.19",0.92607,0.866,0.86278,0.86171,0.86172,0.86172
"M967.561T1349.704",0.92602,0.91684,0.91047,0.90924,0.90923,0.90923
"M1031.288T315.245",0.92487,0.88287,0.87884,0.87823,0.87822,0.87822
"M819.254T316.358",0.92164,0.90361,0.89832,0.89749,0.89749,0.89749
"M329.088T425.59",0.92159,0.88351,0.87725,0.87647,0.87646,0.87646
"M465.141T849.089",0.92054,0.87376,0.86925,0.87126,0.87126,0.87126
"M559.04T89.345",0.91942,0.85886,0.85289,0.85181,0.85182,0.85182
"M351.085T316.423",0.91925,0.85923,0.85328,0.85215,0.85214,0.85214
"M359.098T671.316",0.91913,0.86984,0.86698,0.86958,0.86961,0.86961
"M265.426T1576.148",0.91905,1.157,1.1487,1.1479,1.1479,1.1479
"M447.222T1194.448",0.91851,0.96333,0.97464,0.97343,0.97346,0.97346
"M1085.513T1348.399",0.91839,0.88,0.8737,0.87248,0.87248,0.87248
"M1037.324T316.098",0.91837,0.85236,0.84664,0.84577,0.84576,0.84576
"M653.861T317.501",0.91739,0.85223,0.84613,0.84516,0.84516,0.84516
"M457.19T799.683",0.91728,0.86049,0.85468,0.8553,0.8553,0.8553
"M998.841T1404.514",0.91727,0.8575,0.87264,0.87146,0.87145,0.87145
"M455.081T704.884",0.91562,0.84992,0.84388,0.84524,0.84523,0.84523
"M1096.195T893.605",0.91544,0.8534,0.85076,0.84989,0.85006,0.85006
"M397.075T138.684",0.91539,0.88199,0.87733,0.87738,0.87737,0.87737
"M420.95T86.132",0.91399,0.93852,0.94659,0.94587,0.94588,0.94588
"M265.093T134.502",0.91389,0.8511,0.84682,0.84778,0.84777,0.84777
"M263.13T940.795",0.9138,0.86809,0.86191,0.86141,0.86141,0.86141
"M272.963T113.946",0.91311,0.85999,0.85956,0.85834,0.85833,0.85833
"M485.168T916.74",0.91273,0.92251,0.9159,0.91477,0.91477,0.91477
"M593.947T757.746",0.91218,0.87952,0.92884,0.92764,0.92763,0.92763
"M699.093T985.159",0.91217,0.85006,0.87225,0.87134,0.87134,0.87134
"M310.969T105.491",0.91195,0.92714,0.92055,0.92077,0.92076,0.92076
"M180.971T1182.798",0.91138,0.85172,0.84562,0.84603,0.84603,0.84603
"M366.994T111.318",0.91128,0.87022,0.86638,0.86547,0.86547,0.86547
"M626.212T761.224",0.91113,0.87414,0.8684,0.86809,0.86808,0.86808
"M970.001T316.098",0.91066,1.2731,1.265,1.2632,1.2632,1.2632
"M415.744T872.34",0.91024,0.8842,0.87814,0.87864,0.87864,0.87864
"M836.522T1479.692",0.91009,0.86567,0.8683,0.86713,0.86713,0.86713
"M357.576T759.445",0.90979,0.8449,0.83944,0.83874,0.83874,0.83874
"M459.149T771.729",0.90956,0.91471,0.90815,0.90726,0.90725,0.90725
"M702.25T942.066",0.90923,0.90092,0.89661,0.89678,0.89677,0.89677
"M434.871T1737.903",0.90881,0.8871,0.88304,0.88273,0.88272,0.88272
"M645.124T781.203",0.90862,0.91078,0.92025,0.91916,0.9192,0.9192
"M289.886T1868.955",0.90861,0.91977,0.9138,0.91354,0.91353,0.91353
"M1053.286T316.584",0.90804,0.84408,0.83918,0.8383,0.83829,0.83829
"M329.088T474.939",0.9079,0.85118,0.84626,0.84515,0.84514,0.84514
"M784.154T761.471",0.90692,0.89702,0.89063,0.88985,0.88984,0.88984
"M1014.585T1348.471",0.90679,0.87699,0.87084,0.86987,0.86987,0.86987
"M655.655T928.688",0.90609,0.84427,0.85164,0.85104,0.85104,0.85104
"M1000.263T316.358",0.90604,0.85262,0.8465,0.84538,0.84538,0.84538
"M489.187T785.097",0.90568,0.9202,0.91373,0.91884,0.91886,0.91886
"M997.575T1403.78",0.90547,0.8404,0.83791,0.83674,0.83674,0.83674
"M661.253T876.035",0.90526,0.89508,0.88984,0.89145,0.89144,0.89144
"M139.002T112.479",0.90484,0.85677,0.85203,0.85139,0.85138,0.85138
"M1014.782T1351.411",0.90472,0.97009,0.9665,0.96659,0.96658,0.96658
"M991.316T318.206",0.90396,0.85186,0.84579,0.84664,0.84663,0.84663
"M289.086T1163.856",0.9036,0.91701,0.91757,0.91683,0.91682,0.91682
"M306.936T1813.234",0.90324,0.85188,0.85088,0.84967,0.84966,0.84966
"M454.975T107.571",0.90311,0.89597,0.89372,0.89426,0.89424,0.89424
