"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X44.D12.1.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X09.X12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Control","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M313.093T320.692","24405.2200","29055.2818","32855.6970","29451.7500","27413.0373","  294.3389","38830.0043","28954.1564","22002.8814","32318.2531","32512.8305","    0.0000","27837.9241","30286.0699","31517.4955","  210.0000","31264.8915","38185.2754"
"M852.339T915.443"," 9474.0333"," 7015.4062","12768.4918","16129.5684","15067.4094","    0.0000","28406.4866","17741.0971","11915.4030","25109.7142","18271.2692","  461.0319","18193.9700","18355.7588","16263.0954","    0.0000","20521.5149","13606.0852"
"M475.187T823.258","1752.9346"," 842.4619","3256.7307","2294.4028","3231.3842","   0.0000","3806.4180","6569.7607","3660.9431","2658.5287","4726.4681","   0.0000","3402.2944","1276.7135","2375.9583","   0.0000","2431.5078","3124.1135"
"M998.861T1404.179"," 6142.119"," 9874.702"," 5422.294"," 9599.034"," 8261.893","    0.000"," 8437.758","10208.024"," 7430.498"," 6338.965"," 9064.140","    0.000"," 7619.146"," 8184.328"," 9924.074","    0.000"," 8888.166"," 7560.925"
"M698.26T899.18","17142.3572"," 5659.1219","28387.2825","32091.8985","11984.2813","    0.0000","65067.6713","24775.5962","29836.3362","63505.0493","37599.2397","  495.1739","27830.7095","29485.8229","28970.8397","    0.0000","21332.5291","21927.5369"
"M721.31T972.44"," 1570.9798","  806.8692"," 2167.7326"," 3809.2732"," 5944.8161","  202.9923","17079.3000"," 2414.1005"," 1794.4434"," 2828.5977"," 1480.6918","    0.0000"," 4008.6062"," 4097.8772"," 4865.6988","    0.0000"," 3840.6481"," 3223.3951"
"M621.052T106.9","4138.527","4645.470","5080.970","4946.262","3637.571","   0.000","5928.845","5175.199","4603.295","5285.602","6555.417","   0.000","4271.758","4283.730","5620.850","   0.000","5910.538","9087.841"
"M289.026T88.643","41204.453","29796.504","26776.739","12474.110"," 4453.375"," 2115.969","41422.208","28045.974","45590.879","21855.065","72933.997"," 1422.007","28597.721","31982.285","24969.526","  240.000","22290.232","38539.709"
"M544.284T936.329","5309.061","5501.255","4084.807","8999.842","6006.193","   0.000","8135.650","4285.407","2680.737","5277.191","6261.875"," 754.819","6605.221","4323.182","4632.183"," 666.000","7793.668","5460.046"
"M379.101T757.973","10050.336"," 9213.669","16109.673"," 5624.219"," 8040.396"," 2333.240","21122.929","11930.174"," 6669.891","12164.070","12180.939"," 2304.867"," 7550.763"," 4451.651","20920.069"," 2150.000","10050.618","10794.133"
"M494.168T786.301","2176.0025"," 527.2618","4521.0841","1996.4868","4055.9724","   0.0000","3036.1342","4201.8574","1976.2302","4987.6145","2774.9614","   0.0000","1861.4600","2931.2967","4156.9131","   0.0000","4848.0522","2833.8464"
"M911.26T1004.032","10204.7800"," 2088.6994","18074.1740"," 9381.0390"," 8653.0194","    0.0000","20948.5632","18796.8566","22254.8975","21713.6429","21321.3314","  683.5845","15781.3393","16545.8263"," 7585.8891","    0.0000","16952.2145","10186.2282"
"M1106.454T890.453"," 7199.3188"," 5676.8943","11408.2936"," 7009.0568","12362.6463","  494.1768","15566.5547","10267.7041"," 9079.0450","13968.7499","14125.7940","    0.0000","11162.2852"," 9433.2911","11446.8700","  317.0000","12907.7532","11102.3115"
"M289.084T863.831","2742.3489","1948.5347","4623.1804","3066.3077","2684.5271"," 255.1460","5703.5584","3474.7814","3685.0177","2889.7911","3954.8057"," 377.9374","2215.2566","4400.9253","2224.9106","   0.0000","2771.0211","3081.6369"
"M473.196T813.174","14169.29","22186.03","43896.90","35431.66","35170.81","    0.00","52783.16","37893.71","27760.93","36553.23","35550.77","    0.00","26131.25","31902.86","36832.11","    0.00","42502.23","63180.58"
"M559.066T758.189"," 5006.076"," 6808.937","10205.468"," 6328.008"," 6136.307","    0.000","12078.122"," 6617.283"," 8387.117","11403.142"," 8788.518","    0.000"," 6730.464"," 2619.030"," 6367.607","    0.000"," 7665.942"," 8283.594"
"M449.004T832.738","  460.8426","    0.0000","  172.5924"," 4201.3328"," 2989.2429","    0.0000"," 7147.5320"," 1873.2147","  995.8056"," 5274.7669"," 4153.0917","    0.0000"," 3148.7671","10309.1378"," 7083.2812","  227.0000","    0.0000"," 1208.4337"
"M343.102T681.368"," 6865.757"," 5748.065","10983.811"," 9376.493"," 5578.774","    0.000","10039.916"," 5691.753"," 2277.279"," 8256.681"," 9848.258","    0.000"," 6983.568"," 8992.285"," 7622.393","    0.000","13871.837","11046.711"
"M497.261T974.778","10313.1365"," 7615.7653","16609.9671","10995.1618","18084.7616","    0.0000","12846.1410","13478.8762","14051.6266","14786.5571","12143.0098","  416.0816","10241.2488"," 9518.6127","11899.4618","  379.0000","23343.1316","12623.5031"
"M661.253T876.035"," 7844.148"," 5916.764","11746.672"," 8257.204"," 5034.060","    0.000","12125.224","10631.922"," 8988.478"," 7061.419"," 9903.337","    0.000"," 9535.465"," 7611.426"," 9074.486","    0.000","12780.815","13244.971"
"M765.729T983.05"," 3101.022"," 7726.501"," 2917.515"," 5604.386"," 4800.637","    0.000","11132.123"," 6417.273"," 6470.288"," 5252.200"," 6533.049","    0.000"," 5449.928"," 3701.063"," 5822.283","    0.000"," 4302.779"," 2810.416"
"M941.317T938.576","10276.0999"," 4847.2375","14191.5784"," 7627.5153","12488.7180","    0.0000","27655.1933","19329.8134","24288.9214","33232.2786","14664.5221","  374.1688","20938.9158","16152.6390"," 5838.1184","    0.0000","13308.3732","10683.7102"
"M1193.041T904.79","16067.4219","13369.6032","29423.8118"," 9445.6623"," 2357.6593","    0.0000"," 8702.8024"," 6699.9218"," 7638.7413","10093.3871","24509.4181","  300.8508","11852.6232"," 8507.3902","12967.2012","  358.0000"," 1326.8187"," 3163.8908"
"M581.283T805.632"," 8810.9017"," 6184.4060","15665.5662","10203.4966"," 9491.0974","  448.0106","14999.6118","13241.5602"," 8989.8011","19087.6046","10735.4068"," 1059.2727"," 7785.9927"," 8698.5363"," 8949.1539","    0.0000","12906.4195","17801.2952"
"M564.929T1201.416","2972.5562","3370.8734","2908.9945","3715.0840","5749.8574"," 677.3882","8531.1569","2551.5214","1645.5331","3212.2824","3432.0231","   0.0000","2812.9717","4126.8525","3807.3096"," 424.0000","2588.5831","1763.4252"
"M728.88T67.591","10701.3891"," 4341.3831","15014.2974"," 2986.9809"," 3728.0670","  190.5946"," 2364.2698","12367.5072"," 9598.7407","31431.6357","45003.8215"," 1074.9444"," 4744.5139"," 3769.8443"," 4144.9429","    0.0000"," 2642.9572","16511.9883"
"M429.504T310.912"," 7223.237"," 8160.305"," 9627.693"," 7635.915"," 8646.310","    0.000","10255.482","12494.812"," 6889.555","10006.075","10323.915","  364.585"," 7587.739"," 8164.298"," 9687.358","    0.000"," 8938.033","11289.874"
"M603.083T90.379"," 4116.482"," 5962.089"," 7825.554"," 5480.523"," 6605.009","    0.000"," 7697.573"," 6254.856","10698.573"," 6513.467"," 4746.357","    0.000"," 6431.335"," 6182.705"," 5278.011","  409.000"," 8708.436"," 8341.520"
"M847.188T757.14","2262.8479","2880.2411","3925.8325"," 749.5215","1324.6224","   0.0000","3742.6538","4684.3332","1579.3952","3209.9626","5826.3076","   0.0000","2808.6613","1954.1865","   0.0000","   0.0000","2683.1702","2157.6145"
