"","FC","log2(FC)","raw.pval","-log10(p)"
"M357.108T784.337",5.3008,2.4062,0.0043275,2.3638
"M1129.441T885.407",4.6051,2.2032,0.0044037,2.3562
"M349.056T728.324",5.1325,2.3597,0.0044069,2.3559
"M335.137T198.47",4.5979,2.201,0.00447,2.3497
"M714.253T913.384",6.8467,2.7754,0.0045952,2.3377
"M349.057T865.046",6.8292,2.7717,0.0046409,2.3334
"M1005.392T917.562",4.7823,2.2577,0.0047208,2.326
"M585.15T892.945",4.7542,2.2492,0.0047248,2.3256
"M264T169.106",3.2621,1.7058,0.0047283,2.3253
"M576.861T67.042",3.5181,1.8148,0.0047339,2.3248
"M609.153T789.212",5.2199,2.384,0.0047522,2.3231
"M518.153T824.178",4.2424,2.0849,0.004764,2.322
"M999.268T316.316",3.325,1.7333,0.0048162,2.3173
"M630.654T314.128",2.9733,1.5721,0.0048433,2.3149
"M653.935T315.929",3.5338,1.8212,0.0048628,2.3131
"M1037.324T316.098",3.2653,1.7072,0.0048864,2.311
"M329.088T425.59",3.1053,1.6347,0.0048891,2.3108
"M316.427T318.614",4.1356,2.0481,0.0049218,2.3079
"M341.259T618.637",8.1278,3.0229,0.0049816,2.3026
"M395.189T761.387",4.9746,2.3146,0.0050244,2.2989
"M653.913T316.046",4.3389,2.1173,0.00518,2.2857
"M709.31T874.193",6.4504,2.6894,0.0052607,2.279
"M669.182T316.584",3.2864,1.7165,0.0052651,2.2786
"M688.263T861.089",9.2615,3.2112,0.0052814,2.2773
"M711.218T782.65",7.4927,2.9055,0.005331,2.2732
"M445.207T780.093",4.9614,2.3107,0.0054085,2.2669
"M1105.431T888.552",3.7281,1.8984,0.0054628,2.2626
"M356.995T88.504",6.0819,2.6045,0.0054778,2.2614
"M367.103T818.837",5.8684,2.553,0.0055028,2.2594
"M351.13T801.057",4.182,2.0642,0.0055377,2.2567
"M279.139T1150.344",294.62,8.2027,0.0056517,2.2478
"M433.777T806.208",5.2481,2.3918,0.0056973,2.2443
"M997.575T1403.78",3.344,1.7416,0.0057241,2.2423
"M379.101T757.973",2.8729,1.5225,0.0057369,2.2413
"M847.188T757.14",3.589,1.8436,0.0058006,2.2365
"M561.217T921.818",4.9286,2.3012,0.0058873,2.2301
"M367.08T114.463",3.7696,1.9144,0.0059487,2.2256
"M1611.697T937.933",32.362,5.0162,0.006015,2.2208
"M405.177T839.252",3.9408,1.9785,0.0060374,2.2191
"M515.105T113.414",3.1547,1.6575,0.0060667,2.217
"M895.304T938.238",8.6667,3.1155,0.0060864,2.2156
"M333.06T88.804",7.503,2.9075,0.006151,2.2111
"M881.515T1351.787",3.5552,1.8299,0.0062051,2.2073
"M1033.603T1229.397",2.6061,1.3819,0.0062325,2.2053
"M437.044T765.875",5.4309,2.4412,0.0062472,2.2043
"M799.191T949.166",5.4334,2.4419,0.0063814,2.1951
"M387.02T108.554",3.1275,1.645,0.0063829,2.195
"M265.093T134.502",3.4729,1.7961,0.0063926,2.1943
"M537.08T758.19",3.289,1.7176,0.0063956,2.1941
"M341.535T617.585",13.133,3.7151,0.0064264,2.192
"M723.346T899.128",3.8322,1.9382,0.0064385,2.1912
"M306.936T1813.234",3.2437,1.6976,0.0064408,2.1911
"M661.142T919.275",12.672,3.6636,0.0066018,2.1803
"M1117.54T932.512",5.3529,2.4203,0.0066277,2.1786
"M487.212T857.117",5.4127,2.4363,0.0066908,2.1745
"M451.125T735.96",4.7927,2.2608,0.0067008,2.1739
"M313.093T320.692",3.327,1.7342,0.0067143,2.173
"M708.241T861.396",7.2498,2.8579,0.0067922,2.168
"M437.041T470.729",5.6549,2.4995,0.0068507,2.1643
"M884.8T66.979",6.7727,2.7597,0.0068773,2.1626
"M365.143T832.741",19.148,4.2591,0.006909,2.1606
"M377.181T797.379",3.7352,1.9012,0.0069223,2.1597
"M693.278T872.306",4.5228,2.1772,0.0069425,2.1585
"M399.275T1363.391",4.8233,2.27,0.0069533,2.1578
"M443.191T791.98",3.7686,1.914,0.0069685,2.1569
"M362.298T315.255",4.3137,2.1089,0.006981,2.1561
"M632.783T316.499",2.8536,1.5128,0.0070107,2.1542
"M476.876T67.016",2.9028,1.5374,0.0070561,2.1514
"M399.165T851.906",3.8264,1.936,0.007068,2.1507
"M1167.557T907.179",5.254,2.3934,0.0070802,2.15
"M1053.286T316.584",3.1194,1.6413,0.0071896,2.1433
"M345.082T140.774",4.7736,2.2551,0.0072379,2.1404
"M529.154T821.794",4.2377,2.0833,0.0072556,2.1393
"M812.842T69.273",4.5735,2.1933,0.0073079,2.1362
"M524.183T892.811",3.6068,1.8507,0.0073152,2.1358
"M988.804T68.066",4.571,2.1925,0.0073592,2.1332
