"","FC","log2(FC)","raw.pval","-log10(p)"
"M695.12T755.765",4.7433,2.2459,0.022116,1.6553
"M405.167T106.416",5.7713,2.5289,0.022169,1.6542
"M590.015T907.684",3.6224,1.8569,0.022195,1.6537
"M203.083T418.775",7.962,2.9931,0.022274,1.6522
"M269.15T1584.952",3.1375,1.6496,0.022467,1.6485
"M475.877T67.555",2.6109,1.3846,0.022538,1.6471
"M549.205T845.853",4.6785,2.226,0.022684,1.6443
"M279.164T1571.945",3.7335,1.9005,0.022706,1.6439
"M924.351T839.79",7.1324,2.8344,0.022886,1.6404
"M349.072T1165.294",3.6673,1.8747,0.022949,1.6392
"M657.266T958.998",3.2701,1.7094,0.023022,1.6379
"M701.195T940.853",5.175,2.3716,0.02313,1.6358
"M698.26T899.18",7.7628,2.9566,0.023181,1.6349
"M392.068T765.784",3.36,1.7485,0.023367,1.6314
"M942.309T937.647",10.042,3.328,0.023413,1.6305
"M521.022T764.729",3.4262,1.7766,0.02346,1.6297
"M1094.293T897.844",4.6984,2.2322,0.023505,1.6288
"M696.3T853.355",6.6283,2.7286,0.023506,1.6288
"M427.038T293.27",4.1451,2.0514,0.023586,1.6274
"M438.049T766.588",4.713,2.2366,0.02369,1.6254
"M657.063T941.851",4.0206,2.0074,0.023709,1.6251
"M699.004T983.059",5.4894,2.4566,0.023713,1.625
"M289.086T1163.856",3.5884,1.8433,0.023812,1.6232
"M477.088T1628.76",3.2796,1.7135,0.023848,1.6226
"M204.975T113.721",3.1993,1.6778,0.024094,1.6181
"M1009.607T1323.757",3.136,1.6489,0.02416,1.6169
"M653.717T312.26",2.0881,1.0622,0.024254,1.6152
"M449.004T832.738",38.744,5.2759,0.024266,1.615
"M923.402T931.508",9.1781,3.1982,0.024314,1.6141
"M423.224T921.021",4.6461,2.216,0.024357,1.6134
"M455.081T744.378",4.5899,2.1984,0.024412,1.6124
"M334.932T113.331",3.3659,1.751,0.024728,1.6068
"M483.129T913.248",10.3,3.3646,0.024741,1.6066
"M310.969T105.491",4.2625,2.0917,0.024814,1.6053
"M983.568T1252.43",5.2732,2.3987,0.024884,1.6041
"M809.324T904.082",5.0128,2.3256,0.025047,1.6013
"M433.351T780.04",5.741,2.5213,0.025098,1.6004
"M280.987T110.997",3.776,1.9169,0.025137,1.5997
"M530.968T106.005",3.7983,1.9254,0.025188,1.5988
"M431.759T791.911",4.2447,2.0857,0.025309,1.5967
"M627.229T851.009",5.4261,2.4399,0.025348,1.5961
"M519.896T67.425",2.9021,1.5371,0.025396,1.5952
"M379.565T877.71",32.476,5.0213,0.025474,1.5939
"M625.178T776.712",3.8451,1.943,0.025616,1.5915
"M286.972T107.919",3.1421,1.6517,0.025801,1.5884
"M593.934T851.064",7.3883,2.8852,0.025889,1.5869
"M491.126T414.484",4.346,2.1197,0.026016,1.5848
"M457.136T788.61",5.2539,2.3934,0.026023,1.5847
"M577.137T781.037",6.5169,2.7042,0.026122,1.583
"M311.138T170.155",4.1422,2.0504,0.026177,1.5821
"M355.067T660.488",2.944,1.5578,0.026182,1.582
"M937.515T1306.76",3.4098,1.7697,0.02653,1.5763
"M418.894T1736.453",4.6497,2.2171,0.026705,1.5734
"M505.3T1291.082",3.3127,1.728,0.026778,1.5722
"M823.337T914.416",6.2659,2.6475,0.02685,1.5711
"M547.234T852.079",4.5515,2.1863,0.02691,1.5701
"M454.975T107.571",4.2704,2.0944,0.02715,1.5662
"M521.224T935.29",4.0939,2.0335,0.027211,1.5653
"M206.988T126.118",3.1296,1.646,0.027278,1.5642
"M579.301T894.416",2.6021,1.3797,0.027302,1.5638
"M279.164T1614.563",3.5486,1.8272,0.027343,1.5631
"M553.164T782.325",3.5739,1.8375,0.027356,1.5629
"M369.569T765.536",2.8085,1.4898,0.027404,1.5622
"M427.197T838.449",4.0146,2.0053,0.027551,1.5599
"M942.469T1308.469",3.4692,1.7946,0.027737,1.5569
"M409.075T744.412",3.9688,1.9887,0.02783,1.5555
"M1035.397T978.889",5.8975,2.5601,0.027928,1.554
"M467.156T971.498",3.9451,1.9801,0.027964,1.5534
"M806.159T933.966",7.0744,2.8226,0.027979,1.5532
"M483.183T857.732",5.672,2.5038,0.028009,1.5527
"M313.275T1417.53",3.0245,1.5967,0.028091,1.5514
"M1014.89T1344.191",3.3695,1.7525,0.028128,1.5509
"M548.179T817.387",5.218,2.3835,0.02844,1.5461
"M999.727T1404.686",2.868,1.52,0.028522,1.5448
"M665.182T815.828",5.6237,2.4915,0.028953,1.5383
"M941.462T1306.809",3.2943,1.72,0.02897,1.5381
"M397.002T110.368",3.476,1.7974,0.02912,1.5358
"M969.321T316.442",2.9607,1.5659,0.029128,1.5357
"M1354.628T902.5",5.2306,2.387,0.029628,1.5283
"M1331.507T909.803",3.688,1.8828,0.029644,1.5281
"M969.939T315.438",3.9119,1.9679,0.029715,1.527
"M728.286T863.521",3.7419,1.9038,0.029765,1.5263
"M495.025T292.616",4.4595,2.1569,0.029858,1.5249
"M545.846T78.22",2.8496,1.5108,0.030163,1.5205
"M255.115T921.266",3.4515,1.7872,0.030291,1.5187
"M409.172T733.287",3.8469,1.9437,0.030449,1.5164
"M576.128T818.314",6.129,2.6156,0.03045,1.5164
"M433.038T831.69",20.749,4.375,0.030463,1.5162
"M281.069T746.743",3.5507,1.8281,0.030512,1.5155
"M968.4T974.568",8.7793,3.1341,0.030677,1.5132
"M851.819T1425.446",5.1858,2.3746,0.030731,1.5124
"M432.997T107.064",4.0378,2.0136,0.030849,1.5108
"M338.162T1582.434",3.0087,1.5891,0.03101,1.5085
"M427.009T107.872",3.9181,1.9701,0.031057,1.5078
"M443.058T752.856",3.5996,1.8478,0.031089,1.5074
"M851.276T990.376",7.0229,2.8121,0.0313,1.5045
"M267.196T1364.412",2.4558,1.2962,0.031367,1.5035
"M1100.582T1225.322",3.009,1.5893,0.031866,1.4967
"M425.165T761.881",3.4406,1.7827,0.031912,1.496
"M564.68T1183.74",2.4058,1.2665,0.031927,1.4958
"M309.119T137.634",4.6087,2.2044,0.031945,1.4956
"M413.108T298.268",3.1613,1.6605,0.032282,1.491
"M1144.448T942.538",7.0078,2.809,0.032386,1.4896
"M833.365T968.818",7.1508,2.8381,0.032682,1.4857
"M441.162T763.637",3.4441,1.7841,0.032726,1.4851
"M697.905T994.286",5.9804,2.5802,0.032835,1.4837
"M420.95T86.132",4.8943,2.2911,0.032999,1.4815
"M1103.384T928.554",4.6277,2.2103,0.033018,1.4813
"M579.151T798.32",5.3413,2.4172,0.033159,1.4794
"M274.971T109.977",4.862,2.2816,0.033326,1.4772
"M489.187T785.097",4.6337,2.2122,0.033433,1.4758
"M435.959T107.38",5.8088,2.5382,0.033504,1.4749
"M309.478T1627.463",2.8966,1.5343,0.033541,1.4744
"M990.329T838.789",9.0936,3.1848,0.033602,1.4736
"M569.273T895.199",3.9525,1.9828,0.033624,1.4733
"M479.19T902.518",2.7829,1.4766,0.033719,1.4721
"M1263.489T907.902",2.9403,1.5559,0.033776,1.4714
"M655.873T943.419",4.9761,2.315,0.034143,1.4667
"M309.465T1630.61",3.0284,1.5985,0.034186,1.4661
"M1209.581T888.373",3.66,1.8718,0.034228,1.4656
"M405.08T802.267",3.5219,1.8164,0.03436,1.464
"M433.784T801.352",3.6187,1.8555,0.034784,1.4586
"M435.217T805.716",3.867,1.9512,0.035017,1.4557
"M361.512T316.902",3.5602,1.832,0.035173,1.4538
"M1030.586T1195.906",2.523,1.3351,0.035361,1.4515
"M417.764T850.924",3.6016,1.8486,0.035416,1.4508
"M967.36T964.868",12.367,3.6284,0.035436,1.4506
"M293.179T1541.097",3.7758,1.9168,0.035449,1.4504
"M367.102T765.544",4.234,2.082,0.03547,1.4501
"M451.174T880.577",9.049,3.1778,0.035613,1.4484
"M463.182T861.112",2.979,1.5748,0.035719,1.4471
"M339.058T415.891",5.967,2.577,0.035783,1.4463
"M315.108T761.986",4.263,2.0919,0.035836,1.4457
"M321.216T1624.59",3.592,1.8448,0.03591,1.4448
"M311.065T863.883",3.4744,1.7968,0.035935,1.4445
"M507.209T930.4",4.2084,2.0733,0.035938,1.4444
"M621.125T857.148",5.1398,2.3617,0.035982,1.4439
"M732.379T69.273",6.4516,2.6897,0.036177,1.4416
"M289.026T88.643",4.571,2.1925,0.0362,1.4413
"M625.024T106.841",4.4463,2.1526,0.036278,1.4404
"M465.141T849.089",3.5795,1.8397,0.036331,1.4397
"M1095.063T894.34",4.1386,2.0492,0.036335,1.4397
"M289.056T250.757",2.7898,1.4802,0.036363,1.4393
"M1162.051T893.06",4.2952,2.1027,0.03637,1.4393
"M448.965T106.062",4.2446,2.0856,0.036483,1.4379
"M1031.288T315.245",3.0852,1.6253,0.036536,1.4373
"M453.035T765.753",3.0348,1.6016,0.036682,1.4355
"M245.094T862.962",8.3185,3.0563,0.036769,1.4345
"M1204.491T868.846",2.28,1.189,0.036845,1.4336
"M1014.419T974.744",10.472,3.3885,0.036994,1.4319
"M337.092T724.593",5.4621,2.4495,0.037222,1.4292
"M359.022T90.408",4.4955,2.1685,0.037525,1.4257
"M403.064T798.991",3.8821,1.9568,0.038184,1.4181
"M1396.865T985.147",11.093,3.4716,0.038379,1.4159
"M1057.411T880.24",5.5743,2.4788,0.038992,1.409
"M1009.554T1308.282",2.9244,1.5482,0.039058,1.4083
"M333.062T954.304",11.155,3.4797,0.039106,1.4078
"M707.828T66.684",3.5941,1.8456,0.0393,1.4056
"M901.161T984.095",5.1421,2.3624,0.03954,1.403
"M589.773T907.878",2.4641,1.3011,0.039639,1.4019
"M865.491T1326.551",3.4824,1.8001,0.039743,1.4007
"M1029.931T1194.947",2.3723,1.2463,0.039944,1.3986
"M950.337T882.881",7.9391,2.989,0.039967,1.3983
"M430.136T769.014",12.944,3.6942,0.040635,1.3911
"M266.366T1577.236",2.8767,1.5244,0.040901,1.3883
"M328.886T98.013",3.9957,1.9985,0.04097,1.3875
"M429.486T320.767",3.2664,1.7077,0.041157,1.3856
"M596.277T932.512",2.0941,1.0663,0.041338,1.3837
"M391.065T766.545",2.3346,1.2232,0.041546,1.3815
"M1308.415T315.705",2.5265,1.3372,0.041681,1.3801
"M969.317T316.321",2.7995,1.4852,0.041792,1.3789
"M951.343T881.927",4.9303,2.3017,0.041801,1.3788
"M268.959T125.12",2.7358,1.452,0.041808,1.3787
"M997.975T1403.846",3.5507,1.8281,0.041955,1.3772
"M569.775T895.343",3.9163,1.9695,0.042084,1.3759
"M865.489T1291.829",2.9534,1.5624,0.042169,1.375
"M559.053T88.871",2.9303,1.551,0.042193,1.3748
"M502.995T105.736",6.4157,2.6816,0.042343,1.3732
"M483.178T941.182",3.7532,1.9081,0.04251,1.3715
"M333.109T769.719",6.4461,2.6884,0.042741,1.3692
"M830.24T316.247",4.403,2.1385,0.042774,1.3688
"M1096.548T894.929",3.7571,1.9096,0.042886,1.3677
"M653.828T318.352",2.8016,1.4863,0.043049,1.366
"M461.037T823.98",8.8052,3.1384,0.043165,1.3649
"M1093.54T895.081",4.0474,2.017,0.04326,1.3639
"M645.124T781.203",5.3718,2.4254,0.04345,1.362
"M684.191T618.708",18.139,4.181,0.043581,1.3607
"M569.35T895.921",4.1568,2.0555,0.043612,1.3604
"M632.847T316.374",3.7679,1.9138,0.04363,1.3602
"M1161.526T895.081",4.0361,2.013,0.043646,1.3601
"M401.18T764.21",3.3936,1.7628,0.044022,1.3563
"M806.978T940.468",6.3473,2.6661,0.044239,1.3542
"M289.065T88.687",3.2752,1.7116,0.044349,1.3531
"M361.481T320.767",3.3721,1.7537,0.044601,1.3507
"M1008.375T923.099",6.2437,2.6424,0.044605,1.3506
"M1323.386T316.247",3.1916,1.6743,0.044985,1.3469
"M438.263T1164.917",3.7726,1.9156,0.04516,1.3452
"M539.134T89.251",3.3132,1.7282,0.045209,1.3448
"M455.193T892.238",5.5292,2.4671,0.045233,1.3445
"M385.077T649.201",2.6337,1.3971,0.045293,1.344
"M333.041T419.397",8.756,3.1303,0.045585,1.3412
"M263.13T940.795",3.3657,1.7509,0.045884,1.3383
"M1095.84T892.791",8.0647,3.0116,0.046327,1.3342
"M241.108T881.116",4.7024,2.2334,0.046366,1.3338
"M1096.195T893.605",3.7234,1.8966,0.046567,1.3319
"M661.226T856.483",5.1402,2.3618,0.046642,1.3312
"M757.441T1176.453",3.2015,1.6788,0.046783,1.3299
"M524.981T106.871",3.6104,1.8522,0.047107,1.3269
"M964.359T921.966",15.262,3.9319,0.047284,1.3253
"M285.243T1390.408",2.3484,1.2317,0.047514,1.3232
"M389.182T799.355",3.6561,1.8703,0.047572,1.3226
"M1161.521T895.466",3.934,1.976,0.047592,1.3225
"M759.145T875.232",11.273,3.4948,0.047805,1.3205
"M867.206T809.129",12.42,3.6346,0.047919,1.3195
"M1103.415T879.391",5.0023,2.3226,0.049392,1.3063
"M418.218T902.438",4.2685,2.0937,0.049418,1.3061
"M431.769T791.594",2.9812,1.5759,0.049441,1.3059
"M1094.047T894.516",4.3367,2.1166,0.049456,1.3058
"M981.364T901.259",3.7294,1.8989,0.049483,1.3055
"M593.857T757.673",5.2454,2.3911,0.049567,1.3048
"M413.179T861.909",26.745,4.7412,0.049897,1.3019
"M927.368T972.44",4.3408,2.118,0.050176,1.2995
"M1143.426T942.716",6.6689,2.7374,0.050236,1.299
"M323.042T818.446",4.3627,2.1252,0.050668,1.2953
"M1039.403T917.165",6.5844,2.719,0.051138,1.2913
"M805.362T924.937",3.4825,1.8001,0.051143,1.2912
"M967.394T924.933",4.1235,2.0439,0.051331,1.2896
"M950.342T882.081",6.1212,2.6138,0.051718,1.2864
"M804.318T962.853",7.8128,2.9658,0.051824,1.2855
"M526.316T1188.04",2.2004,1.1378,0.052217,1.2822
"M317.064T416.942",7.3375,2.8753,0.0525,1.2798
"M857.325T1034.658",15.314,3.9368,0.052672,1.2784
"M399.065T319.722",5.8044,2.5371,0.052784,1.2775
"M723.538T832.745",5.1588,2.367,0.053339,1.273
"M1243.514T983.057",5.3126,2.4094,0.053425,1.2723
"M343.103T489.112",3.4179,1.7731,0.05355,1.2712
"M591.465T1235.608",0.23412,-2.0947,0.053865,1.2687
"M619.189T858.982",4.3054,2.1062,0.054133,1.2665
"M911.26T1004.032",7.6681,2.9389,0.05447,1.2638
"M265.261T1518.666",3.8918,1.9604,0.055386,1.2566
"M728.269T963.544",7.4739,2.9019,0.055422,1.2563
"M1192.04T901.764",2.848,1.51,0.056815,1.2455
"M603.083T90.379",5.006,2.3236,0.056884,1.245
"M655.999T943.196",3.3295,1.7353,0.056992,1.2442
"M773.211T817.036",2.318,1.2129,0.057133,1.2431
"M593.947T757.746",5.9403,2.5705,0.05786,1.2376
"M951.397T1014.118",7.9512,2.9912,0.059576,1.2249
"M861.451T1062.153",3.2237,1.6887,0.059589,1.2248
"M893.38T934.735",8.063,3.0113,0.059999,1.2219
"M559.667T1200.71",3.6225,1.857,0.060561,1.2178
"M305.082T1122.457",3.8265,1.936,0.061028,1.2145
"M265.426T1576.148",5.1581,2.3668,0.061352,1.2122
"M1204.518T908.598",3.0321,1.6003,0.061949,1.208
"M359.123T830.487",4.5659,2.1909,0.062041,1.2073
"M501.195T803.697",4.1822,2.0643,0.062294,1.2056
"M723.577T942.094",3.3222,1.7321,0.062377,1.205
"M1269.507T907.7",2.6965,1.4311,0.063567,1.1968
"M385.113T835.894",6.5612,2.7139,0.063874,1.1947
"M969.4T973.77",6.7691,2.759,0.064036,1.1936
"M847.495T1389.03",3.5165,1.8141,0.06422,1.1923
"M577.255T863.306",3.4872,1.8021,0.064585,1.1899
"M1007.203T89.251",8.0584,3.0105,0.065151,1.1861
"M942.303T939.917",7.9454,2.9901,0.065666,1.1827
"M699.093T985.159",4.1247,2.0443,0.066614,1.1764
"M1097.561T894.34",3.9446,1.9799,0.067165,1.1729
"M407.173T414.983",4.8958,2.2915,0.067337,1.1717
"M705.205T926.435",4.9002,2.2928,0.067996,1.1675
"M1059.606T1053.565",0.41874,-1.2559,0.068876,1.1619
"M385.077T746.611",2.3693,1.2445,0.069434,1.1584
"M232.059T185.959",3.2981,1.7216,0.069892,1.1556
"M779.158T89.251",3.4738,1.7965,0.070174,1.1538
"M967.407T978.889",6.6431,2.7319,0.070447,1.1521
"M567.778T908.116",2.6256,1.3926,0.070514,1.1517
"M597.052T106.853",3.478,1.7982,0.070517,1.1517
"M311.104T1075.82",2.922,1.547,0.070538,1.1516
"M1071.439T878.893",5.2862,2.4022,0.07076,1.1502
"M909.388T926.435",7.5576,2.9179,0.070768,1.1502
"M1036.399T977.849",5.7978,2.5355,0.070966,1.1489
"M848.315T857.496",6.7007,2.7443,0.071477,1.1458
"M271.021T88.704",3.9899,1.9963,0.072793,1.1379
"M567.276T907.878",2.8306,1.5011,0.072989,1.1367
"M863.373T951.624",4.5993,2.2014,0.074579,1.1274
"M297.244T1278.646",2.5037,1.324,0.075706,1.1209
"M570.518T894.146",3.9509,1.9822,0.076499,1.1163
"M471.117T721.976",16.474,4.0422,0.077566,1.1103
"M850.805T68.208",2.729,1.4484,0.080165,1.096
"M1162.945T896.606",3.5506,1.8281,0.082067,1.0858
"M651.363T1268.695",3.8821,1.9568,0.082182,1.0852
"M1136.545T907.7",2.8404,1.5061,0.082216,1.085
"M873.638T939.705",6.7676,2.7586,0.08261,1.083
"M1176.528T983.06",8.6266,3.1088,0.082855,1.0817
"M209.025T89.634",2.8131,1.4922,0.084538,1.0729
"M517.099T802.454",3.7657,1.9129,0.084808,1.0716
"M494.168T786.301",4.6052,2.2033,0.089185,1.0497
"M333.191T983.058",3.778,1.9176,0.08963,1.0475
"M968.365T965.957",4.7413,2.2453,0.090515,1.0433
"M589.271T908.408",2.0905,1.0638,0.091311,1.0395
"M1125.418T877.844",4.6217,2.2084,0.091898,1.0367
"M487.146T735.656",3.8882,1.9591,0.092319,1.0347
"M265.148T1629.604",4.5537,2.187,0.095422,1.0204
"M798.851T67.54",3.0596,1.6133,0.096255,1.0166
"M1397.968T984.092",6.6884,2.7417,0.097377,1.0115
"M590.274T907.848",2.4276,1.2795,0.097745,1.0099
