"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg"
"Label","Control","Control","Control","Fusarium","Fusarium","Fusarium","Fusarium"
"M489.058T766.222","-0.5079287","-0.8657270","-0.7407589"," 0.2531371"," 1.0348128"," 0.6640911"," 0.1623735"
"M851.819T1425.446","-0.08925055","-0.80079023","-0.91026635"," 0.24455230"," 1.05385864"," 0.28761701"," 0.21427918"
"M530.968T106.005","-0.483832945","-0.570949316","-0.493819078"," 0.185345808"," 1.005729152"," 0.367061603","-0.009535224"
"M1009.607T1323.757","-0.51999886","-0.57747428","-0.32441283"," 0.24658372"," 0.97638947"," 0.18563055"," 0.01328222"
"M653.717T312.26","-0.4970583","-0.4893443","-0.1729700"," 0.5162681"," 0.5421923"," 0.3178638","-0.2169516"
"M1031.899T1225.646","-0.32151275","-0.50477582","-0.40720247"," 0.29000448"," 0.30673690"," 0.69488059","-0.05813093"
"M297.119T136.686","-0.4678062","-0.7253285","-0.4959426"," 0.1766309"," 1.0027280"," 0.3718701"," 0.1378484"
"M769.419T945.253","-0.3520670","-0.8442291","-0.6475302"," 0.2495662"," 0.7666740"," 0.3264732"," 0.5011128"
"M1201.918T909.936","-0.54872949","-0.71225775","-0.36933749"," 0.07473917"," 0.93527689"," 0.18957977"," 0.43072890"
"M864.188T806.912","-0.7279942","-0.4335357","-0.4848704"," 0.1459713"," 1.0207750"," 0.1249017"," 0.3547525"
"M865.489T1291.829","-0.52256166","-0.36633241","-0.44081971"," 0.21016369"," 1.00902207"," 0.16512627","-0.05459825"
"M799.191T949.166","-0.7832974","-0.5521043","-0.5002501"," 0.3012803"," 1.0224065"," 0.1866553"," 0.3253097"
"M1263.489T907.902","-0.57799863","-0.36342220","-0.40701714"," 0.02493085"," 0.99749782"," 0.15312060"," 0.17288870"
"M451.174T880.577","-0.5738445","-1.3445460","-0.2955584"," 0.4079388"," 0.9964253"," 0.4682616"," 0.3413233"
"M405.08T802.267","-0.40764384","-0.46839835","-0.57704886"," 0.13310422"," 1.04602226"," 0.29346087","-0.01949629"
"M309.119T137.634","-0.3804888","-1.0972003","-0.2923415"," 0.2494063"," 0.9201407"," 0.4143417"," 0.1861420"
"M385.077T746.611","-0.45702953","-0.37573092","-0.29420070","-0.16271791"," 0.95737957"," 0.07998926"," 0.25231022"
"M1030.642T1193.369","-0.5715585","-0.5503513","-0.2349921"," 0.3909217"," 0.3543795"," 0.2642117"," 0.3473891"
"M429.414T851.13","-0.008024264","-1.138581952","-0.285217592"," 0.414610798"," 0.861005034","-0.005997078"," 0.162205052"
"M723.577T942.094","-0.89173093"," 0.03755824","-0.67537413"," 0.15922488"," 0.92088701"," 0.28414812"," 0.16528681"
"M1071.439T878.893","-0.3768673","-1.3336154","-0.2022021"," 0.3951603"," 0.8577259"," 0.4570751"," 0.2027235"
"M1069.501T1402.821","-0.4390788","-0.4793177","-0.7655273"," 0.3324384"," 0.8607548"," 0.2410827"," 0.2496478"
"M281.07T709.104","-0.71784215","-0.45733408","-0.49047000"," 0.06895811"," 0.80771819"," 0.40763136"," 0.38133857"
"M577.137T781.037","-0.4485088","-0.3622879","-0.9616342"," 0.2714123"," 1.1669968","-0.1201672"," 0.4541890"
"M397.075T138.684","-0.58962419","-0.70886681","-0.29502450"," 0.21146016"," 0.99020051"," 0.09350109"," 0.29835373"
"M653.861T317.501","-0.52157986","-0.69352142","-0.38189712"," 0.34629940"," 0.75454818"," 0.41366781"," 0.08248302"
"M375.104T216.821","-0.6819782","-0.7362412","-0.3102996"," 0.2558200"," 0.9764862"," 0.4241075"," 0.0721054"
"M384.097T310.658","-0.58942053","-0.56549590","-0.40381160"," 0.24539564"," 0.90402985"," 0.45352246","-0.04421992"
"M351.085T316.423","-0.5412443","-0.6213544","-0.4376365"," 0.2116231"," 0.8802062"," 0.4018871"," 0.1065188"
"M460.969T105.772","-0.70592008","-0.40226551","-0.57518363"," 0.32256341"," 1.07256407"," 0.30666930","-0.01842756"
"M665.267T889.419","-0.7066466","-0.7028417","-0.3807895"," 0.3003519"," 0.8857508"," 0.4009314"," 0.2032437"
"M969.939T315.438","-0.2847944","-0.5336767","-0.9685973"," 0.3367604"," 0.4094760"," 0.5157783"," 0.5250537"
"M289.065T88.687","-0.93350050","-0.42211297","-0.12305149","-0.02123834"," 0.91436087"," 0.26090673"," 0.32463570"
"M289.086T1163.856","-0.56649783","-0.85423417","-0.15225747"," 0.07251302"," 0.87619500"," 0.50082404"," 0.12345741"
"M655.873T943.419","-0.56064730","-0.51639857","-0.55084016"," 0.08012919"," 1.16876275"," 0.25933417"," 0.11965992"
"M642.242T817.768","-0.4267208","-0.8244065","-0.5347109"," 0.6188873"," 0.5910797"," 0.3199406"," 0.2559305"
"M695.12T755.765","-0.8623930","-0.2723946","-0.5118855"," 0.2734096"," 1.1130895"," 0.1112699"," 0.1489041"
"M487.016T806.181","-0.3312507","-0.8549043","-0.4620849"," 0.3798636"," 0.9458023"," 0.2101245"," 0.1124494"
"M967.561T1349.704","-0.57082083","-0.69018371","-0.35100807"," 0.23140109"," 1.00555776"," 0.32059707"," 0.05445667"
"M821.606T900.199","-0.6864377","-0.9298289","-0.6210190"," 0.3867864"," 0.9803680"," 0.4568999"," 0.4132313"
"M1095.063T894.34","-0.63008127","-0.32784701","-0.54702579"," 0.20613151"," 1.13461145"," 0.18348184","-0.01927074"
"M279.139T1150.344","-1.1111251","-1.1123954","-1.1286447"," 0.6976152"," 1.5022770"," 0.9652466"," 0.1870264"
"M579.301T894.416","-0.563084064","-0.450742964","-0.279926962"," 0.202129891"," 0.920310335"," 0.163861138"," 0.007452626"
"M593.947T757.746","-0.7958771","-0.1081822","-0.6838709"," 0.1720807"," 1.2976673","-0.1064181"," 0.2246004"
"M367.102T765.544","-0.48327191","-0.64845619","-0.39641433"," 0.04502386"," 1.11808408"," 0.34581304"," 0.01922145"
"M585.15T892.945","-0.6390247","-0.7140502","-0.4339228"," 0.1711117"," 0.9514036"," 0.3287827"," 0.3356997"
"M988.312T316.465","-0.4767574","-0.7814316","-0.2941411"," 0.3472552"," 0.5796151"," 0.3041803"," 0.3212795"
"M735.437T1351.512","-0.67716785","-0.42591545","-0.41947671"," 0.39485902"," 0.95322917"," 0.18650875","-0.01203693"
"M851.154T319.552","-0.5588403","-0.4893013","-0.4336291"," 0.2187390"," 0.9643086"," 0.2204546"," 0.0782686"
"M265.093T134.502","-0.50286900","-0.68636418","-0.40166692"," 0.02124017"," 0.80677067"," 0.49358588"," 0.26930337"
"M575.708T1045.732","-0.5710097","-0.2116457","-0.6971137"," 0.2247764"," 0.8365192"," 0.1723028"," 0.2461707"
"M657.063T941.851","-0.6204977","-0.1558323","-0.9240329"," 0.2740553"," 0.8960940"," 0.2495960"," 0.2806176"
