"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK.2","QC.1","QC.2","QC.3"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Other"
"M609.462T1356.757","660132.30","385762.36","456067.54","448952.93","614687.64","550535.48","233415.11","106520.52","567374.19","520000.00","205659.30"," 13061.39","595172.51","429968.67","539000.00","611000.00"," 10851.62","608018.17","371000.00","565851.16"
"M1051.394T940.951","44927.030","16872.129","43347.171","40864.869","42270.552","30545.541","35140.569","41527.261","36630.564","61400.000","49387.102"," 1361.933","53128.392","48198.362","61200.000","64300.000"," 7911.331","52324.895","69600.000","51495.543"
"M959.579T1341.992","29065.278","34103.347","30449.899","25117.021","42507.527","13317.890","42321.479","34732.728","29272.139","25600.000","21925.205","    0.000","30222.257","31024.226","30100.000","27300.000"," 2249.984","41062.143","35300.000","18715.322"
"M988.369T843.183"," 51139.694"," 29861.580"," 63717.903"," 62445.745"," 68883.514"," 61464.644"," 87006.463"," 84427.533"," 58247.399","125000.000"," 74717.286","  7053.267"," 72899.309"," 62710.873"," 81400.000"," 69400.000","  3858.596"," 72768.271"," 62100.000"," 84775.469"
"M1121.44T843.183"," 32177.86"," 26057.55"," 49409.34"," 39815.09"," 56558.68"," 47472.11"," 87140.04"," 51862.59"," 45227.30"," 72900.00"," 42532.11","     0.00"," 74929.49"," 56043.40"," 97100.00"," 61600.00"," 12846.78"," 55266.98"," 53300.00","106077.57"
"M813.332T1056.081","25222.046"," 9045.224","44566.681","37842.523","35463.851","20933.399","20275.048","44112.322","38056.485","89500.000","44924.234"," 2902.293","47316.607","88839.672","40200.000","59800.000"," 2515.619","55681.067","90400.000","53796.629"
"M821.502T1286.343","218022.996","255858.442","222204.652","285535.623","205388.154","227929.077","186072.883","139928.025","207665.467","268000.000","131084.735","  3262.231","314637.658","197875.248","176000.000","175000.000","  9067.100","200397.037","217000.000","205334.767"
"M869.334T919.017"," 78638.76"," 37092.17"," 88946.69"," 95110.27"," 90406.50"," 87013.68"," 87934.96","117578.37"," 99277.20","181000.00","119595.51"," 12336.35","126217.36","131933.92","109000.00","106000.00"," 14597.44","113498.76","132000.00","125126.98"
"M1011.379T940.951","29705.771"," 6163.440","42917.294","41364.787","44473.599","36960.396","22789.377","52684.014","50892.111","87400.000","58389.125"," 3831.222","45016.804","53662.430","63800.000","60400.000"," 2001.937","61288.485","57700.000","50572.060"
"M333.151T715.669"," 72805.8110"," 22821.3930"," 28034.9570"," 46532.0140"," 83600.0790"," 84835.6170","  6700.6270"," 42905.9640"," 75469.6820","125000.0000"," 53387.7120","   626.5146","109947.1970"," 92546.0770","118000.0000"," 72500.0000","     0.0000"," 60729.0593"," 87500.0000","     0.0000"
"M385.183T1439.992","332611.0","726564.2","295518.9","607327.2","269121.3","352638.5","346060.1","202678.2","197238.0","356000.0","219628.3","199779.7","439824.2","358405.0","185000.0","282000.0","196444.6","235244.2","298000.0","241807.4"
"M1000.358T926.047"," 79630.00"," 53557.70"," 96506.44"," 80367.51"," 90447.58"," 75476.19"," 89876.43","110613.88"," 83823.46","145000.00"," 98027.90"," 16482.60","101912.22","106424.74"," 98500.00","113000.00"," 26801.40","105608.63","102000.00","118304.77"
"M463.37T1506.898","239548.6","247314.2","332567.0","376418.4","245574.3","244703.1","391372.7","321996.2","277803.2","221000.0","223706.9","186583.8","470232.5","192434.7","223000.0","280000.0","210068.9","350387.0","468000.0","326000.2"
"M440.239T1157.441","151103.707","202766.050","226727.784","268932.374","155282.896","155236.336","153561.024"," 91508.059","179034.910","167000.000"," 94149.348","     0.000","313883.883","199002.709","131000.000","118000.000","  6943.076","155936.915","190000.000","140158.855"
"M951.371T927.31"," 48985.064"," 12408.498"," 63647.508"," 52890.410"," 58287.026"," 41103.905","109521.697"," 78387.268"," 59942.361","139000.000"," 61821.586","  4112.353"," 68474.296"," 70066.082","119000.000"," 72800.000","  9507.004"," 89505.211"," 75600.000","111574.122"
"M852.32T958.31"," 45295.73"," 38071.63"," 50124.20"," 73281.98"," 69645.42"," 68707.10"," 63488.92"," 72522.21"," 81835.27","136000.00"," 81497.39","     0.00"," 69780.69"," 90914.77"," 87400.00"," 88700.00","  6058.99"," 98265.78"," 89300.00"," 91016.29"
"M354.276T1307.46","314386.3","421028.4","262680.2","186625.1","286989.8","228481.2","795621.6","268751.1","281382.2","361000.0","412293.0","194472.5","274936.5","188038.1","235000.0","221000.0","206229.7","277682.2","239000.0","303722.0"
"M572.199T910.079"," 48202.073"," 18505.995","130371.448"," 82307.855"," 68428.419"," 80656.341","134705.193"," 92605.986"," 61404.642","109000.000"," 60343.334","  1554.324","109728.253"," 98588.037","111000.000","120000.000","  7289.070","100123.087","172000.000"," 98213.650"
"M319.224T1130.198","158043.19","529046.28","249525.17","352983.60","133112.42","160309.64","283232.89","236633.97","123830.28","130000.00","123757.01"," 38133.23","231625.32","570992.09","170000.00","186000.00"," 49172.19","180983.96","306000.00","195711.55"
"M539.369T1312.999"," 93136.05","100205.90"," 96460.72","140409.08","102488.16"," 89708.08","242144.11"," 70520.88","118948.60"," 69500.00"," 61501.70","121711.44","179448.50"," 82532.07","134000.00","170000.00"," 68804.52","126293.35","163000.00","136219.99"
"M786.289T924.482","28982.889","15353.653","60854.753","53829.408","49406.214","46152.824","67705.374","82190.297","46604.135","90800.000","63307.284"," 4187.421","68835.571","65869.769","67800.000","76900.000"," 1988.582","62650.588","82600.000","84045.573"
"M965.374T872.624"," 30649.294"," 15469.198"," 57264.396"," 74575.591"," 77627.694"," 78634.436","279894.141"," 79505.818"," 64997.055","172000.000"," 60590.356","  6379.105","216968.137","112509.670"," 94800.000"," 83400.000","  8928.226"," 80370.989","119000.000"," 69222.822"
"M851.322T857.905"," 51171.292"," 16471.187"," 57372.225"," 87971.617"," 64176.017"," 64836.678"," 76153.033"," 88996.242"," 61912.844","116000.000"," 68509.146","  4701.200"," 70625.638"," 81185.544"," 87200.000"," 79300.000","  4286.232"," 90522.224"," 88900.000"," 89879.914"
"M574.21T828.514"," 62047.191"," 30657.198"," 76573.056"," 60219.873"," 64875.775"," 66327.440"," 78090.004"," 73022.466"," 77040.887","117000.000"," 92210.941","  5113.126"," 61751.269"," 70256.618"," 91600.000"," 80200.000","  2566.294","101181.159"," 75600.000"," 93234.010"
"M910.351T957.42"," 68968.14"," 49997.23"," 83157.98"," 81839.13"," 91494.34"," 86319.21","104026.19","114187.04","109622.53","182000.00","110869.90"," 14090.40","112511.31","117078.86","110000.00","123000.00"," 23002.02","121728.23","123000.00","111983.61"
