"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","X9.1","X9.2","X9.3","X9.4"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas"
"M936.367T941.78","-0.33997559","-1.12879162"," 0.03082528","-0.07577020"," 0.01062654","-0.16645558"," 0.08103057"," 0.15267470"," 0.09452355"," 0.62589090"," 0.08551773"," 0.02182475"," 0.02739321"," 0.34105541"," 0.23963036"
"M985.385T959.199","-0.396517930","-1.004619374"," 0.038246159","-0.168657464"," 0.150058016","-0.227221237","-0.561419555"," 0.345582114","-0.059670429"," 0.755965676","-0.005445516"," 0.228812873"," 0.129055078"," 0.253547124"," 0.522284465"
"M549.39T1245.233"," 0.032992746","-0.531883058","-0.156830073","-0.144232183"," 0.087077468","-0.513429063"," 1.630660316"," 0.064774385","-0.063070724"," 0.002454237","-0.489392790"," 0.105802218","-0.444955121"," 0.219751501"," 0.200280143"
"M898.349T936.403","-0.410486141","-1.040329272"," 0.026651977","-0.101657459"," 0.077473134","-0.170857945","-0.102300034"," 0.083679213","-0.005526218"," 0.481605258"," 0.092005004"," 0.339031951"," 0.237764256"," 0.234750366"," 0.258195911"
"M871.337T832.505","-0.06437257","-1.63982885","-0.18063643","-0.55574797","-0.01729081"," 0.04282862"," 0.29915003"," 0.34833463"," 0.07383255"," 0.88155053"," 0.50354728","-0.33940261","-0.06228512"," 0.32966051"," 0.38066021"
"M519.185T891.73","-0.517436431","-1.011033266","-0.007673259"," 0.060385793","-0.225660838","-0.040453438"," 0.618755014"," 0.102630848","-0.076451137"," 0.415694891","-0.265216113"," 0.249490944"," 0.297649864"," 0.204007199"," 0.195309929"
"M427.165T783.656","-0.22342254","-1.26442424","-0.09167396","-0.58387696","-0.06943423","-0.27453772"," 0.85854179"," 0.08085490"," 0.18590414"," 0.67207773"," 0.43664874","-0.34777991","-0.08187323"," 0.63767637"," 0.06531914"
"M970.4T881.272","-0.34119314","-1.55739035","-0.36846634","-0.26165304"," 0.26338709","-0.13188672"," 0.31000699"," 0.06826052"," 0.01808138"," 0.84261398"," 0.31834179","-0.15674591","-0.01324162"," 0.60906854"," 0.40081683"
"M1147.442T940.951","-0.39632663","-0.82120282","-0.14394030","-0.15812898"," 0.14431767","-0.20620393","-0.10169130"," 0.55883721","-0.06658461"," 0.98357579"," 0.15763983","-0.05197652","-0.02092093"," 0.23594906","-0.11334354"
"M346.253T1607.605"," 0.009537711"," 0.058879616"," 0.254512502"," 0.082285455"," 0.101887692"," 0.128992577","-0.822962693"," 0.026877259"," 0.262455567"," 0.038542635"," 0.029154372","-0.001172992","-0.179942350","-0.119656245"," 0.130608893"
"M652.416T1356.524"," 0.016090559","-0.396503249"," 0.084269161"," 0.253527929"," 0.051500362"," 0.148417463","-0.608414190","-0.041219451"," 0.172305893"," 0.423850224","-0.645283403"," 0.281884227"," 0.007159555"," 0.062283946"," 0.190130972"
"M874.349T992.353","-0.26041631","-1.20046928"," 0.05865988","-0.10065288","-0.03074536"," 0.01037173","-0.18227102"," 0.18241095"," 0.11517067"," 0.60600655"," 0.15688474"," 0.08386074"," 0.18102690"," 0.15253097"," 0.22763173"
"M958.387T951.54","-0.585090893","-1.374746726","-0.110404123"," 0.022866761"," 0.116292164","-0.003262382","-0.042164043"," 0.334129974"," 0.021225388"," 0.606425797","-0.087902647"," 0.167272003"," 0.222264181"," 0.388706837"," 0.324387711"
"M901.354T973.898","-0.103569556","-1.120563413","-0.206449877","-0.057483630"," 0.156789208","-0.319813677","-0.030251302"," 0.075908998"," 0.030386796"," 0.825870917"," 0.190125208"," 0.007655492"," 0.083243678"," 0.214370124"," 0.253781035"
"M993.368T827.274","-0.272874575","-0.716149880","-0.195387973","-0.305430702"," 0.145514456","-0.248814677"," 0.766513342"," 0.001958606","-0.001214540"," 0.484785850"," 0.155970889","-0.083583372","-0.093469878"," 0.304054488"," 0.058127966"
"M1072.353T784.45","-0.59633480","-0.91108854"," 0.14139834","-0.02026192","-0.34830481","-0.19454665"," 0.55895003"," 0.11793196"," 0.12707593"," 0.28561607"," 0.21558858"," 0.08438983"," 0.19227172"," 0.27288119"," 0.07443308"
"M889.313T769.174","-0.69823452","-0.91982516","-0.02722298"," 0.01562267","-0.25067130","-0.07950484"," 0.77375394"," 0.06112434"," 0.09125188"," 0.51735261"," 0.19645478","-0.04554960","-0.13780280"," 0.51429455","-0.01104356"
"M319.223T1240.387","-0.2976136"," 0.9142980"," 0.1992133"," 0.4347707","-0.3551533","-0.1618225","-0.2463485","-0.0321009","-0.3610318","-0.4418848","-0.4176582"," 0.1291144"," 0.8709993","-0.1125966","-0.1221855"
"M423.198T1436.378"," 0.101887843"," 0.133440176"," 0.113770066","-0.077213889"," 0.060313345","-0.046018078"," 0.140201839","-0.268406170"," 0.005956907","-0.110782626","-0.086542860"," 0.130771629","-0.389904185"," 0.192589807"," 0.099936196"
"M919.363T957.42","-0.375015337","-0.957699294"," 0.166240269"," 0.011375714","-0.023303757","-0.268910096","-0.476538182"," 0.270844768"," 0.107136252"," 0.517903853"," 0.009875275"," 0.189255685"," 0.326071194"," 0.382232734"," 0.120530922"
"M576.483T1456.027","-0.28989968","-0.45843323","-0.08012688","-0.11805910"," 0.08298897","-0.23020300"," 0.09428535","-0.10065246"," 0.85578055","-0.36127045","-0.93331575"," 0.54696675","-0.01846761"," 0.42723315"," 0.58317339"
"M861.498T1154.618"," 0.06857832"," 0.16229566","-0.40906634"," 0.19494288","-0.01083518"," 0.19246658"," 0.97670822","-0.22436665","-0.29486457"," 0.32204799","-0.55109971"," 0.07818779","-0.39934898"," 0.07731362","-0.18295964"
"M449.365T1540.699","-0.19228285","-0.14864649","-0.01119470"," 0.06852791","-0.12767711","-0.11342082","-0.12752894","-0.14726918","-0.02976323","-0.10370693","-0.44923064"," 0.66048230"," 0.05058166"," 0.30896566"," 0.36216335"
"M608.261T1390.374","-0.49260202"," 1.13258445","-0.29794592"," 0.57458248","-0.71126825"," 0.31247032"," 1.86365621","-0.17938088","-0.63280288","-0.87722265","-0.32177096","-0.07075113"," 0.39679382","-0.41744230","-0.27890027"
"M862.51T1288.291","-0.05953257"," 0.02416694","-0.11543247"," 0.48579497","-0.16053238"," 0.27191280"," 0.31272978","-0.20922915","-0.06043816"," 0.17488169","-0.60801728"," 0.49533247","-0.25828049","-0.04727953","-0.24607663"
