"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15"
"M555.363T1275.021",0.015284,0.014854,0.016353,-0.023543,0.010826,-0.0055776,0.042322,0.020307,-0.028424,0.063293,-0.027166,-0.012735,0.049224,-0.017681,0.0079955
"M277.217T1187.469",-0.015236,-0.020523,-0.037696,-0.020052,0.02217,0.0072629,0.034975,0.023625,0.019331,0.055655,-0.012019,-0.056868,0.0043224,0.0024346,-0.0071077
"M670.528T1488.279",-0.000828,-0.005214,0.023151,0.025764,0.0093109,0.014659,-0.0042765,0.041425,-0.031483,-0.0070728,-0.020616,0.015882,-0.0037237,-0.019297,0.0047208
"M679.449T1212.039",0.026974,0.0046149,-0.0064884,0.0014887,0.0035893,0.014041,-0.0031279,0.023865,-0.015421,-0.0075353,-0.010339,0.013346,-0.021106,0.00062087,-0.00023137
"M697.464T1209.593",0.0014466,0.020709,0.046772,0.017072,-0.019428,-0.015559,0.02346,0.026645,-0.007032,-0.043887,0.004278,0.036548,-0.00080928,-0.0080834,0.0018836
"M985.571T1146.934",0.015593,0.0053282,0.011075,-0.0072031,0.006747,0.024853,0.021157,-0.040068,0.0086081,-0.0098584,-0.011615,-0.0039332,0.0021826,0.010859,-0.0018173
"M424.216T1338.866",0.013482,0.011839,0.0019983,0.0085999,0.026117,0.00052498,0.03005,0.0066907,-0.013835,-0.0040044,-0.023466,0.020185,-0.0081308,0.0060129,0.00036086
"M565.409T1275.021",0.013755,0.017456,0.038442,0.010831,0.016699,0.00023902,0.00882,0.012282,-0.023674,0.0029074,0.0038095,0.018418,-0.017501,-0.016398,0.0028841
"M698.466T1253.346",0.0030833,0.019237,0.037143,0.028149,-0.022972,0.00070567,0.013597,0.015884,-0.016715,-0.021274,-0.0046038,0.04665,-0.018275,-0.0056592,0.0045268
"M661.446T1372.452",0.0089853,-0.0024554,0.028901,0.021194,0.002737,-0.010536,-0.0084412,0.016636,-0.0013535,-0.0038868,0.0024634,0.0023514,-0.011789,0.011614,0.0080551
"M695.45T1338.973",-0.0035636,-0.0057478,0.023853,0.018046,0.012073,0.011123,-0.0031819,0.01149,-0.028163,0.016265,-0.0097426,0.02842,-0.01449,-0.017442,0.010452
"M593.49T1490.213",0.0056837,-0.0099223,0.039456,0.021321,0.01638,-0.00098608,0.0031711,0.024815,0.0083336,0.021281,0.0027271,-0.006134,0.0033568,0.011762,0.00383
"M951.567T1289.006",0.011911,-0.0071417,0.029265,0.019346,0.0082256,0.036942,-0.0043454,-0.028737,0.0037913,0.0029818,0.0036069,0.0064541,-0.0011822,-0.026666,0.0043922
"M593.489T1431.043",0.010545,-0.0047515,0.041965,0.018288,0.019063,-0.0022137,0.0066953,0.02331,0.0054633,0.024094,0.0018082,-0.0056459,0.0031082,0.012928,3.8007e-05
"M639.424T1291.55",0.020871,0.013856,0.032046,0.02016,0.0053809,0.021944,0.031018,-0.00020421,-0.016947,0.0047017,0.0018394,0.013966,-0.016202,-0.0046512,0.00092461
"M986.591T1195.638",0.012557,0.014192,0.027092,-0.011792,0.020226,0.010023,0.011546,-0.0323,0.0048932,-0.031462,0.016042,-0.0084292,0.012905,0.0048326,-0.012493
"M591.473T1440.13",0.0069748,-0.0031995,0.050608,0.025607,0.019364,0.00041082,0.011127,0.015345,-0.029683,0.036687,0.025733,0.0097666,0.011254,0.01959,0.0026764
"M590.465T1389.456",-0.0087394,0.0068281,0.056463,0.016555,0.030846,0.022821,0.018319,0.029892,-0.041339,0.036154,0.033696,-0.019809,-0.0060154,-0.029699,-0.0057284
"M631.469T1330.308",0.027047,0.017948,0.041669,0.014257,0.028181,-0.00055806,0.014406,0.029404,0.0017869,0.0041087,0.006371,-0.0012543,0.0018002,0.011824,0.0069339
"M637.415T1439.736",0.0038523,-0.0044274,0.022947,0.01817,0.020325,0.021764,0.012871,0.015762,-0.0036103,0.016925,-0.0064399,-0.011945,0.0061567,0.020404,-7.1402e-05
"M759.217T1590.788",-0.013089,-0.0032265,-0.030091,-0.0015992,0.0087815,0.0074384,0.022536,0.0050221,-0.028563,-0.0085428,-0.0068927,0.022956,-0.001541,0.022036,0.0019167
"M711.441T1125.643",0.015162,0.017676,0.021791,-0.0065939,0.0071239,0.012095,-0.0077212,-0.0075045,-0.014399,0.00071176,-0.024552,0.028595,-0.054972,0.017808,0.0029901
"M810.527T1193.498",0.01645,0.0040717,0.02635,0.017598,-0.0013014,0.015695,0.021591,-0.0071391,0.0024109,-0.011485,0.0099666,-0.032975,0.01739,-0.026531,-0.0030677
"M646.453T1439.754",-0.0022139,-0.0063706,0.021177,0.030034,0.010107,0.017815,-0.0037711,0.019597,-0.0039,0.0048911,0.0032951,0.010286,-0.024942,0.015367,0.0047128
"M379.265T1372.423",0.0045227,0.019452,0.0059842,-0.0051119,-0.0042721,0.00046418,-0.018141,0.0041638,-0.0082296,-0.010565,0.015469,-0.029445,8.7895e-05,-0.00014486,-0.0041945
"M926.605T1358.969",-0.024063,-0.0086008,0.016653,-0.0011239,0.015866,0.012291,-0.012913,0.065789,0.020336,0.014274,0.043171,-0.039485,-0.064598,0.027578,0.0066559
"M951.568T1338.092",0.0096601,-0.0081387,0.025974,0.024572,0.0048212,0.039913,-0.0020625,-0.026575,0.0038016,0.0088709,0.0040114,0.0078879,-0.0041086,-0.026672,0.0060773
"M651.516T1408.532",0.0024455,-0.0036064,0.055546,0.029843,0.0063107,0.00057011,0.025073,0.023317,-0.0013818,0.026339,0.014779,-0.018028,-0.0092757,0.009038,-0.0019029
"M593.49T1557.453",0.010366,-0.0030351,0.041752,0.017249,0.015237,-0.0046377,0.0037485,0.02512,0.0037083,0.020513,0.0007196,-0.0051845,0.0054512,0.013983,0.010138
"M881.483T1130.872",0.016942,0.015015,0.019089,0.0094116,-0.02897,0.0028404,-0.010548,-0.04197,-0.031622,-0.010806,-0.0018347,-0.0073176,0.014636,-0.0079021,0.0026549
"M967.557T1267.284",0.015511,0.0036896,0.010512,0.012573,-0.0030905,0.0038572,0.022044,-0.038,-0.026017,0.0098855,0.014057,-0.0037218,0.021167,-0.020417,-0.007622
"M574.468T1330.445",0.019832,0.0035192,0.046536,0.021224,0.033874,0.019685,0.028666,0.015157,-0.007279,0.0055776,0.013014,-0.0025385,0.026017,0.014217,0.006632
"M668.492T1305.416",0.011821,0.012927,0.050066,0.018639,0.0071569,0.038778,0.025007,0.00095965,-0.036754,0.0097727,-0.0040446,-0.032619,0.011768,-0.0069084,0.018321
"M587.442T1269.605",0.022694,0.02009,0.025511,0.0031444,0.025,0.027975,0.018538,0.0069829,-0.0087476,-0.0028718,0.0030291,0.0081029,-0.018793,0.0095942,0.0055982
"M711.566T1557.453",-0.0084191,-0.0061968,0.020804,0.02783,0.0026795,-0.014659,-0.029891,0.038619,-0.034472,-0.037544,-0.025059,-0.023283,0.017705,0.0091208,0.0051125
"M648.466T1423.012",0.011017,-0.0035212,0.037786,0.032255,0.020864,0.016201,0.0042629,0.045985,-0.0092381,0.0040297,-0.0022455,-0.009169,-0.010772,-0.0081901,0.0053471
"M951.572T1242.045",0.01719,-0.0020781,0.029233,0.015615,0.011545,0.034983,-0.0041634,-0.027418,0.0032011,0.0035794,0.0010727,0.0095851,-0.0031332,-0.028512,0.0018374
"M639.422T1278.929",0.020948,0.0099759,0.030994,0.015953,0.010331,0.012119,0.023014,0.0056251,-0.019972,-0.0041639,0.0068615,0.0046976,-0.0015482,-0.0054973,0.0047816
"M697.259T909.874",0.028692,-0.015629,-0.002146,-0.00039448,-0.009248,0.00071076,0.008786,-0.006674,0.00017374,0.0013445,-0.012514,-0.0072987,0.0059393,0.0018147,-0.0012146
"M593.49T1539.529",0.0035429,-0.0127,0.036913,0.022645,0.016498,-0.0024305,0.0038427,0.025694,0.0052013,0.019175,0.0037595,-0.0084053,0.0041476,0.011115,0.010298
"M711.565T1605.092",-0.012748,-0.010916,0.016411,0.030004,0.002719,-0.012481,-0.029628,0.037946,-0.033071,-0.034516,-0.023487,-0.022875,0.016743,0.0079692,-0.00086471
"M649.479T1423.325",0.0040548,0.0012414,0.030678,0.029789,0.017194,0.0025406,-0.011442,0.060559,0.001128,0.0043305,0.004257,0.0016899,0.016977,-0.0066541,0.0024759
"M723.435T1322.772",0.0022245,0.016336,0.01962,0.0080695,0.012798,0.0044164,0.020151,-0.0063903,-0.016364,0.016172,-0.00045571,0.012684,0.0030776,0.00096569,0.0088722
"M423.198T1506.423",0.0091919,0.018568,0.0086494,-0.0060161,0.0021917,-0.010043,-0.0034053,0.00057341,-0.013121,-0.0060149,0.0020778,0.013297,0.020023,0.016563,-0.0040356
"M727.445T1338.726",0.0032881,-0.0001054,0.015828,0.012707,0.0071431,-0.00030729,0.0050526,-0.020891,-0.018597,-0.017725,-0.019296,-0.019068,-0.0038681,-0.042651,0.0013475
"M986.584T1288.291",0.011661,0.0061787,0.017262,0.00030491,0.027009,0.032516,0.0047355,-0.030761,-0.0020131,-0.033164,0.0010151,-0.0067731,-0.01992,0.033215,0.00075757
"M593.489T1519.555",0.0072753,-0.005664,0.033838,0.0051417,0.022481,0.0049945,0.015739,0.020675,0.019563,0.026012,0.0015489,-0.0086867,-0.037567,0.058128,0.0080294
"M385.184T1473.566",-0.014191,0.010118,0.0083459,0.025371,-0.0033043,0.011493,-0.027501,-0.036023,-0.029786,0.015129,0.028981,0.0084658,0.018711,-0.012376,-0.013683
"M571.362T1440.098",0.00084232,-0.0078653,0.011611,0.014774,0.024057,0.0057107,0.023721,0.030902,-0.018832,0.022868,0.024365,0.030225,-0.014689,-0.02457,0.0058779
"M646.461T1352.771",0.0029473,0.0029669,0.02528,0.025836,0.0034906,0.014213,-0.0067629,0.019531,0.00041762,0.01469,0.012588,-0.0070874,-0.010747,0.021214,0.0025598
"M555.456T1423.317",0.0013639,0.0034668,0.025364,0.023578,0.0019142,0.0031598,-0.0048827,0.035969,-0.021214,0.0096302,0.017104,0.026282,0.024522,0.0015372,0.0044971
"M679.553T1406.451",0.0091455,0.013838,0.030231,0.0091919,0.008084,0.035188,0.0019714,0.036943,-0.0013308,-0.031306,-0.030839,0.033053,0.0014579,-0.056852,0.010321
"M547.402T1437.709",-0.0052704,0.0036089,0.012202,0.025063,-0.0014629,-0.0025645,-0.01144,0.038359,-0.0060755,-0.01373,0.011933,-0.0015426,-0.00208,7.0793e-05,-0.0016646
"M985.575T1306.148",-0.0013079,-0.0041262,0.016649,0.011877,0.0022522,0.031986,0.016756,-0.048138,-0.0031811,-0.00020894,-0.0088158,-0.022797,0.016148,-0.0032973,-0.0029636
"M716.516T1356.112",-0.0077457,-0.0011705,0.025464,-0.0024229,-0.018631,0.0016714,0.015547,0.0076425,0.01839,0.0074637,-0.023086,0.00033516,0.050455,-0.018734,-0.0023802
"M775.526T1457.082",-0.017657,-0.013807,0.017654,0.020408,0.013015,0.01025,0.031076,-0.018072,0.033091,0.0044924,0.0036421,0.0035877,0.0042103,-0.01165,-0.0041455
"M590.446T1338.898",0.00099941,0.014138,0.030422,-0.0016041,-0.015702,0.0014502,-0.0050749,0.034118,0.031398,0.0050615,-0.0079663,0.017556,-0.0072882,0.0018329,0.003401
"M826.525T1288.728",0.0021038,0.0070375,0.032122,0.0091586,-0.01394,0.00076026,0.012415,-0.041046,-0.0026487,0.0042625,0.00085657,-0.014775,-0.028012,0.03839,-0.0047317
