"",f.value,p.value,-log10(p),FDR,Fisher's LSD (top 1000)
M894.333T843.183,4.4703,0.027656,1.5582,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M979.612T1358.969,4.4581,0.027871,1.5548,0.47705,First-tp_Xanthomonas - First-tp_Control; First-tp_Drought - First-tp_Fusarium; First-tp_Xanthomonas - First-tp_Fusarium
M907.344T940.951,4.4492,0.028031,1.5524,0.47705,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M907.342T857.905,4.4435,0.028133,1.5508,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M753.276T940.951,4.4392,0.028211,1.5496,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M668.506T1440.08,4.4341,0.028302,1.5482,0.47705,First-tp_Control - First-tp_Fusarium; First-tp_Drought - First-tp_Fusarium; First-tp_Xanthomonas - First-tp_Fusarium
M433.151T843.183,4.4298,0.028381,1.547,0.47705,First-tp_Fusarium - First-tp_Control
M991.383T954.894,4.4267,0.028437,1.5461,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M804.315T943.327,4.4203,0.028554,1.5443,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M857.33T957.42,4.4191,0.028577,1.544,0.47705,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M806.333T896.321,4.4083,0.028775,1.541,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M947.375T872.624,4.4075,0.02879,1.5408,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M648.466T1423.012,4.4022,0.028888,1.5393,0.47705,First-tp_Xanthomonas - First-tp_Control; First-tp_Xanthomonas - First-tp_Fusarium
M955.384T902.791,4.397,0.028984,1.5378,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M989.369T828.514,4.393,0.029058,1.5367,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control
M961.369T857.905,4.3835,0.029237,1.5341,0.47705,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M700.272T813.875,4.3806,0.029292,1.5333,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M988.382T919.58,4.3671,0.029547,1.5295,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M833.319T926.75,4.3509,0.029858,1.5249,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M1018.384T812.644,4.3325,0.030215,1.5198,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M822.328T902.328,4.3292,0.03028,1.5188,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M861.313T812.644,4.3272,0.030321,1.5183,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M701.265T828.514,4.3126,0.030607,1.5142,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M679.436T1338.726,4.3092,0.030677,1.5132,0.47705,First-tp_Drought - First-tp_Fusarium; First-tp_Xanthomonas - First-tp_Fusarium
M1023.387T857.905,4.2865,0.031133,1.5068,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M984.375T812.644,4.285,0.031162,1.5064,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M425.15T917.809,4.2622,0.03163,1.4999,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M402.157T908.195,4.2602,0.031669,1.4994,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M770.485T1321.424,4.2499,0.031885,1.4964,0.47705,First-tp_Xanthomonas - First-tp_Fusarium
M862.322T959.199,4.2432,0.032025,1.4945,0.47705,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M505.179T828.514,4.2307,0.032287,1.491,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M970.4T881.272,4.2261,0.032385,1.4897,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M798.336T1042.058,4.2209,0.032496,1.4882,0.47705,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M1121.44T843.183,4.2084,0.032763,1.4846,0.47705,First-tp_Drought - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M979.319T755.275,4.183,0.033315,1.4774,0.47705,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M897.335T957.42,4.1784,0.033416,1.4761,0.47705,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M898.349T936.403,4.1284,0.034537,1.4617,0.47705,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M698.269T891.807,4.1101,0.034959,1.4564,0.47705,First-tp_Drought - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M692.521T1354.385,4.1096,0.034971,1.4563,0.47705,First-tp_Xanthomonas - First-tp_Fusarium
M942.381T940.951,4.1081,0.035007,1.4559,0.47705,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M947.38T990.311,4.1059,0.035058,1.4552,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M594.498T1557.26,4.1055,0.035066,1.4551,0.47705,First-tp_Xanthomonas - First-tp_Control; First-tp_Xanthomonas - First-tp_Fusarium
M472.315T1401.37,4.1027,0.035133,1.4543,0.47705,First-tp_Xanthomonas - First-tp_Control; First-tp_Xanthomonas - First-tp_Fusarium
M895.359T935.639,4.101,0.035171,1.4538,0.47705,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M893.333T828.514,4.0939,0.035339,1.4517,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M822.841T1023.188,4.0593,0.036163,1.4417,0.47705,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; First-tp_Fusarium - First-tp_Drought
