"","BLANK_2_Dup1","BLANK_2_Dup2","BLANK_2_Dup3","BLANK_2","C12.1","C12.3","C12.4","C15.1","C15.2","C15.3","C15.4","C9.1","C9.2","C9.3","C9.4","D12.1","D12.2","D12.3","D12.4","D15.1","D15.2","D15.3","D15.4","D9.1","D9.2","D9.3","D9.4","F12.1","F12.2","F12.3","F12.4","F15.1","F15.2","F15.3","F15.4","F9.1","F9.2","F9.3","F9.4","QC.1.Dup","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3","X15.1","X15.2","X15.3","X15.4","X9.1","X9.2","X9.3","X9.4"
"Label","bla_0","bla_0","bla_0","bla_0","con_12","con_12","con_12","con_15","con_15","con_15","con_15","con_9","con_9","con_9","con_9","dro_12","dro_12","dro_12","dro_12","dro_15","dro_15","dro_15","dro_15","dro_9","dro_9","dro_9","dro_9","foc_12","foc_12","foc_12","foc_12","foc_15","foc_15","foc_15","foc_15","foc_9","foc_9","foc_9","foc_9","qcs_0","qcs_0","qcs_0","qcs_0","xvm_12","xvm_12","xvm_12","xvm_15","xvm_15","xvm_15","xvm_15","xvm_9","xvm_9","xvm_9","xvm_9"
"M733.848T12.11","6992.81","6992.81","6992.81","6992.81","5816.5077","6849.54","6951.69","8305.886","6511.467","14517.004","7766.959","8862.292","9642.842","6329.416","7578.668","6651.265","6265.831","8648.143","8514.867","8329.054","5638.807","7892.445","5981.093","6984.65","8355.668","8165.174","5824.469","6611.377","6955.508","5802.646","7450.82","7330.942","8820.382","7454.52","7333.293","15916.561","4903.408","6413.182","5993.99","8806.476","8806.476","5653.677","5644.884","5771.821","6589.549","7820.725","14826.026","6152.418","10587.668","6297.705","5800.74","6105.637","6809.359","9717.199"
"M748.186T13.112","21816.687","21816.687","21816.687","21816.687","22756.746","23238.538","24001.838","21845.022","22605.614","22376.269","23495.356","23648.734","23359.87","23381.352","22577.919","25274.388","21301.944","23485.576","22547.031","21007.66","23344.667","22227.941","22878.318","24592.272","22013.106","22051.958","24723.667","21702.215","21899.082","20952.427","21174.528","24257.2848","23052.363","23482.142","24942.2","23469.274","21988.5","22685.691","22554.172","20378.702","20378.702","23953.089","23242.953","20719.397","22890.777","21696.896","22526.726","23380.181","20351.009","25833.561","21441.764","24872.394","25125.15","23548.581"
"M748.848T18.125","18169.623","18169.623","18169.623","18169.623","24011.032","22883.258","23736.046","23747.125","23075.743","14205.217","19027.542","24167.869","24266.582","19423.994","23273.356","23367.106","22243.964","22060.733","25704.874","34420.397","24735.497","34727.214","22674.946","21398.002","22835.544","19159.306","21985.513","25170.946","18725.213","14853.951","17695.421","34428.978","24024.384","23202.906","22688.64","21864.898","24400.984","22041.812","35043.914","27266.803","27266.803","22148.229","24798.651","22668.415","23930.177","22521.362","21515.89","23275.004","15672.212","24692.842","21247.552","24239.225","22758.724","22336.81"
"M748.852T11.107","10109.638","10109.638","10109.638","10109.638","10740.3185","21273.63","11542.619","13560.467","13958.976","10422.152","12870.16","14644.891","11965.019","16441.176","10274.539","12894.568","10391.382","10276.125","15374.791","12793.247","16864.19","13410.619","11049.973","14825.395","13124.034","12139.483","14009.116","13972.57","9432.692","10634.146","10398.309","10003.487","15169.372","10170.928","10116.386","13618.734","14808.292","12468.022","10366.572","13359.767","13359.767","10047.633","15562.548","11851.769","12394.293","9957.155","14083.323","15690.932","11401.347","16361.515","14215.693","9906.844","15260.61","13886.01"
"M755.848T17.122","8297.079","8297.079","8297.079","8297.079","11670.588","13811.69","16002.317","15324.991","13932.862","10265.81","15889.269","15672.312","13283.961","13151.269","12311.336","15644.794","9926.701","17319.804","15901.849","27044.167","12729.076","12172.564","14782.829","15623.318","18281.709","8864.615","13432.835","12871.941","13793.11","6762.655","11938.486","14956.5839","13503.495","14385.281","14527.171","11436.769","14694.471","13063.521","15411.412","13241.456","13241.456","13189.45","14839.434","13886.656","12900.019","10098.123","11931.08","13061.253","10120.111","15722.421","12458.562","14183.488","14579.608","14879.118"
"M759.846T17.125","17716.857","17716.857","17716.857","17716.857","21812.6378","21485.166","21848.246","22876.634","24408.367","15251.939","22835.057","23480.73","22880.5","22969.934","23341.233","23551.576","22373.934","22470.194","24347.335","20097.628","26981.718","36088.953","25342.941","22852.352","21816.96","18111.66","23164.064","24530.402","23185.507","13659.787","19581.826","22968.9993","23851.954","34745.045","23819.863","20788.297","22190.372","20155.625","24641.859","21418.651","21418.651","22206.42","25249.937","21879.791","24636.873","25263.15","20220.384","26010.037","15865.103","31478.328","22900.496","20628.442","21775.13","24228.367"
"M762.841T18.125","25674.509","25674.509","25674.509","25674.509","51068.731","27975.995","35757.874","34511.42","36036.669","22266.985","27961.62","35714.383","29865.403","33322.268","28408.972","36467.021","30954.994","34896.542","37720.002","49618.075","34092.813","30488.208","34845.274","32548.718","34327.549","30429.014","29017.945","34609.686","30975.183","20583.657","19826.965","51760.818","32990.576","47917.353","38088.186","30915.197","29861.997","33041.661","52368.297","29397.754","29397.754","33080.946","33940.697","32455.074","31323.798","31922.77","29356.075","34340.959","24852.334","42351.408","32009.507","34101.846","33585.242","32862.292"
"M762.847T11.105","15750.144","15750.144","15750.144","15750.144","14516.1098","18846.37","19125.204","19897.64","21153.063","16320.8","17264.894","21040.75","19684.878","15414.155","23147.399","20719.974","13519.629","19176.3","21387.178","17972.533","16540.767","20826.715","19360.354","18279.038","15856.243","21319.286","18790.466","19883.424","16642.623","13823.458","15793.072","14675.2579","21885.945","19615.324","18076.294","14999.866","17259.878","21339.584","18092.337","18531.428","18531.428","16725.964","16601.656","19811.317","20380.96","14462.959","20268.594","20316.768","14930.288","24655.573","15058.223","15046.107","19506.466","20729.758"
"M764.831T18.142","16253.788","16253.788","16253.788","16253.788","20123.2483","19056.693","22688.376","20549.627","18844.021","13672.423","30599.351","20858.388","17755.106","21640.379","20715.962","22709.926","20020.503","21207.432","22284.654","22519.893","22136.595","18974.078","19551.623","22234.504","19198.604","15625.061","21909.832","21183.678","17068.223","15266.763","16241.003","30617.578","20251.697","22015.995","17990.83","18313.67","21194.842","19646.764","27604.278","23928.666","23928.666","20866.842","21703.834","18699.642","20858.926","19779.37","19075.38","21506.216","15349.425","20959.562","19552.482","20171.399","19341.51","21783.154"
"M764.834T11.202","10328.789","10328.789","10328.789","10328.789","28252.3497","19081.072","11101.733","12657.565","11026.05","8764.246","11062.099","10423.45","12715.584","9392.225","9960.141","9727.094","9610.512","10312.366","10128.25","9523.187","21613.331","28057.597","10568.355","10322.407","11689.234","10480.346","9750.052","10021.968","11131.177","10525.271","12114.369","12725.4241","10747.86","24043.525","11165.546","11622.838","11039.043","9799.362","10509.766","14701.283","14701.283","20764.106","12086.15","9713.747","21164.967","9755.536","9494.51","8105.739","12392.258","9182.421","8554.817","8061.566","12395.195","11115.445"
