"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Mock","Mock","Mock","Xanthomonas","Xanthomonas"
"M577.137T781.037"," 0.4340916"," 0.5593738","-0.3114993","-0.5519722","-0.1299940"
"M397.075T138.684","-0.30254847","-0.47554558"," 0.12485655"," 0.09651741"," 0.55672009"
"M653.861T317.501","-0.23440250","-0.47515657","-0.03881752"," 0.23587588"," 0.51250071"
"M375.104T216.821","-0.4391366","-0.5084837"," 0.0358611"," 0.2641168"," 0.6476424"
"M384.097T310.658","-0.31506024","-0.27806110","-0.02801831"," 0.02452461"," 0.59661503"
"M591.094T89.826","-0.26427383","-0.25227864","-0.06146022","-0.11625742"," 0.69427010"
"M351.085T316.423","-0.2856722","-0.3995637","-0.1383741"," 0.3254924"," 0.4981175"
"M460.969T105.772","-0.5060220","-0.0967446","-0.3298103"," 0.3088087"," 0.6237682"
"M241.033T103.182","-0.40740646"," 0.13012803"," 0.03425334"," 0.02037717"," 0.22264792"
"M665.267T889.419","-0.39822895","-0.39307077"," 0.04352602"," 0.05064842"," 0.69712528"
"M969.939T315.438"," 0.03977376","-0.24365861","-0.73895523"," 0.61603525"," 0.32680484"
"M1333.355T942.499","-0.24131193"," 0.55969525","-0.08938983","-0.10474455","-0.12424895"
"M319.083T845.914","-0.2741628","-0.3665680","-0.2683526"," 0.4636665"," 0.4454170"
"M289.065T88.687","-0.7926938","-0.2174809"," 0.1189059"," 0.3897556"," 0.5015132"
"M289.086T1163.856","-0.2501879","-0.6431638"," 0.3155607"," 0.2101440"," 0.3676470"
"M655.873T943.419","-0.2585423","-0.1752533","-0.2400824"," 0.1670107"," 0.5068672"
"M642.242T817.768","-0.06764183","-0.58360807","-0.20775064"," 0.59350209"," 0.26549845"
"M695.12T755.765"," 0.04538586"," 0.53121202"," 0.33400645","-1.34329392"," 0.43268959"
"M487.016T806.181"," 0.15868284","-0.60014456","-0.03090919","-0.06763753"," 0.54000844"
"M967.561T1349.704","-0.3313126","-0.4941112","-0.0315107"," 0.5489556"," 0.3079788"
"M821.606T900.199","-0.3176037","-0.6348941","-0.2323224"," 0.5865512"," 0.5982690"
"M1095.063T894.34"," 0.1337483"," 0.5313106"," 0.2430004","-0.6324021","-0.2756572"
"M279.139T1150.344","-0.39111425","-0.39304489","-0.41774300"," 1.28919456","-0.08729242"
"M579.301T894.416","-0.44585369","-0.30847840","-0.09959761"," 0.48274640"," 0.37118330"
"M367.102T765.544","-0.3321280","-0.5223857","-0.2320863"," 0.3565419"," 0.7300580"
"M585.15T892.945","-0.36621638","-0.45424073","-0.12557893"," 0.09113325"," 0.85490280"
"M988.312T316.465","-0.20807073","-0.57842314"," 0.01391196"," 0.25420967"," 0.51837224"
"M735.437T1351.512","-0.5032535","-0.1238619","-0.1141394"," 0.3277739"," 0.4134809"
"M633.697T313.008"," 0.1115023","-0.9267447"," 0.2596714","-0.1423467"," 0.6979176"
"M851.154T319.552","-0.3191543","-0.2029262","-0.1098751"," 0.1314161"," 0.5005395"
"M265.093T134.502","-0.2618657","-0.4953606","-0.1330875"," 0.5771343"," 0.3131795"
"M575.708T1045.732","-0.05026059"," 0.37990045","-0.20120787","-0.60927644"," 0.48084444"
"M657.063T941.851","-0.18740440"," 0.47980613","-0.62324905"," 0.04406964"," 0.28677769"
"M632.663T319.55","-0.1492780","-0.6217118"," 0.0319734"," 0.3119846"," 0.4270318"
"M593.543T760.107","-0.04611417"," 0.59005152"," 0.16985870","-1.02842837"," 0.31463232"
"M809.433T1339.33"," 0.001753868","-0.239719718","-0.370269300"," 0.141377299"," 0.466857852"
"M1296.442T316.362","-0.24157934","-0.77929058"," 0.06620921"," 0.44485811"," 0.50980260"
"M654.008T318.692","-0.1004473","-0.6807209","-0.1152151"," 0.1498673"," 0.7465161"
"M923.402T931.508","-0.31067557","-0.97982088"," 0.08872469"," 0.50487414"," 0.69689762"
"M428.2T856.891","-0.38369345","-0.71326688","-0.08956321"," 0.35473018"," 0.83179337"
"M281.069T746.743","-0.1943977","-0.3026000","-0.1794415"," 0.3667745"," 0.3096646"
"M703.247T844.715","-0.17271959","-0.66608448","-0.07521362"," 0.59491145"," 0.31910624"
"M590.015T907.684"," 0.02351852"," 0.59335384"," 0.25493251","-0.75875698","-0.11304789"
"M455.081T704.884","-0.29393255","-0.14197558"," 0.05310746","-0.27205986"," 0.65486053"
"M970.813T317.253","-0.2315766","-0.6316474","-0.0473398"," 0.5089533"," 0.4016105"
"M997.575T1403.78","-0.4711585","-0.2757940","-0.2050311"," 0.6423181"," 0.3096655"
"M1053.286T316.584","-0.13361183","-0.63002957","-0.05225918"," 0.34704309"," 0.46885750"
"M575.926T1053.198","-0.3799481","-0.3415939","-0.3129447"," 0.6106366"," 0.4238501"
"M1163.085T907.707"," 0.5346812"," 0.9367853"," 0.6172955","-1.4344658","-0.6542962"
"M421.636T753.774"," 0.2197172"," 0.2033286","-0.4110538","-0.4764457"," 0.4644538"
"M709.31T874.193","-0.37837279","-0.52896263"," 0.03604149"," 0.37550084"," 0.49579309"
"M361.589T316.501","-0.2098513","-0.3630384","-0.3002846"," 0.4478543"," 0.4253200"
"M517.099T802.454","-0.01526995"," 0.07898997"," 0.32258118","-0.20701953","-0.17928167"
"M404.065T806.181","-0.02384831","-0.28112371"," 0.14473704","-0.47359340"," 0.63382838"
"M982.374T904.236","-0.16008885","-0.75320730","-0.05425849"," 0.41714454"," 0.55041009"
"M383.433T314.152","-0.38625840"," 0.05249087","-0.11931602","-0.09455016"," 0.54763370"
"M362.298T315.255","-0.43397064","-0.22017193"," 0.05079756"," 0.49527316"," 0.10807185"
"M1395.396T991.455","-0.37879055"," 0.02080816"," 0.60410516","-0.26043669"," 0.01431391"
"M481.183T769.795","-0.60074301"," 0.09784632","-0.14764069","-0.09059147"," 0.74112885"
"M407.173T414.983","-0.73512210"," 0.21809239"," 0.63765304"," 0.07273191","-0.19335524"
"M1297.451T316.098","-0.1358086","-0.9000274"," 0.1289659"," 0.4584955"," 0.4483746"
"M727.283T864.823","-0.3919576","-0.5919827","-0.1674912"," 0.5249547"," 0.6264768"
"M429.387T309.562","-0.28575076","-0.55372571"," 0.05926002"," 0.03495604"," 0.74526041"
"M1031.84T1213.333","-0.424304222"," 0.015352819","-0.004611896"," 0.363577281"," 0.049986018"
"M937.515T1306.76","-0.21989209","-0.53486069"," 0.04482331"," 0.40683586"," 0.30309361"
"M570.518T894.146","-0.41908238"," 0.46247931"," 0.18814588"," 0.01012479","-0.24166760"
"M1162.717T895.445"," 0.00786755"," 0.44313083","-0.14804240","-0.28196717","-0.02098880"
"M289.446T802.654"," 0.19043010"," 0.51984751","-0.23512695","-0.57506261"," 0.09991195"
"M970.001T316.098","-0.1786507","-0.2521262","-0.3764067"," 0.4670562"," 0.3401274"
"M647.193T836.421"," 0.09614066","-0.75869902"," 0.04045402"," 0.27663368"," 0.34547065"
"M863.184T809.21","-0.36578383"," 0.56512185"," 0.05678022","-0.17813055","-0.07798769"
"M565.23T844.341","-0.4497271","-0.1961110","-0.1519703"," 0.3667854"," 0.4310230"
"M293.118T1042.937"," 0.4478140","-0.8389120","-0.8612357"," 0.9563337"," 0.2960000"
"M483.209T897.853","-0.3177354","-0.5662651","-0.1178644"," 0.4712456"," 0.5306193"
"M1094.047T894.516"," 0.01076602"," 0.55398964"," 0.25765290","-0.65775757","-0.16465099"
"M317.087T121.975","-0.29655889","-0.40170744","-0.01508477"," 0.07430390"," 0.63904721"
"M909.388T926.435"," 0.1121229","-1.1803582"," 0.1723605"," 0.2322626"," 0.6636122"
"M549.258T834.983"," 0.16981867","-1.25067340"," 0.01375658"," 0.52197420"," 0.54512396"
