"","PC1","PC2","PC3","PC4","PC5"
"M517.099T802.454",-0.01077,0.011518,0.0061708,-0.031059,0.0021301
"M404.065T806.181",0.014659,0.05371,-0.012466,0.0025575,-0.0029031
"M982.374T904.236",0.040804,0.0012298,0.017956,0.00081865,0.00013567
"M383.433T314.152",0.015401,0.014657,-0.049411,0.00075148,-0.0023223
"M362.298T315.255",0.020617,-0.026001,-0.0074554,-0.03262,0.0044069
"M1395.396T991.455",-0.002511,0.022837,-0.012121,-0.072667,0.00080167
"M481.183T769.795",0.021586,0.016644,-0.071891,-0.0049804,0.0064252
"M407.173T414.983",-0.0033584,-0.009239,-0.029892,-0.10305,0.0051418
"M1297.451T316.098",0.041595,0.0018506,0.036516,-0.017004,-0.00039557
"M727.283T864.823",0.043424,-0.010038,-0.0082341,-0.0014452,-0.0020956
"M429.387T309.562",0.0355,0.027112,-0.010523,-0.008254,0.010488
"M1031.84T1213.333",0.011374,-0.024718,-0.021375,-0.026397,-0.00087922
"M937.515T1306.76",0.029433,-0.0077873,0.013703,-0.01581,0.0037639
"M570.518T894.146",-0.013316,-0.016092,-0.036035,-0.044591,-0.002214
"M1162.717T895.445",-0.01548,0.0061116,-0.03163,0.017158,-0.002016
"M289.446T802.654",-0.020766,0.025992,-0.03664,0.040923,-0.0016136
"M970.001T316.098",0.025519,-0.022313,-0.010759,0.025026,0.0019804
"M647.193T836.421",0.030447,0.0079904,0.040565,0.0042321,0.003611
"M863.184T809.21",-0.01491,-0.0037268,-0.050919,-0.024368,-0.0010958
"M565.23T844.341",0.026883,-0.013233,-0.028572,-0.0075297,-0.00080794
"M293.118T1042.937",0.041734,-0.045515,0.054739,0.096898,-0.0062418
"M483.209T897.853",0.038556,-0.0084189,-0.001522,-0.0029801,-0.00067637
"M1094.047T894.516",-0.029388,0.029868,-0.028023,-0.017807,0.0028893
"M317.087T121.975",0.030172,0.017673,-0.017019,-0.0043947,0.0021472
"M909.388T926.435",0.047287,0.029509,0.056059,-0.00080321,0.00066858
"M549.258T834.983",0.050728,0.007686,0.068093,0.011202,-0.0020191
"M643.039T106.784",0.026838,0.019734,-0.032973,-0.039729,0.00069676
"M415.744T872.34",0.033753,0.003115,0.027244,-0.0014335,-0.00053198
"M451.125T735.96",0.034254,0.0064269,0.020697,0.019796,0.0044704
"M409.075T744.412",0.019003,0.023786,-0.041167,0.023319,0.0025791
"M457.136T788.61",0.043933,0.026187,0.019354,0.0027642,-0.00029485
"M311.138T170.155",0.034708,-5.1531e-05,-0.022181,-0.007253,0.0033915
"M593.763T756.056",-0.024672,0.075043,-0.047598,0.014081,-0.0032909
"M392.068T765.784",0.009216,-0.00049202,-0.02768,0.0075722,0.00086914
"M433.661T789.942",0.0389,-0.00035699,-0.012237,-0.0037533,-0.00015552
"M919.493T1102.884",0.017192,-0.017808,-0.05359,-0.045131,0.0003038
"M870.649T1317.21",0.0033204,-0.045725,0.028828,-0.010464,0.00055472
"M437.044T765.875",0.041974,-0.0063685,0.001997,0.017544,-0.0014306
"M861.253T1033.436",0.023594,0.053109,-0.032249,0.012808,-0.002825
"M715.427T310.719",-0.0024258,-0.052706,0.00058449,0.020209,0.0018166
"M1095.84T892.791",0.01402,-0.034146,-0.062705,0.097081,0.0065845
"M485.168T916.74",0.039239,-0.0082104,0.0080165,0.00042275,0.0038154
"M355.433T783.665",0.041027,0.028971,-0.018706,0.060814,-0.0004197
"M313.119T883.187",0.037551,0.0049879,0.098756,-0.00010984,-0.0067102
"M433.039T456.919",0.040264,0.066421,-0.021387,0.10212,0.0021665
"M447.259T942.596",0.022475,-0.013176,-0.016442,0.008563,0.0026471
"M355.067T660.488",-0.0069433,0.020339,-0.0010895,-0.048956,-0.0015936
"M1134.038T907.684",-0.045883,0.04339,0.00018472,-0.045442,0.0068063
"M819.254T316.358",0.036085,-0.0040008,0.0056349,-0.016512,0.0058248
"M383.609T322.831",0.021091,0.0073665,-0.03736,0.017118,-0.0032481
"M341.31T626.276",0.040987,-0.02261,-0.018249,-0.0017855,-0.00023438
