"","Comp. 1","Comp. 2","Comp. 3","Comp. 4"
"M433.661T789.942",1.2401,1.188,1.1831,1.183
"M405.167T106.416",1.2384,1.1892,1.1844,1.1843
"M485.168T916.74",1.235,1.1844,1.1797,1.1795
"M225.002T107.866",1.2346,1.1868,1.1823,1.1822
"M1014.811T1344.847",1.2336,1.205,1.2004,1.2003
"M967.36T964.868",1.2327,1.2477,1.2572,1.2571
"M533.169T900.984",1.2323,1.2117,1.2072,1.207
"M1613.665T937.741",1.2282,1.2141,1.2157,1.216
"M942.309T937.647",1.2264,1.2354,1.2355,1.2353
"M747.22T952.211",1.2224,1.2097,1.2046,1.2045
"M609.054T106.871",1.2219,1.1793,1.1774,1.1773
"M969.4T973.77",1.2211,1.2762,1.2727,1.2725
"M1087.412T876.684",1.2205,1.1727,1.1679,1.1679
"M1204.491T868.846",1.2196,1.1687,1.1656,1.1655
"M875.696T1193.301",1.2192,1.168,1.165,1.165
"M343.102T681.368",1.2192,1.1685,1.1644,1.1643
"M924.351T839.79",1.2173,1.1994,1.201,1.2009
"M768.448T1315.096",1.2165,1.1653,1.1617,1.1616
"M851.819T1425.446",1.216,1.1741,1.1748,1.1752
"M657.266T958.998",1.2143,1.19,1.1859,1.1857
"M359.022T90.408",1.214,1.1654,1.1606,1.1604
"M969.321T316.442",1.2135,1.1674,1.1649,1.1647
"M753.298T903.043",1.2112,1.1856,1.1813,1.1811
"M427.197T838.449",1.2094,1.171,1.1662,1.1661
"M513.235T964.262",1.2091,1.1598,1.155,1.1549
"M469.036T876.272",1.2089,1.2608,1.2989,1.2992
"M1125.418T877.844",1.2074,1.2405,1.2368,1.2367
"M395.189T761.387",1.2049,1.1546,1.1498,1.1498
"M401.18T764.21",1.2043,1.1846,1.1801,1.18
"M206.082T164.917",1.2042,1.1943,1.1963,1.1962
"M559.276T958.275",1.2042,1.1766,1.1718,1.1716
"M723.346T899.128",1.2041,1.1728,1.1679,1.1678
"M755.7T809.167",1.2037,1.1824,1.181,1.1808
"M431.759T791.911",1.2007,1.1679,1.1638,1.1636
"M587.201T848.147",1.2,1.1509,1.1466,1.1466
"M187.905T92.369",1.1984,1.1549,1.1502,1.1506
"M982.374T904.236",1.198,1.1604,1.1558,1.1556
"M843.287T936.679",1.1959,1.1837,1.1808,1.1807
"M649.026T106.128",1.1956,1.1496,1.145,1.1449
"M621.052T106.9",1.1944,1.1491,1.1481,1.148
"M555.17T790.902",1.1936,1.1536,1.1504,1.1503
"M1053.272T316.465",1.1912,1.143,1.1385,1.1384
"M632.993T321.252",1.1903,1.1425,1.1377,1.1376
"M521.224T935.29",1.1896,1.1599,1.1554,1.1553
"M661.253T876.035",1.1884,1.1429,1.1381,1.138
"M545.298T995.647",1.1884,1.1514,1.1471,1.147
"M1045.593T1289.364",1.1882,1.1419,1.1372,1.1371
"M1085.513T1348.399",1.1882,1.1381,1.1339,1.1338
"M263.13T940.795",1.1867,1.1463,1.145,1.1451
"M1009.386T967.414",1.1865,1.2391,1.244,1.2438
"M695.298T853.355",1.1844,1.1556,1.1509,1.1509
"M693.278T872.306",1.1834,1.1352,1.134,1.1339
"M1014.782T1351.411",1.1829,1.1484,1.1437,1.1435
"M985.784T316.247",1.1823,1.1512,1.1482,1.148
"M1167.557T907.179",1.1821,1.1624,1.1577,1.1579
"M1296.442T316.362",1.182,1.1543,1.1507,1.1506
"M683.129T316.242",1.1794,1.1347,1.1299,1.1301
"M871.351T913.248",1.1792,1.1294,1.1247,1.1246
"M997.575T1403.78",1.1787,1.1511,1.1472,1.1471
"M373.167T930.605",1.1776,1.1948,1.1899,1.1898
"M393.176T847.594",1.1773,1.1318,1.1276,1.1275
"M621.037T758.225",1.1758,1.1478,1.1454,1.1453
"M1031.347T966.014",1.1757,1.1414,1.1366,1.1365
