"","FC","log2(FC)","raw.pval","-log10(p)"
"M919.334T939.971",0.45161,-1.1468,0.048186,1.3171
"M354.093T469.671",0.27761,-1.8489,0.048395,1.3152
"M329.089T195.942",0.48024,-1.0582,0.049264,1.3075
"M351.13T801.057",0.47879,-1.0625,0.049711,1.3035
"M1063.398T908.83",0.21458,-2.2204,0.049924,1.3017
"M673.289T892.945",0.42562,-1.2324,0.050195,1.2993
"M333.041T419.397",0.20992,-2.2521,0.050973,1.2927
"M819.254T316.358",0.47819,-1.0643,0.051128,1.2913
"M702.25T942.066",0.48269,-1.0508,0.051616,1.2872
"M421.069T767.549",0.28462,-1.8129,0.051717,1.2864
"M323.019T128.103",0.47566,-1.072,0.052215,1.2822
"M393.176T847.594",0.40082,-1.319,0.052443,1.2803
"M274.971T109.977",0.42033,-1.2504,0.052611,1.2789
"M769.419T945.253",0.4478,-1.1591,0.053157,1.2744
"M1197.439T886.215",0.33443,-1.5802,0.05319,1.2742
"M807.007T938.915",0.26293,-1.9272,0.053347,1.2729
"M642.242T817.768",0.48086,-1.0563,0.05471,1.2619
"M1044.425T908.907",0.22615,-2.1447,0.055019,1.2595
"M375.07T470.729",0.2923,-1.7745,0.055957,1.2521
"M702.255T837.404",0.47861,-1.0631,0.056016,1.2517
"M590.274T907.848",2.7851,1.4777,0.056376,1.2489
"M969.321T316.442",0.39802,-1.3291,0.056465,1.2482
"M343.103T489.112",0.23069,-2.116,0.056632,1.2469
"M875.696T1193.301",0.4005,-1.3201,0.05719,1.2427
"M437.041T470.729",0.29464,-1.763,0.057763,1.2384
"M502.995T105.736",0.31339,-1.674,0.057827,1.2379
"M693.278T872.306",0.40656,-1.2985,0.058044,1.2362
"M240.933T64.89",5.3931,2.4311,0.058139,1.2355
"M524.183T892.811",0.44776,-1.1592,0.058192,1.2351
"M427.038T293.27",0.29517,-1.7604,0.058268,1.2346
"M545.846T78.22",0.48529,-1.0431,0.058355,1.2339
"M413.108T298.268",0.35349,-1.5002,0.058393,1.2336
"M1005.392T917.562",0.44409,-1.1711,0.058777,1.2308
"M410.078T615.621",0.091904,-3.4437,0.059247,1.2273
"M463.182T861.112",0.36617,-1.4494,0.059425,1.226
"M703.247T844.715",0.43997,-1.1845,0.059644,1.2244
"M345.119T282.765",0.44169,-1.1789,0.059654,1.2244
"M688.263T861.089",0.34258,-1.5455,0.059702,1.224
"M1087.412T876.684",0.39196,-1.3512,0.060022,1.2217
"M268.959T125.12",0.46371,-1.1087,0.060382,1.2191
"M653.913T316.046",0.4589,-1.1237,0.060397,1.219
"M567.778T908.116",2.2435,1.1657,0.061907,1.2083
"M503.126T874.193",0.45488,-1.1364,0.061926,1.2081
"M456.197T892.811",0.47414,-1.0766,0.062898,1.2014
"M387.034T831.689",0.13662,-2.8717,0.062957,1.201
"M375.104T216.821",0.43457,-1.2023,0.063101,1.2
"M367.08T114.463",0.41642,-1.2639,0.063504,1.1972
"M619.26T816.529",0.3999,-1.3223,0.063614,1.1964
"M293.177T1099.499",0.38434,-1.3795,0.063836,1.1949
"M664.226T813.714",0.34926,-1.5176,0.064166,1.1927
"M539.034T616.33",0.30068,-1.7337,0.065972,1.1806
"M982.374T904.236",0.40513,-1.3035,0.06632,1.1784
"M632.783T316.499",0.48633,-1.04,0.06733,1.1718
"M469.208T948.545",0.23473,-2.0909,0.067705,1.1694
"M401.027T415.826",0.26317,-1.9259,0.068218,1.1661
"M708.241T861.396",0.44846,-1.157,0.068414,1.1649
"M497.261T974.778",0.42261,-1.2426,0.068589,1.1637
"M399.165T851.906",0.47961,-1.0601,0.068891,1.1618
"M471.046T618.546",0.16397,-2.6085,0.069604,1.1574
"M851.338T916.834",0.44031,-1.1834,0.069715,1.1567
"M1136.545T907.7",2.0731,1.0518,0.069898,1.1555
"M969.317T316.321",0.44636,-1.1637,0.069922,1.1554
"M447.05T875.673",0.29609,-1.7559,0.070622,1.1511
"M1129.441T885.407",0.40726,-1.296,0.070842,1.1497
"M427.197T838.449",0.38715,-1.369,0.071785,1.144
"M1167.557T907.179",2.6866,1.4258,0.072682,1.1386
"M495.025T292.616",0.31355,-1.6732,0.072701,1.1385
"M402.053T876.272",3.3747,1.7548,0.075525,1.1219
"M203.083T418.775",0.24891,-2.0063,0.075896,1.1198
"M221.066T891.624",0.31559,-1.6639,0.076488,1.1164
"M433.784T801.352",0.34932,-1.5174,0.077292,1.1119
"M1007.373T920.82",0.42256,-1.2428,0.078358,1.1059
"M683.129T316.242",0.409,-1.2898,0.078701,1.104
"M1031.347T966.014",0.41236,-1.278,0.078844,1.1032
"M1305.428T315.265",0.42428,-1.2369,0.079307,1.1007
"M473.196T813.174",0.31753,-1.655,0.080104,1.0963
"M483.178T941.182",0.31593,-1.6623,0.080814,1.0925
"M589.773T907.878",2.3509,1.2332,0.080901,1.092
"M319.076T917.392",0.14068,-2.8296,0.081114,1.0909
"M562.835T1148.266",0.44845,-1.157,0.081168,1.0906
"M626.212T761.224",0.47766,-1.0659,0.08177,1.0874
"M349.057T865.046",0.4509,-1.1491,0.082387,1.0841
"M625.024T106.841",0.27879,-1.8427,0.082713,1.0824
"M455.021T825.04",0.15803,-2.6617,0.082803,1.082
"M549.205T845.853",0.36896,-1.4385,0.083307,1.0793
"M1095.906T894.31",0.4517,-1.1466,0.083391,1.0789
"M485.178T783.442",0.43465,-1.2021,0.084038,1.0755
"M985.784T316.247",0.4137,-1.2733,0.084204,1.0747
"M569.181T807.905",0.46715,-1.098,0.084461,1.0733
"M585.15T892.945",0.35419,-1.4974,0.085427,1.0684
"M483.183T857.732",0.29915,-1.7411,0.086089,1.0651
"M277.129T811.716",0.4523,-1.1446,0.086308,1.0639
"M969.939T315.438",0.41059,-1.2842,0.086874,1.0611
