"","Comp 1","Comp 2","Comp 3","Comp 4"
"M593.763T756.056",-0.028248,-0.043081,0.08474,-0.028862
"M392.068T765.784",0.0099737,0.010383,0.020984,-0.01181
"M433.661T789.942",0.039549,-0.0041542,0.0067903,-0.010635
"M919.493T1102.884",0.019128,0.025525,0.0034362,-0.066283
"M870.649T1317.21",0.0053632,0.028567,-0.052594,0.01605
"M437.044T765.875",0.0429,-0.0011023,0.0031897,0.015378
"M861.253T1033.436",0.02149,-0.039575,0.061153,-0.017379
"M715.427T310.719",0.00080897,0.052411,-0.025596,0.022276
"M1095.84T892.791",0.018294,0.069237,0.061191,0.038165
"M485.168T916.74",0.039974,-0.0040599,-0.0094514,0.0064122
"M355.433T783.665",0.040662,-0.0181,0.058327,0.030752
"M313.119T883.187",0.035631,-0.050881,-0.059483,0.062159
"M433.039T456.919",0.038099,-0.044358,0.10239,0.055845
"M447.259T942.596",0.023897,0.015017,0.0062819,-0.0023407
"M355.067T660.488",-0.0086109,-0.025232,-0.0078266,-0.040462
"M1134.038T907.684",-0.049311,-0.03783,0.0069826,-0.039799
"M819.254T316.358",0.036442,-0.0092435,-0.012712,-0.0085105
"M383.609T322.831",0.021792,0.0058879,0.036725,-0.011692
"M341.31T626.276",0.043106,0.018571,-0.0028172,-0.010214
"M579.151T798.32",-0.022185,-0.034919,0.036251,0.011137
"M784.154T761.471",0.034691,-0.00066129,0.014309,-0.0084172
"M323.187T1016.246",0.042072,0.029221,0.012985,-0.028446
"M1099.581T1224.487",0.027059,-0.011513,-0.029135,-0.016434
"M206.988T126.118",0.020191,-0.010379,0.036231,0.0043918
"M489.691T902.138",0.051633,-0.00368,-0.037274,0.063705
"M472.901T67.482",0.023965,-0.050296,0.034715,-0.02527
"M685.228T857.881",0.036081,-0.017391,-0.038307,-0.0030333
"M441.162T763.637",0.03405,-0.03152,-0.010996,0.013395
"M1137.546T907.004",-0.011646,-0.048033,-0.0075082,-0.04797
"M963.275T732.778",0.026307,-0.029287,0.024153,-0.0072435
"M991.316T318.206",0.032693,-0.018745,0.0018536,0.017093
"M867.206T809.129",-0.017214,-0.020496,-0.017044,0.059564
"M403.064T798.991",-0.030817,0.0028874,0.052956,-0.023086
"M836.522T1479.692",0.031387,0.023187,0.0037831,-0.027081
"M399.275T1363.391",0.015942,0.017557,-0.011572,-0.027434
"M548.179T817.387",0.032763,-0.011256,-0.055678,0.024814
"M524.183T892.811",0.038139,-0.015375,-0.003442,-0.0071739
"M518.153T824.178",0.028841,-0.018757,-0.0098286,0.010345
"M1096.548T894.929",-0.022811,-0.024438,0.017238,-0.045045
"M999.268T316.316",0.039664,0.0071778,-0.0054517,-0.020024
"M393.081T756.691",0.035657,0.02421,-0.0032323,-0.024535
"M836.743T1479.398",0.030389,0.00063058,0.026759,0.0016053
"M529.154T821.794",0.041271,0.0076599,-0.01757,0.021751
"M487.212T857.117",0.042976,0.014314,0.01476,-0.0048655
"M322.969T105.104",0.0082745,0.010259,-0.053809,-0.015838
"M475.146T746.942",0.036138,-0.0077148,0.029834,-0.040064
"M1323.386T316.247",0.032944,-0.0036407,-0.051736,0.0084416
"M438.049T766.588",0.038747,0.022599,0.010991,0.011431
"M1013.583T1347.533",0.035536,0.0043031,-0.012487,-0.004046
"M407.045T415.442",0.031367,0.010648,0.0058406,-0.013783
"M331.068T223.104",0.026534,-0.026318,0.0096196,-0.0334
"M384.092T841.195",-0.0010518,0.0014905,0.067109,-0.004846
"M1611.697T937.933",0.050188,-0.021835,-0.017023,0.038686
"M465.105T746.988",-0.0068148,0.0050916,0.063107,-0.040064
"M653.913T316.046",0.035167,0.0028471,-0.0038282,-0.041116
"M969.317T316.321",0.038622,-0.013437,-0.01828,-0.00092381
"M354.082T204.227",-0.02443,0.096229,-0.043963,-0.01558
"M311.104T1075.82",0.056026,0.0029778,-0.0085208,0.039125
"M380.071T778.258",0.037045,-0.049055,0.055629,-0.0026025
"M638.078T817.768",0.035658,-0.039225,-0.021161,0.0034368
"M735.222T927.83",0.048388,0.0018831,-0.010763,-0.011192
"M651.317T893.83",0.025764,0.0074641,-0.014626,-0.016413
"M1167.557T907.179",-0.032716,-0.02682,0.0013423,-0.056051
"M221.066T891.624",0.040546,-0.017321,0.034989,-0.0091303
"M204.085T413.719",0.072895,0.046748,0.0082103,0.0057947
"M621.125T857.148",0.020378,-0.019278,-0.0079181,-0.085796
"M453.101T88.055",0.0060969,-0.0053591,0.0091323,0.055208
"M1009.554T1308.282",0.024741,0.02108,-0.0043718,-0.0063884
"M483.178T941.182",0.040873,0.013575,0.0059589,-0.065135
"M1057.411T880.24",0.040689,-0.040942,-0.0045542,0.037422
"M478.295T1238.56",0.0002403,0.015998,-0.045078,-0.0074909
"M469.208T948.545",0.046478,-0.012459,0.033485,0.039208
"M632.993T321.252",0.036274,0.0073198,0.0051911,-0.016805
"M1308.932T316.358",0.039087,-0.01863,-0.021962,-0.0034131
"M771.369T883.552",-0.0049123,-0.041303,0.018626,-0.027337
"M673.289T892.945",0.038963,-0.011221,-0.0035613,-0.017789
"M833.365T968.818",0.048909,-0.039063,-0.0056497,-0.013894
"M893.38T934.735",0.044583,-0.04292,-0.034648,0.045076
"M393.176T847.594",0.038818,-0.013973,0.014427,-0.014859
"M653.935T315.929",0.034882,-0.0057118,-0.011729,-0.0063252
"M865.491T1326.551",0.026366,-0.0058497,0.0027751,-0.014738
"M449.202T630.506",0.034058,-0.0064978,0.022487,0.0043059
"M437.065T776.272",0.010358,-0.017835,0.017199,-0.0095478
"M268.959T125.12",0.035882,-0.015811,0.012392,-0.00939
"M551.272T837.928",0.037123,-0.010363,-0.035193,0.037934
"M456.197T892.811",0.036561,-0.011888,-0.006795,-0.019773
"M356.995T88.504",0.019279,0.013772,-0.0028302,0.047129
"M567.778T908.116",-0.03037,-0.03453,0.01678,-0.037344
"M559.667T1200.71",0.0020578,-0.026078,0.045853,0.044636
"M455.193T892.238",0.050466,-0.023432,-0.010975,-0.045339
"M651.363T1268.695",-0.026125,0.031405,-0.0027328,-0.034092
"M1255.613T888.434",0.010171,-0.014418,0.048221,-0.024994
"M701.195T940.853",0.013713,0.0026771,0.022819,-0.027576
"M573.017T749.518",-0.011267,-0.028103,0.07965,0.004638
"M587.201T848.147",0.036811,0.0097305,-0.0057649,-0.036248
"M429.419T313.767",0.0077286,-0.0046202,0.04542,0.034431
"M1223.501T894.767",0.0090874,-0.012811,0.027419,-0.045818
"M1014.419T974.744",0.05925,-0.034528,-0.0079749,-0.011768
"M383.555T317.319",0.02426,-0.00016294,0.030347,-0.0080712
"M743.208T992.462",-0.013294,0.017315,0.054135,-0.043401
"M1305.428T315.265",0.039968,-0.015028,-0.021275,0.0056345
"M593.857T757.673",-0.024549,-0.03638,0.080385,-0.044433
"M569.35T895.921",-0.02818,-0.03355,0.062197,-0.030705
"M325.2T1323.486",0.020692,0.024398,-0.0019438,0.029239
"M269.103T792.774",0.035624,-0.0017791,0.0063155,0.0045781
"M637.025T106.841",0.03241,0.0013424,-0.030485,-0.024603
"M334.932T113.331",0.016821,-0.0059497,0.036893,-0.014982
"M433.784T801.352",0.044056,-0.020881,-0.0058828,0.021658
"M1197.053T906.963",-0.058458,-0.039833,-0.020053,-0.061498
"M1048.557T894.929",-0.0054314,0.014573,0.054219,0.0010255
"M295.104T156.471",0.032246,0.015491,0.021539,0.0092354
