"","Fold Change","log2(FC)"
"M206.082T164.917",2.5569,1.3544
"M1087.412T876.684",0.39196,-1.3512
"M433.661T789.942",0.39319,-1.3467
"M695.298T853.355",0.39376,-1.3446
"M657.266T958.998",0.39454,-1.3418
"M768.448T1315.096",0.39461,-1.3415
"M475.366T1425.395",0.39469,-1.3412
"M843.287T936.679",0.3948,-1.3408
"M187.905T92.369",0.39497,-1.3402
"M547.145T895.878",0.39529,-1.339
"M643.245T933.361",0.3975,-1.331
"M969.321T316.442",0.39802,-1.3291
"M611.538T834.844",0.39919,-1.3248
"M524.981T106.871",0.39939,-1.3241
"M619.26T816.529",0.3999,-1.3223
"M385.113T835.894",0.40002,-1.3218
"M485.168T916.74",0.4001,-1.3216
"M875.696T1193.301",0.4005,-1.3201
"M393.176T847.594",0.40082,-1.319
"M393.081T756.691",0.40181,-1.3154
"M483.209T897.853",0.40196,-1.3149
"M1204.491T868.846",0.40336,-1.3099
"M967.36T964.868",0.40382,-1.3082
"M395.189T761.387",0.40481,-1.3047
"M982.374T904.236",0.40513,-1.3035
"M433.122T384.02",0.40531,-1.3029
"M665.182T815.828",0.40536,-1.3027
"M654.008T318.692",0.40552,-1.3022
"M413.167T733.785",0.40644,-1.2989
"M693.278T872.306",0.40656,-1.2985
"M225.002T107.866",0.40696,-1.297
"M1129.441T885.407",0.40726,-1.296
"M653.891T318.024",0.40894,-1.29
"M683.129T316.242",0.409,-1.2898
"M909.388T926.435",0.40939,-1.2885
"M343.102T681.368",0.40949,-1.2881
"M494.168T786.301",0.40991,-1.2866
"M812.842T69.273",0.41033,-1.2851
"M359.123T830.487",0.41045,-1.2847
"M969.939T315.438",0.41059,-1.2842
"M1296.442T316.362",0.41143,-1.2813
"M513.235T964.262",0.41186,-1.2798
"M333.109T769.719",2.4273,1.2794
"M615.195T761.983",0.41207,-1.2791
"M806.921T938.616",0.41235,-1.278
"M1031.347T966.014",0.41236,-1.278
"M893.38T934.735",0.41246,-1.2777
"M263.13T940.795",0.41291,-1.2761
"M451.174T880.577",0.41302,-1.2757
"M632.847T316.374",0.41307,-1.2756
"M985.784T316.247",0.4137,-1.2733
"M418.896T66.885",0.41418,-1.2717
"M957.374T926.518",0.41511,-1.2684
"M533.169T900.984",0.41571,-1.2664
"M1613.665T937.741",0.41601,-1.2653
"M373.167T930.605",0.41606,-1.2651
"M367.08T114.463",0.41642,-1.2639
"M432.997T107.064",0.41724,-1.2611
"M587.201T848.147",0.41755,-1.26
"M503.143T589.731",0.41774,-1.2593
"M661.253T876.035",0.41855,-1.2565
"M581.283T805.632",0.41975,-1.2524
"M1009.386T967.414",0.42008,-1.2513
"M427.009T107.872",0.42027,-1.2506
"M353.181T807.324",0.42032,-1.2504
"M274.971T109.977",0.42033,-1.2504
"M809.324T904.082",0.42048,-1.2499
"M627.229T851.009",0.42209,-1.2444
"M1045.593T1289.364",0.42215,-1.2442
"M861.166T878.352",0.42227,-1.2438
"M626.185T785.506",0.4224,-1.2433
"M1007.373T920.82",0.42256,-1.2428
"M497.261T974.778",0.42261,-1.2426
"M402.187T763.436",0.42313,-1.2408
"M359.022T90.408",0.4238,-1.2385
"M1305.428T315.265",0.42428,-1.2369
"M417.764T850.924",0.42458,-1.2359
"M589.773T907.878",2.3509,1.2332
"M673.289T892.945",0.42562,-1.2324
"M476.876T67.016",0.42566,-1.2322
"M1057.411T880.24",0.42575,-1.2319
"M1008.375T923.099",0.42632,-1.23
"M445.095T115.802",0.42711,-1.2273
