"","Comp 1","Comp 2","Comp 3","Comp 4"
"M291.195T1053.001",-0.05851,-0.016162,0.086664,-0.084685
"M821.505T1179.269",-0.07326,0.017997,-0.012257,-0.1185
"M820.327T1006.792",0.077939,-0.10259,0.12954,0.0058828
"M682.262T843.183",-0.062407,0.0093951,0.0157,0.053647
"M576.484T1473.551",0.083385,-0.076223,-0.01364,0.066217
"M764.518T1295.888",-0.076037,-0.10973,0.057846,-0.039934
"M471.313T1295.888",-0.075104,0.027631,-0.098539,0.1498
"M617.506T1594.034",0.073356,-0.1209,0.027374,-0.027797
"M534.402T1422.678",0.066247,-0.13612,0.0096286,0.036975
"M765.518T1313.696",-0.063685,-0.021276,0.016542,-0.044077
"M415.326T1295.888",-0.076405,-0.051018,0.022803,0.047055
"M1102.351T817.469",0.021641,-0.044194,0.14417,0.048509
"M549.424T1473.203",0.072844,-0.097109,0.0063517,0.032789
"M787.545T1575.098",0.10278,0.15168,-0.12853,-0.16991
"M567.43T1421.35",0.052328,-0.011889,0.047647,-0.026169
"M764.517T1325.086",-0.077608,-0.046129,0.030287,-0.040826
"M487.775T1256.694",0.069855,0.055798,0.01679,0.010832
"M677.438T1339.916",0.098226,-0.06933,-0.032906,-0.0036307
"M832.307T992.353",0.072594,-0.15115,0.1241,-0.076983
"M455.315T1295.888",-0.068031,0.0047424,-0.052274,0.062815
"M297.239T1626.197",0.052871,0.036209,-0.078788,0.044442
"M425.216T1401.37",-0.047178,-0.0065169,0.025664,-0.076458
"M430.319T1557.453",0.051094,0.0099197,-0.02248,-0.060191
"M392.284T1436.378",-0.10154,-0.0037843,-0.033696,0.057506
"M386.164T943.456",0.038429,0.0011511,0.123,-0.024358
"M635.491T1472.841",0.042411,-0.044334,-0.054994,-0.065998
"M399.308T1262.042",-0.16612,0.040761,-0.10766,0.057472
"M578.503T1590.788",0.049668,-0.039831,-0.056356,-0.14104
"M549.428T1523.962",0.075833,-0.057675,0.0076891,0.026235
"M807.348T918.929",0.062178,0.062305,0.30279,-0.060151
"M542.478T1573.977",0.11097,0.1265,-0.05947,0.02647
"M522.261T1109.944",-0.078577,0.0012237,0.029421,-0.20215
"M425.215T1355.365",-0.039701,0.013531,0.0064051,-0.033642
"M605.427T1490.314",0.067015,-0.068838,0.014652,0.050256
"M475.412T1607.605",0.094182,0.17786,-0.075925,-0.010231
"M330.263T1492.022",-0.051706,-0.045041,-0.0094364,0.025937
"M629.463T1474.173",0.054381,-0.053457,-0.056461,-0.024408
"M722.259T892.9",-0.17106,-0.26332,0.12203,-0.11637
"M737.493T1439.78",0.062987,-0.028605,0.077097,0.037946
"M523.599T1382.768",-0.076409,0.0055973,0.0033004,-0.11474
"M549.431T1507.08",0.076141,-0.031804,-0.016544,0.040359
"M351.179T1358.969",-0.041353,-0.056423,0.021283,0.025666
"M330.262T1456.934",-0.045375,-0.050936,0.016156,0.10603
"M576.484T1557.453",0.093753,-0.046885,-0.073086,-0.0056509
"M467.383T1523.593",0.071295,-0.097104,-0.021895,0.13602
"M951.603T1424.253",0.14745,-0.0023441,-0.0062408,-0.04101
"M477.403T1542.988",0.04967,-0.10711,0.011311,0.034309
"M477.407T1590.788",0.052527,-0.083965,0.030619,0.050494
"M549.426T1489.95",0.075954,-0.090605,-0.001191,0.05486
"M471.336T1557.26",0.066222,-0.092072,0.014775,0.095141
"M330.263T1439.913",-0.048463,-0.042419,0.016792,0.092226
"M629.529T1601.79",0.091556,0.012175,-0.1072,0.020031
"M449.369T1557.545",0.055336,-0.12235,-0.069728,-0.071604
"M576.533T1641.124",0.12407,0.074921,-0.062477,0.03378
"M619.438T1245.233",-0.12736,-0.12811,-0.05488,0.02216
"M652.503T1490.314",0.056984,-0.045451,-0.15531,0.016825
"M313.161T1621.4",0.058643,0.049355,-0.055486,0.059733
"M295.151T1624.873",0.039232,0.01185,0.025866,-0.064381
"M772.55T1170.538",-0.10239,0.058456,0.035054,-0.17436
"M494.565T1319.161",-0.050243,-0.047208,-0.16427,0.033035
"M423.321T1473.286",0.031888,-0.1153,-0.081777,0.055127
"M722.581T1518.016",-0.15175,0.14737,-0.0079375,-0.12254
"M535.447T1540.43",0.059481,-0.052269,-0.073971,0.015741
"M477.398T1574.327",0.049585,-0.10696,0.010973,0.034538
"M691.433T1253.346",-0.056707,-0.048865,-0.0012393,-0.016157
"M605.416T1473.993",0.063535,-0.091465,-0.035223,0.13789
"M465.26T1373.143",-0.071279,0.062076,0.03265,0.11248
"M341.283T1305.932",-0.12764,0.067836,-0.11864,0.082102
"M330.261T1473.013",-0.037751,-0.048316,0.021218,0.12478
"M533.435T1510.689",0.085248,-0.086762,-0.005542,-0.0070348
"M471.796T1446.028",-0.066806,-0.025728,0.036763,0.077994
"M339.172T1490.329",0.079785,0.1147,0.031744,0.01401
"M558.46T1591.049",0.0637,0.024783,-0.11883,0.052183
"M516.434T1624.418",0.058812,0.17684,-0.01006,0.050751
"M722.58T1595.75",-0.12287,0.16306,-0.028368,-0.0076706
"M477.343T1423.013",-0.020264,-0.011325,0.064893,0.051463
"M332.328T1440.13",-0.052735,-0.034755,0.082117,0.024951
"M494.563T1509.9",0.082462,0.023239,-0.10499,0.03017
"M481.362T1591.564",0.052782,0.063615,-0.045326,0.13408
"M443.333T1262.042",-0.16725,0.021705,-0.10509,0.078028
"M510.367T1523.593",0.039612,-0.030384,-0.034051,0.016377
"M545.456T1607.833",0.059778,0.028633,-0.068451,-0.16884
"M669.539T1543.447",0.048124,-0.070006,0.045472,-0.051028
"M669.531T1507.08",0.06103,-0.082785,0.0012724,-0.06302
"M629.509T1624.418",0.094722,0.045128,-0.10834,-0.055284
"M383.284T1439.726",-0.069131,0.012323,-0.039799,0.023454
"M589.501T1621.712",0.066003,0.087612,-0.076095,-0.1714
"M534.444T1557.26",0.074733,-0.00027705,-0.051543,0.021104
"M494.565T1422.678",-0.025854,-0.049638,-0.15402,0.035963
"M516.411T1568.021",0.037362,0.07568,0.0084609,0.017649
"M492.408T1557.26",0.047541,0.0084577,-0.0041211,-0.054825
"M533.436T1590.96",0.034789,-0.033572,0.16453,0.086154
"M628.514T1473.756",0.092803,-0.051297,-0.020947,-0.029845
"M628.529T1624.373",0.060686,0.036986,-0.11383,-0.048254
