"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","X9.1","X9.2","X9.3","X9.4","QC.1","QC.2","QC.3","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","X12.1","X12.2","X12.3"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M1131.542T920.434"," 0.44711379","-0.34785859","-0.26875468"," 0.52509234","-0.16697362","-0.08541219"," 0.69973099","-0.60619375","-0.31444388"," 0.28984353"," 0.02877415","-0.08745634","-0.05770884"," 0.14203830","-0.23764210","-0.33214330"," 0.02768033","-0.31824464"," 0.16161451"," 0.61928166","-0.63119988"," 0.66788447","-0.37804322","-0.15719984"," 0.45584164"," 0.46146769","-0.16921117","-0.25547256","-0.25638405"," 0.14397924"
"M425.376T1574.185","-0.13918008"," 0.19854373"," 0.48752000","-0.02876392"," 0.17727384","-0.38946423","-1.32558239"," 0.33454577","-0.03334001","-0.14412786","-0.47264339"," 0.17674565"," 0.21528256"," 0.08106512","-0.24858031"," 0.36784930"," 0.04147997","-0.52710109"," 0.38858973","-0.03437114","-0.22338980"," 0.40439235"," 0.13685410","-0.42651798"," 0.21638540","-0.06984274"," 0.61205335","-0.13178546","-0.16078266"," 0.51689218"
"M588.498T1591.739","-0.20027614","-0.06967801"," 0.03032523"," 0.74798457"," 0.34218699","-0.30566874","-0.77824286","-0.28145607"," 0.38417063","-0.44946481","-0.03919291"," 0.66313982","-0.25218199","-0.03387045","-0.53329219"," 0.15639372"," 0.68426657","-0.31430754","-0.08055552","-0.41095334","-0.03317310","-0.04282479","-0.42315001","-0.65049735"," 0.72640010","-0.15306499"," 1.73376235","-0.49380863","-0.60162616"," 0.67865560"
"M281.915T1831.297","-0.184496389","-0.098032974"," 0.015804473","-0.164851269"," 0.255175144","-0.058411708"," 0.064798440","-0.101158769"," 0.092119201","-0.329311955"," 0.031205017","-0.203164943"," 0.219897313"," 0.271536144"," 0.004857244","-0.234320328"," 0.211911363","-0.262769036"," 0.053860839"," 0.030066466","-0.130517974"," 0.138970847"," 0.102874312","-0.114166504"," 0.012574545","-0.338315732"," 0.394837699"," 0.140420929","-0.074812308"," 0.253419912"
"M635.243T900.968"," 0.34178638","-1.08913342","-0.50275162","-0.11647604","-0.08882193"," 0.28623743","-0.34129928","-0.16439448"," 0.10477608"," 0.75696752"," 0.68349509","-0.14619214","-0.39045585","-0.21071481"," 0.04038061"," 0.13164247","-0.27933836"," 0.12154022"," 0.44244570","-0.10269927","-0.12938863"," 0.13580252","-0.23966258"," 0.48818091","-0.27399708"," 0.11423012"," 0.52716640","-0.04086726","-0.24431089"," 0.18585219"
"M829.58T1573.977","-0.22385378"," 0.12319826","-0.07284672","-0.44717014"," 0.20362663","-0.31612036","-0.94769145"," 0.23564108"," 0.14800859"," 0.16538612","-0.44959493"," 0.11062186"," 0.27773077"," 0.63719993","-0.17053640"," 0.04355830","-0.15856652","-0.25733938","-0.53793567"," 0.05479547","-0.11868176"," 0.25896744"," 0.95126417","-0.25562526","-0.22753384","-0.08392443"," 0.52844970"," 0.24815994"," 0.08128755"," 0.19952483"
"M845.591T1540.701","-0.4111283046"," 0.1256160628"," 0.2693977340","-0.0787716732","-0.0352949815","-0.5019544250","-0.8322556661"," 0.2159520003"," 0.1082654320"," 0.1516635982","-0.3578391002","-0.2188813017","-0.0007584831"," 0.7047561716","-0.1059708710"," 0.2989813737","-0.2517730835","-0.2607488857"," 0.1562875398","-0.0965593297","-0.5407175854"," 0.3948118049"," 1.1709735323","-0.6512674567","-0.4428414759","-0.0412520127"," 0.5802155553"," 0.0035483279"," 0.0781932227"," 0.5693522809"
"M886.576T1624.867","-0.13167280"," 0.52505042"," 0.10320165"," 0.09428763"," 0.14223575","-0.96456041","-0.31495025"," 0.37075741"," 0.32090596","-0.47058906","-0.09544461","-0.58895959"," 0.52501068"," 1.14106523","-0.50863531"," 0.50054189","-0.62454842","-0.45143786","-0.01471514","-0.14304338","-0.81364675"," 0.36315023"," 1.37892931","-0.51870217"," 0.02471888","-0.43191529"," 0.66744229","-0.32462871","-0.24006413"," 0.48021655"
"M882.581T1540.697","-0.83869139"," 0.59503916"," 0.18181732","-0.19654389"," 0.72850167","-0.77347556","-0.53974550"," 0.55022045"," 0.27556917","-0.35662818","-0.45431095","-0.51852486"," 0.64143757"," 1.49086273","-0.50257870"," 0.49059073","-0.39762224","-0.61250004"," 0.02790589","-0.23810478","-0.26502549"," 0.55942405"," 1.95104073","-0.95299002","-0.34132781","-0.66032098"," 0.61262799","-0.37973388","-0.34752512"," 0.27061193"
"M628.513T1455.855","-0.31182129"," 0.12344444"," 0.24782498"," 0.30390697"," 0.09373136","-0.05502540","-0.94275735","-0.53345439"," 0.51346968","-0.14331603","-0.66497124"," 0.44257200"," 0.19303958","-0.32893005","-0.07692834","-0.32201757"," 0.75823613","-0.26096843","-0.72693268"," 0.07933931","-0.18602562"," 0.32898658"," 0.12767663","-0.36145008"," 0.31077005"," 0.22788909"," 0.35302807"," 0.37370732"," 0.18061641"," 0.25635988"
