"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","First","First","First","First","First","First","First","First","First","First","First","First","First","First","First","First","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third"
"M881.821T17.122"," 0.129585997"," 0.152787170"," 0.214766898","-0.433090320","-0.006603956"," 0.074919922","-0.527105644","-0.027754958","-0.141881641","-0.030936366"," 0.136060509"," 0.199350315","-0.067334429","-0.057361896"," 0.173350769","-0.096811187","-0.065316735","-0.125677009"," 0.068771164"," 0.186010145","-0.193083598"," 0.165177805","-0.100138575","-0.265420768","-0.027174535","-0.387753037","-0.203502801","-0.091076756"," 0.105223279"," 0.313075304"," 0.181895255"," 0.095137069","-0.238334839"," 0.100650613","-0.328075866"," 0.153502142"," 0.782808822"," 0.211573218"," 0.264097633","-0.189760765","-0.060470534"," 0.312871219"," 0.049082600"," 0.091136994","-0.487148890","-0.010019738"
"M882.812T18.125"," 0.138801357"," 0.130040192"," 0.187593495"," 0.138102692"," 0.058640166","-0.160615644","-0.319945175","-0.094821688"," 0.083880701"," 0.050316062"," 0.219189681"," 0.026209350","-0.151706762","-0.029215871","-0.060659670"," 0.095638901"," 0.680009967"," 0.143084387"," 0.050058428"," 0.126701371","-0.065620983"," 0.232512732"," 0.008709774"," 0.002900148","-0.274520541","-0.431972916","-0.263289505"," 0.184838356"," 0.153060426"," 0.071027160"," 0.067847882","-0.165214464","-0.352099904","-0.228889116","-0.270597675"," 0.115187255"," 0.606609423"," 0.139904927"," 0.225674492","-0.104853887","-0.036214881","-0.014726068","-0.033321753"," 0.050133589","-0.677502034","-0.250884375"
"M882.822T11.104"," 0.273005541"," 0.673368257"," 0.161356789","-0.682986700","-0.233441572","-0.053840208"," 0.361747198","-0.218319196","-0.304582304","-0.278042428"," 0.385318444","-0.117870985","-0.045482690","-0.100228914","-0.278548992"," 0.506237239","-0.467358673","-0.170704429","-0.062183104"," 0.014975660","-0.380298550"," 0.371968322"," 0.301100066"," 0.038361688"," 0.114560431"," 0.150962753"," 0.002511145","-0.048943267","-0.309535968","-0.416746338"," 0.167980856","-0.172959472"," 0.026876837","-0.101463494"," 0.014428888"," 0.040491385","-0.069878332","-0.240065086","-0.100803931"," 0.217560919"," 0.395739531","-0.012180176"," 0.318641626"," 0.182783090"," 0.149522592","-0.003034445"
"M883.492T15.092"," 0.02658163"," 0.06397778","-0.78048962"," 0.03743600","-0.10221479"," 0.08472843"," 0.01517994","-0.21361800","-0.24302714","-0.07424778"," 0.07555913","-0.01356086"," 0.35640601","-0.02732604"," 0.05340064","-0.07361470","-0.12490589","-0.09093537","-0.06706652"," 0.18237189"," 0.03894145"," 0.23157664"," 0.17252523"," 0.01417147"," 0.19654316"," 0.11850284"," 0.12189335","-0.01299780","-0.01755478"," 0.16843454"," 0.16526039"," 0.16401393"," 0.26143575","-0.75806823","-0.21949092"," 0.07459532"," 0.03090678"," 0.04799718","-0.06708930"," 0.26003468"," 0.01675517","-0.09572641"," 0.14960228","-0.11221762"," 0.15684358","-0.19152341"
"M888.815T18.125"," 0.065968303"," 0.268089114"," 0.219311439","-0.037094246","-0.174172131"," 0.120702831","-0.497534434","-0.128838727"," 0.092091641","-0.053773618","-0.279970412"," 0.087514211"," 0.149553793"," 0.086701635","-0.079505732"," 0.095321094"," 0.740419615","-0.005234286"," 0.170217973","-0.020290205"," 0.152755491"," 0.118489641"," 0.109801513"," 0.049239802","-0.149480661","-0.448631445","-0.153962809"," 0.030060680"," 0.226947538","-0.041853758"," 0.108291219"," 0.020189091","-0.281070504","-0.395357591","-0.376722296"," 0.054584301"," 0.738655905"," 0.043549978"," 0.174939891","-0.364449445","-0.107818997"," 0.207453325","-0.097633384"," 0.068292281","-0.315006671","-0.190740956"
"M888.824T11.105"," 0.205205994"," 0.288651038","-0.270170639","-0.389077213","-0.094547405"," 0.210070870"," 0.028237868","-0.173965868"," 0.026120519"," 0.070426981"," 0.191408739"," 1.377247600"," 0.222603774","-0.307453647","-0.319448418","-0.327673856","-0.285671477"," 0.017862764","-0.026100649","-0.202220285","-0.281415528"," 0.096246728"," 0.065390791","-0.094600764","-0.179751454","-0.132065583"," 0.090378466","-0.126122777"," 0.084255640","-0.033767235"," 0.041978772"," 0.015756444"," 0.715516285","-0.118469214"," 0.028635588"," 0.026328650","-0.216853010"," 0.160920164","-0.164733045"," 0.153136472"," 0.194900187","-0.143573681","-0.235163167","-0.346176392","-0.007530708"," 0.165271680"
"M890.804T18.126","-0.0077559211"," 0.1686880671"," 0.1891187457"," 0.1989640712"," 0.0173578242","-0.0488591732","-0.3180499579"," 0.0190374813","-0.0704697376","-0.0009745053","-0.0171420181","-0.0854922106","-0.0494651842","-0.0821547738"," 0.1506459062","-0.0367126822","-0.0051025822","-0.1484392994"," 0.2290069575","-0.0747705154","-0.0275254594"," 0.1306411840"," 0.0544842150"," 0.1082413704","-0.2238353468","-0.6341408926","-0.3641179918"," 0.3085989528"," 0.0757144584"," 0.2610525221"," 0.0214507793"," 0.0811977735","-0.4795241691","-0.1166936402"," 0.7113969543"," 0.0156163172"," 0.6917298849"," 0.1897961833","-0.0900488616","-0.0414427716"," 0.2476566012"," 0.0591221733","-0.2914994354"," 0.0656896743","-0.6341757145","-0.1468152529"
"M891.82T17.128","-0.094193022"," 0.076240832"," 0.235090229","-0.049938294"," 0.192467357"," 0.016742463","-0.453911312","-0.003709149","-0.381211916"," 0.116065204"," 0.161317927"," 0.188110933","-0.116941059"," 0.148777170"," 0.415425526"," 0.385239841"," 0.126559172"," 0.147299810","-0.006706816"," 0.170328818","-0.065372489"," 0.200528836"," 0.472272232"," 0.019543474"," 0.007854359","-0.900871569","-0.343485561"," 0.312215050"," 0.177086432","-0.139281512"," 0.261106952"," 0.075162092","-0.362059541","-0.322265992","-0.145092755","-0.038516692","-0.310952249"," 0.283824924","-0.075032686"," 0.094214711","-0.055007726"," 0.133727913","-0.028210416"," 0.048788139","-0.359412570","-0.213817069"
"M893.828T13.11","-0.0677942083"," 0.2429777775"," 0.0666590505","-0.2975836921"," 0.1573333530"," 0.0927396006"," 0.2160408324"," 0.0396363995"," 0.0019035312","-0.7145808017"," 0.1715309409","-0.0346045764"," 0.1014223779"," 0.0005176435","-0.3050287169"," 0.1583081997","-0.1084805717","-0.1750502913"," 0.2096267648"," 0.0614786483","-0.0063190352","-0.3114023000"," 0.2509126828"," 0.0961250246"," 0.1499484209"," 0.1917298219","-0.6760626138"," 0.2052363020"," 0.3063486398"," 0.0924453114"," 0.1137128060"," 0.1070269744"," 0.0950006096","-0.0678900590"," 0.1111214259","-0.9124615569"," 0.0387898280"," 0.2089942851"," 0.0898730348"," 0.2379806679"," 0.0138799123","-0.0221518733","-0.0017579471"," 0.0722397773"," 0.0032676439","-0.2036400447"
"M894.156T16.118"," 0.281771665"," 0.408903274","-0.225546253","-0.098153666","-0.018962152","-0.770001159"," 0.088199512","-0.346914596","-0.050465081","-0.690292877"," 0.216364298"," 0.316428115","-0.353521351"," 0.218961600"," 0.298977380"," 0.273160388"," 0.247439710"," 0.293072699"," 0.273375957","-0.327580149"," 0.165002768","-0.146559718"," 0.331386065"," 0.232880888","-0.583092724"," 0.098172908"," 0.195496224"," 0.232686983","-0.362554140"," 0.005453552"," 0.499702516","-0.342907495","-0.007741239"," 0.284196180","-0.132042398","-0.576289338"," 0.286356449"," 0.079428495"," 0.422431021","-0.009655984"," 0.060183199"," 0.371629487","-0.344546932","-0.369616031"," 0.064543861","-0.489761913"
"M894.158T15.507"," 0.255187754"," 0.336907974"," 0.224261994","-0.265191614"," 0.319199734","-0.196938051","-0.069364984"," 0.140418040","-0.195868789","-0.025536460"," 0.238457797","-0.103295776","-0.425891608","-0.006544568"," 0.443152648"," 0.159608435","-0.088566434"," 0.140425470","-0.042034728","-0.538539449"," 0.228954264","-0.250006164"," 0.456483617","-0.367185410","-0.045745596","-0.138961010","-0.150109813","-0.010622312"," 0.241362472","-0.289468432"," 0.101725548"," 0.335638822","-0.205866835"," 0.248148447"," 0.571898260"," 0.013854424","-0.103491539","-0.471633677","-0.033232703"," 0.254368515"," 0.023248885"," 0.316571424","-0.378144151","-0.178944936","-0.016226914","-0.452462567"
