"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46"
"M1077.04T13.112",0.0079064,0.018537,-0.037635,0.0348,0.007326,0.027213,-0.041518,-0.033624,-0.0052041,0.027499,-0.062076,-0.058445,0.048368,0.001738,0.032885,0.089265,0.0043657,0.085601,0.040634,0.0602,0.026673,-0.032415,0.002239,0.036167,-0.0029403,-0.029647,-0.085614,-0.067695,0.059904,-0.088911,-0.037199,-0.0087023,0.015926,0.040121,-0.050506,0.012019,0.062049,0.0010258,0.025606,-0.028666,0.008598,0.0045914,-0.0064096,0.048205,0.022462,0.0198
"M1078.125T14.114",-0.0025468,-0.0023351,-0.029023,-0.012397,0.024504,0.010211,-0.0097706,-0.031841,0.010592,-0.0010393,0.00012347,0.082061,0.0024792,-0.082814,0.011834,-0.011319,-0.0053755,-0.03526,0.016664,-0.012309,0.073986,-0.045011,-0.050872,0.044806,-0.092501,-0.05487,0.020065,0.053721,0.052082,-0.053421,0.064057,-0.013826,0.006686,0.044514,-0.072905,-0.048931,0.043723,-0.058471,0.042307,-0.042203,-0.026408,0.071439,-0.065179,-0.04386,-0.0576,-0.029688
"M1078.789T12.108",0.0012257,0.022128,-0.075036,-0.039621,0.0082867,0.048828,-0.0075807,0.011003,0.033784,0.0022155,-0.022552,0.038294,-0.004884,0.0031355,0.014159,-0.045369,0.017655,0.043568,-0.012778,-0.00095813,-0.050303,-0.017396,0.0026499,0.0066235,-0.0020183,-0.008491,0.014283,-0.033013,-0.039677,-0.071758,0.016232,-0.026045,0.0029958,0.027924,-0.095692,0.053186,-0.012743,0.0022421,-0.058091,0.097646,-0.034694,0.00052966,0.049092,-0.031652,0.049016,-0.012055
"M1079.282T16.962",-0.016384,-0.0076078,-0.010392,0.02692,0.0047475,-0.038981,-0.10908,0.05529,-0.049447,-0.014104,0.035981,0.042477,0.057785,-0.031478,-0.0011917,-0.065445,0.043332,-0.0052928,-0.0037105,-0.016243,0.0012077,0.059504,-0.026932,-0.011076,0.04126,-0.028137,-0.0037633,-0.030884,0.013468,-0.077571,-0.038869,0.018384,-0.031399,-0.11582,0.00046901,0.01744,-0.052347,0.031159,-0.043775,0.021498,-0.00038792,0.046078,-0.021054,-0.0076917,-0.044249,0.0041114
"M1079.286T12.112",-0.038643,0.028669,-0.020031,-0.052991,-0.0075121,-0.056582,0.069614,-0.057153,0.04914,-0.050852,-0.067715,-0.11006,-0.0049991,0.062193,0.10763,-0.013698,0.025255,0.06394,0.065669,0.013291,0.027576,0.0022845,0.062899,0.014862,-0.039073,-0.059242,-0.028676,-0.064536,-0.048077,0.0063021,0.032016,0.0096263,0.042824,-0.027694,0.021727,-0.003042,0.033261,-0.0096922,0.048177,-0.020193,0.030922,0.022464,-0.040192,-0.018344,0.037428,0.015701
"M1079.786T12.106",-0.031905,0.01928,-0.08035,-0.038633,0.092871,-0.0097826,0.030382,0.031266,0.05874,-0.015064,-0.047911,-0.045827,-0.014829,-0.013012,-0.0041509,-0.055149,0.0045564,0.070324,0.069457,0.044172,0.03082,0.019243,0.0078286,-0.033452,-0.04771,4.6255e-06,0.025635,-0.0057204,-0.027109,-0.042019,0.020973,0.028708,-0.023235,0.029405,0.024747,-0.04792,-0.050112,-0.03383,-0.019094,-0.013375,0.045499,0.023151,0.020162,-0.0057322,-0.082033,-0.022527
"M1080.788T16.122",-0.034089,-0.049171,-0.023902,0.040526,0.054463,-0.018792,-0.026977,0.074501,-0.097548,-0.0072747,0.020628,-0.00093935,0.019164,-0.03283,0.03405,0.052611,0.025046,0.062811,-0.029486,0.024051,-0.026151,0.054139,0.045152,0.0066302,-0.047383,-0.04748,-0.0022409,0.010493,-0.033995,0.047745,-0.021232,0.032467,0.0073895,-0.023321,-0.039301,-0.044369,-0.023953,0.020595,-0.03431,0.029035,0.033225,-0.023236,-0.017752,-0.044187,0.0010729,-0.0098869
"M1083.463T13.111",-0.00351,-0.038834,-0.080087,-0.017698,-0.0002842,-0.016809,0.016422,0.024731,-0.020868,0.019738,0.069976,0.030105,0.042537,0.014189,-0.047347,0.036805,-0.055586,-0.01418,0.058987,0.033991,-0.011627,0.0092672,0.01672,0.096553,-0.0059297,0.011765,-0.042479,0.026538,-0.011958,-0.0012068,0.020709,-0.0276,-0.012237,-0.0097762,0.012474,0.0071262,-0.0084094,-0.00024955,0.019683,-0.044471,-0.0053,-0.0099562,0.0069457,0.035649,0.001154,0.0028308
"M1083.794T13.109",-0.0045069,-0.010948,-0.0015286,-0.034448,-0.0255,0.032266,-0.048888,-0.014745,0.0032733,-0.062941,-0.0066877,-0.0038978,0.022369,0.025626,-0.043422,0.035023,-0.021314,0.0090198,0.0029655,-0.056195,0.048596,-0.028144,0.0043515,-0.068379,0.0033737,0.061878,-0.10483,0.031838,0.010017,0.0059277,0.08782,0.018328,0.073575,-0.064624,-0.028418,-0.062159,-0.036059,0.021849,-0.081062,-0.020236,-0.0077817,-0.010812,-0.018374,-0.0022931,-0.0081157,-0.013492
"M1084.777T17.128",0.02836,-0.095915,0.021254,-0.026846,0.027144,-0.028552,-0.022457,0.036885,-0.020961,-0.010105,-0.05447,-0.046641,0.077615,-0.039372,-0.0074033,-0.010575,0.028389,-0.015694,0.012525,-0.03414,-0.01862,0.06976,0.031812,0.052437,0.0033375,0.01207,-0.022708,-0.038087,-0.015283,-0.014454,0.0031705,0.0052841,-0.0055266,0.055182,-0.026876,-0.071761,-0.019304,-0.029172,-0.014942,0.0035895,0.016522,-0.030683,-0.0063388,-0.011809,0.007655,0.0055277
