"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3","BLANK_2_Dup1","BLANK_2_Dup2","BLANK_2_Dup3","BLANK_2","QC.1.Dup","QC.1","QC.2","QC.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","First","First","First","First","First","First","First","First","First","First","First","First","First","First","First","First","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Test","Test","Test","Test","Test","Test","Test","Test","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third"
"M1482.716T13.11","25472.188","23629.238","24002.055","26438.732","23499.263","26051.33","24442.247","27132.259","24712.777","27130.297","22888.46","24007.466","25353.771","24236.407","24669.788","24879.52","24326.5643","23946.016","25567.707","23354.433","23410.554","23533.858","24352.679","23868.591","24582.649","20076.137","21468.35","25343.283","23200.267","23986.589","21005.738","21005.738","21005.738","21005.738","22332.931","22332.931","24703.89","25065.858","23395.78","24510.876","21360.023","21574.148","23087.15","21890.189","24621.065","24497.92","25594.5531","24434.904","23289.666","26384.36","22105.588","25517.872","21810.955","30302.659"
"M1483.379T13.106","16080.096","15291.275","15197.755","15362.212","15640.782","16553.022","16750.1","14862.678","15031.11","15213.419","17904.69","15452.297","8241.01","16252.612","15476.411","14651.162","15994.8614","13971.182","16126.517","17271.703","15079.436","14173.276","16251.762","15800.278","15246.983","13991.471","14731.413","16167.81","16772.388","15197.852","13871.408","13871.408","13871.408","13871.408","12475.388","12475.388","16218.51","16180.385","17026.238","19877.862","12679.926","16662.181","15894.077","15989.706","14662.225","15163.468","15201.1516","16911.077","16007.635","16633.4","13896.382","16997.819","13546.617","18483.721"
"M1483.711T12.226","17293.65","17263.636","16841.786","17231.285","17006.626","18088.304","16497.894","17529.978","18917.743","17317.798","18182.384","16494.093","17490.982","16469.644","16644.147","18052.018","17651.2359","16739.789","16778.745","21506.871","14044.44","18105.282","18352.268","18209.091","16081.994","13933.495","15318.769","16427.801","16899.492","12675.61","15665.648","15665.648","15665.648","15665.648","15093.234","15093.234","17157.051","18121.951","16709.265","16582.337","14087.113","17342.484","15994.97","17812.21","17515.291","17336.558","17361.7309","18627.756","18243.119","19199.02","15779.357","18779.962","15100.818","17850.717"
"M1485.212T13.109","19756.15","20517.23","21179.7","20522.282","20277.687","20484.866","19652.701","20484.063","18551.488","20342.71","21299.923","20793.758","21706.586","21728.992","18616.581","19468.751","18989.6811","21384.666","19897.19","20911.018","16674.042","20575.45","19358.235","19754.704","16425.232","17154.393","17259.774","17796.807","19464.348","20062.526","18906.506","18906.506","18906.506","18906.506","18044.078","18044.078","22535.404","21493.617","21738.696","19375.954","18203.66","20498.673","19618.794","19671.419","22137.164","19397.28","19846.5049","18753.763","21966.389","22496.815","20605.65","20760.386","17772.038","21020.228"
"M1490.714T13.111","26402.972","23537.093","23042.375","24087.982","22949.176","26651.306","25148.218","25211.22","23873.362","24999.68","25659.282","26239.599","26944.043","23251.973","23975.881","24698.651","25809.1323","24973.047","25893.82","25958.713","21137.63","25467.763","24203.044","24009.575","22787.641","18151.028","23326.763","26124.053","25204.749","21538.033","23222.13","23222.13","23222.13","23222.13","22238.649","22238.649","25549.371","24881.949","24657.579","22531.693","22788.45","21209.122","22839.225","26417.249","25610.48","24680.516","24280.3606","24663.009","25580.07","25024.321","22246.439","25576.27","22121.445","30534.403"
"M1491.205T13.112","17209.428","15838.108","17895.09","18198.623","17771.154","17565.041","15113.836","15542.625","15523.263","16673.202","17315.086","16999.936","16415.782","17951.565","17408.207","16983.805","15278.4041","16765.017","14525.446","15841.255","13469.314","17178.452","17774.288","16864.999","15738.756","15801.238","15390.551","16201.992","18155.368","16971.807","15069.42","15069.42","15069.42","15069.42","13430.837","13430.837","18310.768","16140.27","16709.265","16749.247","15856.189","15822.877","16118.454","16007.312","15243.491","15895.64","17995.9822","16804.882","16789.571","17782.814","16057.239","17011.396","14045.966","20984.809"
"M1496.708T13.11","25289.668","27291.214","24399.722","27626.457","24594.619","26653.419","24287.255","26921.332","25280.562","27216.195","26456.116","25623.288","27429.564","26449.11","26186.578","25392.902","24836.3242","25899.466","24382.505","26780.288","22753.848","24380.108","27386.748","26619.213","23730.357","21784.624","21528.497","26438.46","25269.634","24592.229","23274.946","23274.946","23274.946","23274.946","24754.343","24754.343","26835.697","26013.22","27765.655","26671.228","22256.938","26915.83","25953.323","26689.114","24741.406","26600.983","26225.1795","28011.768","28964.44","26130.362","27578.261","26867.065","23189.17","29424.691"
"M1496.712T13.111","24870.388","27007.895","23812.594","27626.457","26028.383","25240.708","24216.432","26496.519","26256.702","26576.863","24695.866","25625.361","26929.952","26543.486","25788.571","25376.292","24239.7982","26671.709","24470.596","26780.764","22753.848","24376.43","26050.404","26259.277","24532.468","21784.624","21845.685","26312.084","25270.987","24533.248","23274.946","23274.946","23274.946","23274.946","23263.011","23263.011","25859.346","26012.572","27246.076","25710.06","22004.089","25700.444","27358.886","26580.217","25758.484","26618.84","25570.4943","26670.827","28288.042","26354.271","27470.006","26756.047","23186.674","30558.007"
"M1497.047T13.11","13875.502","11825.902","13514.931","12668.642","13654.11","12264.467","15439.917","14413.449","12663.843","14164.702","13466.621","14126.639","13594.664","13061.066","13887.288","11823.534","14743.1389","14422.124","13687.428","12426.994","11877.781","12258.523","12380.849","11083.774","13167.196","12249.137","11722.222","11091.806","12660.823","13591.605","12027.931","12027.931","12027.931","12027.931","12080.175","12080.175","13404.129","12770.61","12401.237","13724.882","11214.345","12340.137","11788.296","11254.878","13881.452","11500.093","12995.7617","14131.97","14026.731","13908.036","10936.633","13321.029","10441.23","15017.85"
"M1497.208T13.109","8450.306","11235.707","9318.852","10930.206","10069.1","9504.618","8262.733","10195.905","9179.027","10889.739","10412.315","10333.922","8761.542","9828.535","10562.212","10260.21","11658.1071","8573.525","10285.064","10621.024","8954.231","10146.983","11347.846","9101.724","9610.611","8052.239","7477.066","9800.17","10871.585","8276.837","10012.389","10012.389","10012.389","10012.389","11464.358","11464.358","8601.282","11655.413","9986.452","10704.836","6879.717","8199.087","7806.824","10044.544","9821.298","9807.997","10781.9156","8134.846","10244.46","9865.299","7013.683","10645.66","9503.689","7084.365"
