"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46"
"F9.3",-1.3703,0.471,-1.2923,2.8199,-0.34903,0.84841,1.0491,0.39492,-0.41106,1.5031,-0.933,-0.75798,-0.69657,0.05549,-0.077011,-1.5015,-1.4184,-0.10871,0.10484,-0.31907,-0.52636,-0.27312,-1.4422,0.65769,1.4649,-1.0989,-0.473,-0.078209,-1.0964,0.013362,0.88318,0.41852,0.37126,-0.27215,-1.2154,-1.2177,0.60086,-1.0368,0.60224,0.25894,0.47466,-0.079678,0.17502,0.78344,-0.20136,9.567e-16
"F9.4",-7.0134,-1.1855,-0.58409,0.064539,3.7838,1.667,3.1405,1.0614,-1.3434,-2.0595,0.23747,-2.7778,0.70351,-0.64268,0.6441,0.30657,0.65626,0.70711,0.69836,0.38716,0.24004,-0.33101,-0.0016769,-0.41899,0.059472,0.30478,-0.31105,0.24822,0.040614,-0.081903,0.10277,-0.1748,0.084883,0.20861,0.21865,-0.30667,-0.14191,0.50937,-0.064763,0.026259,-0.13295,0.038316,-0.019058,0.079691,-0.05244,1.576e-15
"X9.1",2.098,-1.1693,0.82775,0.52879,0.43848,0.23183,-0.67678,-0.89794,-0.18531,-0.80126,0.31296,0.50964,0.40777,0.89076,-1.0571,-0.15168,0.052816,-0.22675,0.93771,-0.50909,-1.9204,0.12577,1.2644,-0.41335,0.68683,-0.038066,-1.7942,-0.33305,0.15787,0.36545,-1.1242,-1.2869,-0.55887,1.1226,-1.0586,-1.472,-0.4438,0.18921,0.59647,-0.58347,-0.43512,0.071712,0.1791,-0.44033,0.9324,5.5945e-17
"X9.2",1.4343,-0.59549,1.1164,1.3379,1.5333,0.086233,0.26461,-0.15008,-0.31355,-0.33312,-0.4041,1.0255,0.39729,0.3848,-0.68865,0.5111,-0.82702,0.76799,-0.76048,-1.0178,-0.81727,-1.9419,1.0389,0.80084,0.21826,-0.2432,-0.45122,-0.17745,-0.36721,0.34188,0.55698,-0.35422,-0.24793,-0.63521,0.47043,1.6748,-0.59828,-0.19927,-0.40231,-1.5832,0.32513,-0.47153,1.0936,0.5204,-1.0718,-2.0654e-16
"X9.3",0.78858,-1.0335,-1.3824,0.0022914,0.48106,-0.13626,0.41094,-0.8147,0.15689,0.33187,0.47055,1.0366,-0.27877,0.41552,-0.67762,-0.25965,0.60897,1.8193,0.60167,-1.8271,-0.4593,-0.54643,-1.5098,0.24706,-0.12263,-0.12083,0.80218,-0.096536,0.32997,0.092168,-0.11073,1.1216,0.48037,0.55077,0.37908,-0.95089,-0.074299,0.22511,-0.502,-0.67645,-0.8555,-0.22936,-1.3921,-1.4216,-1.0754,9.0151e-16
"X9.4",2.0047,-0.67267,-0.55941,-0.15984,-0.20299,-0.72693,-0.62107,0.27961,0.13759,0.95654,1.1834,-0.73047,0.023779,-0.9773,-1.4105,0.77484,1.3806,-0.034367,-0.12541,0.8609,-0.15073,-0.11144,-0.31184,-0.84788,-1.4106,-1.7194,0.52333,-1.1327,-1.275,0.35697,0.80824,-1.0747,0.069884,0.8705,-0.29466,-0.19214,1.0055,1.2463,-0.14205,-0.73171,0.23065,0.65705,-0.21951,0.95423,-0.48707,2.6303e-16
"C12.1",-6.6878,-1.1909,2.7379,-4.227,0.48471,-0.7994,0.29663,0.13008,-1.0208,2.4405,3.0031,-0.41988,-1.3174,1.4074,-0.45546,-0.17832,-0.24142,-0.20779,-1.0645,-0.39163,-0.24335,-0.51461,-0.2322,0.58003,0.13546,0.25433,0.018294,0.52359,0.55153,-0.1369,-0.042986,-0.46415,-0.32954,-0.25459,-0.32419,-0.10391,0.080883,-0.36797,0.41111,0.21172,0.10948,0.0567,0.17911,0.073664,-0.12003,-4.0115e-16
"C12.3",1.06,0.96707,0.43341,0.062575,0.46982,-0.047371,-0.76151,-1.0685,0.18556,0.095871,0.48209,0.71197,0.061244,-0.51432,0.055603,-0.25754,0.28287,1.26,0.61994,0.74048,-0.12917,-0.48349,-0.56028,-0.14324,-0.25453,1.2597,0.25306,-0.3573,-0.67951,0.51801,2.5718,-0.069666,-0.5133,-0.14554,-0.29818,0.018516,-0.68998,0.8841,1.0631,1.1736,0.53777,-0.54429,0.98948,-1.2943,0.56093,9.1545e-16
"C12.4",2.0577,-2.029,-0.86059,-0.19275,0.53805,-0.0050631,0.10656,-0.88726,0.046619,-1.3236,0.69979,0.21948,-0.48201,0.18817,-0.095376,-0.70718,0.22492,-0.89012,-1.3999,-0.2195,0.27125,-0.073772,0.36014,0.71775,0.89089,-0.93554,0.50701,0.63819,-0.61091,1.5337,0.20191,-0.53744,0.266,-1.1566,0.10791,-0.18567,0.51942,0.78111,-1.6416,0.56538,-0.030421,-1.4287,-0.75296,-0.038632,1.2718,-3.3873e-15
"D12.1",2.609,-1.033,-0.26554,-0.43877,-0.71185,-0.24099,0.78662,0.88119,-0.23462,-0.29715,-0.73728,0.91965,-0.41453,0.54563,0.53402,0.3795,0.63757,-0.30182,-0.34969,1.8771,0.5404,0.6229,1.1939,-0.1381,1.5343,0.11599,-0.13255,0.61977,0.12526,0.21804,1.087,-0.97365,-0.8334,-0.59927,-0.44529,-0.63847,0.064178,-0.40338,-0.54508,0.31441,-1.0626,0.98205,-0.18098,-0.69128,-1.7855,7.5347e-16
