"","BLANK.2","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M565.421T1295.888","18101.2807","99801.8564","108000","102116.583","285637.5476","92641.568","144289.589","154545.936","171000","116017.411","136000","191000","108760.711","24242.8774","195841.541","206615.288","116982.233","147000"
"M681.474T1424.253","123928.6004","480019.3125","558000","486101.147","147355.875","311006.46","452569.623","915500.732","791000","446526.186","515000","944000","673182.302","115480.5369","910973.024","1130474.379","552850.821","566000"
"M569.292T994.771","2515.551","102229.2876","111000","104590.73","1421.487","116906.609","125497.818","94825.907","120000","129907.456","91600","39900","59084.648","5226.939","66932.652","112297.945","149970.546","178000"
"M989.67T1341.992","423.04376","51943.2607","62800","154782.107","17409.583","54814.991","86147.586","144023.344","113000","48720.757","59000","49400","36711.451","2115.2188","55821.546","87114.39","184671.018","108000"
"M379.265T1245.233","71535.5285","152067.8901","132000","144943.703","104626.3744","145670.542","197344.434","133063.601","149000","125947.232","140000","118000","96512.331","71423.9107","132928.876","132938.633","142012.322","134000"
"M679.452T1355.733","126258.7844","370953.7543","492000","387157.148","83438.2306","300323.785","469544.802","679391.579","624000","452803.24","391000","726000","473312.371","77235.7497","453571.194","926330.642","500760.652","461000"
"M713.46T1208.68","7077.4266","144662.4417","131000","137325.694","3511.1035","92043.434","110080.482","310840.499","341000","99237.023","143000","151000","51982.084","13568.308","112223.948","188974.743","122157.225","193000"
"M711.444T1322.388","32307.6222","154409.805","160000","172736.872","33969.1287","139596.414","178116.194","247389.367","263000","164782.006","148000","235000","162198.354","42695.2939","149305.834","293401.477","214667.879","193000"
"M637.414T1384.421","41628.8069","139944.5964","160000","143226.42","53442.2594","143299.106","151115.548","211600.274","195000","152124.445","175000","212000","170563.001","48200.3358","173888.749","235868.344","172879.439","177000"
"M637.411T1406.122","45964.1172","134487.0958","173000","145857.175","61456.3135","138479.705","165096.315","209398.362","192000","146092.297","173000","211000","173891.616","60764.1649","180067.275","234334.287","179479.612","169000"
"M729.452T1109.944","7647.4722","101677.7772","95800","84450.709","10357.1909","136145.562","90870.261","190769.494","170000","89188.023","65800","90300","54858.297","8113.2621","80678.754","158785.082","90531.878","112000"
"M571.365T1456.373","53371.8812","180179.3984","166000","172555.316","66311.6848","183263.92","149743.997","205001.729","213000","198644.196","171000","235000","186558.625","68460.1725","150087.44","207958.475","182171.547","196000"
"M865.579T1358.969","2250.9549","19540.4228","9280","4283.683","35030.4251","34205.668","17299.984","24226.408","9020","99043.956","18400","6870","9152.824","5239.4941","22403.472","18118.453","19866.652","16600"
"M867.584T1358.969","6016.5501","32248.8127","20500","24506.329","18354.2891","32761.048","35158.164","70727.559","74000","49353.927","32300","5040","21154.058","7990.8268","1008","32630.246","28642.034","24200"
"M682.472T1373.006","45161.7353","248173.6808","242000","223915.972","40139.0712","151684.882","249633.579","404373.068","396000","178507.736","231000","430000","310530.025","32758.555","304923.079","480304.73","236355.044","289000"
"M589.459T1264.044","2649.856","41309.8699","31000","47899.939","2791.1108","58991.34","58552.814","74029.921","74100","55489.208","45400","54600","58655.228","10292.313","31659.597","82349.124","48393.349","49500"
"M633.478T1401.37","184877.1851","862132.2933","1030000","794202.69","584311.9523","739106.599","1181824.262","1041296.57","1330000","968445.408","826000","1070000","1152473.706","202670.2996","1389702.567","1159630.549","970499.885","1010000"
"M646.455T1423.013","17758.4531","93340.9809","80300","115337.117","38008.9827","80723.097","99018.176","147939.177","128000","106494.68","85700","208000","133537.833","22182.7293","105295.27","208316.394","155201.403","102000"
"M881.484T1273.289","4869.6132","191224.2198","244000","206198.924","2391.9349","190522.891","280392.052","175100.786","183000","194741.197","193000","275000","196437.209","2217.8842","259795.111","214292.268","223887.866","278000"
"M637.412T1422.711","45972.9075","134560.522","170000","143241.16","61474.8883","131927.927","161830.858","199015.292","186000","137348.175","171000","206000","169182.365","53123.504","175931.568","219396.651","167832.657","165000"
"M591.474T1330.445","24422.2214","287457.3399","333000","298150.854","80933.8038","251686.335","401536.955","459810.052","452000","354838.407","361000","494000","461127.914","37345.282","419319.02","539353.046","316898.69","375000"
"M645.45T1333.909","52065.1939","284974.035","280000","323479.91","63119.6199","312372.97","401946.505","381597.746","420000","391694.635","302000","453000","313237.787","28201.3489","318996.221","443078.141","360703.491","345000"
"M826.523T1305.342","7183.433","190334.3079","227000","202089.747","8280.4285","153077.115","260958.191","208485.434","216000","273600.419","216000","251000","226230.141","15729.1447","207480.492","219987.177","260139.611","222000"
"M593.485T1401.37","53538.4039","272104.2977","284000","261169.055","156741.0441","216680.445","263561.921","282573.673","306000","315815.576","279000","341000","333144.566","66489.44","359844.889","333378.112","233447.098","320000"
"M591.474T1402.346","33767.1849","296974.5261","354000","311222.553","96333.6063","242957.342","435676.606","468019.322","488000","371806.881","381000","526000","474293.02","43396.295","458625.639","568925.107","337393.446","390000"
"M1123.351T817.469","22717.8872","59455.6587","76400","53650.729","12835.0605","41799.868","65524.289","99948.896","79100","53031.152","76700","48500","46274.717","25621.5242","37609.786","72981.005","66931.733","63900"
"M645.458T1212.039","44646.8921","250875.1378","248000","278478.357","43093.9991","270793.344","401800.562","335313.596","324000","362370.792","257000","351000","264772.604","20323.6905","244872.155","377269.762","324288.404","296000"
"M555.363T1275.021","5001.7389","159603.3549","77200","137867.184","16825.3662","99885.456","111361.595","190458.176","116000","161354.697","101000","102000","91700.778","3092.3201","74222.879","123638.09","107906.091","102000"
"M277.217T1187.469","45013.3031","2851078.653","814000","2637313.886","27750.0374","1314202.089","707604.146","2490230.346","1920000","3419211.627","1840000","202000","692092.05","38110.963","799838.505","371667.597","1689070.002","1720000"
"M670.528T1488.279","29389.637","80787.9069","104000","86021.575","64167.2773","77248.865","97207.997","127171.491","122000","82689.668","109000","174000","129144.493","26266.0084","105832.228","171495.04","97550.002","95900"
"M679.449T1212.039","66502.5411","433975.259","433000","421120.218","34582.2991","360822.86","419398.05","609152.829","620000","445585.538","377000","522000","374696.877","36389.5075","358606.616","689238.75","457926.755","439000"
"M697.464T1209.593","4971.8832","425998.1735","515000","423119.869","15779.2904","255382.609","607060.322","690756.613","609000","467255.649","379000","642000","430625.224","13766.14","423072.259","673241.049","552473.204","548000"
"M985.571T1146.934","11917.3594","125480.2053","129000","128808.398","1537.3531","178876.252","191828.13","145460.725","97400","149300.626","155000","111000","112383.819","15277.6498","92054.447","115500.518","145428.538","125000"
"M424.216T1338.866","28936.9011","89852.6875","54200","98394.4","42247.1598","73840.905","59525.755","82794.821","82700","103399.221","84800","77000","55940.117","26342.442","85225.111","62221.385","85267.368","94900"
"M565.409T1275.021","26042.2554","114053.1407","130000","127495.505","177257.2699","120936.618","159730.213","185288.601","189000","143600.69","159000","210000","125169.45","22465.5941","219892.523","237508.458","137267.331","177000"
"M698.466T1253.346","1259.09438","175422.678","240000","195813.753","6295.4719","129873.872","229299.32","292577.952","277000","218367.778","158000","293000","203351.747","8401.6985","160937.26","316305.089","225016.658","238000"
"M661.446T1372.452","82780.9523","278917.5535","254000","309641.039","66802.6455","249731.944","361387.71","414278.387","430000","316500.254","276000","481000","331208.901","88917.6144","288082.188","585495.452","358379.095","391000"
"M695.45T1338.973","59599.9651","172594.0898","190000","180167.904","47343.4648","158427.903","167379.072","317757.792","282000","174016.897","178000","332000","194603.213","44540.4797","206525.966","412897.062","196517.517","229000"
"M593.49T1490.213","61226.368","289607.0826","301000","267183.403","171483.425","224110.018","270191.106","289759.181","325000","329718.667","291000","350000","353585.379","77789.3816","392041.697","348797.998","243878.151","328000"
"M951.567T1289.006","1465.74344","455518.47","6e+05","462160.274","24373.8649","625716.12","945922.886","468561.8","758000","605740.006","524000","625000","515510.664","7328.7172","842412.909","830381.536","834391.642","870000"
"M593.489T1431.043","53528.7151","278719.1263","287000","264624.745","167661.9141","225704.322","270372.99","286506.998","317000","315523.485","288000","345000","332874.363","66508.4847","376182.36","336220.792","236681.924","320000"
"M639.424T1291.55","20888.2664","95363.5705","1e+05","92325.348","13470.6348","114977.203","139862.171","136206.788","109000","101587.379","89700","121000","126508.987","10545.5781","119890.222","121164.455","118571.563","121000"
"M986.591T1195.638","7312.2013","91905.4998","87000","101335.693","6681.5984","148335.411","172198.193","88307.664","92900","123095.507","113000","78600","86026.052","1336.31968","86764.012","79847.172","107246.557","1e+05"
"M591.473T1440.13","39822.061","320033.5919","383000","323955.051","102319.453","258777.085","423415.329","494381.169","502000","418309.909","391000","647000","533389.533","51319.0431","439960.802","648536.462","352962.129","438000"
"M590.465T1389.456","9143.1066","68957.0125","86900","92086.329","45682.9321","69297.082","81279.234","137435.686","109000","78769.187","74700","139000","118731.564","13324.7625","78136.957","133781.599","92121.017","65500"
"M631.469T1330.308","12331.527","180761.8425","147000","202509.695","27724.8398","239666.901","526293.257","283319.59","340000","184922.883","215000","224000","211915.943","16421.6829","191342.843","227774.065","184548.266","164000"
"M637.415T1439.736","48220.5915","136427.3987","166000","132917.487","64129.6018","129229.374","157639.291","198095.648","184000","134135.864","169000","188000","154925.608","58428.9808","180903.867","217514.25","172058.974","170000"
"M759.217T1590.788","31405.9104","35046.9361","42000","54984.046","1533255.096","52339.526","40756.452","47595.259","29900","36855.343","44900","30800","33618.388","17432.7418","27609.609","33621.488","67734.786","115000"
"M711.441T1125.643","5702.0626","46186.7454","52900","52426.556","2186.3083","68537.152","52038.028","100472.655","89200","66010.274","41500","54700","46452.883","5997.332","42836.497","68389.547","72390.35","39500"
"M810.527T1193.498","74217.5414","267208.2643","257000","223969.616","68833.879","154703.806","266502.224","210730.025","254000","268971.771","229000","206000","178549.505","65520.5231","204265.708","224351.334","255941.514","266000"
"M646.453T1439.754","36889.5211","174656.2307","184000","172548.512","58064.9824","160050.924","225569.772","210095.277","221000","193981.068","171000","287000","200142.54","35283.1073","194193.407","239650.664","216815.188","215000"
"M379.265T1372.423","114838.5269","223914.9638","181000","187283.35","177909.5142","187020.066","271713.603","186825.365","247000","190819.81","196000","160000","170399.917","122126.4747","200606.191","217106.121","213400.577","138000"
"M926.605T1358.969","2755.3582","17132.1935","8480","17400.043","8431.9458","11644.476","25191.321","21307.465","29900","47911.428","24300","26900","35548.104","5609.031","31699.993","22894.754","31885.377","36000"
"M951.568T1338.092","1465.14772","430890.6895","582000","467608.063","25107.1698","607426.254","907274.748","440801.546","759000","595107.007","520000","626000","512210.273","7325.7386","834861.426","826826.322","817880.719","858000"
"M651.516T1408.532","7808.9863","112391.0398","166000","114844.201","13616.2838","106220.531","203600.788","194364.95","179000","150701.366","126000","177000","158079.871","19914.7815","138792.006","190671.273","146166.657","130000"
"M593.49T1557.453","63930.3186","292353.5566","311000","276348.129","180130.219","227135.224","272513.5","299213.898","330000","336005.66","302000","361000","353179.638","77778.7776","399154.394","352067.14","250656.705","338000"
"M881.483T1130.872","24284.9206","131580.8296","161000","138647.825","24284.9206","159456.444","232283.501","121424.603","148000","162522.771","142000","164000","137070.345","24284.9206","151542.217","130969.833","152952.801","169000"
"M967.557T1267.284","4630.2083","230010.1319","243000","300051.656","6329.4512","378047.751","340579.051","264996.714","274000","288666.357","365000","253000","259540.009","7816.9154","282857.776","272804.045","323114.982","273000"
"M574.468T1330.445","5208.555","107313.088","123000","121376.204","17838.335","106933.687","141210.388","167000.269","191000","151337.554","119000","168000","178686.944","8197.7606","115228.919","183587.969","113179.936","124000"
"M668.492T1305.416","11895.6676","69897.1546","72900","59717.896","23566.0614","64032.751","114963.602","89497.008","122000","72073.428","67800","119000","84268.084","15320.4051","84119.455","94049.981","80552.387","97100"
"M587.442T1269.605","5165.6322","44571.1142","45100","37939.253","13190.0309","76765.522","79488.415","63126.516","74100","52482.374","46900","52300","43834.814","8001.3613","44082.819","64047.741","36880.046","54100"
"M711.566T1557.453","49052.2573","149920.8261","137000","103074.874","479046.2184","92419.168","101394.058","137094.022","162000","106910.796","112000","201000","119666.077","113170.6808","482604.773","127166.859","100002.841","190000"
"M648.466T1423.012","29876.0756","343452.7274","325000","292888.496","41764.0725","258369.536","417355.133","483894.194","550000","347761.23","327000","628000","444675.448","29223.9213","483584.621","631865.56","334250.42","449000"
"M951.572T1242.045","5403.0968","427707.6813","518000","446483.087","11786.0331","611938.63","942713.722","442272.464","678000","556651.384","497000","554000","443851.795","6783.2403","788578.927","743552.452","730313.9","823000"
"M639.422T1278.929","32792.2719","152908.6754","151000","147590.5","25629.7095","153310.228","192550.069","214495.328","185000","148661.223","141000","185000","183764.636","10556.457","160724.089","174990.596","169995.139","175000"
"M697.259T909.874","26668.793","128907.9265","123000","152378.474","14658.3471","106067.489","127352.375","180444.487","149000","146371.28","161000","105000","154941.703","12132.3032","122286.436","126953.178","131160.731","126000"
"M593.49T1539.529","63948.6407","289508.9724","305000","264314.23","168190.1966","225122.252","254580.076","292686.325","320000","336590.26","297000","339000","350202.442","77749.3774","390489.949","349482.045","244794.054","335000"
"M711.565T1605.092","49049.3531","149947.6087","134000","103077.829","476041.3617","92688.946","101791.229","137088.559","162000","106918.865","112000","201000","119673.567","113170.6808","480161.886","127195.731","100024.766","189000"
"M649.479T1423.325","109613.6374","1188286.196","1350000","1389637.717","123925.2074","995321.575","1419639.809","1960713","1710000","1290021.673","1560000","2030000","1712057.549","168511.5957","1913304.435","2199729.71","1230090.755","1460000"
"M723.435T1322.772","28667.3007","74737.8557","67900","87803.993","29202.9232","91674.641","71844.992","76442.197","93500","88159.467","83200","68800","65441.365","21225.4639","84522.498","81307.778","80170.304","78000"
"M423.198T1506.423","566826.0527","623271.4154","658000","659107.696","593411.8484","738161.86","724434.323","637786.87","637000","717697.444","621000","672000","665182.277","524318.7379","682051.171","565841.49","587766.044","618000"
"M727.445T1338.726","49202.2743","97410.3606","98800","122088.407","27202.7704","104882.894","119018.712","126361.51","144000","123383.955","112000","126000","99119.882","21035.4078","105575.905","180208.149","128305.715","116000"
"M986.584T1288.291","4628.8753","102729.7392","91900","108905.326","5247.6035","163326.052","175323.144","99891.099","139000","120276.541","131000","90700","91809.46","925.77506","145882.316","87717.692","112040.807","103000"
"M593.489T1519.555","61220.9955","289553.062","304000","270467.832","174244.6424","223750.634","269783.808","292397.216","325000","334071.582","294000","350000","340481.583","77802.3044","392095.442","343344.404","243779.902","320000"
"M385.184T1473.566","195078.6123","221382.5625","239000","230496.429","189009.4773","221393.032","281278.564","240337.168","276000","170425.585","191000","330000","290030.005","233433.9007","244792.718","295101.537","199083.23","594000"
"M571.362T1440.098","55464.216","149449.0581","148000","134039.473","66483.955","148584.291","126032.178","159160.597","163000","146877.174","139000","208000","140165.227","70454.1504","143597.346","239297.602","150998.717","172000"
"M646.461T1352.771","36881.3682","183412.976","191000","178086.38","58015.2803","167438.146","215561.752","221094.565","243000","204311.574","179000","294000","207599.593","35297.2664","205275.865","247330.674","229628.918","239000"
"M555.456T1423.317","73584.2061","191475.0805","188000","173546.865","100838.2047","161034.961","208681.278","267357.283","231000","176685.909","198000","285000","170676.48","75655.4699","246479.412","310054.329","204378.044","210000"
"M679.553T1406.451","195267.6549","230978.2667","320000","281036.568","98236.4753","185798.46","106297.118","444515.913","518000","270285.794","295000","509000","320439.932","74876.3035","135335.398","840127.336","395255.422","291000"
"M547.402T1437.709","211829.8932","276375.4688","304000","300705.357","200879.6187","230201.896","172493.958","351511.651","333000","251916.895","285000","402000","297278.502","222711.2835","303207.901","460601.302","278352.461","288000"
"M985.575T1306.148","2720.2758","174224.6942","178000","199061.315","5856.2709","226921.251","233085.278","198825.652","170000","221634.432","208000","179000","172434.985","7590.6542","196461.982","199685.057","233346.533","186000"
"M716.516T1356.112","15422.2527","40301.0494","35300","34063.483","359169.4197","65174.422","38669.532","43874.685","70400","44355.608","36900","39800","39223.302","24634.235","36910.141","45534.851","61562.239","44600"
"M775.526T1457.082","76222.8859","400163.3131","381000","417970.269","67995.6168","392970.323","427423.644","444774.091","358000","626067.615","425000","353000","350625.932","63597.7148","369101.689","392878.182","580372.214","482000"
"M590.446T1338.898","140783.7698","172411.8823","181000","162137.389","121784.827","120363.242","197713.279","226388.15","213000","177240.044","158000","193000","196006.367","114478.9638","193784.789","213582.918","189087.38","207000"
"M826.525T1288.728","11651.8546","193465.4783","230000","202370.463","14211.6731","159095.35","274761.887","216906.295","216000","286076.702","223000","271000","231240.812","18323.0452","263363.97","237216.96","289088.924","243000"
"M879.468T1338.726","11896.5402","73566.5465","93800","70470.566","3205.6913","44184.472","98451.371","69612.409","82200","90657.927","78900","176000","103215.973","7454.3585","134227.258","89877.39","90429.685","99400"
"M826.503T1348.634","7185.057","193355.3728","227000","202210.791","14211.6731","158857.349","279062.159","216854.937","215000","273682.961","218000","267000","226331.379","18323.0452","255875.977","232599.54","284297.493","243000"
"M808.523T1304.698","22711.127","160295.7285","208000","214786.527","25050.6312","170089.36","219980.845","179675.11","191000","232198.782","206000","198000","171663.141","22138.8041","236827.133","203916.168","240461.835","249000"
"M647.463T1423.013","44523.4784","721742.2788","806000","698912.55","94740.1593","630920.736","900169.029","995054.435","1240000","804410.152","750000","1410000","1055296.858","43881.7785","1055877.787","1493831.235","774461.07","961000"
"M613.48T1389.147","131720.0954","377189.3844","253000","231598.992","1908990.974","160297.525","257706.094","151494.136","159000","231803.828","204000","233000","157958.936","91117.6354","130476.633","183618.862","288413.554","258000"
"M556.445T1212.039","10398.1149","21989.7654","29200","19674.738","3942.2917","31930.752","163353.676","18602.835","30800","33383.517","24400","11500","12657.841","2138.8598","10418.402","23814.668","17303.352","23500"
"M937.593T1423.395","5211.0308","103667.1439","134000","99280.319","68955.1","91179.82","164175.286","137689.7","141000","315145.846","124000","113000","129118.05","5202.074","113091.691","141745.043","204778.162","156000"
"M645.457T1372.456","81213.2095","374466.8013","335000","376436.54","109670.1113","336280.938","435974.101","452689.208","474000","379539.559","345000","622000","421002.69","55438.7669","395208.77","579403.259","381140.17","443000"
"M668.506T1440.08","29009.4657","102697.4572","83100","81842.055","39882.4899","78922.637","135480.801","122953.927","145000","97505.853","99400","164000","123849.856","29087.4992","135071.297","154606.533","98360.658","133000"
"M330.262T1591.258","200728.5187","220420.7157","199000","190642.933","213667.6483","238456.73","218904.748","103284.249","192000","183598.007","189000","201000","192814.793","185265.0493","140502.856","103914.832","193890.731","192000"
"M668.509T1456.373","39634.4379","104592.5187","83100","94905.621","46595.9331","71107.661","95899.971","116576.693","143000","96121.832","93800","148000","132930.815","37228.8252","136490.024","156682.416","97290.696","135000"
"M514.252T1322.055","6345.8542","134173.5863","158000","142481.275","6666.8994","168601.71","207064.89","113219.833","208000","156862.533","172000","165000","152241.644","9811.7599","180922.944","207112.303","200935.149","209000"
"M863.507T1099.137","5064.7704","115178.2715","152000","128621.196","3964.801","231516.366","244318.158","98624","148000","188042.818","105000","134000","114056.056","2293.4336","133947.364","110133.911","137102.277","199000"
"M775.529T1416.7","83252.8408","391284.0145","363000","399655.141","75803.8158","380067.715","415817.646","424261.686","342000","597059.218","408000","339000","341410.003","69289.9546","354971.918","391129.134","565393.227","481000"
"M645.449T1440.08","74690.997","282226.8658","348000","345333.269","109757.4188","315212.093","414807.714","402583.819","443000","381313.812","304000","611000","405101.884","53196.541","368598.9","563561.368","390197.045","413000"
"M937.594T1308.231","2149.6466","98085.649","108000","90341.215","10077.5151","76491.293","147058.63","122478.139","103000","202172.217","105000","91300","118375.764","2284.7134","86680.399","123830.783","187331.071","139000"
"M826.525T1272.551","7183.0726","193312.8091","227000","202042.099","8280.4285","158680.494","265312.719","208441.331","216000","273540.371","190000","255000","152546.934","15731.4794","239710.837","222598.808","260079.198","225000"
"M333.203T1120.498","39243.4929","911729.375","6e+05","953787.346","49483.1453","878891.789","506419.766","1026358.976","852000","1320047.277","719000","217000","424316.678","45313.882","418300.892","327908.797","1199383.855","918000"
"M618.492T1624.789","56998.3487","137223.9275","134000","129062.144","50694.5957","70032.295","106798.057","128297.163","123000","151873.744","122000","163000","143552.872","43068.2222","214683.51","157368.423","121387.96","145000"
"M590.444T1439.586","188296.5711","222279.6478","228000","206715.748","169662.3139","158139.977","239543.606","283317.342","238000","224270.193","174000","244000","260850.421","148520.9685","252713.689","265990.294","242178.208","265000"
"M839.557T1356.291","28723.1933","97468.5591","89500","82199.115","46984.5539","94388.706","133440.453","83608.592","98800","102321.515","85800","96400","100588.96","34746.5088","120249.216","130056.54","107321.499","123000"
"M558.473T1423.364","32031.2079","136550.5474","229000","141890.765","18245.085","118621.263","164592.407","204641.705","296000","226595.748","172000","171000","219660.511","25963.4088","127695.68","243947.35","195183.969","168000"
"M986.572T1421.54","10413.3237","123391.0838","138000","113642.417","12101.6673","174445.106","173855.908","122224.879","173000","168593.354","135000","153000","122049.915","2082.66474","190114.124","183391.393","170723.086","188000"
"M933.56T1145.906","2314.3638","383345.0872","353000","352371.808","462.87276","795675.273","507421.788","407986.624","373000","621262.333","388000","238000","288726.519","7884.4913","485400.795","285248.039","493103.123","475000"
"M933.558T1114.912","9022.7302","405097.2529","379000","366461.666","4615.6379","818206.384","531349.886","426648.164","420000","645051.09","413000","264000","297593.867","14985.1433","507464.75","307166.673","499303.037","490000"
"M987.596T1238.129","2249.5885","168526.8838","194000","182785.407","4545.6132","190910.758","238713.67","170122.177","214000","216131.38","174000","214000","183344.735","5543.3447","275032.325","223192.866","254320.502","318000"
"M773.52T1456.872","37950.6152","1807221.067","1840000","1903000.359","29019.2047","1934410.57","2096871.526","2058676.51","1710000","3144292.38","1930000","1580000","1919705.084","58506.2745","1825729.557","1976733.073","3109221.806","2720000"
"M642.504T1347.309","26967.5882","141808.3791","66300","59230.807","119015.5057","86783.699","109528.833","78386.328","119000","61704.218","76400","59400","75717.479","21025.6374","148761.847","76259.862","82184.527","57200"
"M773.519T1472.663","44725.8588","1816313.77","1850000","1911381.96","40377.4251","1931341.425","2105525.342","2075880.84","1720000","3165061.812","1940000","1590000","1926191.91","59584.4698","1840600.942","1989492.459","3124527.211","2740000"
"M773.52T1405.986","37956.4762","1805694.395","1830000","1888409.796","33546.6392","1900683.908","2085451.462","2048675.31","1700000","3134850.382","1930000","1580000","1914962.014","54507.3408","1824920.574","1966673.359","3094351.275","2720000"
"M631.469T1456.902","49344.3267","497587.3269","594000","487627.277","92494.6564","464176.656","655006.154","663988.702","801000","534998","511000","873000","721518.218","74941.7301","873370.643","901839.961","551744.529","688000"
"M660.517T1313.696","14552.2628","81167.327","69600","68236.963","24717.3904","66408.535","92042.047","123896.851","117000","73679.805","87300","162000","122750.858","18375.7526","92065.949","126300.09","70727.124","77900"
"M979.612T1358.969","2991.5653","54019.8866","60700","59385.877","13289.0352","65399.091","64502.974","59172.113","73400","135287.092","46300","45600","53375.921","598.31306","67961.555","57923.606","88187.144","74300"
"M680.472T1423.013","188435.8484","315550.1938","314000","260844.883","204339.1353","216180.603","283440.522","411053.291","417000","224057.374","310000","435000","312137.98","167928.088","825295.793","522751.53","330049.77","265000"
"M333.204T1139.313","44745.0936","1064072.63","612000","967956.439","53284.0486","890901.701","512381.767","1040678.592","867000","1331702.843","729000","223000","434479.489","48615.3538","428882.683","343250.332","1210084.484","921000"
"M664.46T1406.422","243710.1791","461769.6947","456000","516366.776","328059.533","473582.207","510589.464","604753.851","571000","463137.173","506000","654000","473294.015","206332.7993","1910512.013","810051.779","464022.498","513000"
"M986.584T1323.28","6788.0055","117185.3284","138000","106200.32","4621.4644","168250.786","172493.663","119368.16","167000","143724.997","127000","149000","113126.604","924.29288","187817.212","174160.951","161527.753","174000"
