"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15"
"M951.568T1338.092",-0.013418,-0.014408,-0.026973,-0.011996,0.036224,-0.014429,-0.0055241,0.026914,-0.0092814,-0.016315,0.0041178,-0.011102,-0.012832,-0.023837,0.0061974
"M651.516T1408.532",0.0083359,-0.015563,-0.017791,-0.029311,0.016975,-0.00052585,-0.015486,-0.021884,-0.001492,-0.008898,0.0096849,0.017741,0.0040463,0.022971,-0.0028611
"M593.49T1557.453",-0.00066435,-0.028055,-0.010422,0.00068291,-0.010349,-0.005815,-0.013046,-0.0049766,0.019795,-0.011486,-0.013449,0.0022032,0.019252,-0.0058346,-0.0045879
"M881.483T1130.872",-0.011451,0.00025702,-0.013733,-0.014556,0.02461,-0.027903,0.022448,-0.00071856,0.021881,-0.0051664,0.0052245,-0.0068136,0.0031512,-0.0019537,-0.0082047
"M967.557T1267.284",-0.0046176,0.012816,0.002034,0.0019993,0.028972,-0.024123,-0.015347,0.013228,0.0038263,-0.033118,-0.0063902,-0.015527,-0.016328,-0.019513,-0.0030508
"M574.468T1330.445",0.0071819,-0.014596,-0.012226,-0.023017,0.0047838,0.018282,-0.036323,-0.01718,0.017354,-0.0012028,-0.029784,-0.00094449,0.01695,0.022428,0.0027944
"M668.492T1305.416",8.317e-05,-0.019037,-0.026075,-0.015993,0.027269,0.0083626,-0.0077625,-0.013597,0.022027,0.017579,-0.0051413,-9.5837e-05,-0.024213,0.020672,0.00010318
"M587.442T1269.605",-0.0092516,0.006324,-0.01569,-0.0075672,0.042559,0.01545,-0.027576,-0.02853,0.022319,-0.0036029,-0.0046367,0.038874,0.015508,0.018206,-0.0051142
"M711.566T1557.453",-0.0090577,-0.039407,-0.020131,0.031435,-0.0063098,-0.017005,-0.0037292,-0.018035,0.0059357,-0.0067859,0.016919,-0.0048373,-0.010069,0.016514,-0.010254
"M648.466T1423.012",0.0055053,-0.028315,-0.026481,-0.0080817,0.0078387,0.011247,-0.034639,-0.0092791,0.017101,0.019234,-0.004496,0.010682,-0.0071729,0.0095997,0.0014901
"M951.572T1242.045",-0.014761,-0.011503,-0.023654,-0.0088113,0.043623,-0.018338,-0.0053899,0.024135,-0.0075762,-0.0094004,0.011565,-0.0027806,-0.0097703,-0.021076,0.0093638
"M639.422T1278.929",0.0039358,-0.011553,-0.012561,-0.0099092,0.020276,-0.0010149,-0.013845,-0.0087873,-0.0094414,0.017064,-0.016963,0.016381,-0.013539,0.043279,0.0039865
"M697.259T909.874",0.011263,-0.010956,0.02427,-0.0044393,0.012676,0.0044864,-0.012255,-0.003254,-0.0065062,-0.017773,-0.016806,-0.00668,0.015646,0.015028,-0.0062395
"M593.49T1539.529",-0.0015488,-0.028264,-0.0085051,0.0014223,-0.011852,-0.0039888,-0.014053,-0.0029541,0.016853,-0.014748,-0.017637,0.0075859,0.020283,-0.0087723,-0.00018439
"M711.565T1605.092",-0.0090885,-0.039296,-0.019978,0.031458,-0.0059004,-0.017163,-0.0046404,-0.018204,0.0062506,-0.0057679,0.016486,-0.0052359,-0.010745,0.016216,-0.0030616
"M649.479T1423.325",0.013575,-0.025219,-0.017814,-0.0002934,0.0013469,-0.001237,-0.038472,-0.0058454,0.01344,-0.0042927,0.002904,0.003334,0.0080302,0.010155,0.0062016
"M723.435T1322.772",-0.012661,-0.0008894,0.0067615,0.00781,0.014794,0.0076508,-0.028073,0.0070486,-0.0077067,-0.025785,0.0061223,-0.028744,0.003551,-0.010222,3.9927e-05
"M423.198T1506.423",-0.010532,0.0012156,-0.0027833,-0.0015662,0.0047697,-0.024327,0.00029312,-0.022502,0.012011,-0.014473,-0.013969,-0.0052383,0.015874,0.020282,0.0077414
"M727.445T1338.726",0.00092283,-0.0077789,-0.010934,-0.015604,0.014493,0.018277,-0.045219,0.020679,-0.0076305,-0.00045646,0.019683,-0.011906,0.003277,-0.013982,0.0022608
"M986.584T1288.291",-0.014864,0.0061894,0.0024395,0.0067648,0.044452,-0.0241,-0.0043465,-0.027767,0.006576,-0.023764,0.0017279,-0.025308,-0.0082767,-0.01057,-0.00078075
"M593.489T1519.555",-0.0012743,-0.0277,-0.0097496,0.00016355,-0.010258,-0.0060826,-0.013997,-0.0092509,0.018916,-0.01165,-0.011212,0.0012607,0.02046,-0.0074278,0.0001107
"M385.184T1473.566",-0.0019435,-0.016525,-0.027782,0.0068884,0.018753,0.0091385,0.013666,0.046816,0.027893,0.032814,-0.029713,0.021551,0.018917,0.034781,0.0010863
"M571.362T1440.098",-0.00093778,-0.010025,-0.023483,-0.0036325,-0.01211,0.022182,-0.032777,0.020723,0.0015176,0.0071298,0.0063068,0.025799,-0.0072624,-0.012762,0.00043692
"M646.461T1352.771",8.6491e-05,-0.018127,-0.021189,-0.015304,0.0032365,0.0066546,-0.015777,0.011235,0.011072,0.014032,0.00056852,-0.00087161,-0.029594,0.015029,-0.001972
"M555.456T1423.317",0.0060158,-0.019654,-0.021624,-0.0010316,0.0067691,0.0065341,-0.035182,-0.0016502,-0.0012217,0.0084823,0.035611,0.019879,-0.018454,0.00086185,0.0014616
"M679.553T1406.451",0.017008,-0.0099255,-0.013895,-0.018387,-0.031383,0.070919,-0.045629,0.037445,-0.011379,-0.011541,-0.0035169,0.0050407,-0.023125,-6.1107e-06,-0.0021775
"M547.402T1437.709",0.0096893,-0.017012,-0.016001,0.0059362,-0.028074,0.028744,-0.035716,0.014933,-0.0091668,-0.0089473,0.0057439,0.002045,-0.00099567,0.00264,0.00019094
"M985.575T1306.148",-0.007267,0.0068694,0.0036869,-0.008889,0.01861,-0.030157,-0.016259,0.013323,-0.015414,-0.016818,0.012185,0.0036886,-0.012578,-0.012994,0.0033165
"M716.516T1356.112",-0.014977,0.0047738,-0.0059945,-0.0063084,0.022191,0.031889,-0.021186,0.0015986,-0.030311,-0.017124,-0.029718,-0.009927,-0.052461,0.0076479,0.0072772
"M775.526T1457.082",-0.010754,-0.0033367,0.02059,-0.019664,0.0050243,-0.013511,-0.0032785,0.036892,-0.012852,-0.0090637,0.014837,0.01147,-0.022495,-0.0048565,0.0027678
"M590.446T1338.898",0.0057866,-0.027024,-0.0078804,-0.013829,0.012733,0.0047591,-0.0066059,0.0020769,-0.010199,0.0097211,0.0011526,0.0093498,0.0021045,0.018807,-0.00090265
"M826.525T1288.728",-0.0018461,-0.020965,-0.0059194,-0.023828,0.0023753,-0.028022,0.00020047,0.012105,0.0051342,-0.0077343,0.011922,-0.0090362,-0.022183,-0.010019,0.0036966
"M879.468T1338.726",0.0025694,-0.03108,-0.024449,-0.012108,-0.016324,-0.029174,0.0075879,-0.00066837,0.032524,0.0077074,0.00679,-0.019452,-0.022243,-0.0045275,0.0090758
"M826.503T1348.634",-0.0015255,-0.02029,-0.0066253,-0.023595,0.0050881,-0.027508,0.0021952,0.012097,0.0046549,-0.0041158,0.01316,-0.0089412,-0.021618,-0.0074271,0.0033748
"M808.523T1304.698",-0.0074866,-0.014556,-0.003225,-0.0087539,0.011467,-0.023345,0.0028201,0.039705,0.001001,-0.025115,0.023115,-0.020027,-0.0002626,-0.0051535,-0.010414
"M647.463T1423.013",0.0054888,-0.025175,-0.02961,-0.010329,0.0026933,0.011811,-0.035633,-0.0061175,0.014352,0.0071108,-0.010218,0.0032031,-5.0724e-05,0.0045254,-0.00059121
"M613.48T1389.147",-0.0046947,0.0038967,0.0066771,-0.015443,-0.01159,0.003563,0.055779,0.023908,-0.0016503,0.051271,0.033649,0.0055783,-0.011215,-0.049176,0.019015
"M556.445T1212.039",-0.010052,0.020694,0.0014583,-0.035581,0.07331,-0.0063073,0.02914,-0.025402,0.022248,0.005796,0.034273,0.025185,0.058983,-0.029542,0.0035739
"M937.593T1423.395",-0.011143,-0.015905,0.015478,-0.044693,0.0080893,-0.0089816,-0.0057077,0.021542,0.00010587,-0.02406,0.0028351,0.014297,-0.01687,-0.0089425,-0.0053919
"M645.457T1372.456",0.0036318,-0.014877,-0.02422,-0.010857,0.0024541,0.0090979,-0.033748,0.0037603,0.018005,0.032349,-0.00021438,0.0023057,-0.0070896,0.008798,-0.007879
"M668.506T1440.08",0.0029183,-0.025827,-0.023826,-0.0063109,0.01816,0.0018448,-0.027011,-0.0083741,0.023742,0.027526,-0.010654,0.009012,-0.015749,-0.0010366,0.0017031
"M330.262T1591.258",-0.013467,0.014459,-0.0017205,-0.0013442,0.00074855,-0.0073084,0.053339,-0.0086414,0.026103,0.0040531,-0.033331,-0.040144,-0.01617,-0.018613,-0.00027372
"M668.509T1456.373",0.0039812,-0.030618,-0.018504,0.00020253,0.0018679,0.011371,-0.0298,0.0060689,0.01087,0.02385,-0.021647,-0.0061487,-0.0028734,-0.00010045,0.0016221
"M514.252T1322.055",-0.0097027,-0.0085812,-0.021496,-0.008472,0.030354,-0.0022776,-7.9733e-05,0.026651,0.0018222,-0.019955,-0.010406,-0.021908,-0.0096289,-0.044706,-0.00042157
"M863.507T1099.137",-0.02626,0.010239,-0.011267,-0.013,0.029168,-0.019446,0.020501,0.0090405,0.018762,-0.0078693,-0.0061125,0.00065809,0.016558,0.017239,0.0081411
"M775.529T1416.7",-0.010875,-0.0036687,0.019481,-0.019385,0.0061257,-0.013201,-0.0033315,0.040433,-0.013882,-0.0055545,0.012499,0.014455,-0.02192,-0.0084635,0.0035292
"M645.449T1440.08",0.002393,-0.013916,-0.028949,-0.020231,-6.1805e-05,0.0031592,-0.033022,0.012779,0.014688,0.011442,-0.0011281,-0.0043007,-0.007128,0.017007,0.0040102
"M937.594T1308.231",-0.0049006,-0.012982,0.015027,-0.042035,0.012848,-0.012043,0.0021084,0.032972,-0.014362,-0.0035329,-0.003672,0.021842,-0.019271,-0.012369,0.0075567
"M826.525T1272.551",-0.0085147,-0.016134,-0.0064758,-0.02175,0.0060906,-0.015222,0.00084417,0.0084911,0.0027011,-0.0020989,0.056542,-0.010148,-0.015804,-0.0025987,0.0047347
"M333.203T1120.498",-0.015978,0.0084518,0.052703,-0.0029619,0.019562,0.023899,0.018217,0.028083,-0.040682,-0.019024,0.0067807,-0.0044246,-0.013679,0.02978,0.0070713
"M618.492T1624.789",0.0012106,-0.036078,-0.0054985,0.00082212,-0.021779,-0.016184,-0.0095637,0.0038282,0.0032966,0.0021087,0.011556,-0.0083671,0.013254,-0.013359,0.0010697
"M590.444T1439.586",0.00308,-0.026308,-0.0093264,-0.012706,0.0042881,-0.0035853,-0.0060569,0.0061497,-0.021734,0.018976,-0.0066366,0.01522,0.0063295,0.02798,0.0015544
"M839.557T1356.291",-0.010367,-0.014901,-0.017222,-0.0089493,0.024493,-0.019202,-0.007135,0.013376,-0.011198,0.01234,-0.011083,0.01478,0.0095855,-0.033892,0.0043696
"M558.473T1423.364",0.0065549,-0.016711,-0.0038953,-0.034508,0.0038967,0.036451,-0.0095903,-0.0031026,-0.0055263,-0.039018,-0.019845,0.00081629,0.0091917,0.0020581,-0.0045536
"M986.572T1421.54",-0.018537,-0.010409,-0.018939,-0.0055954,0.023862,-0.0082966,-0.015978,0.016478,-0.0024297,-0.021847,0.0023296,0.0069984,-0.016081,-0.020701,0.0088477
"M933.56T1145.906",-0.0268,0.01085,0.016864,0.0032076,0.029945,-0.023663,-0.0015114,0.0043425,-0.019928,-0.031237,-0.00069677,0.020656,-0.012121,0.010152,0.0051471
"M933.558T1114.912",-0.026908,0.010314,0.01517,0.0030968,0.03026,-0.019696,-0.0021879,0.00026335,-0.016005,-0.032812,0.0023326,0.018862,-0.012188,0.0093192,-0.0020748
"M987.596T1238.129",-0.014451,-0.018603,-0.01614,-0.0042023,0.020401,-0.0182,0.0023364,0.039535,-0.0041405,-0.0057172,0.00096833,-0.006497,-0.011966,-0.0010309,-0.0031314
"M773.52T1456.872",-0.012461,-0.0062457,0.016871,-0.021776,0.0088455,-0.016055,-0.00056805,0.049284,-0.019972,-0.011494,-0.007252,0.016116,-0.02066,-0.0032508,-0.0023211
"M642.504T1347.309",-0.0086758,-0.012939,-0.0021075,0.01861,0.031247,-0.0058493,0.0014174,-0.069909,-0.043769,0.01258,-0.0036056,-0.0078862,-0.014872,-0.042493,0.001446
"M773.519T1472.663",-0.012388,-0.0065838,0.016909,-0.0218,0.0087982,-0.015996,-0.00064601,0.049349,-0.019851,-0.011442,-0.0067469,0.01624,-0.020681,-0.0030815,-0.0046008
"M773.52T1405.986",-0.01228,-0.0068319,0.016962,-0.021777,0.0086034,-0.016201,-0.00023963,0.049378,-0.01925,-0.011105,-0.0070747,0.016262,-0.021089,-0.0038281,0.0035334
"M631.469T1456.902",0.0023629,-0.027096,-0.029906,-0.0041301,0.0073074,-0.001063,-0.026231,-0.0077938,0.0052114,-0.0011419,-0.01008,0.0012361,0.0019632,0.0095436,0.004181
"M660.517T1313.696",0.013974,-0.017871,-0.022671,-0.0064254,-0.00079831,0.0090982,-0.039303,-0.030864,0.02795,0.021435,-0.02216,0.011336,-0.019827,0.015707,0.00076961
"M979.612T1358.969",-0.024878,-0.0097613,0.016079,-0.025479,0.0075422,-0.0061336,-0.0093499,0.018008,-0.022017,-0.02579,0.00024118,-0.0091438,-0.00051046,0.010983,-0.0055073
"M680.472T1423.013",0.0061542,-0.032328,-0.023966,0.016478,0.0013024,-0.009331,-0.034017,-0.027947,-0.029578,-0.012178,0.024741,-0.0082208,-0.015742,-0.010864,-0.0099879
"M333.204T1139.313",-0.016118,0.008197,0.053274,-0.0015319,0.017558,0.025882,0.019733,0.024273,-0.042983,-0.01261,0.0073212,-0.001822,-0.013069,0.023763,-0.0097811
"M664.46T1406.422",-0.0047897,-0.029048,-0.020127,0.025385,0.0049556,-0.032657,-0.043455,-0.016886,-0.01754,-0.017891,0.02636,-0.012403,0.0070866,-0.0054297,0.016638
