"","filter","C12.1","C12.3","C12.4","F12.1","F12.2","F12.3","F12.4"
"M471.313T1295.888",87716.87835,21542.8486,299762.258,166034.244,140000,115348.914,35012.7303,95587.757
"M534.402T1422.678",113342.3631,65285.8828,92021.557,143253.735,195000,188992.166,50417.317,248373.138
"M765.518T1313.696",64676.65585,53331.2503,177554.745,185700.313,132000,131971.857,33497.9305,137101.674
"M1003.558T1223.957",87080.12105,2525.8699,144753.656,157369.376,157000,137683.264,2150.9941,173934.925
"M415.326T1295.888",56358.8987,71958.1766,148196.442,159772.345,101000,124953.624,66840.9955,88474.092
"M653.413T1286.062",75735.63285,25271.1283,157173.717,167730.592,198000,151322.052,22145.2373,160333.854
"M1102.351T817.469",25833.11225,12334.977,50863.077,69708.58,38800,53149.746,13546.5985,42336.295
"M549.424T1473.203",177479.3188,92484.1327,106916.649,147552.381,267000,320723.932,96277.1994,291152.486
"M787.545T1575.098",44567.0116,35366.2348,55158.77,23378.149,83900,63978.407,23373.3521,108466.074
"M567.43T1421.35",45532.0645,168212.9707,71620.73,81850.383,120000,91435.257,35101.1883,124535.242
"M798.839T1023.188",60184.82515,1645.3419,10807.334,35321.432,63900,71667.855,4390.8707,119034.899
"M764.517T1325.086",123364.882,66349.916,225187.785,260891.895,173000,180994.3,38676.9239,283217.163
"M677.438T1339.916",123679.71245,10473.4191,99987.334,129116.181,242000,177280.703,4938.6162,180539.475
"M832.307T992.353",74061.0309,4371.5082,25767.383,75470.659,84300,151845.349,2710.1738,93960.953
"M455.315T1295.888",108346.52395,76561.8221,363482.892,285738.052,205000,212516.818,51062.5881,210972.281
"M297.239T1626.197",18995.69185,146574,118088.086,93969.488,139000,139724.491,128714.0523,145069.031
"M471.314T1308.231",124763.23135,49886.6001,398392.899,264998.934,219000,194088.799,78045.7873,156426.684
"M455.313T1308.231",124952.31635,88010.9163,403000.098,307984.046,302000,299855.531,75720.8829,272068.497
"M392.284T1436.378",82503.9838,121283.2694,342323.099,257792.304,127000,124648.618,96782.6622,98501.067
"M399.308T1262.042",298064.3374,64986.7223,2172556.166,632565.324,128000,117667.682,72558.2042,91878.445
"M549.428T1523.962",71566.56725,60481.7533,69344.604,85810.02,161000,135569.581,63593.8205,140501.978
"M807.348T918.929",657625.9557,4041.1379,253963.057,691204.147,891000,320161.972,12989.1786,1231520.939
"M542.478T1573.977",81519.656,9044,29286.757,15302.819,108000,109751.451,1808.8,79386.131
"M522.261T1109.944",68154.79815,5867.8096,154053.761,181417.946,75300,73667.373,19380.7157,75303.924
"M653.412T1258.482",71476.90965,19085.3778,135177.639,149758.372,185000,143856.105,19291.7287,147664.815
"M475.412T1607.605",22256.73565,33636.3167,29122.145,12141.735,52900,54371.933,36194.638,66108.413
"M653.413T1377.63",63349.97465,35834.4817,124807.531,135234.216,174000,144679.772,30026.8467,142662.19
"M330.263T1492.022",31649.39095,146481.4689,176199.229,177938.484,125000,132584.786,143946.0237,126797.13
"M447.35T1507.107",29699.17185,76515.0103,116777.742,199474.338,86300,94581.533,68236.5698,75445.921
