"","C12.1","C12.3","C12.4","F12.1","F12.2","F12.3","F12.4"
"Label","Control","Control","Control","Fusarium","Fusarium","Fusarium","Fusarium"
"M449.347T1490.033","113243.7","110810.7","125642.7","253000.0","214091.1","104197.3","244854.9"
"M374.303T1319.161"," 67083.76","103723.93","112107.06"," 37300.00"," 46823.16"," 27078.40"," 17076.37"
"M504.265T1099.137","  8042.433","280340.786","278250.498","115000.000","101751.407"," 12353.536"," 99608.191"
"M479.188T913.185","   760.3332"," 29252.1070"," 50165.8060","197000.0000","303139.4770","  3816.3356","198149.8050"
"M291.195T1053.001","  3826.480","285157.375","352887.774","114000.000","183139.386","  9053.305","194649.973"
"M821.505T1179.269","     0.0","262457.5","244059.4","163000.0","159894.2","     0.0","191155.5"
"M820.327T1006.792"," 1367.957","22036.529","48770.183","79800.000","92224.196"," 1709.232","64943.838"
"M764.518T1295.888"," 66300.14","170012.44","262870.92","142000.00","157640.65"," 16302.92","256218.37"
"M471.313T1295.888"," 21542.85","299762.26","166034.24","140000.00","115348.91"," 35012.73"," 95587.76"
"M534.402T1422.678"," 65285.88"," 92021.56","143253.73","195000.00","188992.17"," 50417.32","248373.14"
"M765.518T1313.696"," 53331.25","177554.74","185700.31","132000.00","131971.86"," 33497.93","137101.67"
"M1003.558T1223.957","  2525.870","144753.656","157369.376","157000.000","137683.264","  2150.994","173934.925"
"M415.326T1295.888"," 71958.18","148196.44","159772.35","101000.00","124953.62"," 66841.00"," 88474.09"
"M653.413T1286.062"," 25271.13","157173.72","167730.59","198000.00","151322.05"," 22145.24","160333.85"
"M1102.351T817.469","12334.98","50863.08","69708.58","38800.00","53149.75","13546.60","42336.29"
"M549.424T1473.203"," 92484.13","106916.65","147552.38","267000.00","320723.93"," 96277.20","291152.49"
"M787.545T1575.098"," 35366.23"," 55158.77"," 23378.15"," 83900.00"," 63978.41"," 23373.35","108466.07"
"M567.43T1421.35","168212.97"," 71620.73"," 81850.38","120000.00"," 91435.26"," 35101.19","124535.24"
"M798.839T1023.188","  1645.342"," 10807.334"," 35321.432"," 63900.000"," 71667.855","  4390.871","119034.899"
"M764.517T1325.086"," 66349.92","225187.79","260891.89","173000.00","180994.30"," 38676.92","283217.16"
"M677.438T1339.916"," 10473.419"," 99987.334","129116.181","242000.000","177280.703","  4938.616","180539.475"
"M832.307T992.353","  4371.508"," 25767.383"," 75470.659"," 84300.000","151845.349","  2710.174"," 93960.953"
"M455.315T1295.888"," 76561.82","363482.89","285738.05","205000.00","212516.82"," 51062.59","210972.28"
"M297.239T1626.197","146574.00","118088.09"," 93969.49","139000.00","139724.49","128714.05","145069.03"
"M471.314T1308.231"," 49886.60","398392.90","264998.93","219000.00","194088.80"," 78045.79","156426.68"
"M455.313T1308.231"," 88010.92","403000.10","307984.05","302000.00","299855.53"," 75720.88","272068.50"
"M392.284T1436.378","121283.27","342323.10","257792.30","127000.00","124648.62"," 96782.66"," 98501.07"
"M399.308T1262.042","  64986.72","2172556.17"," 632565.32"," 128000.00"," 117667.68","  72558.20","  91878.45"
"M549.428T1523.962"," 60481.75"," 69344.60"," 85810.02","161000.00","135569.58"," 63593.82","140501.98"
"M807.348T918.929","   4041.138"," 253963.057"," 691204.147"," 891000.000"," 320161.972","  12989.179","1231520.939"
"M542.478T1573.977","  9044.00"," 29286.76"," 15302.82","108000.00","109751.45","     0.00"," 79386.13"
"M522.261T1109.944","  5867.81","154053.76","181417.95"," 75300.00"," 73667.37"," 19380.72"," 75303.92"
"M653.412T1258.482"," 19085.38","135177.64","149758.37","185000.00","143856.11"," 19291.73","147664.82"
"M475.412T1607.605","33636.32","29122.15","12141.74","52900.00","54371.93","36194.64","66108.41"
"M653.413T1377.63"," 35834.48","124807.53","135234.22","174000.00","144679.77"," 30026.85","142662.19"
"M330.263T1492.022","146481.5","176199.2","177938.5","125000.0","132584.8","143946.0","126797.1"
"M447.35T1507.107"," 76515.01","116777.74","199474.34"," 86300.00"," 94581.53"," 68236.57"," 75445.92"
"M722.259T892.9","  10426.699"," 540138.794","6109886.122","  63100.000","  82529.257","   8841.846","  71557.100"
"M523.599T1382.768","218080.1","317868.6","315921.9","189000.0","187901.6","136725.9","211283.5"
"M549.431T1507.08"," 99370.89"," 96042.49","103299.31","198000.00","166259.48"," 89217.53","184426.03"
"M330.262T1456.934","110351.9","137110.3","140737.0","109000.0","113688.7","109616.6","104961.0"
"M435.346T1540.43","74630.00","62488.28","56945.86","75600.00","87098.20","80222.41","89019.63"
"M576.484T1557.453"," 43791.06"," 64461.49"," 67670.81","161000.00","168693.10"," 32816.83","168850.11"
"M467.383T1523.593"," 52699.21"," 57843.56"," 69790.60","178000.00","150611.84"," 41926.74","101095.87"
"M951.603T1424.253"," 56709.91"," 69557.29"," 92135.71","395000.00","291989.23"," 11904.05","538493.04"
"M477.403T1542.988"," 68754.77"," 72109.81"," 93786.98","128000.00"," 94716.51"," 53846.98","111848.97"
"M477.407T1590.788"," 83304.49"," 82232.18","104177.77","137000.00","115987.44"," 72678.50","123815.63"
"M549.426T1489.95"," 92561.85","100676.42","133273.35","234000.00","189085.36"," 93543.93","220140.57"
"M471.336T1557.26"," 75170.60"," 74425.39"," 96848.86","151000.00","152414.52"," 86749.93","141845.35"
"M330.263T1439.913","113723.4","142481.7","144695.6","112000.0","116439.6","113143.7","104941.7"
"M629.529T1601.79","132953.36","136004.84","102248.09","359000.00","258398.43"," 99408.14","363855.34"
"M505.27T1240.129"," 36869.38","496398.96","487628.52","365000.00","401896.94"," 65216.20","281110.98"
"M576.533T1641.124","28320.66","22442.07","14288.02","85100.00","70381.22","26382.40","71076.64"
"M619.438T1245.233"," 12008.94","387624.43","451165.77"," 79900.00"," 81726.50"," 22931.48"," 63128.60"
"M313.161T1621.4","61415.94","68126.84","53976.47","80600.00","62762.73","86826.82","51501.38"
"M505.253T1269.605"," 14742.23","348384.97","275499.65","202000.00","296611.51"," 59251.77","205886.04"
"M494.565T1319.161","188625.4","417460.7","297804.2","237000.0","181237.5","325727.6","241285.0"
"M535.447T1540.43"," 63646.63"," 65862.82"," 65775.47","153000.00","150770.06"," 62284.74","141824.76"
"M477.398T1574.327"," 75046.82"," 72226.53"," 93786.98","128000.00","113245.37"," 65287.22","116774.08"
"M691.433T1253.346","112036.45","461054.07","487173.90","423000.00","299154.63"," 25347.44","334288.16"
"M341.283T1305.932"," 94925.39","710584.57","226058.78"," 99000.00"," 99290.49"," 98014.93"," 90301.76"
"M330.261T1473.013","105049.8","129928.7","132831.0","109000.0","110712.6","104715.9","104961.0"
"M339.172T1490.329","44191.59","27250.67","21719.25","41500.00","24189.41","55847.73","40215.54"
"M477.343T1423.013","48754.95","56632.00","58826.35","60700.00","65143.33","38625.17","59394.57"
"M332.328T1440.13","115359.6","142796.5","167103.2","122000.0","114870.3","129346.2","107630.9"
"M494.563T1509.9","304154.7","234099.8","171452.2","359000.0","314190.7","489330.4","396602.8"
"M481.362T1591.564","33792.03","45292.62","33077.86","95200.00","85785.75","42591.87","51280.62"
"M443.333T1262.042","  40654.56","2291206.76"," 726799.04"," 125000.00"," 123040.33","  81901.04","  90706.53"
"M510.367T1523.593","139590.33"," 86069.98"," 86114.55","133000.00","113300.22"," 79412.11","253461.85"
"M545.456T1607.833","108912.17"," 73195.07"," 68086.86","115000.00","109342.91","106818.16","143797.68"
"M669.539T1543.447","121295.60"," 80496.05","105264.37","150000.00","158046.37"," 64128.07","224496.82"
"M669.531T1507.08","111179.86"," 65231.82"," 86689.23","135000.00","152131.34"," 60730.70","210952.26"
"M383.284T1439.726","125217.3","251315.5","205205.8","149000.0","160963.2","148961.4","142025.4"
"M589.501T1621.712","261732.000"," 73577.312"," 55522.835","216000.000"," 67764.741","  8998.775","326276.896"
"M534.444T1557.26"," 85462.73"," 77456.07"," 71460.74","132000.00","146223.23"," 62296.09","178976.95"
"M494.565T1422.678","263375.7","463612.2","367002.5","336000.0","271628.7","439102.2","360053.8"
"M609.518T1624.418","60609.94","55474.25","35151.34","98700.00","72865.32","37909.56","73531.53"
"M465.265T1237.073"," 42836.11","242014.04","261681.82","234000.00","262652.72"," 81968.79","235810.57"
"M605.432T1239.559"," 77368.51","396644.25","322817.74","237000.00","155309.80","487181.71","323848.02"
