"","PC1","PC2","PC3","PC4","PC5"
"M765.518T1313.696",-0.047276,-0.047285,0.05159,-0.021395,-0.0016523
"M1003.558T1223.957",0.016637,-0.040222,0.12096,0.019076,-0.012665
"M415.326T1295.888",-0.054943,-0.052431,-0.062691,-0.070657,0.0099369
"M653.413T1286.062",0.019162,-0.0011665,0.023364,0.14784,-0.0095667
"M1102.351T817.469",-0.036337,-0.11896,-0.025098,-0.097524,-0.011803
"M549.424T1473.203",0.090815,-0.038408,-0.015905,-0.069241,0.0068205
"M787.545T1575.098",0.075761,0.14007,0.1157,-0.078879,0.033238
"M567.43T1421.35",0.060226,-0.011761,0.082379,0.05873,0.010517
"M798.839T1023.188",0.11718,-0.12273,0.062001,-0.012975,0.0052084
"M764.517T1325.086",-0.012967,-0.078846,0.17122,-0.06562,-0.0067221
"M677.438T1339.916",0.074202,-0.0095017,-0.019491,0.095395,0.012307
"M832.307T992.353",0.086008,-0.14505,-0.083117,-0.083047,0.033478
"M455.315T1295.888",-0.061271,0.017076,0.044891,-0.065338,0.0014503
"M297.239T1626.197",0.04877,0.05601,0.041956,-0.095587,0.003627
"M471.314T1308.231",-0.070497,0.06455,-0.025607,0.0037933,0.013358
"M455.313T1308.231",-0.03767,0.060494,0.0084988,-0.072621,0.0025198
"M392.284T1436.378",-0.094356,0.012814,-0.014503,-0.0023007,0.0096808
"M399.308T1262.042",-0.15052,0.070987,0.016516,-0.01951,0.0106
"M549.428T1523.962",0.080152,-0.0103,-0.0035375,0.03258,0.02984
"M807.348T918.929",0.060915,-0.10449,0.18827,0.24892,-0.052038
"M542.478T1573.977",0.11274,0.11661,-0.049535,-0.092132,0.030631
"M522.261T1109.944",-0.082184,-0.065116,0.032312,0.024914,0.010572
"M653.412T1258.482",0.031943,-0.0089436,0.003096,0.12889,0.0076194
"M475.412T1607.605",0.091512,0.13163,0.05588,-0.14149,-0.032777
"M653.413T1377.63",0.042046,-0.0036653,-0.0077213,0.075596,0.014163
"M330.263T1492.022",-0.050587,-0.040052,0.027124,-0.048411,0.010181
"M447.35T1507.107",-0.060597,-0.12766,-0.037747,0.039565,0.010887
"M722.259T892.9",-0.15212,-0.25696,-0.0021895,0.1253,0.037638
"M523.599T1382.768",-0.061871,-0.038219,0.071201,-0.020761,-0.014185
"M549.431T1507.08",0.077921,0.011449,0.019532,0.013724,0.005165
"M576.484T1557.453",0.094495,0.012299,0.0028433,-0.061633,-0.0094847
"M467.383T1523.593",0.083942,0.01589,-0.10625,0.047423,0.024717
"M951.603T1424.253",0.1249,0.0015516,0.074494,0.0062749,-0.030637
"M477.403T1542.988",0.054403,-0.03573,0.033889,0.11319,0.014788
"M477.407T1590.788",0.05635,-0.039406,0.014296,0.05824,0.020109
"M549.426T1489.95",0.079012,-0.024767,0.022476,0.047538,-0.0035897
"M471.336T1557.26",0.075058,-0.034116,-0.018854,-0.016846,0.009871
"M629.529T1601.79",0.0955,0.07447,0.057718,-0.0041382,-0.038334
"M505.27T1240.129",-0.053427,-0.01794,-0.08041,-0.034412,-0.014455
"M576.533T1641.124",0.1126,0.096864,-0.0054501,-0.044573,0.014184
"M619.438T1245.233",-0.12504,-0.061054,-0.010775,0.040223,0.0097488
"M505.253T1269.605",-0.044544,0.0063892,-0.043601,-0.19735,-0.0057631
"M494.565T1319.161",-0.060901,0.046245,0.10497,0.028726,-0.028897
"M535.447T1540.43",0.088501,0.024028,-0.012749,-0.043517,-0.023835
"M477.398T1574.327",0.062104,-0.041306,0.0035039,0.037942,0.029309
"M691.433T1253.346",-0.0443,-0.012139,0.037531,0.15048,-0.013996
"M341.283T1305.932",-0.11559,0.093569,0.037648,-0.067652,-0.023884
"M339.172T1490.329",0.048954,0.07415,0.12386,0.099183,-0.025073
"M332.328T1440.13",-0.045537,-0.064234,-0.0018217,0.04196,-0.0045444
"M494.563T1509.9",0.069666,0.071178,0.069703,-0.055314,-0.00039525
"M481.362T1591.564",0.068747,0.095029,-0.11908,-0.013111,0.017616
"M443.333T1262.042",-0.15368,0.05845,0.010791,-0.022822,-0.015062
"M510.367T1523.593",0.068892,-0.0058392,0.18383,-0.044869,-0.0070912
"M545.456T1607.833",0.071099,0.018447,0.082572,-0.060722,-0.0044004
"M669.539T1543.447",0.077984,-0.047758,0.08939,-0.060319,-0.017217
"M669.531T1507.08",0.085903,-0.045997,0.079161,-0.077947,0.015334
"M383.284T1439.726",-0.060708,0.011915,0.0084866,-0.070657,-0.013904
"M589.501T1621.712",0.083463,0.072931,0.22732,0.13956,-0.0020085
"M534.444T1557.26",0.080733,0.015224,0.064231,-0.1067,-0.023612
"M494.565T1422.678",-0.037692,0.038699,0.12578,0.013867,0.0069683
"M609.518T1624.418",0.06803,0.11777,-0.00029838,0.0046711,-0.0020192
"M465.265T1237.073",0.0004154,-0.066235,-0.0040117,-0.11443,0.0068262
"M605.432T1239.559",-0.047071,0.012869,0.19714,0.063,-0.0085528
