"","BLANK.2","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M591.474T1402.346"," 33767.18","296974.53","354000.00","311222.55"," 96333.61","242957.34","435676.61","468019.32","488000.00","371806.88","381000.00","526000.00","474293.02"," 43396.29","458625.64","568925.11","337393.45","390000.00"
"M1123.351T817.469","22717.89","59455.66","76400.00","53650.73","12835.06","41799.87","65524.29","99948.90","79100.00","53031.15","76700.00","48500.00","46274.72","25621.52","37609.79","72981.01","66931.73","63900.00"
"M645.458T1212.039"," 44646.89","250875.14","248000.00","278478.36"," 43094.00","270793.34","401800.56","335313.60","324000.00","362370.79","257000.00","351000.00","264772.60"," 20323.69","244872.15","377269.76","324288.40","296000.00"
"M555.363T1275.021","  5001.739","159603.355"," 77200.000","137867.184"," 16825.366"," 99885.456","111361.595","190458.176","116000.000","161354.697","101000.000","102000.000"," 91700.778","  3092.320"," 74222.879","123638.090","107906.091","102000.000"
"M277.217T1187.469","  45013.30","2851078.65"," 814000.00","2637313.89","  27750.04","1314202.09"," 707604.15","2490230.35","1920000.00","3419211.63","1840000.00"," 202000.00"," 692092.05","  38110.96"," 799838.51"," 371667.60","1689070.00","1720000.00"
"M670.528T1488.279"," 29389.64"," 80787.91","104000.00"," 86021.57"," 64167.28"," 77248.87"," 97208.00","127171.49","122000.00"," 82689.67","109000.00","174000.00","129144.49"," 26266.01","105832.23","171495.04"," 97550.00"," 95900.00"
"M679.449T1212.039"," 66502.54","433975.26","433000.00","421120.22"," 34582.30","360822.86","419398.05","609152.83","620000.00","445585.54","377000.00","522000.00","374696.88"," 36389.51","358606.62","689238.75","457926.76","439000.00"
"M697.464T1209.593","  4971.883","425998.173","515000.000","423119.869"," 15779.290","255382.609","607060.322","690756.613","609000.000","467255.649","379000.000","642000.000","430625.224"," 13766.140","423072.259","673241.049","552473.204","548000.000"
"M985.571T1146.934"," 11917.359","125480.205","129000.000","128808.398","  1537.353","178876.252","191828.130","145460.725"," 97400.000","149300.626","155000.000","111000.000","112383.819"," 15277.650"," 92054.447","115500.518","145428.538","125000.000"
"M424.216T1338.866"," 28936.90"," 89852.69"," 54200.00"," 98394.40"," 42247.16"," 73840.90"," 59525.75"," 82794.82"," 82700.00","103399.22"," 84800.00"," 77000.00"," 55940.12"," 26342.44"," 85225.11"," 62221.39"," 85267.37"," 94900.00"
"M565.409T1275.021"," 26042.26","114053.14","130000.00","127495.51","177257.27","120936.62","159730.21","185288.60","189000.00","143600.69","159000.00","210000.00","125169.45"," 22465.59","219892.52","237508.46","137267.33","177000.00"
"M698.466T1253.346","     0.000","175422.678","240000.000","195813.753","  6295.472","129873.872","229299.320","292577.952","277000.000","218367.778","158000.000","293000.000","203351.747","  8401.699","160937.260","316305.089","225016.658","238000.000"
