"","QC.1","QC.2","QC.3","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M1111.407T857.905"," 0.11580198","-0.50534608","-0.21967814","-0.78798150","-0.04341982"," 0.68888801"," 0.26479206","-0.11983591"," 0.47004076","-0.05639786"," 0.46653689"," 0.30582217","-0.28596266","-0.18282645","-0.11043344"
"M659.432T1389.647","-0.29098456","-0.19929965","-0.13098850","-0.22951296","-0.13059157","-0.03059831","-0.02149642"," 0.09148763","-0.46567803"," 0.11011711"," 0.35700770","-0.10272103"," 0.16090808"," 0.13252557"," 0.74982493"
"M822.841T1023.188"," 0.043658545"," 0.124749932","-0.030885034","-1.010900128","-0.076199152"," 0.236382104","-0.091578341"," 0.024621050"," 0.468519190"," 0.094437695"," 0.542383228","-0.003007374"," 0.003157170"," 0.036334521","-0.361673405"
"M960.389T959.199","-0.10287903","-0.05937356","-0.01036711","-1.01577297","-0.01411887"," 0.22254902"," 0.36444373","-0.50834104"," 0.35079557"," 0.13159148"," 0.06640835"," 0.43345320"," 0.17757695","-0.17793360"," 0.14196791"
"M862.501T1125.643","-0.178724874","-0.139567831"," 0.042577586"," 0.425579844"," 0.503702417","-0.433913995","-0.243638633"," 0.179599594"," 0.004090128","-0.086264587","-0.214076020"," 0.476565542","-0.223677242","-0.159261392"," 0.047009462"
"M867.589T1591.283"," 0.07031621","-0.20170660","-0.28716887","-0.12458085","-0.21063026"," 0.26293571"," 0.52493566"," 1.17909643","-0.55054839","-0.62733918","-0.43195696"," 0.11081709"," 0.09226579","-0.04200425"," 0.23556847"
"M1017.391T843.183"," 0.059890174","-0.087337726","-0.131096187","-0.761421928","-0.008974302"," 0.159152462"," 0.043391446","-0.018917049"," 0.604399711","-0.258879748"," 0.209253066"," 0.370569468","-0.265895880"," 0.188351884","-0.102485393"
"M955.379T843.183"," 0.13432307","-0.01715224"," 0.02663135","-1.30843964"," 0.05241923"," 0.15394230"," 0.26856849","-0.09461388"," 0.35367950","-0.16671385"," 0.40344539"," 0.25577553"," 0.11085829","-0.18505241"," 0.01232886"
"M447.25T1372.484","-0.33195118","-0.05372631","-0.28855713"," 0.14075304"," 0.27108015","-0.59749193"," 0.10338442"," 0.03248433"," 0.15186352"," 0.18097682"," 0.26675574"," 0.22402942"," 0.25744043"," 0.09013224","-0.44717356"
"M519.225T1025.439"," 0.34026681","-0.15310505"," 0.32721352","-1.36693283","-0.23351267"," 0.78502237"," 0.09628937"," 0.10465364"," 0.66480005","-0.36619683"," 0.30266100"," 0.03224057","-0.41294892","-0.09052891","-0.02992216"
"M867.338T941.124","-0.02434966","-0.07968693","-0.10915116","-0.72278354","-0.09393294"," 0.45413783"," 0.05568875","-0.06218895"," 0.36071214","-0.46100565"," 0.36625166"," 0.20539212","-0.09629990","-0.11296781"," 0.32018403"
"M817.32T1025.439"," 0.22714210"," 0.25555815"," 0.24446939","-1.52516927","-0.26728901"," 0.44711771","-0.02846707","-0.16649753"," 0.33999166","-0.16401064"," 0.41173672"," 0.32072434","-0.04776163"," 0.02828673","-0.07583165"
"M629.459T1473.698","-0.162110730","-0.018229195","-0.310292333","-0.097339474","-0.118062757","-0.007475149"," 0.069376129","-0.504559908","-0.481561121"," 0.441249737"," 0.189123700"," 0.514426128"," 0.329018866","-0.037244532"," 0.193680639"
"M505.273T1221.035","-0.02948744","-0.25498712","-0.16042187"," 0.02215547"," 0.21511147","-0.02909590"," 0.03634320"," 0.30702163","-0.01506896","-0.36175917","-0.13778573"," 0.35745746","-0.50473317"," 0.41069408"," 0.14455604"
