"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"M985.574T1225.672",0.023067,0.0039729,0.011787,0.010951,0.00073042,-0.0031937,-0.018884,-0.007049,-0.0038697,0.0045454,-0.0044758,-0.01077,-0.0072131,0.0011576
"M1030.586T1195.906",0.022837,-0.0026408,0.015423,0.010176,0.0011067,-0.00094731,-0.0010647,-0.0064198,0.010264,-0.003882,-0.0025746,-0.0093005,-0.0032104,0.00031448
"M1097.549T894.492",0.024165,-0.00075393,0.017128,-0.002655,0.015906,-0.015327,0.011087,0.0018634,0.022756,-0.0058793,-0.015315,-0.0086098,-0.0050847,0.00065196
"M901.267T743.636",0.014207,-0.0047036,0.027994,0.010962,-0.014604,-0.030395,0.055326,0.062366,-0.0017615,-0.0414,0.060503,-0.067258,-0.023866,-0.0014047
"M779.462T1401.836",0.011339,-0.013062,0.043388,0.011918,0.0041666,-0.011937,0.027549,0.0096765,-0.0001287,-0.031019,-0.016981,-0.030299,0.0051155,-0.0031577
"M917.503T1359.918",0.017874,-0.0071607,0.028833,0.017937,-0.0054607,-0.010352,0.012959,0.0050975,0.0096486,-0.0050105,-0.001419,-0.015317,-0.00063444,0.0013345
"M851.912T1326.892",0.019929,-0.01093,0.030077,0.026355,-0.0037625,-0.014025,-0.0095053,0.008847,-0.010549,-0.033932,0.01501,0.0073185,0.0010569,-0.0031771
"M705.267T1050.095",0.017785,-0.0045931,0.030723,-0.021163,0.012779,-0.0098956,-0.018425,0.0016769,0.020526,-0.024323,0.023821,-0.016396,0.0041091,0.0031578
"M983.568T1252.43",0.018393,0.0076842,0.019996,0.024165,-0.003891,0.033118,0.0083369,-0.0064335,0.030715,0.0015256,0.0010386,-0.01425,-0.0059013,-0.0026381
"M457.19T799.683",0.022026,0.0088817,0.0021904,-0.0023437,0.0033626,0.006988,-0.016599,0.025841,0.0049829,0.017543,0.0069901,-0.0057662,-0.0042409,0.0013936
"M846.46T1187.467",0.017749,-0.014816,0.02558,-0.001633,0.019848,0.032571,0.0081154,0.012529,0.02574,0.011692,0.014609,0.0048884,-0.022004,-0.0010068
"M821.506T1329.663",0.016564,0.011909,0.030322,0.032897,-0.0045926,0.01307,0.013564,-0.011654,0.0086793,0.0077561,0.016581,-0.016747,0.0056857,0.0013899
"M347.184T1141.626",0.022255,-0.0088836,0.0049431,-0.0046156,0.0052337,0.0071938,-0.018147,-0.022242,-0.012849,0.022975,-0.010487,0.0059634,0.0077927,0.0015031
"M768.448T1315.096",0.021174,-0.0016292,0.016334,0.0078321,-0.0047619,-0.0090105,-0.016449,0.0030949,-0.011435,0.014813,4.5121e-05,-0.018151,0.0080413,-0.00015258
"M531.078T845.355",0.014283,-0.013003,0.018026,-0.012764,-0.021539,-0.008421,-0.0076008,0.051008,-0.018318,-0.035318,0.013164,-0.018789,-0.018232,-0.0011886
"M309.118T727.508",0.022104,0.016124,0.015503,0.0052966,0.00015599,0.0058866,0.033062,0.013398,0.015137,-0.033734,0.0041452,0.025663,0.013097,-0.0048729
"M345.183T1137.887",0.023312,-0.0043039,0.0075328,0.0013941,0.021992,0.012386,0.0014699,-0.021452,-0.021185,-0.0057895,-0.0024371,-0.010483,-0.0012723,-7.2798e-05
"M1076.649T1193.389",0.018337,-0.023428,0.0060565,-0.020809,0.0113,-0.0017408,-0.03286,-0.028356,0.033381,-0.0073713,0.020886,0.00079496,0.0088957,0.0041521
"M919.515T1328.715",0.018397,-0.0090491,0.02777,0.017894,0.0010668,-0.0099763,0.014087,0.011051,0.0091957,-0.0070927,-0.0007371,-0.012172,-0.00024302,-0.0013473
"M277.217T1196.341",0.014685,-0.017617,0.015351,-0.013864,-0.012287,0.017037,-0.035685,-0.036084,0.030602,0.0012345,0.025865,-0.023167,0.0085629,0.0077571
"M655.999T943.196",0.023117,-0.0015724,0.0086663,0.0063525,0.017438,0.01313,0.0067977,0.0045407,0.0014395,0.014279,0.0099517,0.033242,0.0074979,-0.0012422
"M565.05T98.887",0.016713,-0.015199,0.040238,-0.035507,0.012195,0.015927,0.023446,0.0012931,-0.013515,-0.012831,0.0013737,0.0026795,0.0029314,0.00037958
"M277.129T811.716",0.022032,0.010379,0.0082207,0.025358,-0.016455,0.014016,0.014041,0.017199,0.021402,0.016794,0.0062465,0.007858,-0.0028021,0.0016589
"M655.038T106.771",0.019806,-0.020532,0.0099793,-0.013813,0.012756,-0.014635,0.002703,0.0017955,0.01433,0.013344,0.021656,0.0065987,-0.0070299,-0.0012116
"M1075.647T1193.908",0.018531,-0.022511,0.0107,-0.014324,0.011902,0.00040043,-0.037591,-0.035859,0.030992,-0.018546,0.029569,-0.0055911,0.020725,-0.00086946
"M649.026T106.128",0.021003,-0.016281,0.0057545,0.0094132,0.0018406,-0.0088891,0.0075632,0.00019648,0.0015036,0.0075068,-0.00041723,0.010207,0.018968,-0.0028755
"M1097.561T894.34",0.027981,-0.0070533,0.030477,-0.0026564,0.008077,0.0029826,0.0038171,-0.0068765,0.0084601,-0.0047817,0.019334,0.012537,-0.015256,-0.0047805
"M1014.585T1248.122",0.022274,-0.0029545,0.009015,0.014784,0.0093873,0.0054818,0.0071593,0.011395,0.0070157,0.0097204,-0.0060487,-0.0099396,-0.0091405,0.0014024
"M868.517T1202.592",0.017776,-0.0040122,0.030064,0.0077881,-0.0020003,-0.00054096,0.0029823,0.028392,0.020007,-0.015725,-0.0042475,-0.013362,-0.010304,0.0058669
"M1015.588T1248.088",0.022108,-0.0018932,0.012473,0.02101,0.006189,0.0039855,0.00012782,0.0075616,0.010823,-0.00023211,-0.0081799,-0.0082809,-0.0017325,0.0016762
"M921.374T936.829",0.024745,0.016695,0.0065938,-0.0037208,-0.0056057,0.026962,-0.0037217,0.0060192,-0.0060357,0.0061136,0.0024026,-0.0068666,-0.0032373,-0.00035263
"M851.794T1356.146",0.019128,-0.015933,0.019605,0.019377,0.0071563,-0.0051853,-0.0028817,0.0021025,-0.0021825,0.0046031,-0.0013591,-0.0065822,-0.015488,-0.00026263
"M451.007T107.467",0.020379,-0.018645,0.014416,-0.0031638,0.0024771,-0.0083361,0.0067461,0.00024668,-0.0061823,0.018147,0.0001135,-0.0044091,0.0023902,-0.00070084
"M808.919T1196.341",0.014117,-0.0082563,0.0095895,-0.028315,0.015269,0.00061408,0.0028002,0.022985,0.023028,0.043249,0.0039277,0.0036267,-0.093586,0.0024737
"M1013.97T1244.591",0.02318,-0.0041624,0.0044633,0.01784,0.006075,-0.0010103,-0.0052873,-0.010825,0.02457,-0.0023962,-0.0080789,-0.010985,-0.021879,0.0022604
"M1100.582T1225.322",0.022739,0.0014685,0.013659,0.010821,-0.0049407,0.017171,-0.0083418,0.0030453,-0.0060425,0.0078953,-0.0017411,0.0025268,-0.012412,-0.0018938
"M649.302T900.549",0.021645,0.0079314,0.01926,0.0018341,-0.002605,0.0023909,-0.0017465,0.0017228,-0.0033467,0.0082238,0.018688,-0.011903,-0.0030651,-0.00032956
"M575.766T1053.433",0.02003,-0.010914,0.02323,-0.0055581,0.0072825,0.0053598,-0.021727,0.016684,0.019394,-0.0016365,0.019514,-0.0078766,0.0080329,0.0014512
"M1161.883T894.146",0.028051,-0.0068584,0.016318,-0.0057785,0.0097642,-0.02469,0.0014688,-0.0081258,0.037339,-0.013894,-0.017884,-0.0068482,-0.018553,0.0025629
"M286.972T107.919",0.021287,-0.014972,0.010237,0.012825,0.0055934,-0.012887,0.0013596,0.0097846,-0.0086014,0.01419,0.016388,-0.00089589,0.0017987,0.0005798
"M581.318T900.123",0.018879,0.011059,0.031116,0.0048741,-0.0014406,0.0043153,0.010918,0.00027399,0.0057261,0.011473,0.010523,-0.005887,-0.0092825,0.0007018
"M1014.585T1348.471",0.021023,0.0071327,0.0068845,0.022703,0.0011035,0.011095,-0.0021551,-0.013227,-0.0018931,0.0094923,-0.0036612,-0.016126,-0.018041,0.00062266
"M799.289T814.54",0.022075,-0.0031692,-0.0051887,0.022346,-0.014691,0.012282,-0.0076105,-0.030109,0.0096149,0.016048,0.00075916,0.0016045,-0.0082908,0.00069172
"M883.503T1155.003",0.018244,-0.0052264,0.032575,0.015387,1.4533e-05,0.0025625,0.012,0.017577,0.017399,-0.0031725,-0.003228,-0.015713,-0.0079083,-0.0022338
"M527.103T89.251",0.016197,-0.018751,0.036398,-0.017711,0.011044,-0.021749,0.016236,0.014064,-0.030221,-0.0048867,0.050197,-0.045284,0.0011342,4.8707e-05
"M1053.272T316.465",0.02747,0.036926,-0.015475,0.0054274,0.034842,-0.0052108,-0.01137,0.0053795,-0.0043203,-0.0030703,0.0060522,-0.00031197,-0.0068402,0.0026081
"M1097.037T893.528",0.026665,-0.012326,0.016303,-0.00082843,0.008657,-0.0084151,-0.0033837,0.0026503,-0.0042751,0.0099471,0.027144,-0.012609,-0.0080912,-0.0010411
