"","X16.C9.3.neg","X19.C9.2.neg","X21.C9.4.neg","X45.C9.1.neg","X13.D9.4.neg","X20.D9.1.neg","X49.D9.2.neg","X48.D9.3.neg","X26.F9.1.neg","X36.F9.3.neg","X14.X9.2.neg","X23.X9.1.neg","X27.X9.3.neg","X40.X9.4.neg"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas"
"M531.078T845.355","-0.09799032","-0.10491253"," 0.28028055"," 0.27813106","-0.82549488"," 0.45997684","-0.89121097","-0.60715722"," 0.14635392"," 1.16484652","-0.06266166"," 0.32019434","-0.19923411"," 0.13887846"
"M309.118T727.508","-0.09958932","-1.14225677"," 0.55986338","-0.17355586","-0.17136444"," 1.15286422","-0.55460446"," 0.54141548","-0.18938749"," 0.69056921","-0.64148117"," 0.45815923","-0.22959013","-0.20104189"
"M345.183T1137.887","-0.01277723","-0.89104468"," 0.28352455","-0.14377331"," 0.18014191"," 1.51433818","-0.18788364","-0.68652901","-0.20834835"," 0.48571517","-0.06233902","-0.05552712","-0.37007528"," 0.15457782"
"M1076.649T1193.389"," 0.15996697","-0.13257535","-0.10849842"," 0.03129275"," 0.36314209"," 0.83072075"," 0.04182375","-0.89981448","-1.22226645"," 1.11106643","-0.10945607"," 0.15085280","-0.40372647"," 0.18747169"
"M919.515T1328.715","-0.216564630","-0.211649455"," 0.208942384"," 0.089845180","-0.471536834"," 1.297232242","-0.253842522","-0.325223571","-0.165320335"," 0.497148173","-0.535756439"," 0.595887888","-0.515347277"," 0.006185197"
"M277.217T1196.341"," 0.26221242"," 0.14445971","-0.03959263","-0.46120651"," 0.25949006"," 0.71866120","-0.25113117","-0.85270335","-1.13573988"," 0.69527114","-0.03037337"," 0.43912652","-0.26102862"," 0.51255450"
"M655.999T943.196","-0.46477525","-0.89271843"," 0.24245573"," 0.07721873"," 0.30523549"," 1.36465229","-0.25532749","-0.37984323","-0.37321024"," 0.58614864","-0.43901311"," 0.32685070"," 0.07390000","-0.17157382"
"M565.05T98.887","-0.38338228"," 0.04431194"," 1.27999438","-0.10463664","-0.15768009"," 1.06955978","-0.49134472","-0.60829727","-0.49446645"," 0.83946855","-0.23420647","-0.21019306","-0.48139356","-0.06773411"
"M277.129T811.716","-0.54267151","-0.90929708","-0.08429933","-0.28291053","-0.09042227"," 1.22162799","-0.49417096"," 0.16797912","-0.14160408"," 0.38947347","-0.46853187"," 0.96928860"," 0.08360362"," 0.18193484"
"M655.038T106.771","-0.46898740","-0.23469082"," 0.10161881"," 0.13010410","-0.13354023"," 1.07523054"," 0.16810684","-0.73723270","-0.67615125"," 1.10694389","-0.24308423"," 0.15779566","-0.18991017","-0.05620305"
"M1075.647T1193.908"," 0.48536020","-0.12677677","-0.08213300","-0.01919818"," 0.31570782"," 0.93195569","-0.02840219","-0.96016597","-1.27599236"," 0.99731800","-0.23617313"," 0.18395123","-0.39752747"," 0.21207612"
