"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"M1161.759T892.609",0.45182,0.53274,0.79338,0.82646,0.81982,0.82036,0.82033,0.82033
"M159.978T67.84",0.45157,0.6023,0.6194,0.59536,0.71387,0.71474,0.71476,0.71477
"M297.119T136.686",0.45136,0.72381,0.65615,0.64609,0.64016,0.64115,0.64119,0.64119
"M473.173T806.642",0.45114,0.84656,0.76027,0.7341,0.72786,0.72734,0.72731,0.72731
"M429.25T1071.941",0.45017,0.89223,0.79107,0.77333,0.76775,0.76735,0.76731,0.76731
"M427.009T107.872",0.45011,0.82979,0.76187,0.75527,0.7555,0.75486,0.75482,0.75482
"M265.426T1576.148",0.44955,1.3159,1.3274,1.3059,1.3162,1.3201,1.3201,1.3201
"M292.951T1190.066",0.44898,1.1486,1.0184,0.98977,0.98326,0.98338,0.98335,0.98335
"M674.842T67.64",0.44827,0.61439,0.59631,0.63836,0.63442,0.63388,0.63386,0.63386
"M476.894T1187.093",0.44805,0.38389,1.3803,1.3614,1.3555,1.3548,1.3548,1.3548
"M337.092T724.593",0.44719,1.0665,1.0044,0.96695,0.96014,0.95947,0.95946,0.95946
"M613.529T893",0.4459,0.89295,0.79486,0.78756,0.78388,0.78347,0.78343,0.78343
"M656.998T95.285",0.44547,0.64689,0.6465,0.7048,0.70491,0.70432,0.7043,0.7043
"M361.323T326.759",0.44428,0.728,0.75762,0.73127,0.73864,0.73816,0.7382,0.73821
"M969.698T320.725",0.44417,1.1754,1.1984,1.1558,1.1654,1.1661,1.166,1.166
"M984.8T68.139",0.44351,0.50769,0.95432,0.91831,0.96554,0.96611,0.96611,0.96611
"M649.307T1120.24",0.44278,0.91981,0.83558,0.80361,0.79614,0.79569,0.79565,0.79565
"M659.284T993.534",0.44249,0.69851,0.66089,0.63524,0.62967,0.62928,0.62924,0.62924
"M631.151T795.429",0.44149,0.74518,0.69229,0.66604,0.66294,0.66267,0.66268,0.66268
"M657.832T67.374",0.44132,0.45097,0.40051,0.42419,0.42988,0.42991,0.42989,0.42989
"M631.863T318.629",0.44075,1.1157,1.3891,1.3407,1.3322,1.3352,1.3352,1.3352
"M613.854T887.38",0.43946,0.78218,0.78613,0.75614,0.74914,0.7485,0.74846,0.74846
"M645.848T67.545",0.43912,0.44147,0.40082,0.56463,0.5686,0.56834,0.56832,0.56832
"M875.467T1241.171",0.4385,0.88687,0.84365,0.84572,0.83962,0.83891,0.83887,0.83887
"M771.83T66.444",0.43811,0.69761,0.83781,0.93906,0.97654,0.97574,0.9757,0.97569
