"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"M921.374T936.829",0.034423,-0.0067713,-0.008617,0.020233,-0.0075533,-0.0084123,0.012046,-0.011444
"M851.794T1356.146",0.01912,-0.034168,0.013953,0.014154,0.005343,0.0038503,0.0038113,0.00073377
"M451.007T107.467",0.020835,-0.034088,0.018724,0.0078581,0.0029327,-0.0033516,-0.016429,0.0066652
"M808.919T1196.341",0.016264,-0.01556,0.019632,0.032543,0.048231,0.013572,0.018101,0.042054
"M1013.97T1244.591",0.027748,-0.023607,0.0047652,0.0038583,0.010514,0.014675,0.0086375,-0.01229
"M1100.582T1225.322",0.028304,-0.018805,0.0041913,0.019476,-0.0075799,-0.0031714,0.013945,-0.0039057
"M649.302T900.549",0.027372,-0.017015,-0.0048824,0.027654,-0.0043352,-0.0016804,-0.0056929,-0.0074644
"M575.766T1053.433",0.021184,-0.031382,0.010735,0.020621,-0.0064421,-0.022841,0.014765,-0.0089411
"M1161.883T894.146",0.031422,-0.03814,-0.0013901,0.0052136,0.0051848,0.025565,0.00094574,0.0048842
"M286.972T107.919",0.02307,-0.030504,0.016428,0.0070891,0.0070486,-0.010558,-0.012225,0.01035
"M581.318T900.123",0.023082,-0.018986,-0.012755,0.038193,-0.0072627,0.0061252,-0.0098074,1.0333e-05
"M1014.585T1348.471",0.027423,-0.012845,-0.0029259,0.015815,0.0071679,0.0091071,0.0031064,-0.019295
"M799.289T814.54",0.028602,-0.012623,0.013559,-0.00083962,-0.0038787,0.010921,-0.0054561,-0.022831
"M883.503T1155.003",0.018947,-0.030863,0.0014537,0.029644,-0.0091497,0.0067488,0.001117,0.0031119
"M527.103T89.251",0.013137,-0.04156,0.012528,0.03118,0.010477,0.0043226,-0.027477,-0.0060117
"M1053.272T316.465",0.041445,0.0030604,-0.039934,0.00047118,0.032769,-0.019186,0.015766,-0.00027568
"M1097.037T893.528",0.029766,-0.035309,0.013807,0.01644,0.011385,-0.004543,-0.0078752,-0.0029074
"M987.494T1327.158",0.016808,-0.035783,0.0088997,0.0022879,-0.022481,0.0038017,0.0019887,-0.0032523
"M863.484T1242.374",0.019372,-0.030349,-0.011856,0.026607,-0.0075839,0.026322,-0.0039851,-0.0062946
"M869.849T1307.413",0.022876,-0.031233,0.0020312,0.0037932,-0.0029275,0.0038729,-0.012238,0.0057603
"M867.515T1204.699",0.020242,-0.035281,-0.0011525,0.019389,-0.010014,0.0074969,0.012778,0.0037617
"M1071.559T892.477",0.030815,-0.02522,-0.023147,0.0066866,0.020526,-0.0056632,-0.0044237,0.015088
"M751.392T1268.098",0.015692,-0.035789,0.0086584,0.021054,-0.010634,0.014867,-0.0058465,-0.0067262
"M306.171T797.884",0.015772,-0.038105,0.0071849,-0.0039676,0.0021048,0.0082773,0.0076146,0.00987
"M1000.263T316.358",0.043831,0.0074466,-0.044927,-0.0027345,0.033896,-0.017711,0.016864,-0.00050487
"M699.398T1124.853",0.010103,-0.031782,0.010536,0.039873,-0.0079836,-0.0079067,-0.00446,0.028147
"M767.194T317.413",0.035175,-0.012686,-0.018522,-0.0040503,0.014693,0.00097168,0.0048903,0.012707
"M280.961T95.439",0.020294,-0.032563,0.0013931,0.010567,-0.023146,-0.0019064,-0.0087545,0.031861
"M650.407T1378.088",0.032682,-0.0070771,-0.0095895,0.0056384,0.006741,0.0021072,-0.0010735,-0.012894
"M653.891T318.024",0.036673,-0.0097213,-0.01145,-0.00082702,0.013801,-0.010339,0.0094603,-0.00047306
"M560.841T1187.938",0.033502,-0.017945,4.8377e-05,0.0052769,0.013725,-0.019372,-0.011166,0.027237
"M354.957T108.842",0.020271,-0.03207,0.021318,0.0090378,-0.015602,-0.0050723,0.0069957,0.0088895
"M590.775T907.789",0.018237,-0.014779,0.016062,0.026466,-0.021303,-0.042607,-0.0094366,0.026086
"M455.14T941.827",0.031552,-0.0097744,-0.010485,0.00057131,0.015976,-0.035543,0.023465,-0.022308
"M478.858T67.274",0.015072,-0.032446,0.02501,-0.015588,0.020535,-0.022145,-0.024925,-0.017001
"M991.585T1378.099",0.017493,-0.027091,-0.00053192,0.020032,0.0043174,0.0020908,0.0035118,-0.01846
"M184.986T90.923",0.01824,-0.035669,0.035879,0.0026614,0.00069661,0.0084285,-0.026497,0.005463
"M206.082T164.917",0.012858,-0.042937,0.019876,0.015066,-0.0094431,0.020286,0.013242,-0.018176
"M1161.521T895.466",0.026453,-0.028799,-0.0047685,0.014585,0.025409,-0.01348,-0.026907,0.036917
"M418.218T902.438",0.030388,0.0022204,-0.011706,0.026927,-0.022768,0.014047,-0.0035619,-0.0024816
"M632.783T316.499",0.038323,0.0036209,-0.015979,-0.0059154,0.018283,-0.00012656,-0.013067,0.006083
"M1074.325T1193.301",0.021353,-0.031113,0.0075121,0.0051457,0.002741,-0.027199,0.017609,-0.045904
"M451.218T291.531",0.033821,-0.0041284,-0.023095,0.020658,0.0056139,0.0007299,0.0039886,0.0046893
"M344.099T126.621",0.02991,-0.017561,-0.0026213,0.0094823,-0.0044454,0.00018199,-0.0037331,-0.023997
"M558.799T1194.269",0.026276,-0.030865,0.0027403,0.0024628,-0.0041136,-0.017482,0.0056391,-0.011292
"M852.187T1328.651",0.0099263,-0.038549,0.0086586,0.015306,-0.011642,0.004705,-0.017583,0.0067627
"M1343.805T1193.201",0.036012,-0.016919,-0.0087138,-0.026709,0.040494,-0.033409,0.010899,-0.0096515
"M1074.439T1194.382",0.036701,-0.015764,-0.029636,-0.032948,0.04028,-0.022402,0.015685,-0.031433
"M575.856T1053.805",0.023383,-0.032052,0.012466,0.014917,0.00095875,0.0046678,0.0055152,-0.013459
"M653.691T320.692",0.034691,-0.014822,-0.015361,0.0096806,0.020321,0.0014074,-0.014344,-0.0065242
"M385.113T835.894",0.027847,-0.022082,-0.0053884,-0.018758,-0.00038542,0.016807,0.014241,-0.028421
"M1326.883T1200.672",0.022257,-0.035776,0.013496,0.0099635,0.050881,-0.0295,0.024783,-0.06277
"M700.309T1205.376",0.0057864,-0.044774,0.033593,0.021642,-0.0053698,-0.025818,0.028053,-0.014374
"M627.229T851.009",0.047468,0.0073319,-0.03306,0.0027309,0.029322,-0.018535,0.020973,-0.0050874
"M633.552T319.689",0.037705,-0.015557,-0.014331,0.0075294,0.0057204,-0.017252,-0.0018861,-0.0039057
"M885.489T1408.277",0.020841,-0.023054,-0.012016,0.024843,-0.006722,0.002063,-0.0055035,-0.012911
"M845.458T1184.78",0.021191,-0.021495,0.0057714,-0.010072,-0.006895,-0.027373,-0.0099128,0.0080369
"M1001.569T1093.359",0.030403,-0.018463,-0.021274,0.012714,0.0088818,-0.021182,0.029464,-0.010372
"M1028.185T1194.382",0.031285,-0.021223,-0.010634,-0.0015578,0.021524,-0.018622,0.025696,-0.021046
"M645.124T781.203",0.031961,-0.015702,-0.011113,0.005332,0.014469,0.0063176,-0.0067676,0.0083991
"M537.695T1290.37",0.0080596,-0.012257,0.020931,-0.0043123,0.0063651,-0.023876,0.039688,-0.03519
