"","C9.1","C9.2","C9.3","C9.4","X9.1","X9.2","X9.3","X9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","QC.1","QC.2","QC.3","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","C12.1","C12.4","X12.1","X12.2","X12.3"
"Label","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","Other","Other","Other","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point"
"M424.205T1508.296","-0.641235916"," 0.161382287"," 0.181048414"," 0.079072745","-0.075483972"," 0.046224619"," 0.152996920"," 0.042965474"," 0.417415985","-0.068560575","-0.671402142","-0.264096434","-0.142792285"," 0.033930243","-0.012437421"," 0.093833079"," 0.095698225"," 0.132890974","-0.043889337"," 0.007038083"," 0.103738566","-0.181638556","-0.088713644"," 0.223484888"," 0.602571582"," 0.095999795","-0.148982982","-0.137537971","-0.195629281"," 0.202108636"
"M347.259T1473.286"," 0.042738281","-0.389292661","-0.020131040","-0.400619117","-0.157657687","-0.373853628"," 0.241004011"," 0.064606730"," 0.174769760","-0.007081393","-1.255242226"," 0.028180094"," 0.284235677"," 0.051690667"," 0.185654239","-0.035799202"," 0.223269482"," 0.209816852"," 0.387890774","-0.151627043"," 0.202921893"," 0.337866470"," 0.187486917"," 0.402749390"," 0.046181162","-0.231002746","-0.536169922"," 0.031461044"," 0.359567530"," 0.096385693"
"M465.26T1373.143","-0.109562020","-0.431843719"," 0.052502462","-0.064003317"," 0.013193211"," 0.251435373","-0.249233901","-0.079604195"," 0.220399071","-0.092498290","-1.299087301"," 0.229954854","-0.236025204"," 0.088377826"," 0.396473683"," 0.674863814","-0.217894071"," 0.578179394"," 0.716838724"," 0.016554309"," 0.178732713"," 0.669752111"," 0.166105476"," 0.265900524"," 0.222030889","-0.999609933"," 0.004873587","-0.350466897","-0.084819436","-0.531519735"
"M341.283T1305.932"," 0.34820235","-0.35740363","-0.28294857","-0.38131727","-0.42290350","-0.34704208"," 1.34543411"," 0.59683749"," 0.59325520"," 0.72421322"," 1.06286967","-0.05434131","-0.24468038"," 0.49776368"," 0.20535230","-0.16044484","-0.36678276","-0.17855653","-0.32148874","-0.16522550","-0.31953047"," 0.06945668","-0.32217378","-0.25731916","-0.29154801","-0.34699962"," 0.46402244","-0.31550162","-0.32907942","-0.44211994"
"M330.261T1473.013","-0.4843820051","-0.0209370243"," 0.2528565457","-0.0987649231","-0.0204037502"," 0.1374761021","-0.1042315126"," 0.0008888942","-0.2971508254"," 0.1141126926"," 0.3472235637","-0.0276329804","-0.1361122253"," 0.0921364609"," 0.0865401643"," 0.0193894401","-0.0711802380"," 0.1551834337","-0.2063066387","-0.0096087569","-0.0317955967","-0.1923400040","-0.0800261003"," 0.1054634865"," 0.1133526901","-0.1291796025"," 0.4544735440"," 0.2533677253"," 0.0984638601","-0.3208764199"
"M311.255T1280.542"," 0.32248374","-0.42855873"," 0.13537192"," 0.13476927","-0.29531626"," 0.07580764"," 0.25668311"," 0.48153075"," 0.69274547"," 0.22256623"," 0.07003816"," 0.25268692"," 0.05010664"," 0.29341221"," 0.64035465"," 0.08670811","-0.50122707","-0.01395418","-0.00469711","-0.10845938","-0.25140437"," 0.58846840","-0.10303148"," 0.10703322","-0.27612920","-0.71651859"," 0.02772225","-0.07518886","-0.18525053","-1.47875292"
"M792.472T1524.351","-0.02959591","-0.20489367","-0.03369733","-0.14375236","-0.39141617"," 0.23651935","-0.10573210","-0.12293293","-0.26902877","-0.15481376","-0.70621518"," 0.30800142","-0.11114008","-0.22450037","-0.37198473"," 0.55736977","-0.32585156","-0.20240376","-0.37337240"," 0.38254291"," 0.18347363","-0.28062198"," 0.09223281","-0.08247805"," 0.64458074"," 0.98441414","-0.17220150"," 0.03626122","-0.03151281"," 0.91274944"
"M865.582T1509.04","-0.646194507"," 0.112840649","-0.004188044","-0.184732137","-0.461827012"," 0.463941567"," 1.332333491","-0.244863809"," 0.532264497","-0.688888428","-0.913272232"," 0.280022324"," 0.036112243","-0.387454189","-0.816534741"," 0.564518458","-0.186881634","-0.854787895","-0.197591557"," 0.495136780"," 1.737562680","-0.419907220","-0.369403062","-0.450920779"," 0.403874021"," 0.806926548","-0.186721108","-0.054413556","-0.038753547"," 0.341802197"
"M608.267T945.789","-0.35913922","-1.10585515","-0.26076531"," 0.13853122"," 0.18438049"," 0.11514363","-0.09751596","-0.22226519","-0.15231212","-0.15063779"," 0.18119318"," 0.13679717","-0.02175120"," 0.20006835"," 0.23086150"," 0.26831966"," 0.26355162"," 0.27773845"," 0.59356294"," 0.43030955","-0.04705112"," 0.26756960"," 0.23581904"," 0.20878326"," 0.15899512","-2.49682279"," 0.32946735"," 0.42863518","-0.02981503"," 0.29420358"
"M1021.696T1456.932","-0.80050040"," 0.33107326"," 0.18955810","-0.32065728","-0.22062794"," 0.68926025"," 1.37122298","-1.04564477"," 0.69457857","-0.50841886","-0.56345707"," 0.49703483"," 0.06046634","-0.94529167","-0.88925595"," 0.55059083","-0.13133659","-0.26063006","-0.27987345"," 0.78361292"," 1.75967246","-1.04298096","-0.46044037","-0.82248571"," 0.71063333"," 1.09622835","-0.67219727","-0.39559732"," 0.14219599"," 0.48326745"
"M861.603T1557.588"," 0.04391224"," 0.07508232","-0.08142109","-0.51924342","-0.07674611"," 0.22067453"," 0.64174599"," 0.22989958"," 0.28284895","-1.15889022","-0.61193737","-0.12432211","-0.30875762"," 0.35013051"," 0.17626210"," 0.08427073","-0.41023581"," 0.14006900"," 0.02235970"," 0.16686314"," 1.03834555","-0.63329207","-0.52775320"," 0.15174275"," 0.20788231"," 0.23722232","-0.04777911"," 0.42732047"," 0.10557593","-0.10182999"
"M1131.443T843.183"," 0.245781857","-0.759097893","-0.310303016","-0.480664841","-0.183872240","-0.105890658"," 0.232491206","-0.087648069"," 0.068228148","-0.264210269","-0.001679327"," 0.177762111","-0.080672326"," 0.571966626"," 0.263635997"," 0.381290652"," 0.003875002"," 0.467729103"," 0.557606023"," 0.024659905","-0.053320306"," 0.745034189","-0.068399601"," 0.741825017","-0.029337256","-2.042388463"," 0.042897066"," 0.002315247"," 0.130859428","-0.190473311"
"M293.131T985.458"," 0.22738830","-0.14925267"," 0.03926407"," 0.07464492","-0.06987597","-0.10104271"," 0.49631294"," 0.28052757"," 0.31722542"," 0.53663131","-0.53014437","-0.28947963","-0.13272592"," 0.48671508"," 0.21037026","-0.02680467","-0.06405982"," 0.01846492"," 0.02175209"," 0.08006580"," 0.13003436","-0.17251220","-0.43497192","-0.20682121"," 0.44880262","-1.69506697"," 0.03156590","-0.15184642"," 0.19710187"," 0.42773703"
"M967.58T1390.374"," 0.383627404","-0.546443952"," 0.288483388","-0.078601341"," 0.618267204"," 0.064445385"," 0.020348423","-0.001506361"," 0.261609231"," 0.102961583","-1.433429211"," 0.309369577"," 0.370530857"," 0.462740962","-1.038646886"," 0.035189328"," 0.121684165"," 0.015905562","-0.063002276","-0.330186279"," 0.346333782"," 0.159166590"," 0.371181340"," 0.323474363"," 0.429618601","-1.403794801","-0.475105102","-0.047405513"," 0.475504709"," 0.257679269"
"M601.496T1459.491","-0.314379426","-0.035803162","-0.044438127","-0.907560749"," 0.321031978","-0.264146368"," 0.463364621","-0.117801839","-1.001442954","-0.323711317","-0.305780036"," 0.252681853"," 1.168126047","-0.209099889","-0.079799270"," 0.116596470"," 0.913639284"," 0.044119072","-0.217196182"," 0.316832201","-0.062120932","-0.245768095","-0.124570353"," 0.272150155"," 0.100875795"," 0.341428483"," 0.190150496","-0.005285509","-0.417001097"," 0.174908851"
