"",F.stat,p.value,-log10(p),FDR
M609.414T1438.489,4.8124,0.01631,1.7876,0.24745
M618.492T1624.789,4.7946,0.016526,1.7818,0.24908
M645.449T1440.08,4.7692,0.016838,1.7737,0.25214
M471.336T1557.26,4.7516,0.017059,1.768,0.25378
M534.402T1422.678,4.7394,0.017214,1.7641,0.25443
M571.362T1440.098,4.7115,0.017572,1.7552,0.25807
M514.422T1423.013,4.6634,0.018211,1.7397,0.26555
M629.463T1474.173,4.6539,0.018341,1.7366,0.26555
M665.513T1641.124,4.6474,0.01843,1.7345,0.26555
M587.369T1456.786,4.6161,0.018863,1.7244,0.2699
M643.447T1372.623,4.6062,0.019003,1.7212,0.2699
M477.407T1590.788,4.6005,0.019085,1.7193,0.2699
M689.542T1488.279,4.5197,0.020273,1.6931,0.28438
M549.392T1385.9,4.5142,0.020357,1.6913,0.28438
M403.243T1438.94,4.4946,0.020658,1.6849,0.28502
M565.421T1472.855,4.478,0.020917,1.6795,0.28502
M704.522T1355.605,4.474,0.02098,1.6782,0.28502
M423.265T1220.872,4.4715,0.021018,1.6774,0.28502
M539.393T1476.552,4.4667,0.021095,1.6758,0.28502
M642.504T1347.309,4.4612,0.021182,1.674,0.28502
M693.444T1356.441,4.4555,0.021274,1.6722,0.28502
M506.357T1474.354,4.4284,0.021711,1.6633,0.28873
M385.292T1245.233,4.4228,0.021803,1.6615,0.28873
M566.424T1474.624,4.3861,0.022415,1.6495,0.29514
M547.407T1473.551,4.3686,0.022714,1.6437,0.29544
M543.443T1588.441,4.3649,0.022777,1.6425,0.29544
M385.291T1472.833,4.3621,0.022825,1.6416,0.29544
M645.455T1406.122,4.3329,0.023335,1.632,0.30034
M539.37T1440.062,4.3208,0.02355,1.628,0.30141
M721.498T1439.586,4.3118,0.023711,1.6251,0.30178
M557.468T1570.748,4.288,0.024143,1.6172,0.30425
M587.444T1372.394,4.2865,0.02417,1.6167,0.30425
M889.582T1376.163,4.2328,0.025177,1.599,0.3152
M640.557T1608.472,4.2196,0.025432,1.5946,0.31592
M403.244T1423.342,4.2155,0.025511,1.5933,0.31592
M475.409T1390.36,4.1593,0.02663,1.5746,0.32801
M719.487T1456.538,4.1494,0.026832,1.5714,0.32872
M563.398T1372.544,4.1397,0.027032,1.5681,0.32942
M695.451T1225.817,4.1292,0.02725,1.5646,0.33031
M577.49T1591.335,4.1164,0.027519,1.5604,0.33182
M751.515T1356.037,4.0877,0.028132,1.5508,0.33653
M645.457T1372.456,4.0843,0.028203,1.5497,0.33653
M439.315T1490.286,4.0553,0.028841,1.54,0.34206
M621.419T1456.849,4.0497,0.028965,1.5381,0.34206
M539.369T1312.999,4.0276,0.02946,1.5308,0.34309
M467.383T1523.593,4.0246,0.02953,1.5297,0.34309
M497.351T1457.506,4.023,0.029565,1.5292,0.34309
M385.291T1291.55,4.0154,0.02974,1.5267,0.34309
M646.461T1352.771,4.0127,0.029801,1.5258,0.34309
M668.492T1305.416,3.9847,0.030452,1.5164,0.34882
M571.411T1441.156,3.949,0.031305,1.5044,0.35518
M689.544T1473.566,3.9392,0.031542,1.5011,0.35518
M629.464T1456.367,3.9362,0.031616,1.5001,0.35518
M632.473T1456.772,3.9358,0.031627,1.4999,0.35518
M463.356T1471.536,3.9076,0.032324,1.4905,0.36095
M557.466T1607.198,3.9024,0.032455,1.4887,0.36095
M477.398T1574.327,3.8841,0.032919,1.4826,0.36395
M641.452T1372.182,3.8793,0.033043,1.4809,0.36395
M623.429T1456.316,3.8711,0.033254,1.4782,0.36452
M539.369T1423.012,3.8507,0.033786,1.4713,0.36859
M365.193T1440.036,3.7964,0.035245,1.4529,0.38268
M545.398T1401.37,3.7612,0.036228,1.441,0.3915
M623.428T1439.576,3.7532,0.036456,1.4382,0.39153
M471.309T1335.803,3.7446,0.036702,1.4353,0.39153
M439.318T1571.719,3.7411,0.036802,1.4341,0.39153
M639.422T1384.421,3.7372,0.036914,1.4328,0.39153
M885.576T1456.932,3.7053,0.037849,1.422,0.39959
M506.357T1325.086,3.6864,0.038417,1.4155,0.40136
M608.447T1456.373,3.6843,0.03848,1.4148,0.40136
M341.283T1305.932,3.6745,0.038778,1.4114,0.40136
M439.326T1591.494,3.6722,0.038847,1.4106,0.40136
M567.431T1440.116,3.6707,0.038892,1.4101,0.40136
M592.48T1325.086,3.6622,0.039153,1.4072,0.40224
M311.255T1280.542,3.6501,0.039527,1.4031,0.40427
M713.457T1306.323,3.6312,0.04012,1.3966,0.40851
M455.314T1423.012,3.6169,0.040575,1.3917,0.41132
M393.189T1440.567,3.5846,0.041625,1.3806,0.4201
M571.365T1456.373,3.574,0.041975,1.377,0.42177
M497.355T1490.329,3.5436,0.042997,1.3666,0.43015
M468.418T1518.016,3.529,0.043498,1.3615,0.43328
M872.592T1376.163,3.5103,0.044148,1.3551,0.43343
M855.589T1474.624,3.5094,0.044179,1.3548,0.43343
M297.239T1245.233,3.5087,0.044204,1.3545,0.43343
