"","C9.1","C9.2","C9.3","C9.4","X9.1","X9.2","X9.3","X9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","BLANK.2","QC.1","QC.2","QC.3","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","C12.1","C12.3","C12.4","X12.1","X12.2","X12.3","C15.1","C15.2","C15.3","C15.4","F15.1","F15.2","F15.3","F15.4","D15.1","D15.2","D15.3","D15.4","X15.1","X15.2","X15.3","X15.4"
"Label","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","Other","Other","Other","Other","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point"
"sodium_formate","4070413","3874278","3824226","4055654","3999488","3978044","3825768","4040031","3969364","3963523","3748519","4093395","3922085","4081197","3906272","4398137","3680698","4066642","3879396","4076296","4036646","3843867","3845185","4021608","4043455","3773975","3345591","3565070","3985225","3922751","3861917","3815932","3878103","3825451","3977822","3907525","3448104","4002206","4242376","4078873","4313778","3963971","4056292","3963081","4082963","4193594","3742876","3939109","3533826","4923007"
"M679.436T1338.726","219264.28","183868.95","226053.86","282101.50","362081.72","258822.43","212000.00","329000.00","281515.63","221283.13","268682.99","180811.48","203130.70","143000.00","147167.78"," 81548.80","122476.95","359010.18","452000.00","377428.72","658959.21","650000.00","403825.84","377000.00","706000.00","453907.66"," 72123.09","443298.43"," 78495.64","287374.16","420579.58","915668.03","452176.76","453000.00","350518.99","347506.67","363400.16","324729.21"," 52471.46","137000.00"," 66952.48","257347.43"," 61661.36","609073.78"," 57609.80"," 65878.85","512714.30","805000.00","397378.64","426273.60"
"M589.459T1372.544"," 18198.211","115326.556"," 43119.788"," 86416.853","107743.117"," 67575.905"," 29700.000","160000.000"," 69205.068"," 38320.483"," 70375.896"," 25582.141"," 36156.258"," 29100.000","  9869.014"," 20803.956","  3998.005","104409.026","118000.000"," 84365.090","226027.719","228000.000","126610.206","124000.000","177000.000","163865.837"," 14712.663","117960.702"," 22898.167"," 83715.581","104461.691","252427.935","160733.435","141000.000"," 64163.335","121022.322","124036.391"," 84968.282","  6904.501"," 14200.000"," 15977.650"," 95905.188"," 13171.180","136182.215","     0.000","  9652.612","255011.064","217000.000","111333.303","113297.717"
"M681.469T1408.485"," 171388.88"," 160621.74"," 168156.22"," 314539.18"," 453876.11"," 238162.95"," 227000.00"," 450000.00"," 380164.15"," 232317.24"," 355429.75"," 196123.72"," 207110.62"," 167000.00"," 116647.31","  98855.80"," 112389.29"," 518672.14"," 584000.00"," 525769.48"," 989238.79"," 843000.00"," 478860.76"," 550000.00"," 998000.00"," 679366.94"," 114663.11"," 923215.06"," 133199.61"," 346225.44"," 501134.66","1197736.88"," 602551.00"," 609000.00"," 376162.00"," 402854.57"," 516846.53"," 326616.99","  90280.19"," 171000.00","  85777.01"," 310512.75"," 126741.15","1218474.85"," 142260.44"," 362643.95"," 924603.96","1190000.00"," 529692.69"," 567483.82"
"M695.451T1225.817","131814.72","134866.19","145598.54","165873.25","173047.70","152494.05","129000.00","197000.00","191847.10","145608.29","225458.18","131072.65","143600.14","163000.00","124055.04"," 29981.88"," 42074.50","225171.35","254000.00","228577.64","369653.90","369000.00","278107.41","225000.00","346000.00","217077.04"," 29298.05","213507.89"," 36154.26","222289.97","229877.84","455781.15","278365.79","276000.00","266705.97","258789.00","219980.79","180925.35"," 39075.50","106000.00"," 34732.44","144577.21"," 29029.71","268725.12"," 35438.59"," 27783.24","385135.54","597000.00","246763.19","208066.29"
"M285.134T1052.907","234797.083","201747.304","300894.361","199216.489","220358.896","256618.621","192000.000","160000.000","179949.771","176537.100"," 18417.793","153966.828","127821.785","286000.000","232313.410","  5330.265","  2482.162","160927.146","191000.000","153403.204","153462.067","292000.000","232329.913","151000.000"," 59500.000"," 95671.297","  3603.015","128288.515"," 10686.981","221176.579","269413.681","212892.242","259981.006","304000.000","209810.871","241269.644","289312.283","192583.762"," 10070.240","179000.000","  5235.385","104735.046","     0.000"," 64258.781","     0.000","  5561.609"," 11018.108"," 37200.000"," 48994.633","177102.842"
"M681.469T1389.183"," 163313.90"," 154095.20"," 163965.73"," 322227.40"," 444405.46"," 235561.09"," 223000.00"," 423000.00"," 368577.22"," 207141.43"," 347915.21"," 192312.39"," 174727.49"," 157000.00"," 110750.12","  95071.86"," 104816.60"," 504877.22"," 571000.00"," 503253.84"," 979108.97"," 837000.00"," 471758.31"," 536000.00"," 999000.00"," 683519.15"," 107228.16"," 793714.18"," 129317.67"," 345725.65"," 492815.82","1185554.17"," 595785.51"," 591000.00"," 352734.56"," 388964.23"," 512799.02"," 326676.04","  79351.45"," 163000.00","  82328.92"," 345199.72"," 121760.83","1207487.64"," 128814.23"," 344115.31"," 917717.56","1170000.00"," 482513.09"," 560648.03"
"M680.474T1439.81","166861.3","142681.9","185464.1","161118.5","197629.5","197797.3","157000.0","207000.0","235862.3","188803.3","202268.3","135770.1","140539.8","158000.0","121518.4","173865.7","185956.9","255051.3","283000.0","281276.6","372540.9","354000.0","294066.0","261000.0","417000.0","309638.8","160746.4","817456.1","202525.4","198656.0","257189.4","494146.7","315296.6","237000.0","239702.5","246827.0","222328.3","205282.4","150506.7","124000.0","151702.7","161818.0","150829.5","759935.8","148684.5","725999.1","277578.2","368000.0","241441.5","243184.1"
"M574.467T1456.399","164944.38"," 54043.66","103990.51","113555.38","172111.59","106702.19","138000.00","249000.00","134725.95"," 93186.77","120652.64","105149.06"," 55210.13"," 86900.00"," 29038.98"," 99358.25"," 19965.30","157050.07","210000.00","185858.48","300977.47","227000.00","215760.32","168000.00","347000.00","265759.54"," 62281.96","194411.26"," 39022.48","131861.67","170449.62","291392.10","167780.80","208000.00","114572.13","125402.35","164559.34","129926.08"," 20972.94"," 51300.00"," 34387.33","123673.15"," 22835.86","242284.04"," 15297.60"," 52362.66","250560.99","240000.00","171999.79","163677.39"
"M565.421T1295.888"," 67494.51"," 60386.76"," 58316.40"," 85393.95","117777.25"," 78103.04"," 91100.00","117000.00","105188.26"," 70201.20","137772.18"," 51088.14"," 77583.40"," 47600.00"," 38843.29"," 23258.96"," 18101.28"," 99801.86","108000.00","102116.58","154545.94","171000.00","116017.41","136000.00","191000.00","108760.71"," 24242.88","195841.54","285637.55"," 92641.57","144289.59","206615.29","116982.23","147000.00"," 79385.41"," 82816.12"," 89369.64"," 69547.13"," 38348.75"," 39400.00"," 17041.03"," 68824.04"," 16980.01","370280.45"," 18671.55"," 54028.93","189567.72","254000.00","120985.91","181151.35"
"M681.474T1424.253"," 164193.65"," 167515.13"," 173417.99"," 318947.22"," 453221.95"," 231543.23"," 215000.00"," 394000.00"," 335180.75"," 197036.27"," 202096.75"," 178457.82"," 184424.59"," 175000.00"," 133619.60"," 105579.52"," 123928.60"," 480019.31"," 558000.00"," 486101.15"," 915500.73"," 791000.00"," 446526.19"," 515000.00"," 944000.00"," 673182.30"," 115480.54"," 910973.02"," 147355.88"," 311006.46"," 452569.62","1130474.38"," 552850.82"," 566000.00"," 350411.23"," 360884.84"," 490147.24"," 308380.46","  85914.21"," 171000.00","  86419.19"," 298296.39"," 133413.95","1211282.87"," 172594.51"," 380355.89"," 590553.70"," 677000.00"," 484012.36"," 547921.11"
"M569.292T994.771"," 98244.805"," 65010.350","158380.255","112910.715","126472.113","131740.630","123000.000","111000.000"," 95503.679"," 88371.643"," 15846.702","106285.971"," 71958.759","183000.000","132273.614","  5448.265","  2515.551","102229.288","111000.000","104590.730"," 94825.907","120000.000","129907.456"," 91600.000"," 39900.000"," 59084.648","  5226.939"," 66932.652","  1421.487","116906.609","125497.818","112297.945","149970.546","178000.000"," 95718.115","129248.327","132600.751"," 85201.223","     0.000"," 68700.000","  5803.024"," 69395.259","     0.000"," 43524.285","  2713.260","  2560.167"," 34931.502"," 40900.000"," 31794.699"," 74790.929"
"M989.67T1341.992"," 44760.975"," 43297.096","108639.187"," 88064.003"," 59987.694","150434.286"," 97700.000"," 37500.000"," 64403.227"," 72691.615"," 52229.547"," 45807.369"," 36806.479"," 26700.000"," 34716.320","     0.000","     0.000"," 51943.261"," 62800.000","154782.107","144023.344","113000.000"," 48720.757"," 59000.000"," 49400.000"," 36711.451","  2115.219"," 55821.546"," 17409.583"," 54814.991"," 86147.586"," 87114.390","184671.018","108000.000","117786.509","108670.650"," 81430.717","201037.495","  5264.547","101000.000","  7132.349"," 73860.387"," 10302.276"," 36269.457","  2265.892"," 18084.830","104814.975","129000.000"," 67036.387"," 44881.343"
"M379.265T1245.233","166729.44","138740.36","125709.24","151748.21","144736.42","134670.41","178000.00","143000.00","137822.86","160708.33","180900.72","133368.38","134735.16","150000.00","142210.46"," 69623.09"," 71535.53","152067.89","132000.00","144943.70","133063.60","149000.00","125947.23","140000.00","118000.00"," 96512.33"," 71423.91","132928.88","104626.37","145670.54","197344.43","132938.63","142012.32","134000.00","120349.14","127048.02","120793.93","113616.91"," 79028.97","128000.00"," 73333.65","117118.85"," 88330.29","114464.45"," 83706.22"," 68503.31","282450.18","363000.00","170199.92","122555.71"
"M679.452T1355.733","227084.94","183868.95","226053.86","320695.42","362081.72","258822.43","212000.00","341000.00","288669.56","228092.92","268682.99","180811.48","209056.93","205000.00","151438.28"," 84643.05","126258.78","370953.75","492000.00","387157.15","679391.58","624000.00","452803.24","391000.00","726000.00","473312.37"," 77235.75","453571.19"," 83438.23","300323.78","469544.80","926330.64","500760.65","461000.00","350518.99","336527.11","398857.23","285085.51"," 52417.22","144000.00"," 66952.48","262550.57"," 77708.87","609073.78"," 57593.73"," 65878.85","512714.30","854000.00","417260.52","426273.60"
"M713.46T1208.68"," 68820.709"," 25051.256"," 12831.842"," 60654.609"," 74155.234"," 32623.865"," 59700.000","119000.000","150949.803"," 34143.797","126512.555"," 36762.569"," 41635.713"," 32000.000"," 68573.418","  4248.768","  7077.427","144662.442","131000.000","137325.694","310840.499","341000.000"," 99237.023","143000.000","151000.000"," 51982.084"," 13568.308","112223.948","  3511.104"," 92043.434","110080.482","188974.743","122157.225","193000.000","110938.110","233946.393","202678.207"," 85142.117"," 16072.266"," 44100.000","  3727.985"," 51950.436"," 11646.566","165318.582","  3397.608","     0.000","323998.755","476000.000","143224.427","161352.013"
"M711.444T1322.388","121463.84","121444.61","116726.74","153795.32","142993.89","124157.19","109000.00","142000.00","152855.29","120245.20","163101.92","106716.29","111145.42","111000.00"," 89774.79"," 36827.94"," 32307.62","154409.80","160000.00","172736.87","247389.37","263000.00","164782.01","148000.00","235000.00","162198.35"," 42695.29","149305.83"," 33969.13","139596.41","178116.19","293401.48","214667.88","193000.00","187119.21","178620.62","179071.51","128800.55"," 44282.73"," 92300.00"," 35290.43","110621.71"," 39385.81","293869.08"," 34352.77"," 51350.29","213172.55","371000.00","211175.37","154016.77"
"M637.414T1384.421","112192.09"," 90000.60"," 98339.30","141939.69","127573.94","113850.43","124000.00","172000.00","137662.60","123541.24","139327.25","104924.70","109516.49","128000.00"," 75374.48"," 42060.98"," 41628.81","139944.60","160000.00","143226.42","211600.27","195000.00","152124.45","175000.00","212000.00","170563.00"," 48200.34","173888.75"," 53442.26","143299.11","151115.55","235868.34","172879.44","177000.00","150878.48","152982.55","165725.80","129554.46"," 35950.26"," 88200.00"," 44446.99","126386.51"," 28108.47","196473.65"," 43962.86"," 64377.04","140026.86","260000.00","178258.40","153939.54"
"M637.411T1406.122","108662.69"," 95801.95"," 98967.77","136582.20","132442.91","118372.35","122000.00","157000.00","115642.99","121914.02","119802.51","114415.58","103849.16","120000.00"," 71203.22"," 43729.97"," 45964.12","134487.10","173000.00","145857.17","209398.36","192000.00","146092.30","173000.00","211000.00","173891.62"," 60764.16","180067.27"," 61456.31","138479.70","165096.32","234334.29","179479.61","169000.00","154912.58","145260.22","161020.70","128707.77"," 41488.91"," 85300.00"," 44561.65","121720.96"," 38008.32","202159.80"," 51048.09"," 73227.20","135050.16","240000.00","181352.52","147244.73"
"M729.452T1109.944"," 56554.445"," 36232.915"," 41034.807"," 65154.602"," 56790.368"," 50748.945"," 45800.000"," 74900.000"," 79221.743"," 59173.038","159957.925"," 31143.685"," 35665.803"," 46600.000"," 26610.278"," 14884.097","  7647.472","101677.777"," 95800.000"," 84450.709","190769.494","170000.000"," 89188.023"," 65800.000"," 90300.000"," 54858.297","  8113.262"," 80678.754"," 10357.191","136145.562"," 90870.261","158785.082"," 90531.878","112000.000","121748.239","134618.080","146816.691"," 52526.338"," 14504.152"," 48300.000","  2324.368"," 38583.073","  9758.835","114750.824","  7188.514","  4507.139","241093.286","369000.000","108887.330"," 98978.724"
"M571.365T1456.373","145551.78","120743.00","120616.52","110073.84","156583.66","137318.74","136000.00","200000.00","161165.25","106444.88","167646.29","164800.99","144653.59","115000.00","105962.87"," 62439.41"," 53371.88","180179.40","166000.00","172555.32","205001.73","213000.00","198644.20","171000.00","235000.00","186558.62"," 68460.17","150087.44"," 66311.68","183263.92","149744.00","207958.48","182171.55","196000.00","211052.28","161095.69","150503.90","133948.19"," 79493.99","116000.00"," 64881.43","123800.16"," 60572.98","212539.10"," 52031.32"," 74905.51","218049.63","295000.00","413925.72","185005.97"
"M865.579T1358.969","  2110.547","     0.000","     0.000","  4769.633","     0.000","  2937.840"," 29800.000"," 15000.000"," 30687.015","  5492.809"," 18913.122"," 17250.962","  2480.436"," 10000.000","  2774.337","  5039.353","  2250.955"," 19540.423","  9280.000","  4283.683"," 24226.408","  9020.000"," 99043.956"," 18400.000","  6870.000","  9152.824","  5239.494"," 22403.472"," 35030.425"," 34205.668"," 17299.984"," 18118.453"," 19866.652"," 16600.000"," 18390.532"," 18903.618"," 27529.643"," 21227.995"," 12151.261","137000.000"," 14996.151","  6698.389","  6551.551"," 28792.126","  8075.685"," 24206.719","593303.471"," 39500.000"," 32256.507"," 23902.146"
"M867.584T1358.969"," 24579.920"," 19729.055","  4183.538","  3041.300","  5356.638"," 29171.286"," 10800.000"," 47100.000"," 31251.513"," 13235.168"," 38980.397"," 26404.247","  3228.639"," 19000.000","  4724.904","  7389.607","  6016.550"," 32248.813"," 20500.000"," 24506.329"," 70727.559"," 74000.000"," 49353.927"," 32300.000","  5040.000"," 21154.058","  7990.827","     0.000"," 18354.289"," 32761.048"," 35158.164"," 32630.246"," 28642.034"," 24200.000"," 44686.841"," 31864.559"," 26975.605"," 24935.928"," 13110.420"," 47700.000"," 10413.899"," 13466.072","  9626.717"," 21628.575","  8184.267"," 18750.938","198051.161"," 74800.000"," 48893.973"," 11461.902"
"M682.472T1373.006"," 65050.93"," 71016.98"," 83430.54","133081.70","214440.43"," 91621.97"," 93200.00","173000.00","148728.39"," 87645.69","215892.39"," 94755.96"," 69424.21"," 72400.00"," 57251.11"," 32223.33"," 45161.74","248173.68","242000.00","223915.97","404373.07","396000.00","178507.74","231000.00","430000.00","310530.03"," 32758.56","304923.08"," 40139.07","151684.88","249633.58","480304.73","236355.04","289000.00","180700.91","167466.54","244460.65","133113.04"," 17386.83"," 71300.00"," 29281.19","124951.83"," 35439.65","507287.18"," 60553.12"," 88886.30","453286.55","593000.00","228244.61","283734.41"
"M589.459T1264.044"," 13279.696"," 13540.329"," 13810.302"," 27831.414"," 25035.778"," 20093.651"," 23400.000"," 79100.000"," 33645.142"," 14119.026"," 90809.208"," 24190.331","  4303.151"," 18400.000"," 10364.304","  4440.873","  2649.856"," 41309.870"," 31000.000"," 47899.939"," 74029.921"," 74100.000"," 55489.208"," 45400.000"," 54600.000"," 58655.228"," 10292.313"," 31659.597","  2791.111"," 58991.340"," 58552.814"," 82349.124"," 48393.349"," 49500.000"," 35691.999"," 61135.789"," 33204.507"," 30419.025","  2572.526"," 18800.000","  2216.622"," 19396.500","  4388.002"," 53483.954","  2188.914","     0.000","226642.565","231000.000"," 55875.686"," 49222.983"
"M633.478T1401.37"," 520225.6"," 558801.3"," 619174.1"," 871213.8","1154979.4"," 797119.5"," 804000.0","1370000.0"," 683083.0"," 625790.1"," 673145.9"," 546672.2"," 599345.1"," 566000.0"," 227635.2"," 245904.6"," 184877.2"," 862132.3","1030000.0"," 794202.7","1041296.6","1330000.0"," 968445.4"," 826000.0","1070000.0","1152473.7"," 202670.3","1389702.6"," 584312.0"," 739106.6","1181824.3","1159630.5"," 970499.9","1010000.0"," 587404.0"," 736972.7"," 750047.0"," 728230.2"," 272809.3"," 393000.0"," 216093.6"," 670171.0"," 166542.5","1226285.6"," 131853.9"," 383465.3","1329239.5","1280000.0","1073286.2"," 986809.5"
"M646.455T1423.013"," 56562.53"," 42722.07"," 59941.96"," 71025.51"," 95911.75"," 88298.42"," 72200.00","139000.00"," 93411.88"," 52752.40"," 51202.78"," 58048.49"," 61331.79"," 51100.00"," 32868.47"," 21304.45"," 17758.45"," 93340.98"," 80300.00","115337.12","147939.18","128000.00","106494.68"," 85700.00","208000.00","133537.83"," 22182.73","105295.27"," 38008.98"," 80723.10"," 99018.18","208316.39","155201.40","102000.00"," 61513.56"," 59065.44"," 67375.95"," 58169.66"," 19569.28"," 42000.00"," 21572.51"," 79603.73"," 20332.45","138795.06"," 43068.65"," 31440.41"," 85234.39"," 90500.00","131218.13"," 87743.54"
"M881.484T1273.289","234436.861","224334.317","295351.767","395072.078","431243.777","285459.036","169000.000","207000.000","206434.352","207850.267","235159.555","199951.400","223908.501","328000.000","162316.082","  5558.845","  4869.613","191224.220","244000.000","206198.924","175100.786","183000.000","194741.197","193000.000","275000.000","196437.209","  2217.884","259795.111","  2391.935","190522.891","280392.052","214292.268","223887.866","278000.000","161134.872","158371.522","172631.437","184032.727"," 13955.674"," 79500.000","     0.000","126317.419","  2161.248","103474.293","  7763.362","  6226.455"," 38706.804","172000.000"," 89876.656","195694.887"
"M637.412T1422.711","102360.04"," 87864.47"," 95625.61","131375.89","127373.85","105525.04","117000.00","160000.00","124619.37","116923.50","109075.69","110345.84","103849.16","113000.00"," 68419.36"," 43760.51"," 45972.91","134560.52","170000.00","143241.16","199015.29","186000.00","137348.17","171000.00","206000.00","169182.36"," 53123.50","175931.57"," 61474.89","131927.93","161830.86","219396.65","167832.66","165000.00","145799.78","140685.26","155530.70","125861.28"," 41530.85"," 82700.00"," 44580.94","118163.22"," 38011.47","184814.30"," 51063.72"," 67261.62","124986.87","227000.00","169282.31","141261.85"
"M591.474T1330.445","130661.57","127396.93","138825.94","217333.46","353241.91","173267.90","246000.00","434000.00","248322.17","101285.98","351658.96","140083.60","191476.82","173000.00"," 52584.29"," 37309.05"," 24422.22","287457.34","333000.00","298150.85","459810.05","452000.00","354838.41","361000.00","494000.00","461127.91"," 37345.28","419319.02"," 80933.80","251686.33","401536.96","539353.05","316898.69","375000.00","191004.05","257536.44","312434.63","214080.14"," 39228.33"," 96800.00"," 35433.17","203613.11"," 34868.93","457637.94"," 37311.39"," 83898.60","811224.02","619000.00","359937.73","355831.86"
"M645.45T1333.909","228230.31","181888.61","235718.91","294292.08","305647.06","223455.52","230000.00","370000.00","287004.32","250695.59","383452.11","196992.66","236474.71","256000.00","184170.23"," 29668.58"," 52065.19","284974.03","280000.00","323479.91","381597.75","420000.00","391694.64","302000.00","453000.00","313237.79"," 28201.35","318996.22"," 63119.62","312372.97","401946.51","443078.14","360703.49","345000.00","290463.16","311826.40","294850.73","263405.97"," 54104.71","142000.00"," 39130.91","235781.14"," 44686.98","277607.95"," 62376.22"," 41650.90","313676.83","428000.00","458436.94","305555.21"
"M826.523T1305.342","197191.908","187211.309","245172.807","283553.354","339973.807","236754.851","180000.000","182000.000","171336.875","164270.966","260692.728","162109.384","135490.556","209000.000","103494.941"," 11098.436","  7183.433","190334.308","227000.000","202089.747","208485.434","216000.000","273600.419","216000.000","251000.000","226230.141"," 15729.145","207480.492","  8280.428","153077.115","260958.191","219987.177","260139.611","222000.000","183326.991","138047.270","134772.365","217917.855"," 18451.153"," 81300.000"," 13884.136","140679.777","  7055.750","154658.133","  8462.931"," 17603.981","128445.189","165000.000","113023.284","157995.042"
"M593.485T1401.37","134163.81","140952.95","164720.02","232764.21","295872.33","196269.80","268000.00","335000.00","204381.89","168325.47","222887.42","183028.34","221155.84","169000.00"," 78431.48"," 51432.61"," 53538.40","272104.30","284000.00","261169.05","282573.67","306000.00","315815.58","279000.00","341000.00","333144.57"," 66489.44","359844.89","156741.04","216680.45","263561.92","333378.11","233447.10","320000.00","143800.06","201714.83","224130.41","195280.16"," 78305.11","117000.00"," 67537.36","189429.02"," 65917.97","425821.47"," 62673.24","126087.22","453947.39","375000.00","310190.08","312005.94"
