"","Comp. 1","Comp. 2","Comp. 3","Comp. 4"
"M339.172T1490.329",0.62853,0.63355,0.63502,0.635
"M516.411T1568.021",0.628,0.62415,0.62415,0.62424
"M807.348T918.929",0.61738,0.73529,0.73642,0.73651
"M295.151T1624.873",0.61245,0.60984,0.60981,0.6098
"M691.433T1253.346",0.61174,0.61691,0.61767,0.6177
"M682.262T843.183",0.60143,0.60853,0.6104,0.61045
"M351.179T1358.969",0.59888,0.60012,0.59996,0.59992
"M1114.854T834.347",0.59822,0.59667,0.59673,0.59746
"M513.25T1338.968",0.59347,0.59274,0.59259,0.59258
"M330.263T1439.913",0.59265,0.58915,0.58919,0.58916
"M330.262T1456.934",0.56628,0.56351,0.5636,0.56357
"M430.319T1557.453",0.56128,0.56112,0.5621,0.56213
"M433.152T909.874",0.55268,0.55516,0.55503,0.55504
"M1102.351T817.469",0.52022,0.51901,0.52106,0.52103
"M330.261T1473.013",0.49725,0.49574,0.49582,0.4958
"M494.565T1422.678",0.48667,0.4938,0.49414,0.49428
"M487.775T1256.694",0.44844,0.45503,0.45519,0.45522
"M393.189T1440.567",0.32887,0.32839,0.32838,0.3286
"M477.343T1423.013",0.31965,0.31774,0.31907,0.31909
"M1123.351T817.469",0.31923,0.32511,0.32522,0.32581
"M979.313T847.893",0.26496,0.26371,0.26706,0.26735
"M465.26T1373.143",0.25506,0.27968,0.27977,0.28018
"M691.436T1356.203",0.24642,0.28178,0.2826,0.2826
"M764.517T1325.086",0.24505,0.33748,0.33787,0.33819
"M764.518T1295.888",0.23158,0.36219,0.36308,0.36317
"M425.216T1401.37",0.22958,0.24387,0.24464,0.24471
"M889.305T842.452",0.22432,0.22457,0.22886,0.22958
"M423.198T1506.423",0.2168,0.22728,0.22762,0.22783
"M313.161T1621.4",0.19399,0.24246,0.24451,0.24459
"M919.292T824.161",0.069655,0.069716,0.083526,0.083554
"M425.215T1355.365",0.034058,0.036738,0.042777,0.044181
"M465.265T1237.073",0.01648,0.022517,0.045333,0.04564
