"","C9.1","C9.2","C9.3","C9.4","X9.1","X9.2","X9.3","X9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","BLANK.2","QC.1","QC.2","QC.3","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","C12.1","C12.3","C12.4","X12.1","X12.2","X12.3","C15.1","C15.2","C15.3","C15.4","F15.1","F15.2","F15.3","F15.4","D15.1","D15.2","D15.3","D15.4","X15.1","X15.2","X15.3","X15.4"
"Label","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","Other","Other","Other","Other","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point"
"M679.436T1338.726","219264.282","183868.945","226053.862","282101.502","362081.721","258822.43","212000","329000","281515.631","221283.13","268682.991","180811.476","203130.698","143000","147167.781","81548.8049","122476.9514","359010.1836","452000","377428.723","658959.215","650000","403825.841","377000","706000","453907.657","72123.0905","443298.429","78495.639","287374.165","420579.58","915668.027","452176.761","453000","350518.987","347506.666","363400.156","324729.213","52471.459","137000","66952.4841","257347.427","61661.3558","609073.784","57609.7958","65878.845","512714.299","805000","397378.6396","426273.599"
"M589.459T1372.544","18198.211","115326.556","43119.788","86416.853","107743.117","67575.905","29700","160000","69205.068","38320.483","70375.896","25582.141","36156.258","29100","9869.014","20803.9564","3998.0049","104409.0261","118000","84365.09","226027.719","228000","126610.206","124000","177000","163865.837","14712.6626","117960.702","22898.1671","83715.581","104461.691","252427.935","160733.435","141000","64163.335","121022.322","124036.391","84968.282","6904.5008","14200","15977.6499","95905.188","13171.1804","136182.215","799.60098","9652.6116","255011.064","217000","111333.3027","113297.717"
"M681.469T1408.485","171388.88","160621.745","168156.22","314539.183","453876.108","238162.945","227000","450000","380164.145","232317.245","355429.749","196123.724","207110.618","167000","116647.311","98855.8047","112389.2869","518672.1418","584000","525769.479","989238.79","843000","478860.757","550000","998000","679366.942","114663.1071","923215.059","133199.6069","346225.441","501134.66","1197736.875","602551","609000","376162.001","402854.566","516846.529","326616.995","90280.1924","171000","85777.0066","310512.748","126741.1454","1218474.847","142260.4422","362643.95","924603.965","1190000","529692.6924","567483.823"
"M695.451T1225.817","131814.717","134866.193","145598.535","165873.252","173047.698","152494.052","129000","197000","191847.098","145608.294","225458.181","131072.654","143600.136","163000","124055.045","29981.8786","42074.5013","225171.3505","254000","228577.635","369653.9","369000","278107.411","225000","346000","217077.042","29298.0451","213507.894","36154.2611","222289.97","229877.841","455781.151","278365.793","276000","266705.973","258789.003","219980.786","180925.354","39075.5027","106000","34732.4418","144577.212","29029.7136","268725.118","35438.5878","27783.241","385135.544","597000","246763.1865","208066.293"
"M285.134T1052.907","234797.083","201747.304","300894.361","199216.489","220358.896","256618.621","192000","160000","179949.771","176537.1","18417.793","153966.828","127821.785","286000","232313.41","5330.2647","2482.1616","160927.1464","191000","153403.204","153462.067","292000","232329.913","151000","59500","95671.297","3603.0154","128288.515","10686.981","221176.579","269413.681","212892.242","259981.006","304000","209810.871","241269.644","289312.283","192583.762","10070.2401","179000","5235.3851","104735.046","496.43232","64258.781","496.43232","5561.6089","11018.108","37200","48994.6328","177102.842"
"M681.469T1389.183","163313.902","154095.195","163965.731","322227.404","444405.459","235561.093","223000","423000","368577.224","207141.428","347915.206","192312.388","174727.49","157000","110750.118","95071.8578","104816.5992","504877.2227","571000","503253.844","979108.969","837000","471758.313","536000","999000","683519.153","107228.1566","793714.181","129317.6672","345725.652","492815.822","1185554.165","595785.512","591000","352734.563","388964.232","512799.024","326676.038","79351.4491","163000","82328.9154","345199.724","121760.8268","1207487.635","128814.2273","344115.3081","917717.556","1170000","482513.0856","560648.032"
"M680.474T1439.81","166861.342","142681.859","185464.052","161118.469","197629.532","197797.262","157000","207000","235862.297","188803.261","202268.301","135770.106","140539.807","158000","121518.438","173865.68","185956.928","255051.3497","283000","281276.639","372540.94","354000","294066.006","261000","417000","309638.8","160746.4208","817456.095","202525.4164","198655.953","257189.403","494146.701","315296.625","237000","239702.454","246826.967","222328.274","205282.355","150506.7179","124000","151702.7495","161818.02","150829.5028","759935.845","148684.5438","725999.071","277578.202","368000","241441.5086","243184.112"
"M574.467T1456.399","164944.38","54043.66","103990.515","113555.375","172111.591","106702.193","138000","249000","134725.954","93186.771","120652.644","105149.06","55210.133","86900","29038.979","99358.252","19965.2981","157050.0698","210000","185858.483","300977.472","227000","215760.323","168000","347000","265759.54","62281.9603","194411.259","39022.4779","131861.669","170449.622","291392.105","167780.796","208000","114572.133","125402.348","164559.337","129926.082","20972.9416","51300","34387.3308","123673.149","22835.8629","242284.037","15297.6026","52362.6608","250560.995","240000","171999.7879","163677.386"
"M565.421T1295.888","67494.509","60386.758","58316.4","85393.954","117777.246","78103.042","91100","117000","105188.257","70201.2","137772.18","51088.143","77583.398","47600","38843.291","23258.9584","18101.2807","99801.8564","108000","102116.583","154545.936","171000","116017.411","136000","191000","108760.711","24242.8774","195841.541","285637.5476","92641.568","144289.589","206615.288","116982.233","147000","79385.412","82816.116","89369.636","69547.135","38348.746","39400","17041.0266","68824.038","16980.0078","370280.447","18671.5536","54028.9258","189567.716","254000","120985.9101","181151.352"
"M681.474T1424.253","164193.655","167515.132","173417.992","318947.215","453221.947","231543.235","215000","394000","335180.749","197036.275","202096.746","178457.822","184424.594","175000","133619.604","105579.5211","123928.6004","480019.3125","558000","486101.147","915500.732","791000","446526.186","515000","944000","673182.302","115480.5369","910973.024","147355.875","311006.46","452569.623","1130474.379","552850.821","566000","350411.231","360884.841","490147.243","308380.459","85914.2129","171000","86419.1869","298296.39","133413.9524","1211282.871","172594.5083","380355.8862","590553.698","677000","484012.3623","547921.109"
"M569.292T994.771","98244.805","65010.35","158380.255","112910.715","126472.113","131740.63","123000","111000","95503.679","88371.643","15846.702","106285.971","71958.759","183000","132273.614","5448.2648","2515.551","102229.2876","111000","104590.73","94825.907","120000","129907.456","91600","39900","59084.648","5226.939","66932.652","1421.487","116906.609","125497.818","112297.945","149970.546","178000","95718.115","129248.327","132600.751","85201.223","284.2974","68700","5803.0244","69395.259","284.2974","43524.285","2713.2602","2560.1671","34931.502","40900","31794.6991","74790.929"
"M989.67T1341.992","44760.975","43297.096","108639.187","88064.003","59987.694","150434.286","97700","37500","64403.227","72691.615","52229.547","45807.369","36806.479","26700","34716.32","423.04376","423.04376","51943.2607","62800","154782.107","144023.344","113000","48720.757","59000","49400","36711.451","2115.2188","55821.546","17409.583","54814.991","86147.586","87114.39","184671.018","108000","117786.509","108670.65","81430.717","201037.495","5264.547","101000","7132.3487","73860.387","10302.276","36269.457","2265.8922","18084.8298","104814.975","129000","67036.3869","44881.343"
"M379.265T1245.233","166729.439","138740.364","125709.241","151748.211","144736.423","134670.407","178000","143000","137822.86","160708.333","180900.719","133368.381","134735.158","150000","142210.456","69623.0933","71535.5285","152067.8901","132000","144943.703","133063.601","149000","125947.232","140000","118000","96512.331","71423.9107","132928.876","104626.3744","145670.542","197344.434","132938.633","142012.322","134000","120349.137","127048.024","120793.927","113616.914","79028.9732","128000","73333.6451","117118.85","88330.2895","114464.448","83706.2244","68503.3125","282450.18","363000","170199.9178","122555.705"
"M679.452T1355.733","227084.938","183868.945","226053.862","320695.421","362081.721","258822.43","212000","341000","288669.558","228092.915","268682.991","180811.476","209056.927","205000","151438.276","84643.0542","126258.7844","370953.7543","492000","387157.148","679391.579","624000","452803.24","391000","726000","473312.371","77235.7497","453571.194","83438.2306","300323.785","469544.802","926330.642","500760.652","461000","350518.987","336527.106","398857.227","285085.506","52417.218","144000","66952.4841","262550.574","77708.8652","609073.784","57593.7314","65878.845","512714.299","854000","417260.5188","426273.599"
"M713.46T1208.68","68820.709","25051.256","12831.842","60654.609","74155.234","32623.865","59700","119000","150949.803","34143.797","126512.555","36762.569","41635.713","32000","68573.418","4248.7682","7077.4266","144662.4417","131000","137325.694","310840.499","341000","99237.023","143000","151000","51982.084","13568.308","112223.948","3511.1035","92043.434","110080.482","188974.743","122157.225","193000","110938.11","233946.393","202678.207","85142.117","16072.2664","44100","3727.9853","51950.436","11646.5656","165318.582","3397.608","679.5216","323998.755","476000","143224.4268","161352.013"
"M711.444T1322.388","121463.842","121444.607","116726.739","153795.317","142993.886","124157.193","109000","142000","152855.293","120245.197","163101.924","106716.292","111145.421","111000","89774.788","36827.9411","32307.6222","154409.805","160000","172736.872","247389.367","263000","164782.006","148000","235000","162198.354","42695.2939","149305.834","33969.1287","139596.414","178116.194","293401.477","214667.879","193000","187119.215","178620.622","179071.511","128800.551","44282.733","92300","35290.4277","110621.709","39385.8061","293869.075","34352.7665","51350.2938","213172.552","371000","211175.3743","154016.775"
"M637.414T1384.421","112192.092","90000.603","98339.297","141939.689","127573.936","113850.429","124000","172000","137662.597","123541.239","139327.246","104924.698","109516.492","128000","75374.481","42060.9781","41628.8069","139944.5964","160000","143226.42","211600.274","195000","152124.445","175000","212000","170563.001","48200.3358","173888.749","53442.2594","143299.106","151115.548","235868.344","172879.439","177000","150878.48","152982.551","165725.798","129554.464","35950.2577","88200","44446.9863","126386.511","28108.4713","196473.654","43962.8621","64377.0433","140026.856","260000","178258.3995","153939.542"
"M637.411T1406.122","108662.69","95801.948","98967.773","136582.196","132442.906","118372.347","122000","157000","115642.995","121914.02","119802.505","114415.576","103849.158","120000","71203.221","43729.9679","45964.1172","134487.0958","173000","145857.175","209398.362","192000","146092.297","173000","211000","173891.616","60764.1649","180067.275","61456.3135","138479.705","165096.315","234334.287","179479.612","169000","154912.576","145260.22","161020.703","128707.767","41488.9121","85300","44561.6488","121720.957","38008.316","202159.802","51048.0884","73227.2015","135050.158","240000","181352.5204","147244.728"
"M729.452T1109.944","56554.445","36232.915","41034.807","65154.602","56790.368","50748.945","45800","74900","79221.743","59173.038","159957.925","31143.685","35665.803","46600","26610.278","14884.097","7647.4722","101677.7772","95800","84450.709","190769.494","170000","89188.023","65800","90300","54858.297","8113.2621","80678.754","10357.1909","136145.562","90870.261","158785.082","90531.878","112000","121748.239","134618.08","146816.691","52526.338","14504.1523","48300","2324.3684","38583.073","9758.8355","114750.824","7188.5135","4507.1391","241093.286","369000","108887.3302","98978.724"
"M571.365T1456.373","145551.779","120743.001","120616.518","110073.84","156583.656","137318.739","136000","2e+05","161165.253","106444.879","167646.293","164800.988","144653.586","115000","105962.867","62439.4059","53371.8812","180179.3984","166000","172555.316","205001.729","213000","198644.196","171000","235000","186558.625","68460.1725","150087.44","66311.6848","183263.92","149743.997","207958.475","182171.547","196000","211052.278","161095.686","150503.9","133948.188","79493.9898","116000","64881.4287","123800.157","60572.9787","212539.103","52031.3233","74905.5127","218049.628","295000","413925.7223","185005.972"
"M865.579T1358.969","2110.547","422.1094","422.1094","4769.633","422.1094","2937.84","29800","15000","30687.015","5492.809","18913.122","17250.962","2480.436","10000","2774.337","5039.3528","2250.9549","19540.4228","9280","4283.683","24226.408","9020","99043.956","18400","6870","9152.824","5239.4941","22403.472","35030.4251","34205.668","17299.984","18118.453","19866.652","16600","18390.532","18903.618","27529.643","21227.995","12151.2614","137000","14996.1514","6698.389","6551.5514","28792.126","8075.6847","24206.7189","593303.471","39500","32256.5067","23902.146"
"M867.584T1358.969","24579.92","19729.055","4183.538","3041.3","5356.638","29171.286","10800","47100","31251.513","13235.168","38980.397","26404.247","3228.639","19000","4724.904","7389.6066","6016.5501","32248.8127","20500","24506.329","70727.559","74000","49353.927","32300","5040","21154.058","7990.8268","608.26","18354.2891","32761.048","35158.164","32630.246","28642.034","24200","44686.841","31864.559","26975.605","24935.928","13110.4203","47700","10413.8988","13466.072","9626.7169","21628.575","8184.2675","18750.9377","198051.161","74800","48893.9731","11461.902"
"M682.472T1373.006","65050.927","71016.984","83430.536","133081.695","214440.429","91621.968","93200","173000","148728.389","87645.687","215892.389","94755.963","69424.21","72400","57251.106","32223.3269","45161.7353","248173.6808","242000","223915.972","404373.068","396000","178507.736","231000","430000","310530.025","32758.555","304923.079","40139.0712","151684.882","249633.579","480304.73","236355.044","289000","180700.909","167466.539","244460.655","133113.04","17386.8336","71300","29281.1864","124951.833","35439.6472","507287.18","60553.1205","88886.3013","453286.552","593000","228244.6099","283734.412"
"M589.459T1264.044","13279.696","13540.329","13810.302","27831.414","25035.778","20093.651","23400","79100","33645.142","14119.026","90809.208","24190.331","4303.151","18400","10364.304","4440.8735","2649.856","41309.8699","31000","47899.939","74029.921","74100","55489.208","45400","54600","58655.228","10292.313","31659.597","2791.1108","58991.34","58552.814","82349.124","48393.349","49500","35691.999","61135.789","33204.507","30419.025","2572.5256","18800","2216.6225","19396.5","4388.002","53483.954","2188.9142","437.78284","226642.565","231000","55875.686","49222.983"
"M633.478T1401.37","520225.574","558801.295","619174.143","871213.807","1154979.405","797119.513","804000","1370000","683082.969","625790.065","673145.917","546672.223","599345.129","566000","227635.228","245904.5654","184877.1851","862132.2933","1030000","794202.69","1041296.57","1330000","968445.408","826000","1070000","1152473.706","202670.2996","1389702.567","584311.9523","739106.599","1181824.262","1159630.549","970499.885","1010000","587403.954","736972.733","750047.013","728230.206","272809.2741","393000","216093.5717","670171","166542.4942","1226285.631","131853.9199","383465.2624","1329239.54","1280000","1073286.197","986809.542"
"M646.455T1423.013","56562.534","42722.065","59941.964","71025.505","95911.753","88298.417","72200","139000","93411.882","52752.403","51202.779","58048.486","61331.791","51100","32868.467","21304.4484","17758.4531","93340.9809","80300","115337.117","147939.177","128000","106494.68","85700","208000","133537.833","22182.7293","105295.27","38008.9827","80723.097","99018.176","208316.394","155201.403","102000","61513.564","59065.441","67375.95","58169.664","19569.2769","42000","21572.5142","79603.725","20332.4492","138795.056","43068.6545","31440.4145","85234.39","90500","131218.1335","87743.542"
"M881.484T1273.289","234436.861","224334.317","295351.767","395072.078","431243.777","285459.036","169000","207000","206434.352","207850.267","235159.555","199951.4","223908.501","328000","162316.082","5558.8453","4869.6132","191224.2198","244000","206198.924","175100.786","183000","194741.197","193000","275000","196437.209","2217.8842","259795.111","2391.9349","190522.891","280392.052","214292.268","223887.866","278000","161134.872","158371.522","172631.437","184032.727","13955.6741","79500","432.24964","126317.419","2161.2482","103474.293","7763.3621","6226.4548","38706.804","172000","89876.656","195694.887"
"M637.412T1422.711","102360.036","87864.466","95625.614","131375.891","127373.85","105525.045","117000","160000","124619.373","116923.502","109075.689","110345.835","103849.158","113000","68419.359","43760.5094","45972.9075","134560.522","170000","143241.16","199015.292","186000","137348.175","171000","206000","169182.365","53123.504","175931.568","61474.8883","131927.927","161830.858","219396.651","167832.657","165000","145799.778","140685.264","155530.699","125861.283","41530.8524","82700","44580.9364","118163.222","38011.4674","184814.305","51063.7209","67261.6199","124986.87","227000","169282.3096","141261.851"
"M591.474T1330.445","130661.573","127396.929","138825.936","217333.461","353241.914","173267.902","246000","434000","248322.174","101285.984","351658.961","140083.602","191476.823","173000","52584.292","37309.0542","24422.2214","287457.3399","333000","298150.854","459810.052","452000","354838.407","361000","494000","461127.914","37345.282","419319.02","80933.8038","251686.335","401536.955","539353.046","316898.69","375000","191004.048","257536.439","312434.629","214080.144","39228.3308","96800","35433.1679","203613.112","34868.9268","457637.938","37311.3851","83898.5975","811224.015","619000","359937.7335","355831.858"
"M645.45T1333.909","228230.313","181888.614","235718.909","294292.076","305647.056","223455.515","230000","370000","287004.318","250695.592","383452.111","196992.656","236474.708","256000","184170.227","29668.5824","52065.1939","284974.035","280000","323479.91","381597.746","420000","391694.635","302000","453000","313237.787","28201.3489","318996.221","63119.6199","312372.97","401946.505","443078.141","360703.491","345000","290463.161","311826.397","294850.735","263405.974","54104.7142","142000","39130.9092","235781.135","44686.9838","277607.946","62376.2214","41650.9024","313676.825","428000","458436.941","305555.21"
"M826.523T1305.342","197191.908","187211.309","245172.807","283553.354","339973.807","236754.851","180000","182000","171336.875","164270.966","260692.728","162109.384","135490.556","209000","103494.941","11098.4363","7183.433","190334.3079","227000","202089.747","208485.434","216000","273600.419","216000","251000","226230.141","15729.1447","207480.492","8280.4285","153077.115","260958.191","219987.177","260139.611","222000","183326.991","138047.27","134772.365","217917.855","18451.1531","81300","13884.1364","140679.777","7055.7496","154658.133","8462.9313","17603.9812","128445.189","165000","113023.2843","157995.042"
"M593.485T1401.37","134163.811","140952.951","164720.02","232764.214","295872.332","196269.804","268000","335000","204381.89","168325.472","222887.415","183028.338","221155.843","169000","78431.48","51432.6109","53538.4039","272104.2977","284000","261169.055","282573.673","306000","315815.576","279000","341000","333144.566","66489.44","359844.889","156741.0441","216680.445","263561.921","333378.112","233447.098","320000","143800.057","201714.831","224130.412","195280.162","78305.1118","117000","67537.3574","189429.019","65917.9745","425821.465","62673.2433","126087.223","453947.394","375000","310190.08","312005.939"
"M591.474T1402.346","149877.385","143453.075","161171.656","235634.366","369627.762","194263.345","277000","451000","257745.908","110096.171","333164.76","157512.379","197774.134","183000","56710.09","49540.8294","33767.1849","296974.5261","354000","311222.553","468019.322","488000","371806.881","381000","526000","474293.02","43396.295","458625.639","96333.6063","242957.342","435676.606","568925.107","337393.446","390000","196415.358","256217.266","334798.912","235394.481","44646.6688","107000","40387.547","216530.665","38586.6137","487691.663","40466.848","101034.5911","795430.492","605000","367899.2026","383673.381"
"M1123.351T817.469","47819.684","52727.53","87763.36","87167.6","94060.554","78405.804","69800","76600","51593.004","64329.029","34454.375","75015.69","56038.686","110000","69757.526","15926.191","22717.8872","59455.6587","76400","53650.729","99948.896","79100","53031.152","76700","48500","46274.717","25621.5242","37609.786","12835.0605","41799.868","65524.289","72981.005","66931.733","63900","53174.741","59828.248","65588.431","67426.559","34331.2768","32300","31979.5149","63668.182","32962.2197","36269.104","25731.4365","10156.3462","53939.358","48000","72495.0143","40800.624"
"M645.458T1212.039","214794.355","174822.897","224920.029","266368.109","270329.988","206351.153","215000","329000","265379.75","231828.015","379772.633","190063.266","213711.84","250000","160778.168","20779.4483","44646.8921","250875.1378","248000","278478.357","335313.596","324000","362370.792","257000","351000","264772.604","20323.6905","244872.155","43093.9991","270793.344","401800.562","377269.762","324288.404","296000","285389.216","286053.898","242510.47","247432.684","41432.4304","127000","28250.0584","215809.02","35517.5727","221336.011","46435.3673","24684.9196","356681.103","475000","397887.9543","266751.741"
"M555.363T1275.021","73820.284","70668.299","42519.672","44161.861","69872.341","56525.348","64500","96600","81566.274","50411.57","191373.692","174683.522","71882.04","63300","46081.675","5844.1195","5001.7389","159603.3549","77200","137867.184","190458.176","116000","161354.697","101000","102000","91700.778","3092.3201","74222.879","16825.3662","99885.456","111361.595","123638.09","107906.091","102000","165166.25","111807.85","88593.945","84261.603","12250.3422","45500","10584.933","90158.173","618.46402","101917.3","12910.3041","8649.5957","161790.362","332000","457727.1179","72186.852"
"M277.217T1187.469","1825758.351","1767010.633","578028.196","803689.571","485415.973","1155627.481","1200000","1700000","1049411.827","1510710.873","297574.997","3818136.104","1571663.522","1260000","1471454.746","32997.7329","45013.3031","2851078.653","814000","2637313.886","2490230.346","1920000","3419211.627","1840000","202000","692092.05","38110.963","799838.505","27750.0374","1314202.089","707604.146","371667.597","1689070.002","1720000","4212009.794","2243508.055","1897198.174","2445521.71","33275.9138","1e+06","21115.9762","2506600.099","30753.6849","523828.843","33101.4484","19438.7374","1112061.553","2510000","6538510.173","1344928.462"
"M670.528T1488.279","49964.272","50338.605","52886.866","78614.754","102981.521","63342.486","55300","92200","87543.682","60495.628","53331.259","54640.535","52689.099","46200","44933.987","27967.0418","29389.637","80787.9069","104000","86021.575","127171.491","122000","82689.668","109000","174000","129144.493","26266.0084","105832.228","64167.2773","77248.865","97207.997","171495.04","97550.002","95900","57775.111","62975.465","81155.304","76581.429","22730.4632","38000","43182.4339","82305.666","23871.1797","147476.12","26126.4077","47175.5047","120634.233","125000","105507.6854","93342.903"
"M679.449T1212.039","295935.623","166202.511","240559.217","296747.645","289273.348","293020.221","266000","428000","343084.541","326322.5","436666.195","296958.984","264387.248","372000","389554.596","43065.5061","66502.5411","433975.259","433000","421120.218","609152.829","620000","445585.538","377000","522000","374696.877","36389.5075","358606.616","34582.2991","360822.86","419398.05","689238.75","457926.755","439000","375093.111","511524.067","383694.408","323658.487","32346.7425","327000","38207.7096","269936.849","39692.9386","370692.535","34714.8501","25270.2539","620099.602","980000","371043.7802","369973.27"
"M697.464T1209.593","205644.125","190851.008","435547.27","319486.732","519328.99","293704.638","191000","259000","244886.114","187143.289","664964.577","150659.348","269396.939","84600","118530.821","10143.8925","4971.8832","425998.1735","515000","423119.869","690756.613","609000","467255.649","379000","642000","430625.224","13766.14","423072.259","15779.2904","255382.609","607060.322","673241.049","552473.204","548000","369915.182","410549.152","453455.428","330267.017","11147.7116","110000","13206.4347","217259.529","13409.3116","469817.642","8536.7156","11893.0091","718529.865","950000","338431.2522","458108.227"
"M985.571T1146.934","174160.642","112593.867","165145.579","144368.473","129531.693","151301.507","162000","142000","169777.372","178462.141","210857.931","169618.45","123218.655","197000","110025.613","7807.9152","11917.3594","125480.2053","129000","128808.398","145460.725","97400","149300.626","155000","111000","112383.819","15277.6498","92054.447","1537.3531","178876.252","191828.13","115500.518","145428.538","125000","142313.35","127972.639","95752.594","128772.898","13824.5169","98700","9848.04","99418.823","8631.9542","88035.691","14151.5174","13738.0321","118428.23","155000","94524.1926","101368.302"
