"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30"
"M886.334T992.353",0.028069,-0.0098511,0.0065096,0.012915,0.011661,0.00077806,0.0075356,-0.010221,-0.0050029,0.00027488,-0.012777,0.0072007,-0.004878,-0.0081854,0.0084829,-0.0066481,-0.0018106,0.0069975,-0.022495,-0.027786,-0.012754,-0.01253,-0.024057,-0.007722,-0.049867,-0.012959,0.0048514,-0.0011213,-0.06599,-0.0017322
"M932.854T973.898",0.021833,-0.0078138,-0.0015866,0.010249,0.013615,0.003886,0.00076726,0.0090089,-0.0030537,0.011986,-0.011443,0.015632,-0.003489,-0.024407,-0.014826,-0.0030527,0.0054089,0.025027,0.032193,-0.02051,0.0047166,0.0019912,0.022839,-0.0067833,0.032223,0.029104,0.020971,-0.019852,0.049026,7.3628e-05
"M1063.337T834.347",0.014863,-0.022441,0.0099828,0.045856,-0.02554,-0.033352,0.027498,0.020236,0.046696,-0.012705,0.0088241,0.021371,0.023083,0.01884,0.024843,0.026394,-0.035574,0.019438,-0.00089112,-0.00079253,-0.031093,-0.0087433,0.022792,0.020902,0.018676,-0.019896,0.0065481,-0.0001715,0.0042023,0.006345
"M803.491T1372.736",0.026999,-0.0090439,0.0026472,-0.0062622,-0.028242,-0.0092021,-0.0087081,-0.010144,-0.028616,0.016092,-0.017699,0.021192,0.0010887,-0.0068134,0.003454,0.003843,0.0011843,-0.0029377,0.024898,0.013286,-0.011208,-0.00024267,-0.010086,0.0066917,0.014205,0.017398,0.012229,-0.0097998,0.01147,-0.0041681
"M812.538T1253.346",0.012429,0.014365,-0.019672,-0.033086,0.014845,0.0026059,-0.026651,-0.0015554,0.011173,-0.020512,0.001755,0.016648,0.027013,0.03476,0.00016266,0.011452,-0.003361,0.011638,-0.027017,0.0063933,0.037295,-0.063433,0.028575,0.035434,0.042274,-0.02083,0.023299,-0.0094196,0.018494,-0.00050389
"M545.399T1295.888",0.0092719,0.021223,-0.010612,-0.049363,0.026519,0.015548,-0.019722,-0.0039306,0.012926,0.024549,0.014414,-0.0017735,0.023053,0.037392,0.056635,0.010827,-0.0058983,0.00036169,0.0091214,0.0028987,0.013126,0.0075118,-0.0013129,-0.014833,0.022575,0.0045632,-0.029735,-0.023001,-0.020918,-0.0053755
"M850.324T910.27",0.03245,-0.010848,0.0074971,0.015513,0.014956,-0.0067118,0.0086159,-0.0038523,0.0049927,0.0092708,-0.0034992,0.0052863,0.020918,-0.010976,0.016208,0.0068288,0.01043,-0.010174,-0.019669,-0.0021664,0.0063668,-0.0040195,0.0053244,-0.0083763,0.018748,-0.0031562,0.020927,-0.0026266,-0.0096861,-0.0057961
"M293.172T1591.081",0.00082175,-0.028174,0.035951,0.040573,-0.027276,0.018817,0.022737,0.021513,0.0057633,0.0079299,0.00031849,-0.0030023,0.0059271,0.016406,0.0060078,-0.016025,-0.018438,0.0014519,0.020837,-0.029025,9.8693e-05,0.010959,0.0025631,-0.025145,-0.012385,0.0015726,0.012889,-0.0033042,-0.00047149,0.00069568
"M1001.365T875.234",0.026525,-0.0043888,-0.0003334,0.0056256,0.0024372,0.0014061,0.00911,-0.00019459,0.0091857,-0.015706,0.017585,-0.0035859,0.0032069,-0.019884,0.015361,-0.012802,0.0022276,0.013414,0.0010008,-0.0021922,-0.011758,-0.022417,0.0088909,0.0055455,0.031135,-0.0050443,0.0060152,0.0014815,-0.0096943,-0.0040851
"M937.358T812.644",0.024485,0.0023193,-0.0053593,0.005687,-0.002218,-0.01977,0.016609,-0.0005208,0.017859,-0.0067444,0.0022717,-0.006276,-0.01718,-0.02566,0.0038335,-0.012605,-0.0073439,0.010116,0.0035413,0.0074766,-0.026099,-0.038776,0.0062837,-0.0041238,0.022564,-0.0015615,0.0014899,0.0048223,-0.0087958,-0.0017409
"M425.216T1473.286",0.0059361,-0.00066312,-0.0089962,0.0074893,0.0065186,0.0044932,-0.0038429,-0.0089353,-0.035892,0.018357,0.03902,-0.013465,0.0050295,0.012984,0.0077056,0.031302,-0.007193,-0.028551,0.013834,0.0023332,-0.0018564,-0.0050412,-0.010301,0.011514,-0.015597,-0.030729,0.022233,0.0057756,0.0054831,0.002466
