"","PC1","PC2","PC3","PC4","PC5"
"M832.307T992.353",0.080418,-0.14921,-0.020412,0.019521,-0.033095
"M455.315T1295.888",-0.070326,0.028365,-0.04806,-0.019672,-0.0064403
"M297.239T1626.197",0.050545,0.08316,-0.026348,0.0051611,-0.0202
"M471.314T1308.231",-0.073878,0.055485,-0.11879,-0.049069,0.016568
"M455.313T1308.231",-0.039387,0.06581,-0.08379,-0.046796,-0.024359
"M392.284T1436.378",-0.10354,0.005123,-0.04454,-0.025163,0.068054
"M399.308T1262.042",-0.17151,0.056939,-0.051072,0.01376,0.031373
"M549.428T1523.962",0.078156,-0.014438,-0.045746,-0.014169,-0.018044
"M807.348T918.929",0.067827,-0.13461,0.22393,-0.16554,0.034861
"M542.478T1573.977",0.10735,0.13024,0.060054,-0.014649,-0.011979
"M522.261T1109.944",-0.077596,-0.068196,0.084791,0.15392,0.080857
"M653.412T1258.482",0.038106,-0.032558,-0.023104,-0.021658,-0.003143
"M475.412T1607.605",0.088895,0.15714,0.10276,0.015406,0.03795
"M653.413T1377.63",0.059407,0.004753,-0.077903,-0.061191,-0.040677
"M330.263T1492.022",-0.051392,-0.025538,-0.049983,-0.0046202,-0.014125
"M447.35T1507.107",-0.053888,-0.10089,-0.19787,0.067846,-0.023662
"M722.259T892.9",-0.16257,-0.26786,-0.10159,0.083708,0.010458
"M523.599T1382.768",-0.07659,-0.035363,0.043744,0.095331,0.014292
"M549.431T1507.08",0.077188,0.015705,-0.043586,-0.016427,0.036509
"M330.262T1456.934",-0.044786,-0.027826,-0.069815,-0.088889,-0.0095418
"M435.346T1540.43",0.055675,0.048671,-0.028737,0.11189,0.00065558
"M576.484T1557.453",0.094482,0.035304,-0.066366,0.064145,-0.069481
"M467.383T1523.593",0.073347,-0.00076386,-0.12972,-0.078942,0.054854
"M951.603T1424.253",0.14915,0.026925,0.015714,0.038744,-0.011385
"M477.403T1542.988",0.053067,-0.047326,-0.085016,-0.0113,0.044275
"M477.407T1590.788",0.055642,-0.042336,-0.063519,-0.043655,0.0034826
"M549.426T1489.95",0.078799,-0.022121,-0.085201,-0.024794,-0.017877
"M471.336T1557.26",0.069097,-0.027001,-0.093009,-0.069501,-0.019516
"M330.263T1439.913",-0.048037,-0.026677,-0.058289,-0.07953,0.0096439
"M629.529T1601.79",0.089825,0.090368,-0.048491,0.050525,-0.0053139
"M505.27T1240.129",-0.057927,-0.032227,0.047395,-0.18236,0.067075
"M576.533T1641.124",0.12185,0.10828,0.017693,-0.0064914,0.03245
"M619.438T1245.233",-0.12654,-0.061552,-0.13712,0.049588,0.026639
"M313.161T1621.4",0.05642,0.080984,-0.0099114,-0.02668,-0.0079163
"M505.253T1269.605",-0.05821,0.023074,0.082713,-0.075044,-0.042967
"M494.565T1319.161",-0.053123,0.062324,-0.13238,0.092844,0.023749
"M535.447T1540.43",0.059854,0.029244,-0.07989,0.047972,0.0076073
"M477.398T1574.327",0.052968,-0.047029,-0.085155,-0.011308,0.0055109
"M691.433T1253.346",-0.05592,-0.040652,-0.033884,0.026957,-0.0036125
"M341.283T1305.932",-0.13373,0.090312,-0.043505,-0.0069013,-0.055632
"M330.261T1473.013",-0.03716,-0.024359,-0.071671,-0.10901,0.0080049
"M339.172T1490.329",0.07813,0.063453,0.10049,-0.06157,-0.016465
"M332.328T1440.13",-0.050793,-0.07212,0.0043502,-0.067186,0.050414
"M494.563T1509.9",0.080327,0.094878,-0.043046,0.037749,-0.021647
"M481.362T1591.564",0.049884,0.094627,-0.020843,-0.10056,0.0031744
"M443.333T1262.042",-0.17221,0.048575,-0.071478,-0.00093113,-0.087561
"M510.367T1523.593",0.040023,0.014292,-0.044292,0.015701,0.0012049
"M545.456T1607.833",0.059219,0.037515,0.049625,0.18281,-0.041405
"M669.531T1507.08",0.064271,-0.043096,-0.036592,0.07278,0.052303
"M383.284T1439.726",-0.071143,0.018291,-0.022045,0.0039186,0.011933
"M589.501T1621.712",0.063794,0.074467,0.091253,0.17573,-0.034798
"M534.444T1557.26",0.074312,0.048779,-0.030771,0.015718,-0.044993
"M494.565T1422.678",-0.028222,0.060998,-0.12908,0.083917,0.0039218
"M465.265T1237.073",-0.048061,-0.040025,-0.089809,0.0026825,0.028975
"M605.432T1239.559",-0.031306,0.04342,-0.21543,-0.037936,-0.0070182
