"","filter","C12.1","C12.3","C12.4","X12.1","X12.2","X12.3"
"M399.308T1262.042",404273.28525,64986.7223,2172556.166,632565.324,102347.387,110044.556,96100
"M549.428T1523.962",43902.75975,60481.7533,69344.604,85810.02,142936.033,112454.871,119000
"M807.348T918.929",403799.03575,4041.1379,253963.057,691204.147,480118.833,2051316.747,722000
"M542.478T1573.977",50416.7595,9044,29286.757,15302.819,69384.993,68707.273,73800
"M522.261T1109.944",79092.64775,5867.8096,154053.761,181417.946,58708.411,90665.459,121000
"M653.412T1258.482",17686.87125,19085.3778,135177.639,149758.372,163223.819,157346.258,154000
"M475.412T1607.605",20469.497575,33636.3167,29122.145,12141.735,43617.621,53087.707,60000
"M653.413T1377.63",34276.9695,35834.4817,124807.531,135234.216,210781.897,163588.229,156000
"M330.263T1492.022",32221.646975,146481.4689,176199.229,177938.484,140695.51,135165.686,131000
"M447.35T1507.107",42351.318025,76515.0103,116777.742,199474.338,120724.187,57278.375,80000
"M722.259T892.9",355362.65175,10426.6994,540138.794,6109886.122,71196.574,70023.067,82300
"M523.599T1382.768",95115.65295,218080.0938,317868.564,315921.916,148600.122,189794.41,216000
"M549.431T1507.08",51482.761075,99370.8879,96042.493,103299.308,185634.636,145343.016,154000
"M330.262T1456.934",21655.52795,110351.8984,137110.335,140737.016,119751.591,113404.789,94500
"M435.346T1540.43",18088.853,74630,62488.279,56945.862,83865.094,66405.033,92100
"M576.484T1557.453",74016.44275,43791.0566,64461.487,67670.811,172602.877,101121.043,152000
"M467.383T1523.593",25042.37775,52699.2113,57843.559,69790.605,150212.898,86896.931,82800
"M951.603T1424.253",438759.3245,56709.9076,69557.287,92135.708,557435.338,383538.853,595000
"M477.403T1542.988",19330.3015,68754.7701,72109.807,93786.975,120210.907,92936.348,97600
"M477.407T1590.788",23345.417925,83304.4861,82232.177,104177.767,135185.524,112824.299,109000
"M549.426T1489.95",62419.6735,92561.8468,100676.424,133273.353,241057.649,162981.319,174000
"M471.336T1557.26",32888.675275,75170.5993,74425.386,96848.858,162500.226,115305.119,108000
"M330.263T1439.913",22366.6171,113723.4082,142481.663,144695.624,119679.325,116487.621,98000
"M629.529T1601.79",116639.119075,132953.3609,136004.841,102248.094,304905.987,188421.4,271000
"M505.27T1240.129",211888.7245,36869.3834,496398.964,487628.523,317315.658,481984.987,260000
"M576.533T1641.124",46880.5806,28320.6636,22442.071,14288.021,81091.533,61469.199,73900
"M619.438T1245.233",247377.87775,12008.9388,387624.432,451165.77,110680.498,67480.761,81600
"M313.161T1621.4",18260.381325,61415.9419,68126.836,53976.472,90550.332,81216.187,81400
"M505.253T1269.605",82854.92975,14742.2336,348384.973,275499.654,197391.146,287364.501,214000
"M494.565T1319.161",91858.2529500001,188625.3734,417460.715,297804.155,293896.667,181891.41,254000
"M535.447T1540.43",21693.012,63646.6289,65862.823,65775.467,104541.856,73961.272,92000
"M477.398T1574.327",17127.539425,75046.8231,72226.53,93786.975,120210.907,92936.348,97600
"M691.433T1253.346",88965.6835,112036.4451,461054.068,487173.897,345790.688,343169.594,348000
"M341.283T1305.932",99126.344575,94925.3883,710584.568,226058.778,94122.998,94227.35,82000
"M330.261T1473.013",20245.869575,105049.7819,129928.674,132830.97,119751.591,113404.789,92400
"M339.172T1490.329",14358.5386,44191.5894,27250.668,21719.252,41205.431,55429.678,45400
"M477.343T1423.013",5993.57725,48754.9512,56632,58826.353,53518.854,57553.721,50600
"M332.328T1440.13",27407.459125,115359.5825,142796.475,167103.206,111378.278,130734.828,105000
"M494.563T1509.9",121380.4697,304154.6608,234099.816,171452.201,442772.659,298333.334,394000
"M481.362T1591.564",15782.33085,33792.0262,45292.622,33077.863,60368.219,54566.008,46100
"M443.333T1262.042",476336.53775,40654.5627,2291206.757,726799.035,118782.977,113333.931,93500
"M510.367T1523.593",13967.98675,139590.3329,86069.976,86114.553,103007.907,92108.115,97300
"M545.456T1607.833",27986.4271,108912.1658,73195.075,68086.862,91129.673,86335.237,145000
"M669.539T1543.447",10254.98475,121295.6002,80496.051,105264.368,114652.56,108839.517,117000
"M669.531T1507.08",23463.04835,111179.8598,65231.819,86689.232,110019.144,89638.834,113000
"M383.284T1439.726",46169.444,125217.2578,251315.529,205205.782,146863.405,150923.835,145000
"M589.501T1621.712",65762.3145,261732,73577.312,55522.835,85230.062,92011.256,159000
"M534.444T1557.26",37559.498475,85462.7331,77456.066,71460.738,133144.723,105068.925,121000
"M494.565T1422.678",102847.32325,263375.7243,463612.2,367002.545,409578.048,275449.132,358000
"M609.518T1624.418",7562.06972499999,60609.9359,55474.255,35151.344,61880.592,53509.726,63200
"M465.265T1237.073",54488.26175,42836.1105,242014.038,261681.816,207875.858,178654.975,180000
"M605.432T1239.559",170041.22525,77368.5134,396644.254,322817.741,431058.217,204528.534,219000
