"","M393.189T1440.567","M513.25T1338.968","M477.343T1423.013","M882.48T1339.403","M652.416T1356.524","M343.224T1621.712","M629.459T1473.698","M423.321T1473.286","M510.367T1523.593","M589.501T1621.712","M578.503T1590.788","M635.491T1472.841","M628.529T1624.373","M628.528T1608.773","M609.518T1624.418","M652.503T1490.314","M558.46T1591.049","M297.239T1626.197","M841.471T1389.363","M545.456T1607.833","M605.416T1473.993","M477.403T1542.988","M477.407T1590.788","M477.398T1574.327","M879.468T1338.726","M630.465T1474.173","M629.464T1456.367","M629.463T1474.173","M449.365T1540.699","M669.539T1543.447","M669.531T1507.08","M669.562T1624.559","M449.369T1557.545","M449.347T1490.033","M535.447T1540.43","M567.43T1421.35","M295.151T1624.873","M492.408T1557.26","M534.444T1557.26","M535.375T1490.352","M534.402T1422.678","M533.436T1590.96","M549.424T1473.203","M516.411T1568.021","M886.353T1006.792","M467.383T1523.593","M329.158T1625.781","M329.157T1608.526","M475.412T1607.605","M494.563T1509.9","M576.484T1557.453","M576.484T1473.551","M575.479T1473.048","M575.481T1540.694","M576.533T1641.124","M541.474T1573.977","M542.478T1573.977","M575.479T1456.772","M640.557T1608.472","M737.493T1439.78","M577.49T1591.335","M618.492T1624.789","M617.489T1624.961","M617.506T1594.034","M549.431T1507.08","M629.529T1601.79","M629.509T1624.418","M660.517T1423.005","M535.409T1440.116","M549.426T1489.95","M471.336T1557.26","M605.427T1490.314","M549.428T1523.962","M533.435T1510.689","M516.434T1624.418","M481.362T1591.564","M325.162T1642.868","M951.603T1424.253","M628.514T1473.756","M1085.421T973.898","M659.418T1406.262","M820.327T1006.792","M813.332T1056.081","M869.334T919.017","M479.188T913.185","M899.349T990.311","M433.152T909.874","M677.438T1339.916","M564.208T942.149","M817.317T940.819","M430.319T1557.453","M832.307T992.353","M956.379T959.199","M438.146T926.75","M313.161T1621.4","M787.545T1575.098","M339.172T1490.329","M523.36T1271.932","M487.775T1256.694","M386.164T943.456","M807.348T918.929","M1123.351T817.469","M889.305T842.452","M919.292T824.161","M1102.351T817.469","M979.313T847.893","M1114.854T834.347","M682.262T843.183","M415.326T1295.888","M465.26T1373.143","M425.216T1401.37","M425.215T1355.365","M556.445T1212.039","M812.538T1253.346","M985.571T1146.934","M772.55T1170.538","M537.533T1295.888","M374.303T1319.161","M847.517T1163.004","M986.591T1195.638","M808.52T1220.972","M771.504T1195.638","M609.455T1145.906","M392.284T1436.378","M828.538T1289.688","M495.298T1036.333","M471.796T1446.028","M471.313T1295.888","M619.438T1245.233","M399.308T1262.042","M443.333T1262.042","M383.284T1439.726","M455.315T1295.888","M341.283T1305.932","M513.307T1059.952","M351.253T1019.694","M285.134T1052.907","M569.292T994.771","M605.427T1212.039","M867.584T1358.969","M331.187T1104.601","M585.283T918.479","M351.179T1358.969","M351.108T857.905","M291.195T1053.001","M465.265T1237.073","M764.518T1295.888","M764.517T1325.086","M691.436T1356.203","M691.433T1253.346","M494.565T1319.161","M494.565T1422.678","M423.211T1338.363","M821.505T1179.269","M765.518T1313.696","M522.261T1109.944","M423.212T1319.031","M523.599T1382.768","M561.396T1195.638","M330.263T1492.022","M545.37T1372.761","M722.259T892.9","M332.328T1440.13","M441.224T1179.269","M504.265T1099.137","M330.261T1473.013","M330.262T1456.934","M330.263T1439.913","M423.198T1506.423","M722.581T1518.016","M722.58T1595.75"
"M869.334T919.017",-0.18166,-0.12755,0.02363,0.10464,0.25329,0.17588,0.16625,0.20754,0.18644,0.02223,0.39939,0.40823,0.24313,0.18762,0.32191,0.37931,0.27882,0.25256,0.30732,0.43054,0.31392,0.29171,0.44375,0.43313,0.53108,0.4839,0.35144,0.32122,0.42622,0.39129,0.44129,0.38893,0.56536,0.48933,0.46383,0.37288,0.33378,0.44566,0.44251,0.55408,0.49109,0.66584,0.7597,0.52986,0.81278,0.66925,0.40497,0.43713,0.30103,0.34131,0.67326,0.70641,0.66206,0.66412,0.57153,0.57308,0.46061,0.58374,0.5344,0.47139,0.44185,0.5892,0.62011,0.62576,0.63761,0.4506,0.46687,0.67494,0.54454,0.55524,0.614,0.5941,0.58139,0.63166,0.17726,0.3253,0.24982,0.37226,0.36823,0.65595,0.41951,0.93451,0.96651,1,0.70123,0.81167,0.82619,0.77313,0.82835,0.79906,0.52434,0.91436,0.91636,0.81738,0.00247,0.26944,0.20826,0.33003,0.21629,0.65205,0.53113,0.4772,0.68747,0.42854,0.18292,0.36873,0.22759,0.10138,-0.01216,0.21884,0.07318,0.10498,-0.31166,-0.54292,-0.57897,-0.53246,-0.46837,-0.40375,-0.57906,-0.63999,-0.62628,-0.88232,-0.74976,-0.70221,-0.47442,-0.4032,-0.43697,-0.77378,-0.64018,-0.76272,-0.75252,-0.74271,-0.68244,-0.78638,-0.55489,-0.56096,-0.36301,-0.37477,-0.39041,-0.0616,-0.14845,-0.31822,-0.12207,-0.34387,-0.12154,-0.02981,-0.14644,-0.25889,-0.57507,-0.65769,-0.65223,-0.61464,-0.63917,-0.69324,-0.66609,-0.5692,-0.59866,-0.51088,-0.27209,-0.72122,-0.54686,-0.45758,-0.55669,-0.72293,-0.78494,-0.5961,-0.65327,-0.69349,-0.41617,-0.66862,-0.71742
"M479.188T913.185",0.13478,0.10119,-0.15061,0.08534,0.26496,0.13,0.00495,-0.06229,0.14585,-0.00767,0.33365,0.2527,0.18079,0.20017,0.34008,0.28321,0.36747,0.35052,0.40316,0.41368,0.32231,0.11882,0.3186,0.22483,0.34115,0.29115,0.28676,0.26027,0.17325,0.12661,0.19227,0.20329,0.3635,0.26898,0.30592,0.21755,0.37433,0.3047,0.41135,0.51444,0.33862,0.48541,0.6658,0.68111,0.78351,0.69403,0.59716,0.57411,0.60755,0.51956,0.6926,0.69313,0.64845,0.64492,0.79838,0.68855,0.74599,0.54548,0.56921,0.67549,0.55685,0.59178,0.64134,0.56136,0.62119,0.45721,0.50993,0.44175,0.6405,0.56584,0.53662,0.55226,0.41555,0.47042,0.55821,0.37875,0.3296,0.45207,0.35313,0.64154,0.46528,0.84722,0.79367,0.70123,1,0.85755,0.8081,0.70475,0.76348,0.90769,0.73823,0.70852,0.72134,0.71668,0.3043,0.53738,0.54016,0.5102,0.62414,0.58685,0.59982,0.36696,0.65924,0.55054,0.28451,0.36993,0.2764,0.00129,-0.16685,0.16959,-0.17705,0.00028,-0.59403,-0.71158,-0.42024,-0.55339,-0.65486,-0.50042,-0.72746,-0.66031,-0.72848,-0.80408,-0.73345,-0.82016,-0.6021,-0.56469,-0.64303,-0.77075,-0.8704,-0.91263,-0.86501,-0.88994,-0.83852,-0.84635,-0.32584,-0.33992,-0.26766,-0.15498,-0.21697,-0.03413,-0.02664,-0.42047,-0.34327,-0.37004,-0.03426,-0.47328,-0.53114,-0.49979,-0.4586,-0.75717,-0.81975,-0.70158,-0.75933,-0.73029,-0.7693,-0.81957,-0.73367,-0.79491,-0.59638,-0.74544,-0.82034,-0.76087,-0.6455,-0.81657,-0.7202,-0.64414,-0.7074,-0.72411,-0.58171,-0.77877,-0.76469
"M899.349T990.311",-0.01977,-0.15948,-0.01224,0.039,0.35178,0.22638,0.05854,0.09463,0.34167,0.0776,0.32915,0.35478,0.26251,0.25579,0.32977,0.30978,0.33644,0.30345,0.478,0.54225,0.33102,0.14636,0.36203,0.29264,0.37595,0.22132,0.21413,0.22743,0.36097,0.33101,0.36611,0.37205,0.5025,0.40005,0.40124,0.31871,0.42404,0.39952,0.57497,0.58174,0.4466,0.67074,0.75515,0.8063,0.91189,0.52226,0.48581,0.60935,0.45858,0.43374,0.66617,0.59681,0.52827,0.52592,0.67519,0.48833,0.56806,0.41842,0.52586,0.50369,0.44435,0.56815,0.63544,0.57516,0.60081,0.41902,0.54887,0.41922,0.64571,0.58283,0.57033,0.54693,0.50777,0.53246,0.43416,0.42118,0.4253,0.27738,0.20733,0.5757,0.20252,0.8725,0.87272,0.81167,0.85755,1,0.87508,0.70017,0.72763,0.84557,0.6109,0.85043,0.88901,0.87783,0.07849,0.49356,0.363,0.41577,0.40003,0.76691,0.67209,0.32444,0.56239,0.37708,0.25583,0.20819,0.04384,0.15571,-0.03994,0.35815,0.04236,0.13958,-0.55577,-0.66579,-0.45329,-0.49592,-0.67111,-0.46197,-0.52747,-0.5833,-0.61888,-0.77374,-0.74751,-0.74753,-0.31908,-0.37644,-0.62294,-0.86675,-0.79122,-0.8093,-0.78036,-0.81849,-0.65687,-0.70771,-0.48695,-0.48035,-0.35726,-0.28982,-0.52015,-0.21961,-0.15536,-0.43179,-0.26505,-0.27358,0.00141,-0.19319,-0.17611,-0.13092,-0.53743,-0.79727,-0.68442,-0.61552,-0.69457,-0.60094,-0.68745,-0.67995,-0.63621,-0.51177,-0.52705,-0.64732,-0.66533,-0.59871,-0.61817,-0.7607,-0.7632,-0.67069,-0.73085,-0.75358,-0.45619,-0.73035,-0.72649
"M433.152T909.874",0.07269,-0.02434,-0.20037,0.12509,0.33039,0.23997,0.11446,0.05236,0.18075,0.13718,0.37856,0.29004,0.21045,0.19251,0.2217,0.27127,0.15175,0.29652,0.41795,0.57501,0.24886,0.15022,0.31837,0.23528,0.41234,0.33568,0.24938,0.30784,0.29556,0.26249,0.32103,0.27747,0.46211,0.32176,0.27027,0.36838,0.44835,0.46135,0.44556,0.55026,0.41968,0.48984,0.62727,0.58073,0.81942,0.45737,0.41207,0.53489,0.42087,0.40609,0.60313,0.57485,0.54342,0.54701,0.61649,0.45292,0.46512,0.44809,0.37926,0.48234,0.44805,0.56975,0.56718,0.51102,0.59193,0.43166,0.5555,0.37368,0.51181,0.55192,0.48644,0.47123,0.47825,0.54179,0.27059,0.16138,0.45671,0.41098,0.31887,0.59836,0.3615,0.81374,0.87948,0.82619,0.8081,0.87508,1,0.78742,0.80598,0.79689,0.5716,0.79394,0.85405,0.8599,0.15584,0.59309,0.52973,0.36117,0.44769,0.57835,0.67007,0.54097,0.6895,0.52801,0.31843,0.30222,0.294,0.02429,-0.18769,0.08057,0.03056,0.0281,-0.3764,-0.60679,-0.41356,-0.34978,-0.57433,-0.52008,-0.44519,-0.55401,-0.52601,-0.78061,-0.76985,-0.78376,-0.41312,-0.45671,-0.71901,-0.87304,-0.74473,-0.84666,-0.82047,-0.86331,-0.76662,-0.83458,-0.29364,-0.30036,-0.11787,-0.03708,-0.26151,-0.07444,-0.011,-0.22831,-0.2827,-0.25686,0.05752,-0.45596,-0.30861,-0.32043,-0.51567,-0.67831,-0.66116,-0.58811,-0.70882,-0.60946,-0.67272,-0.49553,-0.64255,-0.50527,-0.35428,-0.68179,-0.61114,-0.51828,-0.61724,-0.76945,-0.71983,-0.77686,-0.81681,-0.82539,-0.53875,-0.7574,-0.76386
"M677.438T1339.916",0.03878,-0.03167,-0.32852,-0.06332,-0.0183,0.17334,0.24385,0.19529,0.07897,0.08906,0.28312,0.24011,0.20482,0.20002,0.36113,0.48957,0.24428,0.46688,0.4204,0.46747,0.5068,0.31816,0.46179,0.37326,0.28017,0.46006,0.33155,0.34543,0.21481,0.21315,0.29646,0.24297,0.51242,0.38042,0.33679,0.33587,0.24022,0.40448,0.50274,0.47452,0.47881,0.33901,0.61298,0.45882,0.57737,0.58207,0.49494,0.47331,0.42949,0.63617,0.72299,0.72784,0.66886,0.67389,0.7321,0.47806,0.48902,0.58558,0.39893,0.36791,0.37614,0.49195,0.46292,0.45649,0.69392,0.56665,0.58378,0.57573,0.47346,0.62723,0.6042,0.59694,0.60774,0.63871,0.27089,0.32224,0.34855,0.49214,0.39152,0.56303,0.56751,0.71474,0.75434,0.77313,0.70475,0.70017,0.78742,1,0.71071,0.75008,0.47696,0.68825,0.67564,0.62492,0.52386,0.60773,0.54688,0.5016,0.45672,0.44291,0.46886,0.62338,0.64837,0.58517,0.26223,0.38877,0.2838,-0.02232,-0.28469,-0.07002,-0.33565,-0.29994,-0.41505,-0.53594,-0.58889,-0.56039,-0.50582,-0.57701,-0.59081,-0.76804,-0.79971,-0.87906,-0.78049,-0.74351,-0.48999,-0.48085,-0.74362,-0.6503,-0.68171,-0.77662,-0.76416,-0.82503,-0.66095,-0.73748,-0.33472,-0.36973,-0.1321,-0.09153,-0.19505,0.04909,-0.11341,-0.34678,-0.21142,-0.3617,-0.17737,-0.4253,-0.49486,-0.55288,-0.61015,-0.6727,-0.39674,-0.32774,-0.75038,-0.87903,-0.91462,-0.6762,-0.74868,-0.71326,-0.47916,-0.70527,-0.62572,-0.64352,-0.80801,-0.8479,-0.89014,-0.67319,-0.74963,-0.79589,-0.78407,-0.86253,-0.80398
"M564.208T942.149",0.26958,0.3748,0.15149,0.34264,0.50415,0.42221,0.29148,0.28587,0.24401,0.18833,0.41729,0.37339,0.26799,0.22746,0.27886,0.35999,0.37727,0.41216,0.4394,0.49338,0.49254,0.50871,0.64851,0.59782,0.63764,0.5956,0.47442,0.44581,0.44823,0.4914,0.53464,0.4826,0.48158,0.48615,0.46779,0.53385,0.50012,0.48926,0.51763,0.73819,0.61174,0.61688,0.68683,0.51423,0.68967,0.55826,0.60399,0.67051,0.45418,0.5151,0.71264,0.79014,0.68163,0.68454,0.65727,0.7014,0.53843,0.60717,0.57028,0.68713,0.59473,0.7101,0.7041,0.70725,0.70391,0.51938,0.49857,0.63184,0.70666,0.62609,0.68247,0.73535,0.67821,0.71456,0.34437,0.31033,0.56413,0.68081,0.61675,0.93576,0.63539,0.76349,0.90287,0.82835,0.76348,0.72763,0.80598,0.71071,1,0.91956,0.5566,0.67692,0.75809,0.60274,0.22157,0.38034,0.46599,0.09467,0.37498,0.3388,0.28645,0.40137,0.63071,0.62917,0.22972,0.41612,0.27326,-0.23255,-0.40414,-0.22467,-0.27669,-0.25526,-0.31252,-0.49893,-0.59344,-0.66598,-0.54778,-0.54219,-0.71683,-0.59303,-0.58887,-0.88129,-0.80077,-0.85116,-0.66233,-0.52727,-0.5572,-0.85951,-0.74158,-0.88444,-0.90064,-0.79057,-0.81065,-0.91897,-0.24327,-0.2206,-0.09589,-0.08432,-0.36608,-0.10995,-0.12392,-0.3056,-0.28793,-0.56776,-0.24622,-0.20891,-0.19483,-0.34712,-0.24227,-0.45402,-0.5848,-0.47213,-0.75634,-0.67441,-0.65477,-0.51559,-0.76615,-0.65327,-0.30736,-0.65482,-0.60372,-0.49241,-0.50751,-0.70662,-0.71051,-0.43808,-0.50889,-0.57273,-0.49208,-0.62662,-0.59388
"M817.317T940.819",0.17418,0.23376,-0.01088,0.1938,0.38477,0.23242,0.09401,0.09919,0.2019,0.0416,0.33686,0.2943,0.19965,0.19128,0.2858,0.30972,0.39511,0.32487,0.43846,0.41292,0.47638,0.38692,0.56461,0.47886,0.52134,0.41334,0.3557,0.29568,0.30182,0.29954,0.34502,0.33406,0.44571,0.38271,0.39218,0.33996,0.35744,0.31538,0.48513,0.64148,0.49387,0.5538,0.6916,0.60374,0.7567,0.62835,0.58391,0.61337,0.49091,0.54805,0.73947,0.77369,0.65551,0.65444,0.75676,0.69724,0.65002,0.55714,0.6031,0.70288,0.55501,0.66401,0.70351,0.68339,0.65405,0.44623,0.45565,0.55135,0.69514,0.62161,0.64223,0.70708,0.57733,0.60562,0.45964,0.43241,0.45269,0.5498,0.4596,0.84441,0.54304,0.83336,0.88751,0.79906,0.90769,0.84557,0.79689,0.75008,0.91956,1,0.65874,0.71809,0.76018,0.64839,0.32945,0.42673,0.45662,0.30444,0.55334,0.48789,0.44699,0.37653,0.66032,0.59151,0.29477,0.4491,0.25413,-0.11367,-0.27643,-0.03016,-0.34342,-0.23301,-0.43536,-0.55637,-0.50349,-0.67962,-0.60757,-0.49047,-0.74941,-0.61523,-0.71306,-0.88386,-0.76932,-0.8543,-0.64034,-0.54826,-0.62287,-0.875,-0.81872,-0.92496,-0.91137,-0.87518,-0.8326,-0.87722,-0.30833,-0.29805,-0.20742,-0.14886,-0.33927,-0.08898,-0.08669,-0.40385,-0.24828,-0.55862,-0.17758,-0.28645,-0.34905,-0.40969,-0.34127,-0.63779,-0.69458,-0.57862,-0.79597,-0.74019,-0.76683,-0.72511,-0.78868,-0.75302,-0.46098,-0.68852,-0.72498,-0.63448,-0.57508,-0.75077,-0.76814,-0.51794,-0.59284,-0.64633,-0.59249,-0.73475,-0.7132
"M430.319T1557.453",0.27295,0.10357,-0.19718,0.04208,0.25011,-0.04874,-0.16809,-0.17889,0.07057,-0.10447,0.41637,0.2685,0.19202,0.23098,0.28303,0.30985,0.43342,0.26347,0.27497,0.45485,0.02458,-0.04515,0.05276,0.0751,0.1898,0.2116,0.23186,0.23168,0.02418,0.05649,0.14851,0.2113,0.19431,0.17866,0.22135,-0.01418,0.2065,0.11894,0.19804,0.16937,0.09871,0.21998,0.46541,0.54764,0.57272,0.50549,0.48125,0.46627,0.66561,0.51076,0.67638,0.62709,0.64911,0.65036,0.68096,0.71443,0.73465,0.59209,0.64272,0.55749,0.64922,0.55767,0.66686,0.59762,0.37404,0.35346,0.40869,0.23516,0.37336,0.20674,0.20856,0.28096,0.12807,0.23857,0.34553,0.08846,0.25621,0.48405,0.40035,0.52502,0.38231,0.62906,0.59513,0.52434,0.73823,0.6109,0.5716,0.47696,0.5566,0.65874,1,0.58405,0.66332,0.71473,0.04423,0.5717,0.2558,0.62482,0.65157,0.53199,0.35772,0.16277,0.55801,0.39721,0.16274,0.36482,0.15049,0.04176,-0.06696,0.05556,-0.00364,0.17754,-0.39238,-0.5386,-0.40282,-0.46365,-0.4626,-0.44253,-0.52456,-0.41287,-0.46802,-0.56654,-0.58751,-0.68208,-0.70142,-0.43878,-0.50878,-0.66682,-0.68303,-0.71299,-0.68771,-0.56262,-0.68785,-0.6869,-0.13012,-0.11963,-0.01151,0.0605,-0.19758,0.09648,0.15664,-0.15513,-0.07639,-0.04879,0.12705,-0.25085,-0.44197,-0.4571,-0.4378,-0.68794,-0.72223,-0.59372,-0.3009,-0.38587,-0.48358,-0.52536,-0.24748,-0.4938,-0.56865,-0.6497,-0.83714,-0.69624,-0.64816,-0.69613,-0.67863,-0.63536,-0.62855,-0.65162,-0.15684,-0.54469,-0.60663
"M832.307T992.353",-0.35515,-0.3963,-0.06626,-0.11762,0.08586,-0.01156,-0.07298,0.01121,0.05838,-0.23954,0.16076,0.18232,0.01281,-0.02632,0.1278,0.1846,0.11705,0.1311,0.14374,0.29771,0.13824,-0.04031,0.16489,0.14997,0.2152,0.17414,0.06546,0.07273,0.18691,0.19885,0.25382,0.2081,0.37575,0.26669,0.26996,0.10919,0.20777,0.2415,0.33417,0.35854,0.31097,0.60231,0.69082,0.55395,0.80998,0.56288,0.27867,0.34565,0.19496,0.17058,0.5268,0.53405,0.49922,0.49817,0.43653,0.39073,0.34241,0.41765,0.41848,0.27676,0.25728,0.39897,0.45948,0.4414,0.44634,0.24672,0.3221,0.45973,0.41663,0.39357,0.46553,0.38424,0.35187,0.39828,0.06993,0.19211,0.07245,0.10763,0.07284,0.48092,0.17361,0.94448,0.90017,0.91436,0.70852,0.85043,0.79394,0.68825,0.67692,0.71809,0.58405,1,0.94152,0.87373,-0.13376,0.20612,0.04942,0.4205,0.20314,0.8874,0.67866,0.57015,0.78273,0.49266,0.41181,0.46901,0.30461,0.44425,0.28345,0.46048,0.28862,0.32916,-0.25019,-0.48111,-0.36507,-0.33928,-0.37595,-0.22374,-0.39568,-0.49486,-0.47968,-0.72559,-0.57326,-0.52854,-0.26288,-0.17051,-0.30822,-0.67596,-0.52462,-0.63619,-0.5895,-0.61545,-0.49934,-0.6239,-0.4615,-0.46925,-0.27028,-0.2624,-0.31468,0.12109,0.08006,-0.19415,0.00542,-0.06705,0.20081,-0.02049,-0.15845,-0.2082,-0.76748,-0.83763,-0.70958,-0.71177,-0.55337,-0.63029,-0.58555,-0.54164,-0.43491,-0.37784,-0.25363,-0.57159,-0.49862,-0.3882,-0.49198,-0.67063,-0.69715,-0.57918,-0.61921,-0.6325,-0.38411,-0.75523,-0.8375
"M956.379T959.199",-0.08909,-0.18804,0.04228,0.137,0.35092,0.18576,0.09216,0.16871,0.31409,0.02675,0.42213,0.42411,0.26515,0.23235,0.25386,0.36874,0.30883,0.26358,0.39745,0.54451,0.26058,0.15829,0.32989,0.33001,0.43649,0.35151,0.29118,0.31792,0.38518,0.39899,0.45624,0.43229,0.54421,0.45814,0.43203,0.31218,0.42049,0.42475,0.48966,0.52644,0.486,0.67493,0.78707,0.6596,0.91054,0.56796,0.35698,0.49781,0.34258,0.34492,0.6777,0.65352,0.63458,0.63413,0.54092,0.51474,0.45461,0.56869,0.60024,0.47641,0.50236,0.63958,0.68555,0.66672,0.57852,0.41263,0.51203,0.51112,0.53794,0.52827,0.55468,0.50376,0.4738,0.54926,0.14791,0.21413,0.30143,0.3046,0.29433,0.60576,0.21149,0.911,0.92159,0.91636,0.72134,0.88901,0.85405,0.67564,0.75809,0.76018,0.66332,0.94152,1,0.93944,-0.17798,0.35253,0.15159,0.31814,0.25725,0.77124,0.58655,0.38844,0.65067,0.38262,0.23334,0.2937,0.10164,0.19535,0.06949,0.31118,0.25006,0.29534,-0.32327,-0.58116,-0.48893,-0.46868,-0.58228,-0.45466,-0.44942,-0.51804,-0.49442,-0.77059,-0.70443,-0.68729,-0.35352,-0.2942,-0.47573,-0.82952,-0.62919,-0.75227,-0.72291,-0.69772,-0.61343,-0.73581,-0.48371,-0.47174,-0.27846,-0.27002,-0.48879,-0.13343,-0.08027,-0.3152,-0.13203,-0.18365,0.08358,0.01216,-0.02675,-0.08006,-0.57527,-0.72537,-0.65494,-0.59008,-0.4891,-0.51399,-0.53001,-0.52958,-0.43361,-0.38622,-0.29823,-0.59791,-0.54309,-0.4279,-0.55267,-0.69921,-0.74518,-0.60649,-0.64327,-0.67357,-0.24778,-0.70517,-0.74909
"M438.146T926.75",-0.07697,-0.28357,-0.1249,0.03868,0.29602,0.09258,-0.00458,0.01232,0.27353,0.05163,0.46448,0.42129,0.2986,0.2882,0.31347,0.3443,0.27669,0.22454,0.37884,0.59942,0.07082,-0.02462,0.12716,0.12905,0.33296,0.23632,0.21812,0.27272,0.30842,0.26411,0.32736,0.33636,0.47959,0.36658,0.34283,0.21913,0.38218,0.40056,0.40392,0.37585,0.30431,0.54223,0.68168,0.68877,0.8854,0.50371,0.33028,0.449,0.44389,0.33695,0.6265,0.53614,0.57031,0.57136,0.56812,0.47229,0.52041,0.49326,0.52577,0.4154,0.49509,0.56317,0.63399,0.56926,0.49558,0.39534,0.548,0.34624,0.42944,0.41113,0.37508,0.33341,0.32652,0.41825,0.21884,0.16218,0.2795,0.24316,0.21673,0.41224,0.13629,0.84445,0.82055,0.81738,0.71668,0.87783,0.8599,0.62492,0.60274,0.64839,0.71473,0.87373,0.93944,1,-0.17531,0.51372,0.22563,0.51633,0.3479,0.78763,0.68298,0.31589,0.57512,0.25083,0.1512,0.16278,0.05098,0.22037,0.09756,0.40314,0.34758,0.41821,-0.4234,-0.65135,-0.43238,-0.32916,-0.5709,-0.45379,-0.35865,-0.49498,-0.46448,-0.66953,-0.69043,-0.66431,-0.33684,-0.33469,-0.555,-0.7957,-0.66978,-0.71251,-0.67772,-0.69124,-0.62238,-0.67754,-0.47939,-0.48062,-0.29448,-0.24341,-0.42006,-0.13711,-0.05487,-0.26422,-0.15521,-0.0219,0.15568,-0.14086,-0.1475,-0.1238,-0.6239,-0.77455,-0.70207,-0.64318,-0.41693,-0.41863,-0.51068,-0.49718,-0.33617,-0.32,-0.41696,-0.66715,-0.62878,-0.52361,-0.62791,-0.72351,-0.72589,-0.79026,-0.80168,-0.80433,-0.19918,-0.63681,-0.70442
"M313.161T1621.4",0.31536,0.34587,-0.36011,-0.05555,-0.12491,0.14391,0.20076,0.04759,-0.19595,0.11124,-0.02595,-0.14529,-0.04209,0.02124,0.26669,0.20685,0.15611,0.35303,0.23628,0.11285,0.44008,0.29925,0.34088,0.2153,-0.00064,0.20749,0.13404,0.08853,-0.05701,-0.12769,-0.08166,-0.10815,0.1468,0.05472,0.0706,0.10531,-0.00482,0.04509,0.22925,0.18083,0.13826,-0.24689,0.03262,0.00624,-0.13488,0.19082,0.42084,0.21946,0.31251,0.52665,0.30464,0.25875,0.18546,0.19131,0.50533,0.20948,0.33885,0.13546,-0.08737,0.09369,0.04515,0.01015,-0.03556,-0.05085,0.32143,0.30607,0.22669,0.19415,0.25839,0.33229,0.27,0.39229,0.34818,0.29536,0.48176,0.42686,0.31505,0.36969,0.23523,0.26736,0.63892,-0.01596,0.07497,0.00247,0.3043,0.07849,0.15584,0.52386,0.22157,0.32945,0.04423,-0.13376,-0.17798,-0.17531,1,0.49578,0.55786,0.30703,0.37242,-0.24979,-0.1075,0.23384,0.13842,0.34365,0.05696,0.13919,0.20857,-0.34856,-0.56979,-0.49124,-0.87441,-0.81544,-0.34271,-0.22192,-0.21309,-0.30657,-0.13824,-0.29071,-0.42459,-0.46253,-0.56207,-0.36501,-0.32538,-0.36262,-0.41108,-0.54138,-0.55066,-0.12398,-0.37039,-0.34059,-0.35844,-0.44514,-0.36671,-0.26078,0.02648,0.00521,0.0267,0.13591,0.16788,0.13141,-0.13005,-0.25557,-0.34855,-0.49882,-0.43886,-0.61595,-0.68772,-0.65454,-0.03823,-0.1116,0.0697,0.11853,-0.59745,-0.58356,-0.67506,-0.39858,-0.63162,-0.63922,-0.4273,-0.30156,-0.38148,-0.46989,-0.48561,-0.35158,-0.38287,-0.27362,-0.32131,-0.33857,-0.79785,-0.32785,-0.23003
"M787.545T1575.098",0.58619,0.24207,-0.29753,0.06855,0.25731,0.3544,0.28825,0.13268,0.28209,0.46004,0.50997,0.38097,0.47678,0.53618,0.5543,0.54778,0.44279,0.61425,0.6114,0.772,0.27923,0.18476,0.23579,0.18585,0.19013,0.35284,0.38178,0.47778,0.24765,0.22466,0.30152,0.34669,0.37445,0.34135,0.31573,0.37789,0.43806,0.49032,0.50129,0.33988,0.27913,0.09303,0.35161,0.57868,0.36818,0.23945,0.6201,0.63943,0.8057,0.78558,0.65236,0.5005,0.52807,0.53636,0.77897,0.4798,0.67013,0.46094,0.35802,0.39035,0.57198,0.47543,0.48252,0.38433,0.55757,0.64582,0.75332,0.17685,0.4201,0.40865,0.27876,0.34765,0.39995,0.4531,0.57404,0.22818,0.67199,0.62138,0.49577,0.33947,0.46113,0.2515,0.33736,0.26944,0.53738,0.49356,0.59309,0.60773,0.38034,0.42673,0.5717,0.20612,0.35253,0.51372,0.49578,1,0.75689,0.5664,0.57528,0.12905,0.2186,0.08176,0.14665,0.21598,-0.11748,-0.12625,-0.12789,-0.32877,-0.59062,-0.25392,-0.30697,-0.2197,-0.65377,-0.63959,-0.54323,-0.41072,-0.59377,-0.74356,-0.43141,-0.58507,-0.56002,-0.50975,-0.73585,-0.73315,-0.51453,-0.58717,-0.90616,-0.57314,-0.75223,-0.64218,-0.66702,-0.64382,-0.61071,-0.56208,-0.11267,-0.11961,0.01093,0.12181,-0.27465,-0.22102,-0.21913,-0.30102,-0.45872,-0.15079,-0.21583,-0.5964,-0.48416,-0.41019,-0.24469,-0.42694,-0.23468,-0.09911,-0.44742,-0.38957,-0.62724,-0.41551,-0.47542,-0.49072,-0.75941,-0.63906,-0.74435,-0.77067,-0.8587,-0.74595,-0.69195,-0.76709,-0.78587,-0.80524,-0.41139,-0.44254,-0.34563
