"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"M1102.351T817.469",-0.024032,-0.11334,-0.0024278,-0.098969,0.029337,-0.087964,-0.0024253,0.076119,0.08767,-0.008737,-0.0091309,0.028928
"M549.424T1473.203",0.089998,-0.0014727,0.11434,-0.034901,-0.032916,-0.011379,-0.025039,-0.0090709,0.040616,-0.11059,-0.020562,0.0061538
"M787.545T1575.098",0.084746,-0.03603,-0.13197,0.12248,0.14578,-0.15492,0.059156,-0.047512,-0.13274,-0.13279,0.13084,0.050346
"M567.43T1421.35",0.058074,0.069517,0.0054896,-0.049954,0.029548,-0.069024,-0.014959,0.037777,-0.078831,0.080461,-0.11148,0.021422
"M764.517T1325.086",-0.023159,0.10108,0.14857,-0.015648,0.11231,-0.023204,0.0047192,0.066866,0.059442,0.0050672,0.058568,-0.013503
"M487.775T1256.694",0.028337,-0.077654,-0.10578,0.03039,0.11334,0.04926,0.073964,-0.032043,0.11682,0.1272,0.07482,0.029697
"M677.438T1339.916",0.074999,-0.089065,-0.0088342,-0.050864,-0.040657,-0.14176,0.018264,-0.12784,-0.062615,0.090422,0.093826,0.024826
"M832.307T992.353",0.069646,-0.14588,0.18089,-0.075009,0.018454,-0.0012103,-0.11469,0.0015905,-0.068949,-0.035684,0.042374,-0.03048
"M455.315T1295.888",-0.060233,0.038486,0.041493,0.023789,-0.01477,-0.095855,-0.074768,-0.0018477,0.068293,0.0093708,0.0024739,0.0036056
"M297.239T1626.197",0.054666,0.035307,-0.032592,0.017167,-0.018347,-0.11245,-0.06887,-0.0092463,0.022393,-0.094502,-0.092901,-0.010119
"M425.216T1401.37",-0.019475,-0.012704,0.10011,0.026186,0.082945,0.036975,-0.073356,-0.026255,-0.070251,-0.073202,-0.12974,-0.0030451
"M430.319T1557.453",0.037535,-0.05579,-0.023709,0.022687,0.062504,0.083819,-0.072443,-0.0099585,0.048574,-0.12485,0.084622,-0.0081647
"M392.284T1436.378",-0.099462,0.02916,0.042862,0.028125,-0.055303,-0.021419,-0.028384,-0.023557,0.031962,-0.0083485,-0.036136,0.018772
"M386.164T943.456",0.037235,-0.16625,0.22466,0.059065,0.043977,-0.033961,-0.13323,0.088615,0.034825,-0.10386,0.06641,0.045953
"M635.491T1472.841",0.06684,0.072615,0.046041,0.028122,0.06711,0.065034,-0.037895,-0.075801,-0.034304,0.068063,-0.018669,-0.056806
"M399.308T1262.042",-0.15483,0.09628,0.035235,0.085201,-0.070593,-0.072353,-0.12078,-0.023623,-0.0069578,0.023991,-0.011241,0.017027
