"","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","X12.1","X12.2","X12.3"
"Label","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Xanthomonas","Xanthomonas","Xanthomonas"
"M629.529T1601.79","-0.49141657","-0.76823582"," 0.09076828"," 0.10818056","-0.27670447","-0.42328704"," 0.47387834"," 0.20712930"," 0.61692859"," 0.36567500","-0.14501869"," 0.24210252"
"M449.369T1557.545","-0.535480855","-0.196708486"," 0.050434531","-0.268208284","-0.384250471","-0.003119733"," 0.561335071"," 0.285272661"," 0.466909897"," 0.216875122","-0.399243847"," 0.206184394"
"M576.533T1641.124","-0.793682068","-1.182918270"," 0.005350458"," 0.028171032"," 0.084942687"," 0.118500345"," 0.369511589"," 0.261522088"," 0.321153983"," 0.378143247"," 0.116314844"," 0.292990065"
"M619.438T1245.233"," 1.00682866"," 1.14610527","-0.10772672","-0.06274880","-0.07778005","-0.17403025","-0.33210997","-0.25593378","-0.42335359","-0.01285272","-0.43790601","-0.26849206"
"M652.503T1490.314","-0.28482400","-0.53638285","-0.04098870"," 0.06219537","-0.17477629","-0.24576235"," 0.38695458"," 0.15383174"," 0.56792924"," 0.36751659","-0.42415464"," 0.16846132"
"M313.161T1621.4","-0.04010984","-0.39607539","-0.14953622","-0.07376480","-0.18950220"," 0.08534641"," 0.18576987","-0.11115006","-0.34192436"," 0.47147165"," 0.26668307"," 0.29279186"
"M295.151T1624.873","-0.27178951","-0.15343976"," 0.10521511","-0.16105414","-0.23965983","-0.30693426"," 0.12912890"," 0.25583766"," 0.42350669","-0.01841733"," 0.07280750"," 0.16479897"
"M772.55T1170.538"," 0.77409866"," 0.71585309"," 0.38925685","-0.24005935"," 0.10245764"," 0.07884567","-0.32068011","-0.45166431","-0.59789884","-0.65221325"," 0.04129505"," 0.16070890"
"M494.565T1319.161"," 0.7239957711"," 0.3330878551","-0.3962232748","-0.0509611712","-0.5073049081","-0.2487492895"," 0.0002025918","-0.2416309770"," 0.1747500087"," 0.3315962105","-0.2702891367"," 0.1515263201"
"M423.321T1473.286","-0.15999174","-0.04898980","-0.16037437"," 0.10764467","-0.68887655","-0.42857575"," 0.31608718"," 0.29869682"," 0.62902312"," 0.33045633","-0.21783933"," 0.02273943"
"M722.581T1518.016"," 1.29249770"," 0.64418352","-1.01879221"," 0.01094689"," 0.16849640","-0.71878862"," 0.54311954"," 0.11628598"," 0.00752667","-0.92393554","-0.02098314","-0.10055719"
"M535.447T1540.43","-0.408588156","-0.392242764","-0.123427709"," 0.001544154","-0.389770006","-0.256999561"," 0.520045752"," 0.582089753"," 0.577268704"," 0.150977278","-0.262972023"," 0.002074578"
"M477.398T1574.327","-0.45593674","-0.04636543","-0.36398805"," 0.05249899","-0.32841272","-0.16564113"," 0.34577922"," 0.26662680"," 0.39626674"," 0.33857740","-0.06603193"," 0.02662685"
"M691.433T1253.346"," 0.41095837"," 0.50978814","-0.45565676","-0.18455453","-0.05789154","-0.54183328"," 0.24825781","-0.13937633"," 0.09533276"," 0.04758951"," 0.01437879"," 0.05300705"
"M605.416T1473.993","-0.37565753","-0.20489654","-0.17759450","-0.16087555","-0.49837040","-0.07564571"," 0.20695868"," 0.16143455"," 0.42188453"," 0.70307646"," 0.01054576","-0.01085977"
"M465.26T1373.143"," 0.14209181","-0.13629793"," 0.65548358","-0.12330771"," 0.05705204"," 0.60311822"," 0.04300920"," 0.15399198"," 0.10520425","-0.53147458","-0.23604617","-0.73282469"
"M341.283T1305.932"," 1.45280999"," 0.49482224","-0.24368523","-0.09677257","-0.24184414"," 0.12386661","-0.24432927","-0.18335547","-0.21553611","-0.23805637","-0.25082169","-0.35709800"
"M330.261T1473.013"," 0.29875386"," 0.37472182","-0.23194107","-0.05135259","-0.07172234","-0.21911830","-0.11600281"," 0.05429534"," 0.06153843"," 0.19008636"," 0.04786898","-0.33712768"
"M533.435T1510.689","-0.72835575","-0.32727249","-0.02101966"," 0.07285217","-0.52240148","-0.20209140"," 0.45421241"," 0.30287902"," 0.48318856"," 0.37405009","-0.07838043"," 0.19233895"
"M471.796T1446.028"," 0.40674363"," 0.46132291","-0.01880592"," 0.13202258"," 0.05679725","-0.15716618","-0.10661266"," 0.17134317","-0.23160605","-0.17053620","-0.06475744","-0.47874510"
