"","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","BLANK.2","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3"
"Label","Control","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M449.365T1540.699","155479.4","174479.1","204876.9","208962.2","225000.0","163593.0","196000.0","341000.0","277249.2","156073.2","317794.5","177806.3","185330.1","231000.0","204356.0","205463.9","208933.3","232000.0"
"M537.533T1295.888"," 8050.171","68647.361","58469.949"," 9693.615","38800.000","16166.711","13300.000"," 7970.000"," 8347.275"," 9502.763","    0.000","10747.821","18270.755","17700.000"," 9084.323"," 6408.495","13261.754"," 9820.000"
"M561.396T1195.638"," 17371.92"," 85726.85","778915.50"," 71730.84"," 48900.00"," 68542.45"," 51500.00"," 57000.00"," 41886.21"," 34395.21"," 37385.46"," 24687.14"," 51353.13"," 51000.00"," 63529.14"," 62164.30"," 48253.01"," 54300.00"
"M812.538T1253.346","24249.12","81771.40","99545.27","41197.95","68700.00","59027.32","61400.00","41800.00","37960.58","11133.28","39303.61","16771.63","55497.27","69600.00","67563.56","54445.11","57125.79","46800.00"
"M495.298T1036.333","  3108.307","141614.109","135255.078"," 77717.034","102000.000"," 58880.389"," 87900.000"," 28300.000"," 41769.500","     0.000"," 69761.110","     0.000"," 80532.315"," 63100.000"," 70780.100"," 52455.281"," 61529.430"," 33600.000"
"M617.489T1624.961"," 89331.79","117002.53","178159.56","230807.57","247000.00","336486.53","262000.00","325000.00","322768.17"," 71725.82","467331.44","137437.22","246421.27","365000.00","236456.36","280149.60","228825.19","276000.00"
"M535.409T1440.116","109958.99"," 99747.13","110307.36","168446.35","147000.00","117830.61","156000.00","215000.00","273711.83"," 52800.08","218933.96"," 48198.50","131365.06","166000.00","171975.47","191143.51","203617.33","165000.00"
"M433.152T909.874"," 20073.28","105837.27","133651.16","182470.38","148000.00","139902.72","170000.00","154000.00","141835.38"," 17192.13","143724.64"," 21948.07","146051.61","167000.00","157188.96","139308.01","156829.27","167000.00"
"M817.317T940.819"," 14439.39"," 44197.55"," 97452.08","157911.83","152000.00","153473.81","239000.00","160000.00","200632.06"," 30482.18","149283.05"," 31295.83","155674.99","181000.00","183947.37","195643.67","217119.93","154000.00"
"M438.146T926.75","  3205.809"," 50703.909"," 69619.004","145821.692"," 97200.000"," 98395.849","134000.000"," 93700.000","104474.432","  2844.271","110000.288","  6159.405"," 87106.540"," 82200.000"," 87350.213"," 69568.122"," 76117.177","109000.000"
"M535.375T1490.352","127001.47","120584.55","172386.85","194845.03","176000.00","137076.32","177000.00","247000.00","231613.80"," 79513.85","263495.05"," 67239.63","156692.30","188000.00","205164.37","220938.22","227138.56","197000.00"
"M808.52T1220.972","  8213.04","120697.15","159858.19"," 50551.56"," 52500.00"," 63695.34"," 45200.00"," 30800.00"," 45389.75"," 10077.11"," 46258.90"," 15597.07"," 47163.13"," 37200.00"," 46740.93"," 28625.01"," 58426.20"," 59300.00"
"M577.49T1591.335","135842.0","152439.2","164729.2","216002.9","216000.0","279259.4","190000.0","270000.0","254996.1","102007.7","309666.4","106120.8","231100.5","228000.0","226532.0","243198.7","211319.4","254000.0"
"M813.332T1056.081"," 3272.869","11942.724","42455.745","85113.502","70900.000","44266.014","88200.000","67200.000","87189.783","    0.000","54107.162"," 2515.619","55681.067","90400.000","53796.629","50424.292","56288.423","60500.000"
"M869.334T919.017"," 13744.47"," 53492.95","107737.70","165720.88","156000.00","108493.75","162000.00","152000.00","139916.31"," 12469.38","117993.47"," 14597.44","113498.76","132000.00","125126.98","116718.46","105782.95","117000.00"
"M325.162T1642.868","62595.22","53372.83","52510.53","55710.82","65000.00","51374.22","61100.00","67200.00","67326.47","70168.11","75954.81","62743.34","70106.81","68200.00","51083.46","61720.05","74763.78","82500.00"
"M449.347T1490.033","113243.7","110810.7","125642.7","149597.0","158000.0","113760.0","136000.0","253000.0","214091.1","104197.3","244854.9","121515.9","131822.8","163000.0","133005.4","178415.3","123539.5","168000.0"
"M374.303T1319.161"," 67083.76","103723.93","112107.06"," 48331.57"," 55600.00"," 55980.85"," 76000.00"," 37300.00"," 46823.16"," 27078.40"," 17076.37"," 40727.62"," 56551.26"," 48500.00"," 71007.28"," 28558.01"," 57545.57"," 27200.00"
"M605.427T1212.039"," 8234.931","45657.526","46518.812","46714.426","34200.000","52654.931","34500.000","34500.000","24515.395","18878.280","18093.401","20460.630","23800.226","41000.000","42999.381","40858.609","42205.052","38000.000"
"M504.265T1099.137","  8042.433","280340.786","278250.498","118054.691"," 86800.000","145850.339"," 91200.000","115000.000","101751.407"," 12353.536"," 99608.191","  3387.685","114212.401","125000.000","111202.276"," 95723.916","159371.254"," 95400.000"
"M479.188T913.185","   760.3332"," 29252.1070"," 50165.8060","431684.8690","134000.0000","287562.5930","375000.0000","197000.0000","303139.4770","  3816.3356","198149.8050","  1322.6863","303354.9733","296000.0000","318825.5380","252249.4730","413214.6000","189000.0000"
"M291.195T1053.001","  3826.480","285157.375","352887.774","442613.040","247000.000","368403.096","366000.000","114000.000","183139.386","  9053.305","194649.973"," 14287.068","425410.443","210000.000","415387.682","185197.346","252647.289","231000.000"
"M821.505T1179.269","     0.000","262457.535","244059.415","145096.405","143000.000","202588.397","159000.000","163000.000","159894.235","     0.000","191155.507","  3320.679","162897.839","159000.000","176001.657","123427.283","154987.791","182000.000"
"M820.327T1006.792","  1367.957"," 22036.529"," 48770.183","125801.709"," 74100.000"," 70964.707","108000.000"," 79800.000"," 92224.196","  1709.232"," 64943.838","     0.000"," 55443.153"," 72200.000"," 72674.783"," 65417.338"," 63100.907"," 52600.000"
"M682.262T843.183","  9235.742","108790.656"," 99704.252","153094.819","108000.000"," 86807.940","147000.000"," 62700.000"," 98105.736","  8176.840"," 62999.006"," 11633.865","111452.681"," 76400.000","124959.929"," 72563.692"," 81110.433"," 67100.000"
"M576.484T1473.551"," 63516.20","137622.44","171506.67","261158.60","302000.00","266889.00","246000.00","302000.00","291421.34"," 35241.81","312817.53"," 29328.65","232131.13","397000.00","191015.09","362250.21","234141.58","251000.00"
"M764.518T1295.888"," 66300.14","170012.44","262870.92","115943.17","146000.00","106402.62","140000.00","142000.00","157640.65"," 16302.92","256218.37"," 26886.17","145936.51","111000.00","128460.30","111316.06","114860.01","112000.00"
"M471.313T1295.888"," 21542.85","299762.26","166034.24","147749.42","136000.00","134672.79","106000.00","140000.00","115348.91"," 35012.73"," 95587.76"," 42536.77","103692.32"," 95300.00","113762.25","148654.73","121607.00"," 99800.00"
"M617.506T1594.034","122148.34","138801.86","233229.38","243920.38","290000.00","354650.75","295000.00","361000.00","349799.13"," 90553.12","487214.05","183293.24","269609.52","447000.00","260962.32","338600.65","242277.92","297000.00"
"M534.402T1422.678"," 65285.88"," 92021.56","143253.73","154960.03","140000.00"," 93524.22","132000.00","195000.00","188992.17"," 50417.32","248373.14"," 68297.39","116439.27","152000.00","126749.96","222648.42","141997.85","160000.00"
"M765.518T1313.696"," 53331.25","177554.74","185700.31","132439.83","126000.00","151163.64","125000.00","132000.00","131971.86"," 33497.93","137101.67"," 60358.05","147989.47","139000.00","111790.57","116151.87","129826.49","129000.00"
"M415.326T1295.888"," 71958.18","148196.44","159772.35","180245.78","122000.00","144091.11","181000.00","101000.00","124953.62"," 66841.00"," 88474.09"," 90118.50","160861.70"," 98400.00","194067.80"," 92720.78"," 94998.27"," 79400.00"
"M1102.351T817.469","12334.98","50863.08","69708.58","78703.36","66300.00","59550.56","82800.00","38800.00","53149.75","13546.60","42336.29","14036.03","55500.45","61400.00","54356.96","65042.59","76466.08","56800.00"
"M549.424T1473.203"," 92484.13","106916.65","147552.38","277157.34","186000.00","156161.06","224000.00","267000.00","320723.93"," 96277.20","291152.49"," 87631.56","227203.63","211000.00","216884.30","242720.26","170376.33","187000.00"
"M787.545T1575.098"," 35366.23"," 55158.77"," 23378.15"," 97073.50"," 79900.00"," 78335.83"," 90500.00"," 83900.00"," 63978.41"," 23373.35","108466.07"," 10677.75","121841.68"," 80400.00"," 87517.10"," 85098.07"," 89961.55","234000.00"
"M567.43T1421.35","168212.97"," 71620.73"," 81850.38"," 88830.09"," 98100.00"," 68037.97"," 74500.00","120000.00"," 91435.26"," 35101.19","124535.24"," 35505.71","101591.09","101000.00"," 93035.79"," 94654.25"," 98641.59"," 97200.00"
"M764.517T1325.086"," 66349.92","225187.79","260891.89","153436.61","141000.00","132726.69","189000.00","173000.00","180994.30"," 38676.92","283217.16"," 69756.40","215420.06","148000.00","160848.22","128335.26","145316.22","141000.00"
"M487.775T1256.694"," 2221.03","25689.91","23906.17","32626.20","33200.00","49798.31","43000.00","30500.00","25202.51","    0.00","31114.40","    0.00","28447.86","46800.00","28034.32","37320.60","40608.38","37900.00"
"M677.438T1339.916"," 10473.419"," 99987.334","129116.181","295698.899","260000.000","160332.039","298000.000","242000.000","177280.703","  4938.616","180539.475"," 15242.516","164956.992","162000.000","278476.342","316712.483","191646.995","266000.000"
"M832.307T992.353","  4371.508"," 25767.383"," 75470.659","246891.814","140000.000"," 82943.155","215000.000"," 84300.000","151845.349","  2710.174"," 93960.953","  7681.979","167830.263"," 90600.000","154878.663"," 81588.381"," 71789.030"," 79800.000"
"M455.315T1295.888"," 76561.82","363482.89","285738.05","234281.33","241000.00","200179.37","242000.00","205000.00","212516.82"," 51062.59","210972.28","100429.29","202242.36","187000.00","222588.73","220287.45","210050.42","195000.00"
"M297.239T1626.197","146574.00","118088.09"," 93969.49","138049.37","133000.00","104980.91","108000.00","139000.00","139724.49","128714.05","145069.03","123567.66","143638.24","119000.00","137679.75","149707.60","127632.63","138000.00"
"M425.216T1401.37","214731.3","304152.2","318432.2","368653.2","294000.0","301126.0","298000.0","281000.0","285123.3","236365.0","287140.9","255133.9","423501.0","261000.0","374545.0","226133.1","258126.8","263000.0"
"M430.319T1557.453","101661.79"," 96495.83"," 95829.80","129571.11","122000.00","147095.99","132000.00","111000.00","134004.58","130762.02","113287.43","120401.13","117602.94","138000.00","105494.06","117139.53","113905.33","130000.00"
"M392.284T1436.378","121283.27","342323.10","257792.30","154919.20","142000.00","142158.08","152000.00","127000.00","124648.62"," 96782.66"," 98501.07","119570.13","153390.51","139000.00","154954.96","123894.04","127606.08","107000.00"
"M386.164T943.456","  1204.329","120658.838","152366.760","782838.279","321000.000","235741.102","849000.000","153000.000","448393.002","  1521.182","239809.191","  1517.706","431999.220","188000.000","543112.995","149485.127","187249.068","157000.000"
"M635.491T1472.841","186608.0","219478.9","228644.7","270925.5","286000.0","283925.0","251000.0","430000.0","306625.5","121561.7","460405.3","102626.0","243537.6","726000.0","218693.4","271525.4","230879.7","289000.0"
